step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
1	-2507.042726721195777	-2505.580644636676880	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.089712974892549	-1	3	4	5	5	4	5	7	9	9	10	12	15	16	18	21	20	20	21	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	3	4	5	5	6	7	8	9	10	11	11	11	11	12
500	-133.028977218956442	-131.667688919792852	-1.361288299163603	0.000010002785559	0.000005488228657	0.548670030434873	0.099336756755023	0	3	4	5	6	4	5	8	8	9	10	12	14	17	18	21	21	19	21	23	0	0	2	2	6	2	2	4	2	6	10	4	11	10	14	14	14	14	14	14	1	1	1	1	2	1	1	2	3	4	1	3	3	4	1	2	1	1	2	4
1000	-120.875348952014903	-119.512665527120845	-1.362683424894065	0.000010065498684	0.000006188394452	0.614812504236571	0.314923170779263	-2	2	4	5	4	3	6	7	9	10	10	12	14	17	17	21	21	21	19	24	0	0	2	6	2	2	2	7	5	4	7	7	12	12	12	19	15	14	15	17	1	1	1	2	1	1	3	1	2	2	2	3	1	3	2	2	2	3	1	2
1500	-104.063780099756841	-102.568824012598157	-1.494956087158683	0.000010061038778	0.000010952620236	1.088617237047709	0.576791185067264	-1	3	4	5	5	5	6	7	9	9	10	13	14	15	19	22	21	21	20	22	0	0	2	2	2	2	2	4	4	7	5	4	10	12	12	19	15	15	15	17	1	1	1	1	1	1	2	1	2	2	3	4	2	1	3	1	1	1	1	1
2000	-99.781162045735016	-98.388102374752279	-1.393059670982733	0.000010172839779	0.000007961135925	0.782587369717664	0.793508469730111	0	2	5	4	5	5	3	7	9	9	11	12	15	16	18	21	19	19	20	23	0	0	7	7	7	4	2	5	8	8	10	10	12	13	14	19	14	14	14	17	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
2500	-92.610956449683798	-90.736253728648222	-1.874702721035582	0.000010034804110	0.000020303213012	2.023279457080100	0.820673624373580	-1	3	4	5	6	4	5	7	9	9	10	11	16	17	19	22	19	20	21	23	0	0	2	2	4	2	2	4	8	7	10	10	12	10	14	19	14	14	15	17	1	1	1	1	1	1	1	1	1	2	1	1	3	3	1	1	1	2	1	2
3000	-104.746571231783022	-103.324961507429038	-1.421609724353989	0.000010279239172	0.000009056076610	0.881006508249620	0.613282811274110	-2	3	4	6	5	4	5	7	7	8	10	12	15	15	17	21	20	21	20	24	0	0	2	6	6	2	6	6	2	2	10	10	12	12	14	19	15	14	15	17	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	3	2	2
3500	-102.657621060598828	-101.294581545444942	-1.363039515153891	0.000010733881386	0.000006645638344	0.619127238817035	0.708012209523962	0	2	4	5	6	4	5	7	8	9	11	12	13	16	18	21	20	20	21	23	0	0	2	6	6	2	2	5	4	4	10	10	6	13	14	15	14	15	14	17	1	1	1	1	1	1	2	1	2	2	1	2	4	2	2	2	2	1	2	1
4000	-97.170575105322257	-95.614208930466773	-1.556366174855478	0.000010656107562	0.000013267617114	1.245071620841783	0.609638384978696	-1	3	4	4	5	5	4	7	9	9	11	11	14	16	18	19	21	19	21	23	0	0	2	2	2	4	2	6	8	7	10	10	10	13	14	14	14	14	16	17	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	2	3	1	1	1
4500	-93.420302329601569	-91.616339807249602	-1.803962522351968	0.000011910653625	0.000002092093821	0.175648951542202	0.841889912494734	-1	3	4	4	5	4	5	7	10	8	10	13	15	16	19	20	21	20	21	23	0	0	2	2	2	2	2	7	10	5	10	10	12	12	14	14	15	15	15	17	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1
5000	-108.719286318111074	-107.085507865565020	-1.633778452546059	0.000011600719981	0.000016645236710	1.434845142061085	0.708924875759061	-1	1	4	6	5	4	6	8	9	10	11	13	14	16	18	22	20	20	20	24	0	0	2	2	2	2	6	6	4	4	10	10	10	12	14	19	15	15	15	17	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1
5500	-108.914698927077524	-107.497316603057712	-1.417382324019813	0.000010914324781	0.000009468365643	0.867517307124476	0.734214294254824	-2	2	4	5	4	4	5	7	8	8	10	10	15	17	19	20	20	21	22	24	0	0	2	5	2	2	2	4	5	2	10	10	12	13	14	14	14	13	16	17	1	1	1	1	1	1	2	1	3	3	1	1	3	2	1	2	1	3	1	2
6000	-100.921903592317349	-98.777983958365795	-2.143919633951554	0.000015801870220	0.000001883801541	0.119213834458332	0.623281375392031	-1	3	5	6	5	4	5	7	9	8	9	12	15	16	19	20	20	19	21	24	0	0	6	7	6	2	6	7	8	7	10	10	12	2	14	14	14	14	16	17	1	1	1	1	1	1	1	1	1	1	1	2	2	5	2	2	3	1	1	2
6500	-104.678035768685007	-103.308926151970951	-1.369109616714062	0.000023299367049	0.000015592020880	0.669203624568318	0.588520227352753	0	3	5	6	5	4	5	6	10	9	10	13	15	16	18	20	19	20	22	23	0	0	2	5	2	2	2	7	8	4	5	4	12	10	14	15	14	15	16	17	1	1	1	1	1	1	1	1	1	2	4	3	1	2	1	1	1	1	2	2
7000	-95.018374000602478	-93.493107422745368	-1.525266577857111	0.000029691778320	0.000008260882603	0.278221213770755	0.691089694824444	0	3	4	5	6	4	6	8	9	9	11	10	14	17	18	21	20	20	22	22	0	0	2	2	6	2	6	5	7	4	10	6	10	10	14	14	14	14	16	17	1	1	1	2	1	1	1	1	1	2	1	2	2	3	1	2	2	2	1	1
7500	-112.532216392070296	-111.051057864477414	-1.481158527592881	0.000029908524311	0.000009229812438	0.308601398776340	0.667269422987272	0	2	5	6	4	4	6	7	9	9	11	13	13	15	17	20	19	20	21	24	0	0	5	6	2	2	6	2	5	8	10	11	10	9	12	15	14	14	15	17	1	1	1	1	2	1	1	2	1	1	1	1	2	3	2	2	2	2	3	1
8000	-99.842621152147331	-98.462250895477041	-1.380370256670293	0.000055675945896	0.000024777884090	0.445037505719448	0.750352964348475	0	3	4	5	6	5	6	7	9	9	11	12	14	17	19	22	19	20	20	23	0	0	2	2	6	2	2	5	5	6	10	10	8	13	14	15	14	15	15	17	1	1	1	1	1	1	2	1	1	2	2	2	3	2	1	2	2	1	1	2
8500	-90.096167230710819	-88.596074228857717	-1.500093001853107	0.000068015638410	0.000020036348652	0.294584438527178	0.672671231192730	-2	2	5	5	5	4	6	7	9	9	10	13	15	16	18	21	20	19	20	22	0	0	2	2	6	2	6	2	7	8	8	10	12	13	14	14	15	14	15	17	1	1	2	1	1	1	1	3	2	1	1	2	1	1	1	2	1	1	1	1
9000	-75.838718851940385	-73.998687829028796	-1.840031022911588	0.000040322752930	0.000006757773209	0.167592059532387	0.961216045846014	-2	3	5	5	5	4	6	7	9	9	10	13	15	16	18	22	20	20	20	23	0	0	2	2	2	2	4	7	4	8	10	10	12	13	14	19	15	15	15	17	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
9500	-87.521122881667296	-86.143102115427496	-1.378020766239803	0.000050507658168	0.000022825099870	0.451913644341013	0.780258022657277	-1	3	4	5	6	4	5	8	10	9	10	11	14	16	18	22	21	20	21	23	0	0	2	6	6	2	3	5	8	4	10	5	10	13	14	19	14	14	15	17	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	3	1	1	1
10000	-93.560589251767155	-92.196405149556597	-1.364184102210560	0.000029108113573	0.000014971812023	0.514351848505710	0.668731421209056	0	3	5	5	5	4	5	7	7	8	10	12	15	15	18	20	20	20	22	22	0	0	2	2	2	2	2	2	6	4	9	10	12	12	14	14	15	15	16	17	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	3	1	1	1	1
10500	-92.129632635197041	-90.550067320845955	-1.579565314351083	0.000104038607710	0.000025932485956	0.249258294848541	0.870177366080112	-1	2	4	6	5	4	6	8	9	8	10	10	14	16	18	20	20	20	21	22	0	0	2	5	2	2	6	4	7	4	10	10	9	13	14	15	14	15	17	19	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-95.880276345543024	-92.721268501019239	-3.159007844523780	0.000083078619959	0.000004422836671	0.053236761435136	0.772803352612625	-2	2	4	5	6	4	6	7	10	7	9	13	15	16	18	22	19	20	21	23	0	0	2	2	6	2	4	7	4	6	10	9	12	13	14	15	12	15	17	17	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	3	1	1	2
11500	-94.944002765664337	-93.565323141001883	-1.378679624662448	0.000043569411120	0.000019603165400	0.449929546814504	0.759557191189759	-1	3	4	5	5	4	6	7	9	9	10	12	13	16	18	21	21	21	21	24	0	0	2	2	3	2	4	7	7	5	10	11	10	13	13	14	14	15	15	17	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	3	3	1	2	1
12000	-99.558758046145797	-97.990819295385847	-1.567938750759956	0.000075887841928	0.000019341709795	0.254872312919207	0.787052855672159	-2	3	4	5	5	5	6	8	8	10	10	12	14	15	18	20	20	21	22	22	0	0	2	2	2	2	2	7	6	9	8	10	12	11	14	15	15	13	16	15	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	2	1	2
12500	-98.977277637286392	-97.603032623386923	-1.374245013899475	0.000040010586405	0.000018576764145	0.464296222939200	0.564224973482589	-2	3	5	5	6	4	5	5	8	8	10	11	15	16	18	21	20	20	19	22	0	0	6	2	2	2	2	2	5	8	10	11	11	13	14	14	15	15	14	17	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	2	1	1	2	2
13000	-95.800416801483934	-94.230393997654730	-1.570022803829198	0.000049381119710	0.000012535166477	0.253845326933757	0.798048608186171	-1	2	5	6	5	5	4	6	9	9	11	13	15	15	18	22	20	21	20	24	0	0	7	7	2	7	2	2	4	8	10	11	9	12	14	15	15	15	14	17	1	1	1	1	1	1	1	1	1	2	1	1	3	1	2	2	1	2	2	2
13500	-98.327652490911973	-96.958310275119715	-1.369342215792256	0.000027711289846	0.000018586157183	0.670707039859052	0.791694280368401	-1	3	4	5	6	4	6	6	9	9	10	11	14	16	18	22	20	20	19	23	0	0	2	6	6	2	4	2	5	7	10	8	12	13	14	15	15	15	15	17	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	2	2	1	1	1
14000	-88.993865594726444	-87.533760759383668	-1.460104835342782	0.000056628809581	0.000018486436426	0.326449320807852	0.843261639990301	-1	3	4	5	5	5	4	7	8	9	10	11	14	16	19	22	19	20	21	24	0	0	2	2	2	2	2	6	6	8	10	10	12	12	14	15	14	14	14	17	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2
14500	-83.370616091932220	-81.988426079223643	-1.382190012708576	0.000044711965167	0.000019675878805	0.440058466035222	0.691945472031578	-1	3	4	5	6	4	6	7	8	9	11	11	15	17	19	21	21	20	22	24	0	0	2	6	6	2	4	4	8	8	10	10	11	13	14	15	15	14	14	17	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1
15000	-96.525366771461663	-95.018632015526350	-1.506734755935306	0.000062659574796	0.000018173761465	0.290039655139402	0.770708272441842	-1	3	5	4	6	4	5	8	8	7	10	12	15	17	19	22	19	21	21	23	0	0	2	2	4	2	2	3	2	7	3	11	9	13	14	19	14	15	15	16	1	1	2	1	1	1	1	1	2	1	2	1	3	1	1	1	1	1	1	1
15500	-100.290864190773647	-98.435758999015064	-1.855105191758585	0.000039944338892	0.000006567716385	0.164421706977881	0.686853079481746	-2	3	4	5	5	4	6	7	9	9	11	12	14	16	18	22	21	20	21	22	0	0	2	2	2	2	5	6	6	8	10	4	9	12	13	15	12	14	15	17	1	1	1	1	1	1	1	2	2	1	1	5	2	3	2	2	3	2	1	1
16000	-95.581179315703608	-93.634819204852562	-1.946360110851052	0.000049658851755	0.000007315423053	0.147313576412228	0.711526910131085	0	2	5	5	4	3	5	7	8	10	9	12	15	17	18	21	21	21	21	23	0	0	6	2	2	2	6	2	4	9	7	10	10	10	13	15	15	14	15	17	1	1	1	1	1	1	1	2	1	1	1	1	2	4	1	1	2	2	1	1
16500	-102.639173982816843	-100.889701100737142	-1.749472882079697	0.000032720671961	0.000006193264689	0.189276818541591	0.606588688472481	0	2	4	5	5	4	3	7	10	8	11	11	15	17	18	22	21	20	21	24	0	0	2	2	7	7	2	5	10	2	10	10	12	12	12	19	15	15	15	17	1	1	1	1	2	1	1	1	1	3	2	2	2	2	3	1	2	2	1	1
17000	-92.302506574151664	-90.671021364008254	-1.631485210143415	0.000040593151350	0.000009220510407	0.227144483738147	0.752338767789652	0	2	4	4	5	3	5	7	9	8	10	12	15	16	18	20	20	20	21	24	0	0	2	2	6	2	6	7	5	7	7	10	12	12	13	15	15	14	16	17	1	1	1	1	1	1	1	1	2	1	1	2	1	3	2	1	1	2	1	2
17500	-94.552616170832110	-92.813521965311878	-1.739094205520234	0.000063543728475	0.000012206862345	0.192101764217728	0.624857084818271	0	3	5	5	5	4	6	7	9	8	11	13	14	16	18	21	20	21	22	24	0	0	2	2	2	2	6	5	8	2	10	8	12	12	14	15	15	14	14	17	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	1	3	3	2
18000	-104.406285412753988	-102.931932043177994	-1.474353369575989	0.000075650698933	0.000023760258545	0.314078506611764	0.530576223452442	-1	3	5	6	4	5	6	8	8	8	10	13	16	16	17	21	19	20	21	23	0	0	2	2	2	2	5	2	7	7	8	11	12	10	13	18	14	14	15	17	1	1	2	2	1	1	1	2	1	2	1	2	1	3	1	1	2	2	2	2
18500	-87.434283590714358	-85.986565470604305	-1.447718120110057	0.000040304463406	0.000013638374855	0.338383734770400	0.800628907417067	-1	2	3	5	3	4	6	8	9	9	11	13	16	15	18	20	20	20	21	23	0	0	2	5	2	2	6	4	4	5	10	10	11	12	14	15	15	15	16	17	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1
19000	-100.612111217335240	-98.978535689440818	-1.633575527894428	0.000072984087218	0.000016519275037	0.226340777378162	0.590004430800537	-2	2	5	5	4	4	6	7	7	10	10	13	15	16	18	22	21	20	20	23	0	0	5	2	2	2	5	6	2	9	9	10	11	13	14	19	14	13	14	17	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	4	2	2	1
19500	-99.870350824550087	-98.508458506126289	-1.361892318423800	0.000040823911813	0.000024638953238	0.603542192385003	0.632756248452500	-1	2	5	5	4	4	6	7	10	7	10	12	15	17	16	19	21	21	21	23	0	0	6	2	2	2	4	5	8	5	8	11	12	15	13	14	16	14	16	17	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1
20000	-89.649647170252649	-88.251154641828549	-1.398492528424101	0.000034701010411	0.000014030179181	0.404316157222594	0.780491034836779	-2	1	3	6	6	4	4	8	9	9	11	12	14	17	18	21	20	20	20	23	0	0	2	7	6	2	2	4	5	8	10	10	12	13	14	19	15	15	14	17	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
20500	-95.414157018791315	-93.753922751303065	-1.660234267488244	0.000091415666661	0.000019799095188	0.216583173440252	0.600610709044796	-1	3	5	5	6	4	5	7	9	8	10	13	16	17	18	21	21	21	22	23	0	0	2	2	2	2	2	2	4	7	10	11	8	12	13	15	15	14	15	16	1	1	1	1	1	1	1	2	2	2	1	2	4	2	1	2	2	2	2	1
21000	-100.275672870439607	-98.354953191784105	-1.920719678655507	0.000058675941895	0.000008906549566	0.151792187373526	0.608999449778215	-1	2	5	6	6	4	5	7	9	9	10	11	13	15	18	22	20	21	20	23	0	0	2	3	7	2	2	7	5	2	8	10	9	13	14	15	15	19	15	17	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	2	1	1	1	2
21500	-119.391761004752226	-117.088235910516659	-2.303525094235565	0.000052006795255	0.000005325504212	0.102400161092880	0.354104289321032	-2	3	4	6	6	4	5	8	9	10	10	12	14	16	18	22	18	21	21	24	0	0	2	6	6	2	6	7	6	8	2	10	12	11	14	18	9	13	17	17	1	1	1	2	2	1	1	1	2	1	3	1	1	3	1	1	4	3	2	3
22000	-105.670022556923811	-104.259755710041802	-1.410266846882008	0.000068859810368	0.000026483678695	0.384602840950294	0.601469621232240	-1	1	4	6	5	3	6	5	8	8	11	11	13	16	18	21	20	20	22	23	0	0	2	8	6	2	2	3	5	8	10	10	11	13	14	14	14	14	14	16	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	3	2	2	3	1
22500	-90.522201630202147	-89.042681908486884	-1.479519721715268	0.000057859239456	0.000017930415962	0.309897194134840	0.760197393398587	-1	3	4	5	6	4	6	6	9	8	10	13	15	15	19	21	20	19	20	22	0	0	2	2	6	2	6	6	10	8	10	9	10	12	13	19	15	13	15	15	1	1	1	1	1	1	1	1	1	1	1	3	3	1	2	1	1	2	1	1
23000	-98.431631249109415	-95.730412298136130	-2.701218950973287	0.000072306792892	0.000005321655888	0.073598284126026	0.854513906126644	-1	3	4	4	6	5	4	6	9	9	10	12	14	16	18	21	19	20	22	24	0	0	2	2	6	2	2	7	8	8	10	10	10	12	14	14	14	13	14	19	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	2	2	1
23500	-87.251727508380640	-85.237262323312535	-2.014465185068111	0.000089839199399	0.000012259787749	0.136463679892266	0.816542527828954	-1	3	5	6	5	4	5	6	8	8	10	12	15	17	18	22	20	20	21	22	0	0	2	7	6	2	2	2	8	8	10	10	11	13	14	19	14	14	15	17	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1
24000	-98.074183852810137	-96.073632564734211	-2.000551288075922	0.000046944946875	0.000006505007617	0.138566726558683	0.741252330567670	0	3	5	6	6	4	5	8	8	9	11	11	15	14	17	22	19	19	20	24	0	0	2	6	2	2	2	5	3	4	10	10	14	10	14	19	15	15	18	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2
