step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-2725.163265392768608	-2723.701183308249711	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.843885570982264	1	2	5	4	4	4	5	5	6	6	7	6	8	7	8	8	8	7	8	8	9	9	9	9	10	10	10	11	12	12	13	12	12	13	13	13	13	13	16	15	16	15	15	15	15	14	16	16	16	16	16	16	15	18	17	17	18	18	18	18	19	18	17	19	18	20	21	24	24	23	24	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	4	3	4	4	4	3	4	4	4	4	4	4	5	5	5	5	6	6	6	6	6	6	6	6	6	6	8	7	8	7	7	7	7	7	8	8	8	8	8	8	7	9	8	8	9	9	9	9	9	9	8	9	9	10	10	12	12	11	12	13
500	-592.525172580932349	-590.929428629221434	-1.595743951710882	0.000010005114992	0.000013428678113	1.342181286638247	0.433968002395866	1	2	5	4	4	4	6	4	7	6	7	7	6	7	8	8	8	7	5	8	9	8	10	9	8	11	10	12	12	9	13	12	12	12	13	10	14	13	16	16	16	15	15	14	13	11	17	16	16	16	15	16	16	18	18	17	18	19	18	19	18	17	15	16	18	21	20	23	24	23	24	27	0	1	5	2	1	1	3	1	4	6	19	8	3	7	11	6	6	10	6	13	19	8	16	19	13	22	20	27	20	11	22	24	25	19	13	21	32	32	6	38	0	11	36	36	32	30	63	31	38	32	0	30	46	34	36	43	49	24	32	52	53	30	13	45	44	63	46	50	0	44	65	0	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	2	3	2	2	2	1	1	1	1	2	1	2	2	2	4	3	1	1	1	5	2	1	4	3	1	1	2	1	1	2	2	1	4	2	3	4	1	2	8	3	2	1	5	5	2	3	4	6	2	1	6	3	1
1000	-472.351715329007504	-470.578480838351879	-1.773234490655638	0.000010044130976	0.000017809340149	1.773109111322607	0.606723074919316	0	2	3	3	4	4	5	5	6	6	5	7	8	6	9	8	8	6	8	8	9	7	10	10	10	11	10	11	11	11	13	12	12	12	13	13	14	14	13	15	17	15	14	15	16	15	16	16	16	16	15	15	16	18	18	16	18	17	18	17	19	18	16	19	19	20	21	24	25	22	24	28	0	1	1	2	3	1	3	1	4	6	3	8	7	3	11	10	10	6	11	7	11	8	16	21	13	22	20	27	20	21	26	24	25	15	13	30	32	32	18	32	0	30	36	36	38	30	39	26	32	32	0	30	34	6	43	44	49	32	49	42	53	53	17	45	44	54	52	57	0	65	65	0	1	1	2	1	1	2	1	3	2	1	2	1	2	2	2	1	1	1	2	2	2	1	2	1	1	2	1	1	2	1	1	1	1	2	2	1	1	2	2	2	1	2	1	1	1	2	2	3	3	2	1	2	2	5	2	1	1	3	1	1	2	1	4	2	2	1	3	3	1	1	2	1
1500	-456.562442361993988	-454.718420844240143	-1.844021517753824	0.000010066856996	0.000019600511816	1.947033897894688	0.693796052564585	1	3	4	4	5	3	6	5	6	6	6	6	9	8	8	8	8	7	9	8	10	9	9	8	9	11	10	11	12	12	13	11	11	14	14	13	14	13	14	15	14	16	16	15	14	14	17	17	17	15	16	16	16	19	17	18	18	17	18	19	20	18	16	20	18	20	20	23	24	23	25	27	0	1	1	2	1	1	3	3	4	6	6	8	20	7	11	10	10	10	24	7	15	8	16	11	20	22	20	27	20	21	22	21	25	21	13	30	32	32	17	32	0	46	46	36	32	30	39	31	32	38	0	46	46	47	43	44	40	38	49	52	53	53	39	58	44	63	42	57	0	65	65	0	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	2	1	1	2	2	1	2	1	2	3	1	1	1	2	2	2	2	2	3	1	1	1	1	1	1	2	2	2	1	2	3	2	1	1	1	2	2	3	1	2	4	1
2000	-461.122648122706437	-459.633479460322178	-1.489168662384255	0.000010122344412	0.000010864839159	1.073352053240335	0.568950780530187	1	2	3	3	4	4	5	4	6	5	7	6	9	7	8	7	8	7	9	7	9	8	9	10	11	11	9	10	13	10	14	12	13	13	13	13	13	13	14	14	15	14	15	15	15	14	16	17	17	16	17	16	14	19	18	17	19	18	18	18	20	18	18	19	19	20	21	23	24	23	25	26	0	1	1	2	3	1	3	3	4	1	6	8	7	7	11	6	10	6	11	7	11	8	16	21	20	22	20	27	20	21	26	24	25	11	17	21	32	32	17	32	0	30	36	46	32	30	39	31	40	38	0	30	30	39	43	44	49	38	49	46	62	53	39	40	44	54	42	57	0	65	65	0	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	2	2	1	1	1	2	2	1	1	2	2	1	1	3	1	2	1	1	2	2	2	1	1	3	2	1	2	1	1	1	3	1	1	3	2	1	3	2	2	2	1	1	2	1	2	2	2	3	3	2	1	3	2	1	3	4	1
2500	-455.954425655696525	-454.257811919571736	-1.696613736124811	0.000010158129273	0.000016121219310	1.587026397955499	0.667665191878864	1	2	5	4	5	4	6	3	5	6	7	6	9	7	8	8	8	6	8	7	9	7	9	10	11	10	10	12	12	12	14	11	12	12	13	13	13	13	16	15	17	14	16	16	16	14	17	15	16	17	15	16	15	19	18	18	19	18	19	18	19	18	17	19	18	19	21	23	24	22	23	27	0	1	1	2	1	1	3	1	4	3	6	8	7	7	11	10	10	6	11	3	15	8	16	19	20	22	13	27	27	15	26	21	25	15	3	30	32	32	6	32	0	30	42	36	32	30	39	31	38	32	0	42	30	47	43	44	38	32	40	46	53	53	39	45	44	63	46	57	0	65	65	0	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	2	2	1	1	2	6	2	1	1	1	1	2	1	1	1	2	2	1	2	2	1	1	1	3	3	1	2	2	1	1	2	1	1	3	2	1	3	3	1
3000	-436.904217246876328	-434.970705606779347	-1.933511640096969	0.000010297125367	0.000022356853340	2.171174239791005	0.657001320278992	2	3	4	4	5	5	5	6	7	6	6	6	7	8	8	9	7	6	8	7	9	9	8	10	10	11	9	11	12	11	13	11	12	12	13	13	13	13	15	15	16	15	15	15	15	14	16	16	16	16	16	17	14	18	17	18	19	17	19	19	19	18	17	19	19	20	21	23	24	23	24	27	0	1	1	2	3	3	1	3	4	6	6	3	7	7	11	23	6	6	11	7	11	8	6	19	20	22	20	27	27	11	26	24	25	11	7	30	32	32	16	38	0	30	36	36	38	30	39	26	32	38	0	34	30	63	43	44	58	38	58	52	53	53	39	49	44	63	52	57	0	65	65	0	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	2	3	6	1	2	1	2	1	1	2	1	1	1	2	1	2	2	2	1	3	2	1	2	1	1	2	1	1	2	2	1	2	2	2	2	2	1	2	3	1
3500	-425.834421418748150	-424.046978347598781	-1.787443071149350	0.000010594528403	0.000019153067222	1.807826313226133	0.625119010413230	1	3	3	4	4	4	5	5	7	6	7	6	8	7	9	7	8	7	8	8	9	9	9	9	11	10	10	12	12	12	13	11	13	13	11	13	14	13	15	16	17	15	15	15	15	15	16	16	17	17	16	17	15	19	17	17	18	19	18	18	20	18	17	19	18	20	21	24	25	23	25	28	0	1	1	2	1	3	6	3	4	6	6	8	7	7	11	6	6	10	11	3	11	8	16	11	7	22	20	27	20	21	26	24	25	15	3	30	32	32	10	32	0	30	36	36	32	30	39	26	38	38	0	30	30	63	43	44	40	50	50	42	53	53	39	45	44	63	52	57	0	65	65	0	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	3	1	2	1	1	2	1	1	1	2	2	2	2	1	2	4	1	1	1	4	2	1	1	1	1	2	1	1	3	2	2	1	2	2	1	1	1	1	2	1	2	2	2	1	2	2	2	2	3	1	2	3	1
4000	-433.752581238280754	-432.091582432505675	-1.660998805775054	0.000011163559763	0.000016754547697	1.500824831216111	0.666248603845643	1	2	3	4	5	4	5	5	6	5	7	7	8	6	8	7	8	8	9	8	10	8	9	10	9	10	10	11	12	11	13	12	11	12	12	13	14	13	16	15	17	14	15	15	14	13	17	16	17	17	16	17	15	19	18	18	18	17	19	18	18	18	17	20	18	21	22	23	25	24	24	27	0	1	1	2	1	1	3	3	4	3	10	8	7	7	11	10	10	6	11	6	15	8	16	19	20	22	20	27	20	15	26	24	25	21	13	30	38	32	17	32	0	30	36	36	32	30	39	31	32	38	0	42	30	63	43	44	50	32	50	34	53	53	39	50	44	63	60	57	0	65	65	0	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	4	2	1	2	1	1	1	2	1	2	2	2	1	2	1	2	2	1	1	2	1	3	2	3	1	2	2	2	2	2	1	2	3	1
4500	-436.175660494424562	-434.573069656965629	-1.602590837458918	0.000012468865203	0.000016944233027	1.358923426531675	0.669475314422846	1	2	5	5	4	4	6	5	7	6	6	7	8	8	9	9	7	6	8	8	9	8	10	10	10	10	9	11	12	11	13	12	12	13	12	13	14	13	16	15	16	14	15	16	16	14	17	16	16	16	16	15	15	18	17	18	18	17	18	18	19	18	18	19	18	21	20	24	24	23	23	28	0	1	1	2	1	1	3	1	4	6	6	8	7	7	11	6	10	6	11	7	11	8	16	19	20	22	20	27	20	21	22	24	25	15	6	30	32	32	13	32	0	30	42	42	32	30	39	31	32	32	0	46	30	39	43	44	49	38	38	42	53	53	39	45	44	63	46	57	0	65	65	0	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	3	4	1	1	1	4	2	1	2	1	1	2	2	1	2	2	2	1	1	2	1	2	1	1	2	2	2	2	2	1	2	1	2	3	2	1	2	2	1
