step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90
1	-1603.157178405229160	-1601.695096320710263	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.912732134353243	1	0	2	5	3	5	5	6	6	6	7	7	7	7	7	7	7	7	8	8	8	7	8	9	9	9	9	9	8	8	10	9	9	10	10	9	10	10	10	11	12	13	11	12	11	12	12	13	16	14	16	15	14	16	15	15	18	16	15	16	16	16	16	19	19	20	19	20	20	19	21	21	21	21	21	23	24	24	24	25	26	27	27	27	28	28	28	28	31	31	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	6	6	7	6	6	6	6	6	7	8	7	8	8	7	8	8	8	9	8	8	8	8	8	8	10	10	10	10	10	10	10	11	11	11	11	11	12	12	12	12	13	13	14	14	14	14	14	14	14	16	16
500	-348.405401707458850	-346.943319622939953	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.426701041916920	1	0	1	5	3	4	4	6	6	5	7	7	7	7	8	7	8	8	8	8	9	8	7	9	9	8	9	9	8	9	10	9	9	10	11	9	10	10	10	11	12	13	10	10	11	11	12	13	15	14	17	14	14	16	16	16	19	15	14	15	16	16	17	19	19	20	17	20	20	19	21	21	22	21	22	22	23	24	24	26	26	28	25	27	26	29	28	28	31	32	2	0	2	1	1	1	5	6	5	5	8	4	8	6	7	8	5	16	8	16	11	8	5	8	18	11	6	3	6	23	12	17	19	9	24	26	11	33	20	12	46	19	21	20	23	27	17	27	52	41	21	39	37	52	24	52	67	42	27	44	46	49	43	67	41	57	32	67	58	39	64	62	68	70	69	41	59	75	75	78	77	74	71	36	70	75	80	66	83	61	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	4	3	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	3	3	1	2	5	2	2	1	4	1	1	1	1	4	3	1	3	1	3	1	4	1	2	3	1	2	1	1	1	5	5	1	1	1	2	4	2	10	3	3	1	3	3	8
1000	-282.495639713474873	-281.033557628955975	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.682419335486370	2	1	3	5	3	5	5	7	6	7	5	6	7	7	7	5	7	8	8	9	8	7	8	9	10	10	9	9	8	8	10	9	8	11	11	9	10	10	10	12	13	13	12	12	11	12	11	13	17	13	16	14	15	15	15	16	17	17	15	15	16	17	15	19	19	20	19	20	19	19	22	22	22	22	19	24	24	25	24	25	26	26	27	26	26	27	28	28	31	31	2	0	2	5	2	5	1	11	3	7	3	1	4	11	9	5	11	12	17	21	11	4	12	18	18	21	10	18	15	5	29	33	7	26	27	8	19	14	20	26	26	36	35	25	31	12	20	8	53	20	55	41	19	52	52	33	24	63	28	27	52	54	39	62	62	49	21	61	62	49	65	64	66	70	49	71	71	69	71	73	72	79	85	73	79	79	82	81	71	82	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	1	2	1	2	1	1	3	1	1	3	3	1	2	3	1	1	2	1	1	2	5	2	1	1	1	1	1	2	1	1	1	3	1	2	2	1	1	2	2	2	1	1	4	2
1500	-233.459494487507641	-231.997412402988772	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.982884430073658	2	0	3	6	3	5	5	5	7	6	6	7	7	6	7	7	8	7	8	9	8	8	8	7	8	9	8	10	8	9	10	9	10	9	10	10	10	10	11	12	11	13	11	13	12	11	10	11	16	13	17	16	15	15	14	15	18	16	16	16	17	14	15	18	17	19	17	20	19	17	20	21	22	22	20	24	23	25	25	25	25	27	27	27	28	29	28	29	30	30	2	0	1	3	1	5	3	5	4	8	6	7	8	6	4	4	13	11	24	24	13	14	9	6	8	27	11	34	6	4	18	16	20	8	13	25	25	24	36	48	12	41	47	41	48	22	15	30	54	38	56	55	39	42	48	55	56	55	56	55	58	42	40	65	60	51	62	66	61	54	66	71	68	75	64	72	72	76	74	77	77	81	80	78	84	84	80	84	87	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-236.497266257741813	-235.035184173222945	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.926675766633723	1	0	2	4	3	6	5	7	5	6	7	5	8	7	8	7	6	6	9	8	8	7	8	9	10	9	10	10	8	9	10	9	9	10	9	9	10	11	10	9	12	13	11	12	11	11	13	11	17	14	15	15	13	16	15	16	18	17	16	17	17	16	15	19	17	19	19	20	21	19	19	22	21	21	22	24	23	25	23	25	25	27	25	27	29	27	29	27	31	30	2	0	2	5	1	7	5	10	3	4	9	5	18	9	7	3	5	4	15	22	18	10	6	20	33	10	23	29	8	11	13	22	6	19	22	8	15	36	32	16	27	48	33	36	32	25	38	26	55	45	47	41	38	53	28	50	54	63	52	41	52	50	53	52	51	54	49	64	68	65	58	68	67	66	68	79	74	77	67	72	67	83	75	80	88	72	86	81	85	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1
2500	-207.459189279786585	-205.997107195267716	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.968283294416285	2	0	2	4	3	5	5	4	6	7	6	8	7	7	8	7	7	8	8	8	9	7	8	9	9	10	9	10	8	9	10	9	9	10	10	10	10	10	7	12	12	13	12	13	11	12	11	14	17	14	17	14	13	16	16	16	18	16	15	15	16	17	16	20	20	20	18	20	21	17	19	22	21	21	19	23	24	24	25	25	26	28	27	27	29	29	29	27	31	31	2	0	2	5	1	5	5	3	5	6	6	9	6	7	6	11	8	9	16	11	11	9	22	39	20	10	39	39	11	16	33	14	14	21	12	18	25	39	9	30	28	47	18	45	31	37	15	46	56	40	61	41	41	48	48	50	54	44	44	50	52	63	52	57	67	67	59	75	62	61	62	66	75	67	54	69	76	72	77	76	77	81	80	80	88	83	84	79	86	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-246.340906326671842	-244.878824242152973	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.966587709262913	1	-1	2	6	3	5	6	5	7	7	7	8	8	7	7	8	8	8	8	9	6	7	7	9	9	9	9	9	9	8	10	8	10	10	10	10	11	10	9	11	12	12	11	13	11	12	11	13	15	14	17	14	14	16	16	14	19	16	16	16	15	16	16	20	19	21	19	19	20	19	21	20	21	21	22	23	23	22	25	23	27	25	27	27	28	28	28	28	32	31	2	0	1	3	1	1	6	5	6	7	8	22	7	8	4	14	4	22	4	10	8	21	7	13	4	32	9	10	19	22	26	23	20	19	9	19	27	28	8	25	29	40	32	47	17	38	26	41	42	24	61	41	40	48	46	37	60	53	61	56	48	52	52	51	55	65	62	61	67	51	68	59	68	70	72	71	69	66	77	67	82	76	79	78	82	79	81	79	88	85	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-223.740606098982681	-222.278524014463812	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.939685356222608	1	0	2	5	3	4	6	7	7	5	7	7	7	7	7	8	8	7	8	9	9	8	8	9	9	9	9	9	7	9	10	9	10	10	10	9	10	10	10	11	12	13	11	13	11	13	12	12	17	15	16	15	15	17	14	15	17	16	13	17	17	17	17	20	18	19	20	21	20	19	21	21	21	22	21	23	23	22	25	24	25	28	27	27	28	26	28	28	31	31	2	0	1	3	1	1	5	7	5	5	4	4	6	7	4	11	7	10	18	23	13	7	7	23	18	10	8	22	10	16	25	8	11	30	23	18	22	19	21	30	45	45	20	22	34	48	28	38	48	55	55	46	46	53	48	55	53	42	40	53	56	51	56	70	51	51	65	70	60	65	49	67	57	67	66	72	71	71	77	77	80	79	79	86	81	76	79	86	87	82	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-267.966188791487525	-266.504106706968628	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.848984916952670	1	-2	2	5	3	4	5	7	6	6	7	8	7	7	8	7	6	8	8	7	9	7	8	10	10	6	10	9	7	9	10	9	9	10	10	9	9	11	11	12	11	14	11	11	12	11	12	12	17	15	17	16	14	16	15	16	18	15	14	16	16	14	15	19	19	20	19	20	19	19	21	20	21	22	20	21	23	24	24	25	26	28	27	27	29	29	29	29	32	31	2	0	1	5	1	5	5	7	4	7	17	17	7	6	10	7	5	6	7	7	13	7	8	23	22	6	37	12	4	22	11	9	14	19	19	20	22	12	25	32	23	43	19	33	33	19	31	28	61	41	55	50	43	47	43	50	50	30	22	55	63	31	47	56	51	60	60	61	63	51	75	70	57	75	60	68	73	71	77	77	77	84	79	80	81	82	82	83	88	87	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	3	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-240.537957480590137	-239.075875396071268	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.903034091255141	1	0	3	4	3	5	5	6	6	3	7	8	7	7	7	8	8	6	8	8	9	7	8	10	9	9	10	9	8	9	10	8	10	11	11	10	8	11	10	11	12	13	11	13	11	12	12	14	17	14	13	15	15	15	15	15	18	14	16	17	16	16	16	18	19	19	18	21	21	18	18	22	21	20	22	23	25	24	25	25	26	27	27	26	28	28	27	29	32	31	2	0	1	2	1	1	4	7	3	1	6	14	4	7	7	9	18	4	9	13	32	6	22	29	18	8	19	8	10	32	32	15	12	24	33	30	13	16	37	16	27	27	21	40	30	28	39	40	55	45	38	42	44	58	42	34	61	33	52	56	47	48	47	59	61	49	59	60	57	62	52	74	65	67	70	72	76	75	75	72	75	84	79	76	84	81	77	82	88	88	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
