step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63
5000	-355.735726717378100	-364.786570097829440	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994512897516546	21	6	11	12	11	19	31	14	19	26	16	31	35	26	35	33	36	38	39	29	39	52	38	43	39	48	34	40	38	49	51	39	53	47	58	66	53	53	63	47	60	63	70	65	85	82	88	87	86	95	88	87	73	88	92	94	94	76	95	98	95	90	109	5	0	2	2	2	3	10	3	3	4	3	20	3	5	1	1	14	15	7	9	27	24	16	25	14	27	20	15	12	32	21	7	26	17	31	39	34	30	30	15	33	33	44	37	58	53	46	58	58	46	49	46	40	53	47	46	47	33	51	61	51	44	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-332.874254725899334	-341.925098106350674	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991670612373080	18	2	8	12	12	12	33	16	22	23	23	41	27	27	33	34	35	36	37	40	32	46	42	44	39	45	38	47	42	44	51	44	54	48	54	51	55	51	61	60	63	65	67	66	73	78	92	85	90	85	93	82	83	78	89	91	94	89	92	93	99	101	103	6	0	2	2	2	3	14	2	4	8	5	15	11	11	9	10	15	10	13	13	9	19	27	29	13	20	14	18	19	20	20	17	23	27	26	23	24	18	33	33	39	37	38	39	43	45	55	54	50	46	54	54	46	43	48	53	53	50	50	55	55	58	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-337.711639937532084	-346.762483317983424	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986432670443651	23	2	9	13	6	16	32	18	22	23	25	34	30	28	33	22	26	41	35	40	39	43	41	41	45	45	31	41	45	49	50	38	50	51	49	66	52	54	55	62	61	69	72	68	76	82	89	89	91	84	90	84	86	76	95	89	93	92	94	96	98	95	109	8	0	2	3	2	3	16	4	8	6	8	11	8	10	9	3	9	17	17	13	12	15	32	32	20	32	11	12	12	25	22	7	25	29	18	40	18	25	30	37	38	44	38	38	40	45	50	52	50	44	50	46	54	40	47	44	56	53	56	48	51	46	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-324.231311079154750	-333.282154459606090	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996182466815203	20	2	8	7	15	11	33	14	18	23	21	40	26	31	34	29	41	30	42	36	36	53	39	37	44	44	38	44	47	51	55	48	48	47	53	56	56	43	58	58	53	61	69	74	82	79	95	88	83	90	88	84	88	85	92	98	94	93	97	93	100	97	108	4	0	2	2	6	4	16	3	4	5	9	18	10	5	16	11	7	1	7	7	18	33	14	15	21	12	10	21	28	12	30	17	17	17	38	34	22	21	22	41	26	35	42	37	46	43	53	45	41	45	54	45	54	45	52	48	49	49	50	53	47	58	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-321.147139926358363	-330.197983306809704	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999201310057006	24	3	6	14	12	16	29	19	19	25	22	36	32	29	30	35	40	41	43	38	44	52	40	37	43	44	44	48	45	51	51	47	49	48	54	62	57	50	63	61	60	70	69	74	81	78	97	86	79	92	96	82	87	84	91	91	90	87	100	95	96	97	102	6	0	2	3	3	4	4	4	4	6	5	13	1	6	1	15	16	15	13	15	23	26	7	15	15	12	12	18	17	18	20	20	29	20	29	30	31	16	31	22	26	36	41	43	42	42	57	46	44	54	50	49	42	42	54	53	58	45	53	50	56	55	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-336.606929697395231	-345.657773077846571	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995110509283152	21	3	9	10	11	15	21	16	24	14	27	35	29	31	31	33	34	40	37	42	29	52	42	42	47	48	39	43	35	52	51	46	52	48	42	59	57	48	63	48	60	70	67	74	79	85	86	89	85	97	96	82	91	85	91	95	99	89	93	84	94	96	111	3	0	2	3	2	3	3	3	7	3	9	14	7	9	9	9	13	12	16	19	9	17	11	12	35	19	17	19	21	38	24	20	20	24	27	31	38	17	38	35	23	43	39	30	43	52	45	45	44	48	55	45	54	45	52	60	53	49	45	44	54	53	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-335.857748060546783	-344.908591440998123	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998541829148428	26	7	9	11	13	13	21	18	16	17	23	34	28	27	35	29	34	41	37	36	37	45	42	39	39	43	39	43	42	45	52	50	55	49	45	65	47	47	56	58	49	70	68	72	77	81	89	85	90	97	83	81	84	80	89	93	94	94	98	91	100	98	111	7	0	2	2	3	3	8	3	4	6	10	13	7	6	16	8	5	12	16	11	12	27	19	20	17	15	16	24	21	25	41	30	34	28	20	37	17	21	29	29	18	40	36	36	42	45	48	44	46	47	54	45	52	42	53	47	53	48	55	43	47	57	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-329.263243401650755	-338.314086782102095	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.963773825886341	25	7	9	15	12	12	32	20	23	22	24	32	33	27	27	24	40	38	36	30	40	49	33	37	38	51	35	46	47	53	56	49	55	45	46	63	59	54	66	56	56	70	66	72	81	77	95	84	88	91	92	85	86	79	92	93	95	92	98	98	88	104	101	4	0	2	2	3	2	9	3	8	3	8	11	9	10	1	8	19	23	12	1	7	18	11	23	7	34	14	25	19	29	32	21	32	12	17	33	31	32	31	35	22	36	41	42	46	44	52	45	54	53	49	42	54	41	53	61	55	48	48	47	53	60	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-355.490230644168605	-364.541074024619945	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.973616052771601	20	5	12	9	12	17	33	21	19	21	28	36	31	27	35	31	39	41	38	39	39	50	41	40	35	49	41	44	38	46	38	45	43	48	57	59	57	55	65	61	57	73	66	72	76	72	98	86	85	89	87	84	84	50	86	98	93	79	92	97	83	95	112	5	0	2	2	4	5	11	5	2	5	1	14	1	5	7	3	7	17	7	25	7	21	13	29	14	24	25	20	12	18	10	13	21	23	54	54	26	28	40	41	28	43	41	39	40	37	53	58	58	55	61	58	58	32	43	57	50	46	52	58	45	49	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-328.486002563592024	-337.536845944043364	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997139723646925	26	4	10	8	15	17	33	17	20	21	23	41	36	28	35	30	32	33	38	43	42	42	41	41	46	48	42	39	46	52	50	46	50	43	52	68	54	57	60	60	59	67	72	73	82	77	94	90	85	86	80	81	85	78	82	89	96	86	95	92	94	91	100	9	0	2	2	3	3	1	4	3	3	5	17	16	8	1	9	14	16	14	28	15	18	13	19	23	21	15	18	20	32	22	23	29	13	23	40	20	21	32	37	31	41	39	36	54	43	56	58	51	51	42	46	52	36	42	50	62	42	49	50	45	50	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
