step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-5498.969928440208605	-5497.507846355690162	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.566550982258566	0	2	1	3	4	4	5	4	6	5	5	7	6	6	7	8	10	8	8	9	8	8	10	8	9	10	11	9	10	10	9	11	9	11	10	9	11	12	11	12	13	12	12	12	13	12	11	13	14	13	13	13	14	15	13	14	14	14	14	17	14	15	14	15	16	17	19	17	19	17	19	18	19	19	18	21	19	20	20	20	19	21	24	21	22	21	22	22	24	25	24	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	3	3	3	4	3	3	4	4	5	4	4	5	4	4	5	4	5	5	6	5	5	5	5	6	5	6	5	5	6	6	6	6	7	6	6	6	7	6	6	7	7	7	7	7	7	8	7	7	7	7	7	9	7	8	7	8	8	9	10	9	10	9	10	9	10	10	9	11	10	10	10	10	10	11	12	11	11	11	11	11	12	13	12	12
500	-1479.989445739488701	-1477.394441750692067	-2.595003988796542	0.000010011047979	0.000040652476044	4.060761283879724	0.284531460900253	-1	2	0	3	4	2	4	2	6	5	4	6	5	6	6	8	9	6	7	9	8	8	8	7	6	10	11	8	10	10	9	11	9	10	8	7	11	10	12	10	14	9	12	13	14	12	11	12	11	13	13	14	14	16	11	14	15	15	14	18	11	16	13	15	15	17	20	17	18	15	19	17	18	20	17	22	20	21	20	21	18	21	25	22	23	22	23	23	24	26	25	25	0	1	1	1	2	3	4	3	6	6	6	6	7	8	10	9	28	11	25	6	13	14	36	15	13	9	42	3	28	28	18	18	19	23	36	15	12	24	25	25	26	9	31	18	34	34	20	31	36	12	37	24	38	63	25	40	31	18	23	42	36	50	40	39	40	40	49	61	42	55	61	61	61	61	42	42	70	61	65	35	40	27	61	65	70	49	61	49	61	42	68	61	1	1	1	2	1	1	1	1	3	2	1	2	1	2	1	1	1	2	1	3	2	2	1	1	1	1	1	5	1	2	1	4	1	1	1	1	3	2	3	3	2	2	2	4	3	1	1	1	2	4	1	7	2	3	3	2	5	4	4	6	3	2	2	2	4	5	8	6	4	1	5	2	4	9	4	11	3	8	5	8	3	7	8	4	5	8	10	8	8	10	7	10
1000	-1319.568936019155444	-1316.848043372316170	-2.720892646839380	0.000010014160872	0.000044839923511	4.477651606108795	0.323888005638136	-1	2	0	4	4	3	5	4	5	5	4	7	7	6	7	8	9	7	9	9	8	9	10	8	7	9	12	7	10	11	9	12	10	11	11	9	11	12	11	12	14	9	13	11	13	12	11	13	14	13	14	13	14	16	13	13	15	14	13	18	11	16	13	16	16	16	17	18	19	15	20	18	18	18	18	21	20	21	17	20	19	22	25	20	23	22	22	22	24	24	25	25	0	1	1	1	2	3	4	6	6	6	3	3	7	8	10	9	28	11	25	6	13	14	36	15	7	11	16	11	17	28	18	18	19	23	36	15	12	24	25	25	26	3	31	18	34	34	20	31	35	20	37	24	38	25	39	39	31	44	46	42	36	20	25	63	40	25	61	61	42	40	61	61	61	61	42	42	81	61	70	61	70	42	67	70	79	61	61	61	73	42	74	61	1	2	1	3	2	1	1	1	1	2	2	3	1	1	1	2	1	2	1	4	1	2	1	1	2	2	3	1	1	2	1	2	1	1	1	2	2	2	2	3	3	4	2	3	1	1	2	2	1	3	1	5	1	5	2	1	4	1	1	5	1	3	3	2	1	5	5	5	4	1	5	4	4	7	3	11	1	7	1	7	2	7	6	3	4	10	8	6	3	10	5	10
1500	-1191.313502141690378	-1188.767124490602555	-2.546377651087846	0.000009945603756	0.000038838968609	3.905139352360473	0.460994601395271	-2	2	1	3	4	4	5	3	7	5	4	7	6	5	7	9	10	8	9	10	8	7	11	9	8	10	9	9	11	11	9	11	10	10	9	8	11	11	11	12	11	12	13	12	13	13	12	13	14	13	14	13	14	15	13	15	15	15	15	18	11	15	14	13	16	17	17	16	18	17	19	18	19	19	18	22	19	20	20	21	20	21	24	22	23	22	23	21	24	26	25	24	0	1	1	1	2	3	4	3	6	3	3	3	7	8	10	9	28	6	25	12	13	14	36	15	13	27	3	12	28	28	18	18	19	36	36	15	12	24	25	25	26	16	31	32	34	34	12	31	35	37	37	24	38	64	25	55	43	44	46	42	35	37	55	40	55	55	61	61	42	65	61	61	61	61	42	27	70	61	70	61	77	42	74	70	77	61	67	67	88	27	86	61	1	1	1	2	1	2	1	1	2	3	1	3	1	1	2	2	1	2	1	2	1	2	2	2	1	1	5	1	2	1	1	2	1	1	1	1	2	1	3	2	1	1	2	1	2	2	2	2	2	1	1	2	1	2	3	1	1	2	1	3	1	4	1	1	2	1	4	2	3	1	4	3	4	7	4	8	1	5	2	7	1	5	3	2	2	8	4	2	2	9	3	10
2000	-1098.113027163999504	-1095.600044946655089	-2.512982217344482	0.000010085191170	0.000038323311065	3.799958812764463	0.468260251166560	-1	2	0	3	4	3	6	4	6	5	4	6	7	6	7	7	11	7	8	10	8	8	11	8	7	10	10	7	11	10	9	10	9	10	10	8	10	11	11	13	13	11	12	11	13	12	11	14	14	14	13	13	14	16	11	14	15	14	14	15	12	15	12	14	16	17	20	18	19	18	20	17	20	19	17	22	19	19	21	20	20	21	23	21	22	21	23	23	24	26	24	25	0	1	1	1	2	3	4	3	6	3	3	6	7	8	10	6	28	6	25	6	7	14	36	15	7	16	16	11	28	28	18	18	19	36	36	15	12	24	25	25	26	27	31	32	34	34	37	31	35	37	37	38	38	64	25	40	43	44	46	42	23	37	25	39	55	55	72	61	60	65	61	61	61	61	60	42	70	61	70	61	77	69	74	70	79	61	67	80	88	60	74	61	1	1	1	2	1	1	2	2	2	3	1	2	1	1	1	2	2	2	1	3	1	1	2	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	2	3	1	1	2	1	2	1	1	2	2	2	2	1	2	1	2	1	2	2	1	3	1	2	2	1	4	3	2	3	2	1	4	3	4	5	2	8	1	3	2	7	1	1	2	1	1	5	2	2	1	7	2	10
2500	-1005.402749773223377	-1003.156139841726372	-2.246609931497060	0.000010338499201	0.000031097338042	3.007916085016274	0.588763809206685	0	1	2	2	4	3	4	4	6	5	6	7	6	6	7	8	10	8	9	10	9	9	11	8	8	10	10	8	10	11	10	11	10	11	10	8	10	12	10	12	13	12	11	12	12	12	11	13	14	12	13	14	14	16	11	14	14	14	13	17	12	15	14	14	16	16	18	17	20	17	19	17	20	20	18	21	19	20	20	20	20	22	24	22	22	21	23	23	25	26	24	25	0	1	1	1	2	3	4	3	6	3	6	3	7	8	10	9	28	11	25	12	13	14	36	15	13	9	9	11	28	17	18	18	19	36	36	15	12	24	25	25	26	27	31	32	23	34	12	31	35	37	37	38	38	64	25	55	43	44	46	42	23	51	40	40	55	40	72	61	60	65	67	61	61	68	60	42	70	72	70	61	77	69	74	70	79	68	78	80	80	76	74	71	1	1	1	1	2	1	1	1	2	2	1	3	2	2	2	1	1	1	1	1	2	2	2	1	1	1	2	1	2	1	1	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	2	2	1	3	1	1	1	1	3	2	1	3	1	1	1	3	4	3	1	9	1	1	2	7	1	1	2	2	1	4	1	1	3	3	2	4
3000	-962.604570467748431	-959.952017265714403	-2.652553202033972	0.000010742136503	0.000045641174292	4.248798577257812	0.660208599313192	-1	2	0	4	4	3	3	5	6	5	5	8	7	6	7	9	10	8	9	10	9	8	11	9	8	10	11	8	11	10	10	10	10	11	10	9	12	11	12	12	12	12	12	12	13	12	11	13	12	14	13	13	14	16	13	13	14	15	13	17	13	15	14	15	15	17	18	15	19	18	20	18	20	19	19	22	19	19	19	19	20	21	24	22	20	21	22	21	24	26	24	24	0	1	1	1	2	3	1	6	6	6	6	9	7	8	10	6	28	3	25	12	13	14	36	15	13	9	16	11	17	28	18	18	19	36	36	15	12	24	25	25	26	27	31	32	34	34	12	31	35	37	37	38	38	64	25	25	43	44	46	42	49	51	40	56	55	55	61	61	60	65	67	61	61	68	60	42	70	67	70	61	77	69	74	79	79	68	78	80	80	76	86	87	1	2	1	3	1	1	2	1	1	1	2	1	3	1	1	2	1	5	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	2	2	1	1	1	2	1	2	2	1	2	1	2	1	2	1	1	1	2	3	1	1	1	2	2	5	3	1	7	1	1	1	5	1	1	3	1	1	4	3	1	2	2	2	1
3500	-913.257983386721548	-910.672786884805760	-2.585196501915834	0.000011089040895	0.000044679248514	4.029135516527711	0.686655740298177	-1	3	1	2	4	4	4	3	6	5	5	7	6	6	7	7	9	7	9	9	7	8	10	9	7	10	11	8	11	10	10	10	10	11	10	8	11	12	11	12	14	13	12	12	14	12	10	13	13	13	13	13	14	16	13	14	14	14	14	15	14	15	14	14	15	17	17	17	17	17	18	18	19	20	18	22	18	19	20	20	19	21	24	21	23	22	22	22	25	26	24	25	0	1	1	1	2	3	4	3	3	6	6	3	7	8	10	9	28	11	25	12	13	14	36	15	7	16	16	11	17	28	18	18	19	36	36	15	9	24	25	25	26	27	31	32	34	34	12	31	35	37	37	38	38	64	25	40	43	44	46	42	49	37	55	40	55	40	61	61	60	65	67	61	61	68	69	69	70	67	70	67	77	69	86	79	79	68	78	80	80	82	86	87	1	3	1	2	1	2	1	1	2	1	1	3	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	1	2	1	1	2	2	2	2	2	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	3	2	1	4	1	1	1	1	1	2	1	1	2	3	1	1	2	2	1	2
4000	-867.740847845484268	-865.537026407295457	-2.203821438188815	0.000012166234917	0.000035136132599	2.888003794135597	0.693406813247493	0	2	2	3	4	4	6	5	4	6	5	7	7	7	7	8	10	8	9	10	8	8	10	9	8	10	11	9	10	11	10	10	10	10	10	9	11	12	12	12	13	12	13	12	13	12	12	12	14	13	13	14	13	15	12	14	14	15	15	16	15	16	15	14	16	17	16	17	17	17	19	18	20	18	18	21	19	20	19	18	20	21	25	22	22	22	23	21	23	25	24	25	0	1	1	1	2	3	4	3	3	6	3	3	7	8	10	11	28	11	25	12	13	14	36	15	13	16	16	11	28	28	18	18	19	36	36	15	12	24	25	25	26	27	31	32	34	34	12	31	35	37	37	38	38	64	25	55	43	44	46	42	49	51	55	55	63	56	61	61	60	65	67	67	71	68	69	69	70	71	70	67	77	69	86	79	79	74	78	80	88	82	86	87	1	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	1	2	2	1	2	1	1	2	1	1	2	2	2	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	2	4	1	2	1	3	1	2
4500	-849.211142078146054	-846.958674286168275	-2.252467791977790	0.000014817518004	0.000044815315841	3.024481956405766	0.706595970726695	0	2	1	3	4	4	4	4	6	5	6	7	5	6	7	8	10	8	8	9	6	8	10	8	7	10	11	8	11	11	10	10	9	11	10	8	9	12	11	12	13	13	12	13	14	13	11	12	14	14	14	14	14	16	12	13	14	15	15	17	15	15	15	13	16	16	17	17	18	17	19	18	19	19	19	21	19	20	20	21	20	20	24	22	23	22	22	22	24	26	24	25	0	1	1	1	2	3	4	3	6	3	6	6	7	8	10	9	28	12	25	6	7	14	36	15	13	16	16	6	28	17	18	18	19	23	36	15	12	24	25	25	26	27	31	32	34	34	37	31	35	37	37	38	38	64	25	25	43	44	46	42	49	51	40	40	56	56	61	61	60	65	67	67	67	68	69	69	70	71	70	71	77	69	86	79	79	74	78	80	80	82	86	87	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	1	1	2	2	1	1	1	2	3	2	1	2	2	2	3	1	2	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	3	1	1	2	4	1	2
