step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-1917.153652464276774	-1924.009140415236061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.333203293383918	0	1	5	3	4	5	6	4	5	5	6	6	6	8	8	8	9	9	9	9	11	11	11	12	13	12	12	12	13	13	14	13	15	16	14	14	17	16	17	18	17	16	17	18	18	17	19	18	19	19	18	19	19	21	19	20	21	20	21	20	21	21	21	22	22	22	23	23	24	26	24	28	26	26	25	27	26	27	27	29	29	30	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	2	3	3	3	3	3	4	4	4	5	5	5	5	6	6	6	6	7	6	6	6	7	7	7	7	8	8	7	7	9	8	9	9	9	8	9	9	9	9	10	9	10	10	9	10	10	11	10	10	11	10	11	10	11	11	11	11	11	11	12	12	12	13	12	14	13	13	13	14	13	14	14	15	15	15	16
500	-805.780413019161983	-812.635900970121384	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.236458701272508	0	1	5	3	4	4	6	4	5	6	7	7	6	9	8	8	6	10	8	7	11	11	11	11	12	12	10	12	13	13	14	13	16	15	14	13	14	15	17	15	17	17	16	18	17	17	20	19	19	16	18	19	19	22	19	21	20	21	21	20	22	21	22	22	23	23	23	23	24	26	25	28	27	25	25	27	27	28	28	30	30	31	31	0	1	6	2	1	2	4	1	5	8	9	8	9	20	7	11	8	5	9	9	4	8	27	11	21	17	19	19	14	21	15	27	25	24	20	25	21	36	29	28	36	36	36	43	35	21	36	36	34	40	38	31	4	31	37	50	40	7	41	42	51	55	37	50	38	21	0	40	7	50	18	40	57	50	40	40	50	50	35	50	24	50	50	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	1	4	1	1	5	3	1	2	1	2	1	2	2	2	3	2	2	2	3	1	2	2	2	2	2	1	2	1	1	3	2	3	2	1	2	2	8	5	4	3	4	8	2	2	2	1	4	4	6	6	1	4	8	7	8	12	6	4	5	7	5	9	12	6	15	10	11
1000	-643.827764624321276	-650.683252575280676	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.441282720705882	0	2	4	3	2	6	5	4	6	5	6	6	7	8	7	8	9	8	9	9	11	11	11	11	12	12	12	11	12	13	14	14	15	16	15	11	18	15	17	15	17	16	17	18	19	16	19	18	19	18	18	18	19	21	20	20	21	20	21	20	22	21	22	23	22	23	24	24	24	26	25	28	26	26	25	28	26	27	27	30	28	30	31	0	1	2	1	1	3	4	2	5	4	5	8	11	13	7	11	10	13	13	11	15	10	13	14	21	10	18	20	28	25	21	20	30	24	9	15	46	36	34	9	38	36	38	42	32	31	51	42	34	35	41	46	15	46	37	40	50	48	42	51	51	53	54	57	58	53	0	57	26	68	34	11	68	68	35	68	40	40	40	64	40	40	64	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	2	2	2	2	1	1	3	1	1	1	1	2	3	2	3	3	3	1	1	1	2	1	2	1	1	3	1	1	2	3	2	1	2	5	2	1	2	1	1	3	1	2	1	1	1	1	2	1	2	5	1	4	12	1	1	5	2	5	9	5	3	7	11	4
1500	-580.025271203859688	-586.880759154819089	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.535257457058693	0	2	4	2	3	6	6	4	5	6	6	7	7	7	8	9	10	10	9	10	9	12	11	12	13	10	12	13	12	14	14	14	16	16	14	14	17	15	17	17	16	17	17	18	17	18	20	17	17	19	19	20	19	21	20	20	20	20	21	21	21	21	22	23	22	22	24	24	25	25	23	28	26	27	25	27	27	27	26	29	30	31	32	0	1	2	1	4	3	4	4	5	8	9	8	9	9	7	11	12	19	9	14	7	12	13	14	15	10	18	14	19	25	25	23	30	28	29	25	31	36	20	24	36	30	38	36	27	37	36	25	34	40	42	37	37	53	53	50	50	42	43	51	41	52	37	57	58	54	0	64	29	50	50	40	71	68	57	68	64	28	64	71	77	68	76	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	4	2	2	2	3	2	1	1	1	1	2	1	1	2	1	2	2	1	2	1	2	2	1	2	2	1	1	1	1	1	2	1	1	1	2	2	1	3	1	2	1	1	1	1	1	7	3	2	6	2	2	3	2	3	9	1	4	1	4	3
2000	-495.976465076887337	-502.831953027846737	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656637773982452	0	2	5	3	4	4	6	4	5	6	7	7	6	8	7	9	8	9	9	10	11	10	12	10	11	11	11	12	12	14	14	13	15	16	14	14	16	16	17	16	17	16	17	18	17	17	19	19	19	18	19	19	19	21	20	20	21	20	21	21	21	21	19	22	22	22	23	23	24	26	25	29	27	26	25	27	26	27	27	28	29	30	29	0	1	6	1	2	4	2	1	5	4	9	1	9	13	7	11	10	9	13	14	15	10	27	14	15	8	18	18	20	25	21	27	25	19	20	25	31	36	34	20	38	36	36	38	34	37	38	42	34	40	44	46	46	46	53	50	50	51	38	51	51	52	46	57	58	63	0	64	26	64	64	68	70	75	68	68	75	40	75	68	77	80	64	1	1	1	2	1	1	2	2	1	2	1	3	1	1	1	1	1	2	2	1	2	2	1	1	2	3	2	1	2	2	2	1	2	4	1	1	1	1	1	3	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	7	2	2	4	1	1	1	3	1	7	1	3	2	1	3
2500	-483.598063763774462	-490.453551714733862	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.678219594021784	0	2	4	3	3	6	6	3	6	5	7	6	7	9	8	9	9	8	10	9	11	10	11	12	12	12	12	12	14	13	14	14	15	16	15	14	15	16	18	17	18	16	18	18	17	17	20	18	20	19	18	19	19	21	19	21	21	20	22	21	22	21	21	22	22	22	23	23	24	25	24	29	25	26	25	28	27	27	27	29	30	31	32	0	1	1	1	1	3	4	2	5	8	9	8	9	13	7	11	8	9	9	18	15	10	13	20	15	17	23	14	20	25	21	23	30	23	13	25	21	36	34	35	42	36	42	36	32	37	36	38	34	40	38	46	46	46	46	50	50	51	42	51	47	52	53	57	41	63	0	64	26	68	68	75	68	75	68	70	75	73	71	75	77	80	76	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	3	2	2	1	2	3	3	2	2	2	1	2	2	1	2	1	1	1	4	2	1	2	1	1	1	1	1	2	2	1	2	1	2	1	1	1	2	2	1	1	1	1	3	2	1	1	1	1	2	1	1	1	3	2	1	2	2	1	2	2	1	1	2	2	2	1	2
3000	-479.971570866648790	-486.827058817608190	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649290924226987	-1	1	2	3	4	6	6	4	5	6	6	6	7	8	8	9	9	10	8	10	12	12	10	13	11	9	12	10	12	12	15	13	15	16	13	14	16	16	16	17	17	16	17	17	18	18	19	18	19	20	18	19	20	20	20	21	20	19	21	21	20	21	21	22	22	22	23	22	25	26	23	27	25	26	25	27	26	28	28	29	29	29	31	0	1	1	2	4	3	8	4	5	8	5	8	9	13	7	11	10	5	9	14	15	7	19	13	7	12	23	14	14	25	21	23	21	24	18	25	31	36	28	20	36	36	38	36	32	37	38	36	18	40	41	46	46	37	46	40	40	51	43	47	51	52	46	57	58	63	0	57	67	68	68	68	68	75	57	75	75	75	71	70	77	72	80	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	2	3	2	1	2	3	1	3	2	2	2	1	1	1	2	1	1	1	2	2	1	1	3	3	2	1	1	1	3	1	2	2	4	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	3	1	1	2	2	2	2	1	2
3500	-447.569531786060907	-454.425019737020307	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.730995532765508	0	2	4	2	4	5	6	4	5	6	7	6	7	8	8	8	9	10	9	10	11	10	12	12	11	11	11	12	13	13	14	14	15	15	15	15	17	17	16	18	17	17	17	18	17	18	18	19	18	19	18	20	20	22	19	20	21	20	21	20	20	21	22	22	22	23	22	23	25	25	24	27	27	27	26	28	27	27	28	29	30	31	31	0	1	4	1	4	3	4	4	5	8	9	8	9	9	7	11	10	19	9	14	15	8	27	14	15	10	18	14	18	25	15	23	25	14	24	30	31	36	28	24	36	36	36	38	27	37	36	33	28	40	43	55	46	53	31	50	50	43	36	51	41	52	53	40	58	63	0	57	67	68	64	68	75	75	68	72	70	64	71	79	77	72	80	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	3	1	3	1	2	1	2	1	1	2	1	3	3	2	1	2	1	2	2	1	1	2	1	2	1	2	2	3	1	1	1	1	1	3	1	1	1	2	1	2	1	1	3	2	1	1	1	2	1	2	2	1	1	2	1	1	2	2	1	2	2	1
4000	-451.221603853352065	-458.077091804311465	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702279815287206	0	1	4	3	4	6	6	4	5	6	7	6	6	7	8	8	10	10	9	9	11	9	11	12	13	12	13	13	14	14	13	14	15	15	14	14	17	17	16	18	15	16	15	18	18	17	19	18	17	19	18	19	19	21	19	20	21	20	21	20	20	22	22	22	22	21	21	23	25	25	24	27	26	27	25	27	26	27	28	29	30	30	30	0	1	4	2	1	3	2	2	5	8	9	4	9	9	7	11	10	9	9	13	7	10	19	20	7	17	23	14	24	25	21	23	21	28	24	25	21	33	34	34	36	36	36	42	27	21	36	25	34	40	41	46	37	46	46	40	50	51	43	51	38	54	53	57	58	46	0	64	67	68	64	68	75	68	68	70	75	73	71	57	77	79	72	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	2	2	2	1	1	2	3	2	1	3	1	1	1	2	2	1	1	1	3	1	1	2	1	2	1	2	3	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	2	1	2	2	1	1	1	2	3	2	1	2
4500	-452.732155010874749	-459.587642961834149	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.691510357091088	-1	0	5	4	4	5	6	3	5	5	6	6	6	8	9	9	10	9	10	9	11	10	11	13	13	11	13	13	14	14	14	14	14	17	14	15	17	16	18	19	17	17	17	19	18	17	18	18	19	18	19	19	19	22	20	20	21	20	20	20	22	22	21	22	22	22	22	23	25	26	24	28	25	27	25	27	26	27	27	30	29	30	32	0	1	8	8	2	8	4	1	5	8	9	8	9	9	7	11	10	9	13	14	15	8	18	20	15	7	18	20	18	25	15	23	25	29	28	30	31	36	34	35	36	36	36	47	29	31	38	36	34	29	41	37	46	53	46	50	50	47	43	47	51	46	31	50	58	63	0	64	67	68	64	68	64	75	68	70	75	73	71	72	77	72	80	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	3	2	1	1	3	1	2	2	3	3	2	2	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	2	3	3	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	3	2	2	1	1
