step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-9369.979020917735397	-9376.834508868694684	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.466371857091605	0	2	1	3	4	4	4	5	7	7	6	8	7	7	8	8	7	8	9	9	8	10	10	10	10	10	11	12	11	11	12	13	11	13	11	12	14	13	13	12	14	14	15	15	15	14	17	16	19	16	18	17	18	19	18	17	19	20	20	21	20	21	23	21	20	21	20	21	22	23	22	22	23	21	22	22	23	26	23	25	25	26	26	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	3	4	4	4	4	4	4	4	5	5	4	5	5	5	5	5	6	6	6	6	6	7	6	7	6	6	7	7	7	6	7	7	8	8	8	7	9	8	10	8	9	9	9	10	9	9	10	10	10	11	10	11	12	11	10	11	10	11	11	12	11	11	12	11	11	11	12	13	12	13	13	13	13	14	16
500	-627.551370311122241	-634.406858262081641	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.312002112880173	0	2	1	3	4	3	5	4	7	7	6	8	8	6	8	7	7	9	9	9	8	11	10	11	9	9	11	12	11	11	13	14	11	13	10	13	14	14	13	12	14	12	15	14	15	14	17	15	19	16	18	16	19	19	17	16	20	20	20	20	17	21	23	22	20	22	19	20	23	23	23	22	23	21	22	23	22	27	23	24	26	27	26	28	32	0	1	0	3	3	3	4	1	6	6	7	11	9	2	6	3	11	11	12	7	4	9	5	11	7	11	19	35	17	17	13	35	17	17	20	7	10	33	26	23	7	18	36	23	36	18	46	39	38	11	36	18	44	50	38	20	45	56	18	45	41	54	41	74	36	36	20	39	54	52	51	59	62	55	53	62	50	62	62	39	75	83	69	73	0	1	1	1	1	2	1	1	3	2	2	1	1	1	2	4	3	1	2	1	2	3	3	3	2	2	2	1	1	2	2	2	2	1	2	1	5	4	2	2	1	5	1	1	2	1	3	2	1	3	5	2	4	2	1	2	4	3	2	8	2	1	1	5	1	3	4	5	3	3	5	3	1	1	1	2	1	3	3	2	8	3	1	2	4	1
1000	-462.496738104349731	-469.352226055309131	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568688871563074	0	2	1	2	4	3	5	5	6	8	6	7	8	7	8	9	6	7	9	10	8	10	10	9	10	10	12	12	11	11	12	13	12	13	11	11	13	14	14	11	15	14	15	15	14	14	17	15	20	17	18	18	19	19	17	17	18	18	19	21	18	20	23	21	20	20	20	21	22	23	21	21	23	22	22	22	24	25	23	25	25	27	27	27	32	0	1	0	3	3	3	4	6	5	5	7	17	9	6	9	12	4	7	12	18	11	9	10	18	11	4	26	12	21	18	13	36	12	30	19	21	36	23	18	23	36	21	33	23	20	17	34	42	58	41	29	47	51	51	42	41	42	33	39	45	48	53	43	61	53	61	41	57	62	59	52	62	52	62	62	72	71	62	76	72	65	78	78	73	0	1	1	1	1	1	1	2	1	1	2	1	1	1	3	2	1	2	1	1	2	1	2	1	1	1	6	1	2	2	2	2	1	3	1	1	1	1	2	4	1	3	2	1	3	2	5	2	1	1	1	4	1	1	1	2	1	3	2	2	2	2	1	3	2	1	1	2	1	1	2	2	1	2	1	1	1	2	2	1	2	2	1	1	2	1
1500	-428.010392893478638	-434.865880844438038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779715119192356	-1	3	0	3	4	5	4	5	6	7	6	8	7	6	8	8	7	9	9	9	9	10	11	10	11	11	11	12	11	11	11	12	10	11	11	12	14	14	13	12	15	14	15	13	15	15	17	16	19	17	18	17	18	19	18	17	20	19	18	20	21	20	23	21	21	22	21	21	22	23	22	22	23	20	20	21	24	26	22	25	25	26	26	29	32	0	1	0	3	3	3	4	4	5	3	7	11	9	5	9	17	7	7	12	11	17	13	10	17	18	16	19	8	16	21	14	18	21	21	19	20	23	28	25	23	33	26	36	23	39	21	43	42	52	43	45	48	31	48	39	41	52	56	50	51	54	54	49	55	62	62	58	74	54	66	75	62	62	47	54	62	67	69	76	73	75	62	76	80	0	1	2	1	2	2	2	1	1	1	3	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	2	2	2	1	3	2	1	1	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	4	3	1	1
2000	-486.383819162613293	-493.239307113572693	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585637904967875	1	2	0	3	3	4	5	5	7	7	6	7	6	7	8	8	8	8	10	9	7	10	10	10	11	10	12	12	10	12	12	14	11	12	12	12	13	13	14	12	14	15	14	15	15	14	15	16	18	16	16	18	18	19	18	17	18	20	21	21	20	22	24	21	21	22	20	21	23	24	22	20	23	21	23	22	23	26	23	26	26	25	27	27	31	0	1	0	3	3	3	4	4	6	13	7	8	6	13	13	7	11	11	12	12	11	13	10	17	21	11	19	19	17	25	22	33	18	26	26	18	25	36	36	23	33	38	33	23	25	30	28	39	45	43	45	30	39	53	51	46	34	47	43	32	55	49	52	52	49	19	53	53	74	50	60	54	76	67	65	54	58	82	74	74	75	69	78	80	0	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	3	2	1	1	2	4	2	3	4	1	2	3	1	2	6	1	2	1	4	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1
2500	-467.297559465543713	-474.153047416503114	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635720388932023	0	2	2	3	4	3	5	5	7	6	7	7	8	7	8	8	6	9	9	10	7	10	11	10	10	11	12	12	12	11	12	12	12	13	11	12	14	14	14	12	14	14	16	16	15	14	17	16	19	15	18	18	16	18	17	17	20	19	18	19	19	20	22	21	20	21	19	20	21	23	21	22	24	20	22	22	23	26	23	22	26	24	26	27	33	0	1	0	3	3	3	4	6	8	5	17	4	6	6	9	14	7	17	17	17	7	9	12	17	21	10	19	35	24	11	13	11	4	30	19	25	24	20	36	23	32	11	50	23	18	33	44	39	55	32	53	42	29	38	42	46	52	29	43	48	52	54	59	55	49	48	56	54	55	59	58	45	80	23	66	62	67	82	69	69	69	76	69	80	0	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	2	2	2	1	1	3	1	2	3	2	1	1	1	2	2	5	1	1	1	2	3	1	1	1	3	1	2	3	1	1	1	1	2	1	2	2	2	2	2	1	2	1	1	1	1	2	2	1	2	1	1	3	2	1	2	1	4	1	1	3	1	1	1	4	1	3	2	1
3000	-489.011689917633078	-495.867177868592478	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.575905097451037	-1	2	1	3	5	3	5	5	6	7	7	8	8	8	9	8	7	9	9	9	8	10	11	11	10	11	11	12	12	11	12	13	12	12	11	12	14	13	12	12	14	14	14	15	15	15	17	15	19	16	18	17	18	20	17	16	20	18	20	22	20	22	23	21	20	18	20	22	23	23	22	21	24	22	22	22	23	27	22	25	26	26	27	28	31	0	1	0	3	3	3	4	4	6	3	7	4	6	9	13	9	7	17	12	11	7	15	5	20	7	16	19	19	26	21	22	40	17	30	19	21	32	29	11	23	16	26	33	23	39	26	36	39	55	43	8	43	48	66	39	33	39	56	50	57	53	72	66	48	52	15	66	65	62	43	15	51	79	37	65	53	58	69	7	73	75	62	79	80	0	1	1	1	1	2	1	1	1	2	2	1	2	3	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2	1	1	7	2	1	1	3	2	4	1	3	2	1	1	3	3	2	4	1	1	1	4	6	2	1	3	1	2	2	2	7	1	2	2	2	1	1
3500	-461.066866958629817	-467.922354909589217	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700370840816614	0	3	1	3	4	3	5	5	6	7	6	8	8	7	8	9	6	9	9	9	8	11	10	11	8	11	11	11	12	10	12	13	9	13	12	13	14	13	13	13	13	15	15	15	15	15	15	17	20	16	18	17	17	19	18	17	18	20	19	21	20	21	23	21	20	20	18	21	23	22	21	22	24	20	23	22	23	27	24	25	24	25	27	28	32	0	3	0	3	3	3	4	3	6	5	7	17	9	8	9	10	7	25	12	25	11	8	10	25	11	25	19	19	18	20	22	19	7	24	28	18	28	25	26	2	11	29	36	23	18	26	32	47	42	37	47	47	43	42	46	46	45	46	43	51	57	74	57	55	53	46	46	48	62	59	54	49	71	48	74	65	58	82	62	76	75	69	74	73	0	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	4	3	1	1	3	2	3	2	1	3	1	1	1	1	2	1	1	1	2	2	1	1	1	3	2	3	2	1	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	1
4000	-607.370887908273517	-614.226375859232917	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610587631785045	1	3	0	2	5	3	4	6	6	7	5	8	7	8	9	7	7	8	8	9	8	10	8	10	10	10	11	11	11	12	12	12	11	14	11	12	13	13	13	12	13	14	16	14	16	14	18	16	20	16	18	16	18	19	18	17	19	21	20	22	20	20	24	21	20	20	21	21	23	22	22	22	22	20	22	21	21	26	22	26	26	25	27	28	31	0	1	0	3	6	3	4	2	6	3	7	11	5	13	13	1	6	11	4	17	4	13	16	7	17	17	19	8	20	20	22	33	17	41	6	33	28	28	30	23	30	24	37	23	32	26	32	39	51	29	48	41	56	45	45	32	52	56	52	51	55	54	57	55	32	51	56	50	65	59	54	76	54	56	62	62	49	82	62	73	75	69	82	73	0	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	4	1	2	2	1	3	2	1	2	2	1	2	4	1	2	1	1	2	1	2	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	1	1	1	2	1	3	1	2	2	2	1	1	4	2	5	1	3	2	1	1	2	1	1	2	1	1	1	1	2	2	2	1	1	2	1
4500	-483.849642042795779	-490.705129993755179	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.669595187008224	0	2	2	4	5	4	5	5	6	6	7	7	7	7	8	6	7	8	9	8	9	10	11	10	9	9	12	11	12	11	12	13	10	13	12	12	14	13	13	13	13	14	16	16	15	14	17	16	19	16	18	16	17	20	18	17	17	19	21	19	19	21	22	21	20	21	17	21	22	23	21	19	23	21	23	23	23	26	23	25	25	27	27	28	32	0	1	0	3	3	3	4	3	5	6	7	4	9	8	10	4	7	11	16	12	17	9	10	26	7	17	19	19	21	20	13	36	20	30	19	21	36	23	33	22	36	20	37	23	11	36	34	45	43	27	48	6	48	53	38	36	45	56	43	57	57	57	50	55	55	58	30	61	49	43	45	55	62	53	71	72	67	69	62	54	75	76	69	54	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	2	1	2	1	2	2	1	1	1	1	1	2	1	1	2	2	1	2	1	2	2	1	2	1	2	3	1	5	1	2	2	2	1	1	3	1	1	2	2	2	1	1	2	1	2	3	4	1	1	2	1	2	3	2	1	3	1	2	2	4	1
