step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
1	-2404.695633609378092	-2403.233551524859195	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.602584445181328	1	2	5	6	6	8	8	9	10	13	19	21	24	25	27	28	29	31	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	5	6	9	10	12	12	13	14	14	15	16
500	-1067.745025200825694	-1062.678160928801844	-5.066864272023802	0.000010043835665	0.000172017707709	17.126694765150894	0.305249575765818	1	2	4	6	7	8	9	9	11	13	16	21	21	25	27	28	30	31	34	0	1	2	3	3	4	4	5	8	8	6	11	11	11	11	11	11	13	13	1	1	1	1	1	1	2	1	1	2	5	3	3	9	5	9	9	8	9
1000	-418.358378564362965	-415.782553951846467	-2.575824612516481	0.000010073011552	0.000040282248605	3.999027341361939	0.427098978106875	0	2	4	6	6	8	9	9	11	14	20	21	23	25	27	28	29	32	33	0	1	1	3	3	4	4	5	8	8	1	11	11	13	14	13	15	13	16	1	1	2	1	2	1	2	2	1	2	10	1	2	2	1	2	1	4	2
1500	-421.968884299159640	-419.239305180185852	-2.729579118973787	0.000010117809934	0.000045602794785	4.507180415668655	0.537096465404337	0	2	5	6	7	9	9	7	10	13	18	21	23	25	28	29	29	31	33	0	1	1	3	3	4	4	3	8	8	1	11	11	13	13	14	15	16	18	1	1	2	1	1	2	1	2	2	3	9	1	2	1	2	2	1	1	1
2000	-441.792131095009324	-438.356684971873278	-3.435446123136023	0.000010195042031	0.000074114284569	7.269639923160524	0.615769733064893	1	3	4	6	6	8	9	9	11	13	19	21	24	26	27	29	29	31	34	0	1	1	3	3	4	4	5	8	9	9	11	11	13	13	14	15	16	18	1	1	1	1	1	1	2	2	2	1	4	1	4	1	2	2	1	1	1
2500	-484.667711512117137	-480.255571525654830	-4.412139986462315	0.000010227184176	0.000127802157148	12.496319117974187	0.498911499558432	0	2	4	5	6	8	8	9	10	13	17	21	23	24	27	27	28	30	33	0	1	1	3	3	4	4	5	5	9	10	11	12	13	13	14	15	13	18	1	1	1	1	1	2	1	2	2	2	2	2	1	1	2	2	1	4	2
3000	-455.806871951201288	-451.633443708598577	-4.173428242602707	0.000010355392107	0.000114399115387	11.047299243472203	0.637096653383995	2	3	4	5	6	8	8	8	9	13	19	21	23	26	25	28	27	31	33	0	1	1	3	3	4	4	5	3	9	8	11	11	15	13	13	15	16	18	1	1	1	1	1	1	2	2	3	2	4	1	1	1	1	2	1	2	1
3500	-481.842395964110324	-478.540049174897320	-3.302346789213012	0.000010639906080	0.000071185357076	6.690412165263228	0.675283304746656	0	1	4	5	6	8	8	8	11	13	19	21	24	26	27	28	29	31	34	0	1	2	3	3	4	4	5	8	9	10	11	11	13	14	13	15	16	18	1	1	2	1	1	1	2	1	2	1	3	1	3	2	1	2	1	1	1
4000	-473.096254615456530	-469.410819120554095	-3.685435494902431	0.000011500681473	0.000097043440781	8.438060041316851	0.509846317972882	0	1	4	5	6	9	9	8	10	11	18	21	24	26	26	28	30	31	33	0	1	1	3	3	4	4	5	8	8	6	11	11	13	13	13	15	13	16	1	1	2	1	1	2	2	1	1	1	2	1	2	1	1	3	2	3	2
4500	-395.846668986823545	-392.686093427198102	-3.160575559625423	0.000012531989948	0.000076502529796	6.104579568802023	0.663518499608886	1	2	4	6	6	8	8	9	11	12	20	22	24	25	27	29	29	31	34	0	1	2	3	3	4	4	5	8	9	2	11	11	13	14	14	15	16	18	1	1	1	1	1	1	1	2	1	1	8	1	2	1	2	2	1	1	1
5000	-410.048215171846550	-406.314400829485635	-3.733814342360932	0.000014597990294	0.000126664037526	8.676813381502891	0.681107834399420	1	2	4	6	6	8	8	8	9	14	20	21	23	25	27	29	29	31	33	0	1	2	2	3	4	4	5	8	8	10	11	11	13	14	14	15	16	18	1	1	1	2	1	1	2	1	1	2	4	1	2	1	1	2	1	1	2
5500	-355.271520076888578	-352.863358666962768	-2.408161409925784	0.000021573064062	0.000075043087847	3.478554906748885	0.622706599400991	0	2	4	6	7	7	8	10	11	14	19	20	22	24	26	29	28	31	33	0	1	2	3	3	4	4	5	5	9	5	11	11	13	14	14	15	16	18	1	1	1	1	2	1	1	2	2	2	6	1	2	1	1	2	1	1	1
6000	-318.514118236247384	-316.650108745162015	-1.864009491085358	0.000045181343597	0.000090210850857	1.996639401917291	0.627676663347558	1	3	5	6	6	9	7	9	10	12	19	22	23	25	27	28	28	31	33	0	1	2	3	3	4	4	5	5	8	10	11	11	13	14	13	14	16	17	1	1	1	1	1	1	1	1	2	2	5	1	2	1	1	3	3	1	2
