step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
1	-1953.560688206136774	-1960.416176157096061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551568965956527	-1	11	15	13	15	16	18	18	17	18	20	19	20	22	22	24	25	25	24	26	30	35	44	51	52	55	56	56	58	60	63	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	8	7	8	9	10	10	9	10	11	10	11	12	12	13	13	13	13	14	16	18	23	26	27	28	29	29	30	31	32
500	-359.900597013085530	-366.756084964044931	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.166497517914855	0	11	16	13	15	17	18	18	16	18	20	20	21	22	23	25	26	22	24	25	28	35	45	50	52	56	57	56	58	61	64	0	1	5	0	2	2	2	5	4	2	2	9	9	11	9	12	2	2	18	0	2	18	18	18	18	21	2	21	18	18	18	1	5	1	1	2	3	4	1	2	3	5	2	3	1	5	3	8	4	2	1	11	8	13	13	20	14	26	21	22	21	24
1000	-299.400250744462085	-306.255738695421485	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.141125577764759	-1	11	16	12	15	16	18	19	17	18	20	20	20	23	22	24	26	26	23	26	30	34	45	51	52	56	57	57	57	58	63	0	1	5	0	2	2	2	3	4	2	2	9	9	11	9	13	10	8	2	0	2	19	19	22	19	22	2	22	19	19	19	1	7	1	1	2	3	4	1	3	3	4	2	2	1	2	1	4	3	6	1	9	5	11	10	13	10	25	13	18	15	22
1500	-292.492000463116483	-299.347488414075883	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.201831058518387	-1	11	15	14	16	17	18	17	17	17	20	19	21	23	23	21	25	25	24	27	31	36	44	50	53	56	55	56	59	61	63	0	1	2	0	3	2	10	3	4	2	6	9	4	11	12	9	11	19	8	0	2	21	21	23	21	23	2	21	21	21	21	1	7	2	1	1	3	1	1	2	3	2	1	5	2	1	2	3	1	3	1	12	2	6	3	12	6	22	12	17	12	17
2000	-295.880394914297028	-302.735882865256428	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.228641900870112	0	12	14	13	16	16	18	17	17	18	19	19	21	23	21	25	24	25	24	26	30	35	45	50	51	54	56	54	58	60	63	0	1	2	0	3	2	2	3	4	2	6	9	9	11	9	15	2	19	8	0	2	21	22	23	21	23	19	19	19	23	23	1	7	1	1	1	2	3	1	2	3	2	1	3	2	3	2	5	1	4	1	9	2	4	3	10	6	20	11	19	8	10
2500	-282.952466094532213	-289.807954045491613	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.227429723357575	-1	12	15	13	15	16	18	18	15	19	18	19	21	21	23	23	26	25	23	26	30	34	44	51	53	55	57	56	58	61	63	0	1	2	0	2	2	6	3	4	2	6	9	9	11	12	13	10	8	8	0	18	18	19	22	22	24	22	23	19	23	25	1	5	1	1	2	2	2	2	1	4	1	2	3	2	2	2	3	3	2	1	2	6	10	7	8	2	15	8	18	10	6
3000	-262.816488192528141	-269.671976143487541	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.235782816467714	0	12	16	13	15	16	18	19	15	18	20	20	21	22	23	24	25	25	23	26	30	32	43	50	53	55	57	56	57	59	63	0	1	2	0	2	2	2	5	4	2	6	9	12	11	9	13	7	19	8	0	18	19	22	22	23	25	22	24	22	23	23	1	6	2	1	2	2	5	2	1	4	3	2	1	1	3	1	4	1	2	1	3	5	5	8	7	1	13	3	14	7	10
3500	-252.334392786712357	-259.189880737671729	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.278140715536539	-2	12	15	13	16	15	17	19	17	17	20	20	20	22	22	24	26	26	24	25	31	36	44	51	52	55	57	53	57	60	63	0	1	2	0	3	2	2	3	4	2	6	9	4	11	12	13	11	19	8	0	18	19	22	22	22	28	22	24	22	22	25	1	7	1	1	1	2	3	2	2	2	3	2	3	1	1	2	3	1	2	1	3	6	5	8	7	1	8	1	13	11	7
4000	-253.220312991929717	-260.075800942889089	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.233992683659670	0	10	15	12	16	17	18	19	17	17	20	19	21	23	22	25	26	24	25	27	31	35	44	52	52	54	56	57	57	61	63	0	1	2	0	3	3	10	2	4	2	3	9	9	11	12	13	10	8	8	0	18	18	22	22	23	25	22	26	22	23	24	1	5	3	1	1	1	1	4	3	5	2	1	3	1	1	2	5	2	4	1	4	7	4	8	5	1	11	2	12	8	5
4500	-253.678487768538986	-260.533975719498358	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.202622638140673	-2	12	14	13	16	17	17	18	17	18	20	20	20	22	23	24	26	26	24	26	30	36	44	51	51	54	56	56	59	59	63	0	1	2	0	3	2	2	3	4	2	6	9	9	2	12	13	10	8	2	0	19	19	22	23	22	25	23	26	22	23	24	1	7	1	1	1	2	2	2	3	3	1	2	2	6	2	2	5	4	7	1	3	6	4	5	8	1	7	1	10	10	5
5000	-269.046584413459357	-275.902072364418757	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.233369716551628	-2	10	16	14	15	16	19	19	17	17	20	19	20	22	22	25	25	25	25	26	29	36	44	52	53	54	57	56	56	59	63	0	1	5	0	2	2	2	6	4	2	2	9	9	6	12	9	7	3	8	0	18	19	22	23	23	25	23	26	22	22	24	1	7	1	1	2	4	4	1	1	3	4	1	2	4	1	5	3	3	3	1	2	5	4	3	5	1	9	2	11	11	6
5500	-239.997111092107559	-246.852599043066931	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.304451429516807	-2	12	16	13	15	14	16	18	17	18	21	19	20	22	21	25	25	25	24	27	30	36	43	50	52	55	56	56	58	60	62	0	1	5	0	2	2	2	2	4	7	6	9	9	2	9	13	14	8	8	0	18	19	22	23	24	25	25	24	22	22	26	1	8	1	1	2	1	2	3	3	1	3	1	2	6	2	3	2	3	3	1	3	6	4	4	1	2	2	2	12	12	3
6000	-236.247104874848532	-243.102592825807903	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.428479287405834	-1	12	16	13	14	15	17	18	17	18	20	19	20	23	22	25	25	26	24	27	30	32	44	51	52	55	55	56	58	60	64	0	1	5	0	2	2	2	3	4	2	6	9	9	11	12	13	2	8	2	0	18	18	22	23	24	24	24	26	23	23	24	1	7	1	1	1	2	2	1	2	3	4	1	2	1	1	2	6	4	6	1	3	2	6	4	1	2	2	1	6	9	6
6500	-221.739493039660147	-228.594980990619518	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.391460182998172	0	12	16	13	14	14	18	19	17	18	20	19	19	22	21	24	24	25	24	27	30	34	44	52	52	55	55	57	59	60	63	0	1	5	0	2	2	2	3	4	2	2	9	9	11	12	13	2	2	8	0	18	18	22	23	23	25	25	26	25	27	30	1	6	1	1	1	1	4	1	2	3	4	1	1	1	2	2	6	5	3	1	2	4	6	3	3	1	2	1	3	3	2
7000	-228.800711106020572	-235.656199056979943	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.367821919208635	-2	11	15	12	16	15	16	19	18	19	21	20	20	23	21	24	25	25	24	26	30	35	44	52	52	55	56	57	58	59	62	0	1	2	0	3	2	2	5	4	2	6	9	9	11	9	13	10	8	8	0	19	19	22	22	23	25	26	26	27	26	25	1	7	2	1	1	2	3	2	3	4	2	1	1	1	2	2	3	4	3	1	3	6	4	9	5	1	1	1	1	1	6
7500	-239.850792432815666	-246.706280383775038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.392390708488685	-2	12	16	13	15	16	17	19	16	18	20	19	21	23	22	25	25	24	23	27	30	35	43	51	52	54	56	56	55	58	62	0	1	5	0	2	2	2	3	4	2	6	9	9	11	9	13	10	8	2	0	18	19	22	23	23	25	26	24	26	28	24	1	9	1	1	1	3	3	1	2	3	2	2	2	2	3	2	4	3	5	1	3	5	3	5	3	1	1	2	1	1	5
8000	-235.982922269683144	-242.838410220642515	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.398368664533777	-1	12	15	13	15	16	19	19	16	18	19	20	20	22	21	24	25	25	25	23	31	35	43	51	52	54	55	55	58	59	60	0	1	2	0	2	3	10	2	4	2	2	9	4	11	9	13	11	8	8	0	18	18	22	22	23	25	26	26	27	25	24	1	6	2	1	2	1	1	3	2	3	4	2	3	2	3	2	3	3	3	1	3	5	3	7	4	1	1	1	1	4	6
8500	-232.011737582625727	-238.867225533585099	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.392264757589438	0	12	15	12	14	16	18	19	17	19	19	19	19	21	22	24	25	24	25	26	28	36	45	50	51	54	56	56	57	61	60	0	1	5	0	2	2	2	3	4	7	6	9	9	11	12	13	6	8	8	0	18	19	22	22	23	24	26	26	26	31	29	1	6	1	1	1	2	3	3	2	1	2	2	1	1	1	2	6	3	3	1	3	5	4	6	4	2	1	1	2	1	3
9000	-234.892175659684682	-241.747663610644054	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.316347327376199	-1	11	14	14	16	16	18	18	17	19	21	19	20	23	22	24	25	24	22	26	30	35	45	52	52	54	55	56	56	61	63	0	1	2	0	2	3	2	5	4	3	6	9	9	11	12	13	10	8	3	0	18	19	22	22	23	25	26	26	27	25	29	1	6	3	1	3	1	4	1	1	3	3	1	1	2	2	3	3	3	3	1	3	5	4	6	3	1	1	1	1	4	4
9500	-222.868963744618185	-229.724451695577557	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.400645847485065	0	12	15	13	14	17	19	19	16	18	20	19	20	22	22	24	25	25	23	27	29	36	43	52	53	55	57	56	58	60	64	0	1	5	0	2	2	10	3	4	2	2	9	9	11	12	13	11	8	2	0	19	18	22	22	23	25	25	26	26	29	29	1	7	1	1	1	2	1	2	2	3	4	2	2	1	1	2	3	3	4	1	3	5	4	8	3	1	2	1	2	1	4
10000	-234.130151332018585	-240.985639282977957	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515153824886921	-1	11	15	14	16	16	18	18	16	16	20	20	20	22	22	22	24	25	23	26	28	34	44	52	53	56	56	55	58	61	63	0	1	2	0	2	3	10	3	4	2	6	9	4	6	12	13	10	19	8	0	18	19	22	23	23	25	28	25	27	27	30	1	6	2	1	2	1	1	2	1	2	2	2	3	3	1	1	5	1	3	1	1	4	6	6	4	2	1	1	1	2	1
10500	-238.308495751612980	-245.163983702572352	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.299481471474450	-1	12	15	14	16	16	18	19	17	18	18	18	20	23	20	25	24	25	23	25	30	34	44	51	53	56	55	56	58	60	62	0	1	2	0	2	2	2	5	4	2	6	9	9	11	12	9	10	19	2	0	19	19	22	22	23	25	25	27	25	26	29	1	6	2	1	1	3	2	1	2	4	1	1	2	2	1	4	3	1	4	1	3	7	6	8	4	2	1	1	3	2	3
11000	-222.277041015028857	-229.132528965988229	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.377500096515598	-1	12	14	12	16	16	17	17	17	19	20	19	20	22	23	25	25	26	23	27	31	35	45	51	52	55	54	56	57	60	62	0	1	2	0	3	2	2	3	4	7	6	9	9	11	12	13	6	19	8	0	18	19	22	22	23	27	25	26	27	29	24	1	6	1	1	1	2	2	2	2	1	2	1	1	1	2	2	5	3	4	1	1	6	6	8	3	1	1	1	2	1	5
11500	-240.937032951096484	-247.792520902055855	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.327411254184683	0	11	16	13	15	16	19	19	18	18	20	20	21	21	23	24	25	25	23	27	30	35	44	52	52	54	57	56	58	60	64	0	1	5	0	2	2	10	3	4	2	8	9	4	2	12	9	14	19	2	0	18	19	22	22	23	24	26	26	25	29	25	1	6	1	1	2	3	1	2	3	2	1	1	4	5	1	2	2	1	4	1	3	7	4	9	4	2	2	1	2	1	4
12000	-224.539420865162327	-231.394908816121699	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.396968495939816	-1	12	15	14	14	15	19	18	17	18	19	19	21	22	23	25	25	26	24	26	30	36	44	52	51	55	56	56	58	60	63	0	1	2	0	2	2	2	2	4	2	2	9	12	2	9	13	2	19	8	0	19	19	22	22	23	25	26	26	27	27	30	1	5	1	1	1	2	4	3	1	2	4	2	1	4	3	2	5	1	2	1	3	5	4	7	5	1	1	1	1	2	1
12500	-227.790238555972280	-234.645726506931652	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.392566873850193	-2	11	13	14	14	16	18	18	17	17	20	18	20	22	21	24	25	26	25	27	30	36	44	50	52	54	55	55	59	60	62	0	1	2	0	2	2	10	5	4	2	6	9	9	11	12	13	11	8	8	0	18	18	22	22	23	25	25	25	25	27	29	1	6	1	1	2	3	1	2	2	4	3	1	2	1	1	2	2	4	5	1	2	5	3	7	4	1	2	2	3	2	1
13000	-221.795742576579556	-228.651230527538928	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.477257823188653	-3	11	16	13	15	17	18	17	17	17	20	19	20	22	22	24	23	22	25	26	30	34	44	51	53	55	56	55	58	61	64	0	1	5	0	2	5	10	5	4	2	6	9	12	11	9	13	10	8	18	0	18	21	22	23	24	24	25	24	27	27	29	1	5	1	1	2	1	1	1	2	2	2	1	1	1	3	2	3	3	2	1	5	2	4	3	1	1	1	2	1	2	2
13500	-218.537241888886456	-225.392729839845828	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.468036205786864	0	11	15	12	15	17	17	18	17	18	20	18	20	22	22	24	25	24	25	27	30	36	44	50	53	55	57	57	57	60	64	0	1	2	0	2	2	2	3	4	7	6	9	9	11	12	13	5	8	18	0	18	18	22	23	24	25	26	26	26	27	29	1	6	2	1	2	2	2	1	3	1	1	1	2	1	2	2	5	3	1	1	3	4	3	2	2	2	2	1	1	1	3
14000	-220.655689626772016	-227.511177577731388	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.495872718704893	-1	11	16	14	15	16	19	17	17	17	20	20	20	22	23	24	26	23	24	26	30	35	44	51	53	53	57	57	56	59	62	0	1	5	0	2	2	10	5	4	2	6	9	9	11	9	13	6	8	18	0	18	19	22	23	24	24	29	26	25	27	30	1	5	1	1	2	3	1	1	2	2	2	2	2	1	2	2	4	3	1	1	3	5	3	3	1	1	1	2	2	1	2
14500	-222.133566306440258	-228.989054257399630	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.481281907574571	-2	12	14	13	16	16	18	18	18	17	19	20	19	23	22	23	25	24	25	25	31	35	43	52	53	55	56	57	58	60	64	0	1	2	0	3	2	10	3	4	2	2	9	9	11	12	13	11	8	18	0	18	18	22	23	24	24	25	26	26	29	26	1	7	1	1	1	2	1	2	3	3	3	1	1	3	2	2	3	3	1	1	3	4	4	4	1	2	2	1	2	1	5
15000	-215.494191932380119	-222.349679883339491	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.460238747161644	0	10	15	13	12	16	17	18	17	18	20	18	20	22	23	24	24	26	22	27	30	36	44	51	52	55	56	57	58	60	63	0	1	5	0	2	2	2	3	4	7	6	9	12	11	12	13	6	8	8	0	18	18	22	23	24	25	26	27	27	26	29	1	6	2	1	1	3	4	1	2	1	2	1	1	1	3	2	3	4	2	1	2	5	5	3	1	2	1	1	1	3	2
15500	-219.339210311684781	-226.194698262644152	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442942523100500	0	11	16	13	15	16	16	19	17	18	20	19	21	22	23	24	24	25	24	27	30	36	45	51	53	55	56	57	58	60	64	0	1	5	0	2	5	2	5	4	7	6	9	9	11	12	13	11	8	2	0	18	21	22	23	24	24	26	24	28	27	30	1	6	1	1	3	1	2	2	2	1	2	1	2	1	2	2	1	4	6	1	3	4	6	3	1	2	1	3	1	2	2
16000	-214.784073226361357	-221.639561177320729	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.405001962292012	-1	10	15	13	16	16	18	18	17	17	20	18	19	22	22	25	25	26	24	26	30	36	43	51	53	54	56	56	59	60	62	0	1	2	0	2	2	10	5	4	2	6	9	12	11	12	13	3	8	5	0	18	18	22	23	24	25	26	26	27	27	29	1	5	3	1	3	4	1	1	2	3	3	1	1	1	2	2	5	5	3	1	1	4	4	3	1	1	1	1	2	2	1
16500	-212.525739359583696	-219.381227310543068	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.405205837328540	0	12	14	13	16	17	18	19	18	19	20	19	21	22	23	24	26	25	24	26	30	34	45	51	52	55	54	56	58	59	62	0	1	2	0	3	2	2	2	4	2	6	9	4	11	12	13	6	19	8	0	18	19	22	23	24	27	25	26	27	27	29	1	5	1	1	2	3	3	3	2	4	1	1	3	1	2	1	4	1	2	1	2	4	5	3	1	1	1	1	2	2	2
17000	-219.899504770375756	-226.754992721335128	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.438033436592942	-1	11	15	13	14	17	19	19	16	18	21	20	20	22	22	23	26	26	24	25	31	35	44	50	53	55	57	56	58	59	63	0	1	5	0	2	2	2	3	4	6	6	9	9	6	12	13	6	19	2	0	19	19	22	23	24	25	25	24	28	27	29	1	7	1	1	2	4	4	2	1	1	2	2	2	3	1	1	5	1	6	1	3	6	4	3	2	1	2	2	2	1	3
17500	-237.529396247452979	-244.384884198412351	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.468081242046463	-3	11	14	14	16	16	18	19	16	18	19	19	20	22	22	23	26	26	24	27	28	36	44	50	53	55	56	56	58	58	62	0	1	2	0	2	3	2	5	4	3	2	9	4	2	12	13	14	19	8	0	19	19	22	23	24	25	26	25	27	25	29	1	4	2	1	2	1	4	1	1	2	3	2	3	5	2	2	3	1	2	1	2	6	3	3	2	1	1	1	1	2	2
18000	-240.265496187564594	-247.120984138523966	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.328812732196190	-1	11	14	13	16	14	19	17	18	18	20	19	20	23	23	25	25	25	24	25	31	35	44	51	52	56	56	56	58	60	63	0	1	2	0	3	2	10	5	4	2	10	9	9	6	12	13	6	8	2	0	18	18	22	23	24	24	25	24	26	27	29	1	5	2	1	1	1	1	1	2	5	1	1	1	6	2	3	6	5	5	1	4	6	5	4	1	3	2	2	1	3	2
18500	-202.418972039726810	-209.274459990686182	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.461364493913468	-1	12	14	14	15	16	18	17	16	17	21	19	20	22	22	24	25	25	24	25	29	36	44	51	53	54	56	56	59	60	63	0	1	2	0	2	2	2	3	4	2	6	9	12	11	12	13	11	19	8	0	19	19	22	23	24	25	26	26	27	27	29	1	6	1	1	1	2	2	2	1	3	3	2	1	1	2	2	2	1	3	1	2	5	5	3	1	1	1	1	2	2	2
19000	-237.136582567059577	-243.992070518018949	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480287731171578	-1	12	15	11	16	16	18	19	17	18	20	19	21	23	22	25	25	25	24	25	31	34	45	50	52	54	56	57	58	60	64	0	1	2	0	2	2	2	3	4	2	6	9	9	11	9	13	6	19	10	0	19	19	22	23	24	25	26	26	28	26	29	1	7	2	1	2	2	3	1	3	5	2	2	2	1	2	2	5	1	3	1	3	5	5	4	1	1	1	3	1	3	3
