step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32
1	-405.148369730100171	-412.003857681059571	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.353989292679709	2	3	6	8	8	6	8	9	9	8	9	10	11	10	12	10	10	11	11	12	14	15	13	14	14	16	19	18	18	19	21	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	3	4	4	3	4	4	5	4	5	4	4	5	5	5	6	7	6	6	6	7	9	8	8	9	10	12
500	-220.523240025222719	-227.378727976182091	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384223577756566	2	4	4	8	8	6	7	8	10	8	9	10	11	10	12	11	10	11	9	12	15	12	13	15	14	16	18	18	17	19	21	27	0	1	1	1	2	2	3	1	8	3	5	10	4	5	10	11	4	10	7	5	4	13	13	18	23	23	24	20	1	25	10	31	1	1	1	3	2	1	2	2	1	2	1	2	2	1	2	1	1	1	1	2	4	1	2	2	1	2	2	3	7	3	6	4
1000	-209.366162013868546	-216.221649964827918	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486815678846760	2	3	6	8	8	4	8	9	10	7	9	9	12	10	13	8	9	10	10	13	15	15	13	14	14	15	19	18	16	18	22	25	0	1	1	10	1	1	3	7	10	1	16	5	5	16	8	3	5	8	5	9	9	13	13	18	13	23	24	20	21	23	20	31	1	1	2	1	4	1	1	1	2	2	1	1	2	1	2	1	1	1	1	2	3	2	1	3	1	1	3	1	1	2	3	2
1500	-221.434885591458396	-228.290373542417768	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.533618155450775	3	4	6	9	8	5	8	9	8	7	8	9	11	11	12	10	10	12	11	13	15	13	12	15	14	16	19	18	16	20	21	25	0	1	6	5	2	1	3	10	3	3	3	10	3	11	19	11	9	10	6	9	16	13	13	18	23	23	24	20	21	26	20	31	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	4	2	3	2	1	1	1	1	2	2	2	1	2	4	2
2000	-214.286233419843626	-221.141721370802998	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626620569917370	3	4	6	9	7	6	8	9	10	7	8	9	12	9	11	10	10	10	10	13	15	16	13	14	15	15	18	18	18	18	21	26	0	1	1	10	2	1	3	10	8	1	10	10	17	10	6	11	10	10	6	9	11	23	13	18	23	23	24	20	21	23	28	20	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	3	1	2	3	3	1	1	2	1	1	2	2	2	3	1	6
2500	-208.083699172261817	-214.939187123221188	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583916134654205	3	4	6	7	8	6	8	9	9	7	8	10	12	10	12	10	10	11	12	12	14	15	13	15	14	16	20	18	18	18	21	26	0	1	2	1	2	1	2	4	10	1	3	1	10	11	7	2	10	7	12	3	8	23	13	18	13	25	24	20	21	23	20	31	1	1	1	3	1	1	2	1	1	2	1	3	4	2	2	3	2	1	1	3	3	1	1	2	1	1	3	3	2	2	4	3
3000	-207.876841651464730	-214.732329602424102	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686441770365735	2	4	7	9	8	7	8	9	9	8	9	10	10	10	12	8	11	10	11	12	14	16	13	15	14	17	20	17	17	20	21	26	0	1	1	6	2	1	3	10	3	1	16	3	3	16	3	3	10	6	10	3	10	25	13	18	13	25	24	20	21	22	20	31	1	1	2	1	2	2	1	1	1	3	1	2	2	1	2	1	1	2	2	4	3	1	1	2	2	1	3	3	2	2	4	2
3500	-196.456913731923407	-203.312401682882779	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616413665844343	2	4	5	9	9	6	8	8	8	7	9	11	11	9	13	11	10	12	11	12	14	16	13	15	15	17	19	19	19	19	22	26	0	1	1	10	7	2	3	3	10	6	6	10	14	1	6	11	14	14	14	7	7	23	13	18	23	25	24	20	21	23	28	31	1	1	1	1	1	1	2	1	1	1	1	2	1	4	4	1	1	3	1	3	2	2	1	1	1	1	2	3	2	3	1	2
4000	-230.636197632602006	-237.491685583561377	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595106734874157	3	4	6	8	8	6	8	9	9	7	9	10	12	10	11	10	8	11	10	12	15	16	14	14	15	17	18	17	17	19	22	27	0	1	1	10	2	1	3	7	10	1	3	1	17	11	6	11	2	8	10	8	10	11	13	18	23	13	24	20	21	23	28	31	1	1	2	1	2	1	1	1	1	1	1	3	2	1	3	1	3	1	2	1	4	3	1	1	1	2	2	2	1	3	2	3
4500	-209.535246329954049	-216.390734280913421	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692345406336472	3	4	6	9	8	7	9	10	9	7	10	11	10	10	12	9	10	11	11	12	13	14	12	13	14	17	19	17	18	20	22	23	0	1	1	10	6	1	3	16	6	1	16	1	6	10	6	10	6	10	6	10	8	13	13	18	23	25	24	20	21	23	28	20	1	1	1	1	1	2	1	1	1	2	1	3	2	1	2	1	2	2	2	2	2	1	1	1	1	2	3	2	2	2	2	5
