step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
5000	-47.890686942246489	-46.514666472887924	-1.376020469358563	0.000011314674997	0.000008016181729	0.708476534317862	0.719759506192455	-1	3	6	5	5	8	8	8	9	8	9	12	0	1	4	2	2	4	3	3	7	4	6	10	1	2	1	1	1	2	1	1	1	2	1	1
5500	-51.350264835550952	-48.284062363255124	-3.066202472295826	0.000012040092861	0.000069011007669	5.731767060723233	0.872970728928577	-2	2	7	5	4	7	9	7	9	10	7	12	0	1	4	2	2	5	6	4	8	8	4	10	1	2	1	1	1	1	1	1	1	2	1	1
6000	-52.422495038346106	-50.825587426924791	-1.596907611421317	0.000010783847976	0.000014504588749	1.345029045441162	0.933773610611536	0	4	7	5	6	6	8	7	10	7	8	12	0	1	5	2	4	2	8	4	11	4	8	5	1	2	1	1	1	1	1	1	1	1	1	2
6500	-47.018937515680449	-45.655909951666857	-1.363027564013594	0.000008383211656	0.000005189106286	0.618987865103618	0.999174756023972	-1	3	6	5	5	7	8	7	10	9	7	12	0	1	4	2	2	3	3	5	7	8	4	9	1	1	1	1	1	1	1	1	1	1	1	1
7000	-54.080870727902116	-52.599728071556598	-1.481142656345518	0.000015081073826	0.000015864833536	1.051969754827244	0.653785563696659	-1	3	7	5	6	7	5	5	9	9	8	11	0	1	4	2	8	7	2	1	6	4	4	10	1	2	1	1	1	1	1	4	1	2	1	1
7500	-37.661515907127047	-36.288400143771014	-1.373115763356034	0.000088890726525	0.000041636746319	0.468403712593937	0.967419023585909	0	3	7	5	5	6	8	7	9	9	8	12	0	1	4	2	2	2	3	4	3	8	5	9	1	1	1	1	1	1	1	1	1	1	1	1
8000	-55.041302419329860	-53.087269542754122	-1.954032876575735	0.000088139168402	0.000012869899787	0.146017939812933	0.795323549585751	0	3	7	5	6	8	8	7	8	10	8	12	0	1	5	1	2	5	4	4	2	7	8	10	1	1	1	1	1	2	2	1	1	1	1	1
8500	-40.233764140094962	-38.730190694594846	-1.503573445500118	0.000073554041971	0.000021491083133	0.292180858557412	0.790698191750189	0	3	6	5	5	7	8	7	9	9	8	11	0	1	5	2	2	3	3	5	5	6	6	9	1	1	1	1	1	1	1	1	1	1	1	1
9000	-52.740181018875830	-51.371458998891285	-1.368722019984548	0.000088553100038	0.000059034665240	0.666658368995114	0.600557544822425	0	2	5	6	4	7	9	6	8	10	9	12	0	1	2	3	2	3	3	2	4	6	8	10	1	1	1	1	1	1	2	1	1	1	1	1
9500	-42.656907318113866	-40.300470158362003	-2.356437159751862	0.000075492623990	0.000007371762936	0.097648784031946	0.896781597700767	0	4	6	4	2	7	8	6	10	9	8	12	0	5	2	5	1	8	3	4	7	8	6	9	1	1	1	1	1	1	1	1	1	1	1	1
10000	-42.855758276854750	-41.366782173913087	-1.488976102941665	0.000081731063288	0.000024732617213	0.302609757152121	0.857636136600163	-1	2	5	6	4	7	9	7	9	9	8	11	0	1	5	3	2	5	6	2	8	6	4	10	1	1	1	1	1	1	1	2	1	1	1	1
10500	-49.040532809349536	-46.666648492628845	-2.373884316720692	0.000065716035735	0.000006319099833	0.096157654102788	0.783036074231475	0	2	4	6	4	7	8	6	9	9	9	12	0	1	2	5	2	5	8	3	7	7	6	9	1	1	1	1	1	2	1	1	1	1	2	1
11000	-51.873328454943042	-50.184728761544683	-1.688599693398362	0.000106768896725	0.000022111603976	0.207097803337333	0.750237561105509	0	4	7	6	5	6	8	7	8	9	8	11	0	1	4	2	2	5	5	6	5	4	8	5	1	2	1	1	1	1	1	1	1	1	1	2
11500	-52.868976105509361	-51.499443391023703	-1.369532714485661	0.000041454039044	0.000020029236408	0.483167306964827	0.691151729942279	0	1	6	4	3	6	9	8	9	8	8	11	0	1	4	1	2	4	6	6	6	3	6	9	1	1	1	2	1	1	2	1	2	1	1	1
12000	-50.974410804460547	-48.334853607738822	-2.639557196721724	0.000064542505280	0.000004981944405	0.077188581125181	0.785455759163429	0	2	5	5	5	7	9	8	7	10	7	11	0	1	2	2	2	2	9	6	4	7	5	7	1	1	1	1	2	2	1	1	1	1	1	1
12500	-54.633770414797780	-53.008989513137642	-1.624780901660137	0.000152937051583	0.000035139271628	0.229762972832143	0.837243343959318	-1	4	5	6	6	7	8	8	10	8	7	11	0	1	2	3	3	3	5	4	6	5	4	2	1	1	1	1	1	1	1	1	1	1	1	4
13000	-47.436834741863208	-45.662497084341986	-1.774337657521223	0.000116131109893	0.000021231117154	0.182820238037438	0.759996623761502	0	4	7	6	5	7	8	6	9	8	9	11	0	1	4	2	2	4	6	5	6	4	5	7	1	2	1	1	1	1	1	1	1	1	2	1
13500	-48.006009333709386	-46.458762650532421	-1.547246683176968	0.000048359388625	0.000059110415627	1.222315196854436	0.763219424114027	0	3	7	5	3	7	9	7	9	9	7	12	0	1	4	5	1	5	8	5	3	11	4	10	1	1	1	1	1	1	1	1	1	1	1	2
14000	-39.732995140146379	-38.329839549164291	-1.403155590982087	0.000035523219608	0.000029118204202	0.819694963537078	0.887578410425563	0	3	6	5	5	6	8	7	10	9	9	12	0	1	4	2	2	5	6	4	10	4	8	10	1	1	1	1	1	1	1	1	1	2	1	1
14500	-44.558524793741896	-42.790708367922434	-1.767816425819458	0.000056121231475	0.000010352846816	0.184472908817062	0.956521215848298	-1	1	6	5	5	7	8	7	9	9	7	10	0	1	4	2	2	5	4	4	7	6	4	7	1	1	1	2	1	1	1	1	1	1	1	1
