step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-503.212435845801338	-510.067923796760738	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.243901340934418	1	1	1	5	5	7	8	6	8	8	9	8	10	10	9	9	10	10	11	11	9	11	10	10	11	11	10	10	10	15	14	12	11	12	14	13	12	14	13	12	13	14	14	13	14	15	14	14	15	16	15	17	17	16	15	17	18	17	18	18	20	19	19	20	21	19	20	19	21	21	21	23	21	22	24	23	23	22	24	23	24	24	23	25	25	27	26	28	27	31	34	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	3	4	4	4	4	5	5	4	4	5	5	5	5	4	5	5	5	5	5	5	5	5	7	7	6	5	6	7	6	6	7	6	6	6	7	7	6	7	7	7	7	7	8	7	8	8	8	7	8	9	8	9	9	10	9	9	10	10	9	10	9	10	10	10	11	10	11	12	11	11	11	12	11	12	12	11	12	12	13	13	14	13	15	17
500	-508.666399781591508	-515.521887732550908	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.241478752620883	2	0	1	6	5	7	7	6	9	9	7	8	10	11	9	8	11	10	11	11	8	12	10	10	10	12	10	10	10	14	12	12	12	12	14	14	12	13	13	13	14	14	14	13	13	15	12	11	15	16	15	18	18	14	13	17	18	18	17	19	21	19	20	20	21	18	20	20	18	21	22	22	21	22	23	23	23	22	24	23	24	25	24	25	25	27	26	28	27	30	34	3	0	2	2	3	1	2	3	8	11	4	5	1	4	1	2	24	6	3	10	11	21	6	7	3	1	7	4	12	10	23	11	24	23	8	27	1	20	15	18	4	34	2	14	3	20	28	1	34	1	18	2	20	20	25	50	38	2	55	26	54	45	3	24	50	18	0	4	4	62	36	1	11	67	3	66	62	1	3	26	3	50	42	76	2	3	39	55	2	4	1	1	1	1	3	2	2	3	3	2	1	1	1	6	4	3	4	1	2	4	1	1	2	1	1	4	4	2	2	1	3	1	2	1	1	3	2	5	1	3	1	3	1	8	1	6	1	1	6	1	7	3	8	6	2	2	1	4	9	3	4	5	3	8	4	4	5	1	6	6	1	4	12	7	1	8	3	3	10	12	6	14	4	5	1	13	13	6	6	12	11	16
1000	-544.873780946308671	-551.729268897268071	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.255049865031792	2	1	2	5	5	7	9	5	8	8	8	8	11	10	10	9	10	8	12	10	10	11	11	10	11	11	11	10	10	15	14	13	12	11	14	13	13	15	14	12	13	13	14	13	15	15	14	14	15	16	16	17	17	16	15	16	19	17	18	19	19	17	20	20	21	20	20	20	21	21	20	22	21	22	23	24	22	22	24	21	25	25	22	26	26	25	26	28	26	28	35	2	0	2	2	1	2	6	2	4	1	8	4	9	2	3	1	4	3	20	12	11	4	18	18	9	18	24	11	10	23	40	9	18	3	44	26	3	32	12	4	4	14	4	10	1	1	24	3	48	2	39	24	43	55	10	35	20	26	2	24	24	10	24	38	50	60	0	18	18	41	27	3	23	15	60	70	63	64	3	50	2	52	12	64	3	4	72	57	6	3	86	1	1	1	2	2	4	1	2	1	3	1	2	1	3	5	3	2	4	2	1	1	4	1	1	2	2	1	1	2	2	1	2	2	4	1	1	4	1	3	4	3	2	4	2	7	6	2	6	1	6	1	2	2	1	4	1	3	4	10	3	6	4	6	4	2	1	1	7	6	3	4	10	6	5	3	2	1	1	12	4	11	3	7	3	11	12	3	4	9	13	5
1500	-785.585362578643753	-792.440850529603154	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.272063550552517	2	0	2	5	6	8	8	6	7	8	10	8	9	10	9	9	8	10	11	11	8	11	10	10	12	11	11	11	10	15	14	11	11	11	14	13	12	14	13	11	13	13	14	14	13	15	14	12	15	17	15	17	16	17	16	17	18	16	17	17	20	19	16	19	21	20	19	19	20	21	22	23	21	23	24	23	23	23	25	22	24	25	23	25	24	26	25	28	28	29	32	2	0	2	2	1	4	1	1	3	1	16	8	1	4	10	2	1	6	9	13	8	4	12	13	29	11	2	1	16	19	25	3	11	7	13	25	10	29	6	9	29	14	3	17	10	4	32	29	18	25	24	22	9	30	27	44	1	24	2	42	67	27	1	1	46	63	0	55	58	62	24	3	68	10	24	20	62	39	4	60	47	50	64	77	27	44	81	56	63	24	10	1	1	1	3	2	2	3	3	2	4	1	1	3	3	1	4	4	1	3	2	1	3	1	1	1	1	5	5	1	1	1	2	1	2	3	1	3	2	2	2	1	2	7	3	2	5	1	1	2	2	3	4	2	1	1	1	7	3	9	2	1	5	5	8	3	2	1	1	3	1	6	12	1	6	8	5	2	6	13	1	5	3	2	1	3	6	1	6	9	5	10
2000	-566.751987858538541	-573.607475809497942	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.327113150077143	2	1	2	6	6	7	8	7	7	9	9	9	9	10	8	8	11	10	12	12	9	11	9	11	12	11	10	10	8	16	15	13	11	13	13	13	12	13	10	13	12	15	14	13	15	15	13	14	15	17	16	18	15	15	16	18	19	18	19	16	19	20	19	20	18	20	20	19	21	22	19	24	22	23	24	23	23	23	25	24	23	25	22	24	26	27	26	27	28	30	33	2	0	2	3	2	3	1	1	5	6	2	3	2	4	4	4	11	5	4	9	3	4	6	29	11	11	11	21	6	26	6	9	28	4	29	6	11	7	6	21	2	47	3	28	21	18	7	4	19	18	42	55	4	38	19	34	44	55	1	9	21	38	21	3	43	59	0	18	1	34	33	18	47	61	67	26	31	48	1	68	1	46	64	60	49	4	48	64	21	63	2	1	1	1	1	3	2	3	3	1	1	3	3	4	3	2	1	2	2	2	1	5	3	1	2	1	1	1	1	1	1	4	3	1	4	3	3	1	2	2	3	6	1	7	2	2	2	2	4	1	3	1	1	3	1	2	2	3	1	9	4	5	3	5	8	2	1	1	4	7	4	5	7	4	2	2	6	4	5	12	2	11	4	1	4	5	11	5	3	10	5	11
2500	-620.313542633466682	-627.169030584426082	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.357644004079380	2	0	2	6	5	8	8	4	8	7	8	9	10	11	8	9	11	11	11	11	9	10	11	11	12	10	10	10	10	15	14	13	12	12	15	14	13	14	14	13	13	15	13	13	14	16	15	14	16	16	15	16	16	17	15	18	16	16	17	18	20	19	20	20	22	18	20	18	18	22	20	23	22	22	24	23	23	21	25	24	25	24	24	25	24	27	27	28	28	31	33	2	0	2	1	3	1	4	1	8	4	10	8	10	4	4	10	28	10	10	9	10	2	12	26	27	7	15	10	11	10	8	9	16	21	40	20	22	25	27	28	11	9	4	26	18	20	6	34	51	24	4	2	43	39	6	39	1	38	1	57	18	1	52	39	54	46	0	3	11	35	10	28	71	63	69	61	8	62	32	66	73	57	74	77	52	24	54	83	59	52	10	1	1	1	2	2	4	1	1	2	1	1	2	2	2	2	1	1	2	3	1	1	5	1	1	1	2	1	2	1	5	4	4	2	1	1	2	1	1	2	2	3	3	2	1	1	3	3	1	1	4	3	6	1	1	4	2	6	1	6	1	5	7	3	3	2	1	1	8	3	4	5	10	1	1	3	1	9	1	9	4	3	3	1	1	4	7	6	2	6	6	14
3000	-630.290296882681218	-637.145784833640619	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.275299999975011	2	1	2	6	5	7	7	4	9	9	9	8	11	11	8	9	11	10	11	12	10	12	10	9	11	11	9	10	10	16	14	12	11	11	14	13	11	12	13	12	13	14	13	14	14	16	14	15	15	16	15	17	17	15	15	17	17	17	18	18	21	20	20	18	21	20	19	17	22	22	20	23	20	23	24	23	23	22	25	24	25	23	23	23	26	28	26	27	27	31	34	2	0	2	8	1	3	2	3	7	6	5	8	1	1	3	2	27	7	7	29	10	18	9	3	1	1	15	9	4	45	43	3	24	21	28	33	1	27	11	3	3	23	2	18	4	35	32	39	22	7	9	32	3	20	36	13	3	43	26	57	1	5	32	2	11	31	0	2	54	55	34	2	1	50	67	68	41	51	63	36	1	3	53	71	77	72	60	72	57	40	40	1	1	1	1	1	3	3	2	1	1	2	2	4	5	3	3	1	2	2	1	1	1	1	4	3	4	1	1	2	1	1	6	1	1	2	1	5	2	3	6	6	1	5	2	4	1	1	2	2	4	2	2	7	2	1	4	8	3	3	1	8	8	4	6	6	2	1	9	5	4	4	10	7	3	2	4	5	3	4	6	14	11	3	1	1	4	5	1	5	7	15
3500	-700.588380685483344	-707.443868636442744	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.308815694678670	2	1	2	6	5	7	9	6	8	9	9	7	10	11	9	8	8	10	11	10	7	12	10	11	10	11	11	10	9	15	12	11	11	13	14	13	11	13	14	13	14	14	15	13	14	14	14	15	15	16	16	17	17	16	14	15	17	17	18	19	19	19	18	20	21	18	21	19	22	20	22	22	22	20	25	23	23	20	25	23	24	22	24	24	25	28	26	28	27	32	35	2	0	2	5	1	1	3	1	8	9	21	8	8	18	5	1	1	3	18	9	4	18	3	21	3	29	13	1	12	25	11	2	8	5	27	20	2	25	36	3	20	37	27	28	12	11	17	26	13	4	38	40	1	9	33	14	3	20	1	36	2	24	32	2	68	15	0	2	2	9	45	24	54	66	44	63	58	59	58	18	2	70	74	57	76	81	62	38	3	79	1	1	1	1	1	2	3	2	2	1	1	1	1	2	1	3	4	3	3	1	2	1	1	4	2	4	1	1	4	1	2	2	5	2	3	1	2	5	1	1	3	2	2	2	1	4	3	3	2	2	6	2	2	8	5	2	2	7	3	7	2	8	3	4	9	1	4	1	10	12	7	5	5	3	1	7	2	3	1	5	7	12	1	2	3	1	2	3	7	12	4	14
4000	-576.838334692153239	-583.693822643112640	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.297163707708266	1	0	1	6	6	7	7	6	8	9	9	8	11	10	9	8	9	8	10	11	8	12	9	10	10	12	10	9	11	14	15	13	12	12	14	13	12	13	13	12	13	13	14	14	13	15	14	13	13	17	12	17	17	16	15	17	18	16	18	18	20	16	19	20	22	19	20	20	21	21	22	22	22	22	24	23	22	23	25	24	24	24	23	25	24	28	26	28	26	31	35	2	0	2	3	1	1	3	1	4	16	7	6	2	1	3	4	1	8	4	5	1	1	6	12	12	25	4	12	4	9	38	22	14	29	25	12	5	13	51	21	3	20	29	21	2	27	22	51	18	33	1	37	55	42	14	51	3	27	9	41	54	39	29	9	67	37	0	4	2	67	62	40	62	14	2	1	36	68	55	55	29	68	60	56	44	79	85	39	21	82	1	1	1	1	3	4	3	3	2	1	1	1	1	6	3	5	2	3	1	1	3	3	5	1	2	1	1	2	1	3	3	1	1	2	1	2	2	4	1	1	2	5	1	1	2	7	2	1	1	4	2	5	2	2	2	2	2	6	3	6	2	3	1	6	7	1	4	1	7	13	1	3	6	3	7	10	10	4	2	6	4	6	3	2	4	3	1	1	8	12	3	17
4500	-726.570194884227476	-733.425682835186876	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.297897133193652	2	1	2	5	5	6	8	4	8	8	8	9	11	10	7	8	9	11	10	10	10	10	10	11	12	10	10	11	10	15	15	12	10	11	14	14	12	15	13	13	14	13	15	13	14	16	14	14	15	17	13	18	17	17	16	18	18	16	18	18	20	19	19	20	21	20	19	19	20	21	21	23	21	22	25	23	22	20	22	22	25	25	23	25	26	26	25	27	27	31	34	2	0	2	8	1	1	2	2	4	4	6	3	4	6	1	1	11	12	12	9	11	1	5	17	11	11	16	10	3	4	28	20	5	1	23	18	6	37	37	29	12	33	12	21	15	29	20	33	39	46	12	38	35	51	42	36	23	45	36	24	1	2	10	39	62	9	0	7	20	31	42	31	18	29	53	73	30	45	63	12	56	47	52	49	57	63	77	74	2	70	1	1	1	1	1	2	1	5	2	2	1	1	4	2	2	1	4	1	1	1	1	1	3	3	1	3	1	1	1	5	5	2	1	3	4	2	2	5	2	1	2	5	1	3	1	3	3	2	3	1	1	3	2	3	2	2	2	6	1	2	2	8	10	5	3	1	8	1	4	3	3	5	5	6	8	3	1	4	2	2	7	3	4	3	5	6	3	3	3	9	6	19
