step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-846.548065547214605	-853.403553498174006	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649334206853724	4	10	10	11	11	12	12	15	16	18	19	21	20	20	23	22	24	23	23	24	26	29	30	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	4	4	4	6	6	7	8	9	8	8	10	9	10	10	10	10	11	13	13	14
500	-214.316110789310784	-221.171598740270156	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.427633047478777	4	9	10	11	11	11	12	15	16	19	19	21	18	20	22	21	24	23	24	24	26	28	31	31	0	1	2	3	2	2	3	7	7	8	13	13	6	8	9	13	2	12	13	12	18	17	17	12	1	3	1	1	1	1	1	2	2	2	1	2	4	2	3	1	6	2	6	2	2	2	5	8
1000	-178.948648937586114	-185.804136888545486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.399238771979132	5	9	10	11	11	13	13	15	17	18	18	21	20	19	24	22	24	23	23	25	26	29	31	33	0	1	2	3	2	2	3	7	7	8	6	11	11	8	9	13	11	12	13	12	20	17	22	11	1	3	1	1	1	2	1	1	2	1	3	2	2	2	4	1	4	1	1	3	1	2	1	7
1500	-180.049722076481004	-186.905210027440376	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.562745871517385	4	9	10	12	10	12	11	15	16	19	19	21	20	19	20	22	24	24	24	21	26	29	30	33	0	1	2	3	2	2	3	7	7	8	6	11	11	8	9	11	11	20	16	11	18	11	22	22	1	2	1	1	1	2	1	2	2	2	3	1	1	2	2	2	3	3	1	1	1	5	1	3
2000	-181.027177513801405	-187.882665464760777	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675823745920604	4	9	10	12	12	12	11	16	17	18	19	21	20	20	23	22	22	24	22	25	26	29	31	30	0	1	2	3	2	2	3	7	7	8	6	11	11	10	9	13	11	12	13	18	20	11	22	22	1	1	1	2	2	2	1	1	2	1	3	1	1	1	2	1	1	2	1	1	1	5	1	1
2500	-159.568643237840092	-166.424131188799464	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.714222145617324	3	9	10	11	11	13	12	15	16	17	19	21	21	21	23	22	25	23	23	25	25	29	30	32	0	1	2	3	2	2	4	7	7	8	6	11	11	10	9	13	11	11	16	18	18	17	22	22	1	2	1	1	1	2	1	2	2	1	3	1	1	2	3	1	3	2	1	1	1	2	1	2
3000	-172.249983938761432	-179.105471889720803	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.553931076043232	5	9	10	11	11	13	12	15	16	17	19	22	20	20	23	22	24	23	23	25	25	28	30	32	0	1	2	3	2	5	3	7	4	8	6	11	6	8	9	13	12	12	16	18	18	11	22	22	1	2	1	1	1	1	1	2	4	1	3	2	4	2	3	1	1	1	1	1	1	4	1	2
3500	-178.318018660307104	-185.173506611266475	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.472942021900362	4	8	9	11	10	13	13	15	17	17	18	20	20	20	24	22	23	23	24	25	27	29	31	32	0	1	2	3	2	5	4	7	7	8	6	11	11	10	7	13	11	11	16	12	20	11	22	23	1	2	1	1	1	2	1	1	2	1	3	1	1	2	6	1	3	2	1	3	1	5	1	1
4000	-173.352126746643791	-180.207614697603162	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.604274170064081	5	9	10	12	11	12	12	15	16	17	19	21	21	21	23	22	23	23	23	24	26	29	30	32	0	1	2	3	2	2	3	7	7	7	6	11	11	10	9	13	11	11	16	11	20	11	22	23	1	2	1	1	1	2	1	3	2	2	3	1	1	1	2	1	2	2	1	2	2	5	1	1
4500	-178.218260534692746	-185.073748485652118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700118690044901	5	7	9	11	9	13	11	15	16	18	18	20	20	21	24	22	25	22	23	24	27	28	31	32	0	1	2	3	2	5	3	7	8	8	6	11	11	8	9	13	11	12	16	18	20	11	22	23	1	1	1	1	1	2	1	2	1	2	2	2	1	2	3	1	2	1	1	1	1	4	2	1
