step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29
1	-1910.623180874475565	-1909.161098789956668	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.035428297076254	0	1	2	3	5	10	11	11	14	14	18	20	21	21	23	25	27	28	28	29	34	33	34	35	38	42	45	45	48	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	6	6	7	7	9	10	11	11	12	13	14	14	14	15	17	17	17	18	19	21	23	23	24
500	-420.744986660970994	-418.117479080869316	-2.627507580101657	0.000010029494833	0.000041787332078	4.166444349814971	0.053992007120351	-1	1	3	3	4	10	10	10	15	13	19	20	18	21	24	25	28	29	29	29	33	33	35	35	39	43	46	46	48	0	1	2	2	2	4	1	4	6	6	10	10	10	10	12	13	11	0	11	13	13	13	13	13	13	23	13	13	19	1	1	1	1	2	3	6	3	2	1	3	3	3	5	3	3	6	1	7	8	10	10	11	12	14	5	15	15	12
1000	-352.019605252937197	-350.173906823356958	-1.845698429580238	0.000009987581237	0.000019487632350	1.951186367169049	0.100375422624199	0	1	2	3	5	10	11	12	14	15	17	19	20	21	23	23	27	29	26	30	34	33	35	36	38	42	45	45	48	0	1	2	2	2	4	1	4	6	6	10	10	10	11	12	13	11	0	13	13	13	19	16	19	13	23	25	13	25	1	1	1	2	2	3	6	4	2	2	1	2	2	2	2	2	6	1	3	6	7	4	10	6	9	3	4	15	7
1500	-324.348443375921590	-322.653870564788463	-1.694572811133114	0.000009935969979	0.000015719558958	1.582085995750645	0.327757353143129	-1	1	2	3	5	10	12	11	14	15	19	21	21	22	24	23	27	28	28	30	35	33	33	36	39	41	43	45	49	0	1	2	2	2	4	1	4	6	6	10	10	11	10	12	13	11	0	13	13	13	19	16	16	21	21	25	23	21	1	1	1	1	2	4	6	3	2	3	2	3	1	3	1	1	5	1	4	4	7	2	5	7	2	3	3	9	9
2000	-302.016991341417167	-300.119779146424150	-1.897212194993020	0.000010004354952	0.000020805080825	2.079602425533372	0.366064034090709	-2	1	2	3	6	10	11	11	15	14	19	20	21	21	23	25	26	28	28	30	35	33	34	35	39	42	46	46	48	0	1	2	2	2	4	2	4	6	6	10	10	11	11	12	13	11	0	13	16	22	19	19	19	21	25	25	23	26	1	2	1	1	2	3	6	5	2	2	2	3	1	2	3	2	3	1	5	2	1	3	4	4	2	2	4	6	5
2500	-313.006054703015195	-310.745397660570575	-2.260657042444632	0.000009951887160	0.000030330387170	3.047702077273965	0.504797036832082	0	1	2	4	5	10	11	11	15	15	18	19	22	22	22	25	27	28	29	29	34	32	34	36	37	41	46	42	48	0	1	2	2	2	5	4	4	6	6	10	10	10	10	12	13	11	0	16	16	13	19	19	19	21	21	26	23	27	1	1	1	2	2	2	3	4	2	2	1	2	3	3	2	2	4	1	2	2	4	2	2	4	2	3	4	3	1
3000	-286.489675346478919	-284.824342086765057	-1.665333259713879	0.000009967711032	0.000015064387358	1.511318627730482	0.421006385682353	0	1	3	4	5	10	11	11	13	14	18	21	22	21	23	25	27	26	29	30	34	33	35	36	38	42	45	46	48	0	1	2	2	2	4	1	4	6	6	10	10	11	10	12	13	11	0	16	16	13	19	16	19	21	21	26	23	27	1	1	1	2	2	2	6	4	2	2	2	3	2	4	1	2	4	1	2	4	6	2	4	3	2	5	2	4	2
3500	-297.691405950756064	-295.428666497882944	-2.262739452873095	0.000010381863951	0.000031702246982	3.053618033606270	0.373458932588828	0	1	3	4	5	11	11	12	15	14	17	20	21	21	22	26	28	28	28	30	35	33	33	36	39	43	44	44	48	0	1	2	3	2	4	1	4	6	6	10	10	12	10	12	13	14	0	13	19	22	19	16	19	21	21	26	23	27	1	1	2	1	2	3	7	4	2	1	2	4	1	5	2	3	4	1	4	1	1	2	3	5	2	4	1	6	2
4000	-280.537505753948437	-279.055654203851191	-1.481851550097232	0.000010564596553	0.000011133700800	1.053868999601970	0.361716757133719	0	1	2	3	5	10	11	11	15	14	18	20	20	22	23	25	27	28	29	29	34	33	32	34	38	41	45	45	48	0	1	2	2	2	4	1	4	6	6	10	10	10	12	12	13	11	0	13	16	23	16	19	19	21	25	26	23	27	1	1	1	1	2	3	5	5	3	3	2	3	3	1	2	2	4	1	5	2	1	3	2	3	3	1	2	5	2
4500	-276.163766284266330	-274.078503324284725	-2.085262959981600	0.000010689551832	0.000027422811849	2.565384618481621	0.613596096744552	0	1	3	4	6	11	11	10	15	15	19	20	21	21	23	24	26	28	28	29	35	32	34	35	38	42	45	44	48	0	1	2	2	2	4	1	4	6	6	10	10	11	11	12	13	11	0	16	19	23	19	22	22	21	25	26	23	27	1	1	1	1	3	4	5	2	2	1	2	2	1	1	2	2	3	1	2	1	1	2	1	2	2	2	2	4	1
