step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
10000	-40.359264632602333	-38.647129066121323	-1.712135566481013	0.687963758229371	1.117676025788412	1.624614687065787	0.626888096714460	0	4	5	5	6	7	7	9	7	9	10	8	10	0	1	2	2	3	2	3	12	3	7	10	3	12	1	2	1	1	1	2	1	1	1	1	1	1	2
10500	-40.388179993130684	-37.233210688281190	-3.154969304849496	0.811377901925199	4.934845110984591	6.082055105611608	0.710936498355509	0	3	6	5	8	7	8	8	7	9	10	8	10	0	1	2	2	9	4	2	3	2	8	5	3	5	1	2	1	1	1	1	3	1	2	1	1	1	1
11000	-48.601405657733999	-45.493897623426783	-3.107508034307218	0.411237021894563	2.423537625597287	5.893286587944067	0.690361584657029	1	3	5	6	7	6	8	8	8	9	11	9	10	0	1	2	1	2	1	5	6	5	3	9	5	5	1	2	1	2	2	3	1	1	1	1	2	1	2
11500	-41.178186909132933	-34.580017449418612	-6.598169459714320	0.848505016974303	27.627067327361960	32.559698263043543	0.934401103502823	1	4	5	5	6	7	7	8	7	10	9	9	9	0	1	1	2	3	4	4	5	2	11	6	8	9	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-35.352778440556321	-31.666894339215755	-3.685884101340566	0.803162761418527	6.778898260667911	8.440254685980689	0.747597394852699	0	4	6	6	7	8	8	8	9	10	9	9	10	0	1	2	2	3	5	4	3	5	6	6	7	6	1	2	1	1	1	1	1	1	1	1	1	1	1
12500	-41.353352932916550	-38.939951594672920	-2.413401338243628	0.200999823923572	0.702356396956146	3.494313493643697	0.763572862182158	0	4	6	6	7	6	6	8	8	10	10	7	8	0	1	2	2	2	2	2	6	3	6	8	3	7	1	1	1	1	1	1	1	1	1	2	2	1	1
13000	-34.412604708385942	-31.582720009902236	-2.829884698483704	0.253159495811995	1.229216758099803	4.855503263494661	0.968750746553415	0	4	6	6	7	6	6	8	8	10	9	8	10	0	1	2	2	4	2	2	3	7	4	12	3	8	1	1	1	1	1	1	1	1	1	2	1	1	1
13500	-40.286887033796376	-36.245116919870696	-4.041770113925678	0.964779762039629	9.935460344622198	10.298164136048801	0.716325466945042	1	4	5	7	7	5	7	9	8	9	10	8	10	0	1	2	3	3	2	6	4	4	5	4	7	12	1	1	1	1	1	1	2	1	1	1	2	1	1
14000	-30.286683488755454	-27.353790431350532	-2.932893057404923	0.728930476729691	3.810582596297067	5.227635169533657	0.981442527195235	0	4	6	6	8	8	7	8	9	8	10	8	10	0	1	2	2	7	4	4	3	7	3	12	7	12	1	1	1	1	1	1	1	1	1	1	1	1	1
14500	-33.354688523441553	-31.947716579387777	-1.406971944053778	0.453344954905595	0.176696507105132	0.389761714987933	0.897809943271844	1	4	6	6	7	8	7	9	9	8	11	9	10	0	1	2	2	2	5	2	7	7	3	6	7	5	1	1	1	1	1	1	1	1	1	1	1	1	1
15000	-31.228413018344067	-29.839839345851018	-1.388573672493049	0.129025386111489	0.054766206774397	0.424460708275458	0.959304638421561	1	4	5	6	7	7	7	8	8	10	8	8	10	0	1	2	3	3	2	2	4	7	9	6	7	11	1	1	1	1	1	1	1	1	1	1	1	1	1
15500	-41.668968090582574	-39.839994685036537	-1.828973405546039	0.492319814385381	0.940253738872373	1.909843381067647	0.579994358099091	1	4	5	7	7	6	6	8	8	8	10	8	11	0	1	2	3	7	2	1	2	4	6	8	5	7	1	1	1	1	1	1	2	2	1	1	1	1	3
16000	-35.638678374836438	-33.644854575585292	-1.993823799251144	0.854430112461268	1.987005131240414	2.325532658858025	0.890411843167385	1	5	6	6	7	7	7	8	9	9	10	8	11	0	1	2	2	2	4	2	4	5	8	12	4	2	1	2	1	1	1	1	1	1	1	1	1	1	3
16500	-38.879257094525876	-36.074217676522267	-2.805039418003609	0.951542679207766	4.536910793232082	4.767953022358826	0.885396295701152	1	3	5	7	7	5	7	9	8	6	9	8	10	0	1	2	2	6	2	6	12	10	3	4	5	12	1	1	1	1	1	1	1	1	1	1	1	1	1
17000	-29.757843190312347	-26.757364207970728	-3.000478982341619	0.666104747337853	3.650244745158159	5.479986082889646	0.843197066826044	1	4	5	6	7	7	7	8	8	9	10	9	10	0	1	2	2	4	3	3	4	3	6	9	4	8	1	1	1	1	1	1	1	1	1	1	1	1	1
17500	-37.963888574571854	-36.538271547282861	-1.425617027288991	0.961114888171491	0.858804810479525	0.893550626516035	0.870699561545793	1	5	5	6	7	7	8	9	8	8	10	9	10	0	1	1	3	4	2	4	9	3	4	6	9	10	1	1	1	1	1	1	1	1	2	1	1	1	1
