step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
5000	-319.182024794149356	-317.069385263906781	-2.112639530242595	0.000010462392697	0.000027606793273	2.638669190983021	0.763610601328052	0	1	3	4	4	5	4	6	6	7	8	7	9	9	11	10	11	11	12	11	13	16	17	19	20	20	21	22	22	21	21	20	23	24	23	24	24	25	23	25	26	25	25	25	26	28	27	28	28	29	29	28	31	29	29	33	0	1	2	3	3	4	0	6	7	4	8	8	12	12	13	13	13	13	14	16	20	21	22	23	23	23	32	25	24	24	32	23	32	29	31	32	26	29	31	36	35	37	39	39	43	32	42	43	45	36	42	47	54	52	49	54	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	1	1	2	2	1	1	2	1	1	2	2	2	1	1	2	1	2	2	1	3	1	2	1	2	2	1	1	1	1	2
5500	-307.507971684264987	-305.771780902956039	-1.736190781308973	0.000011290278140	0.000019000995623	1.682951951028236	0.790335578792346	0	2	2	4	4	3	5	6	7	8	9	8	10	9	12	11	12	11	12	12	14	15	17	18	20	20	22	22	22	21	22	21	23	23	24	24	24	25	23	26	26	25	25	25	26	26	27	25	28	28	29	29	31	28	29	33	0	1	1	3	3	3	0	3	7	4	8	8	12	12	18	13	13	13	14	16	20	21	22	23	23	23	32	23	24	24	32	25	27	24	31	32	26	29	31	32	35	37	31	39	48	27	42	39	45	46	42	47	47	42	49	53	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	1	1	2	1	2	2	1	1
6000	-306.358014629826755	-304.976482225401867	-1.381532404424883	0.000015415814863	0.000011327498456	0.734797255759351	0.785969474052156	0	2	2	3	5	4	4	6	6	7	8	8	9	9	12	11	10	12	12	12	13	15	18	20	21	20	22	23	21	19	21	21	22	24	25	25	23	24	23	23	26	26	26	25	25	28	27	27	28	27	30	29	29	31	30	32	0	1	1	3	6	3	0	3	7	6	8	8	12	12	13	13	13	17	14	16	20	21	22	30	23	23	32	25	30	23	23	23	32	30	31	32	26	29	31	32	35	37	39	39	39	36	42	39	44	40	42	42	42	47	49	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	2	2	2	2	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	2	1	1
6500	-305.550877324662395	-304.189235635842635	-1.361641688819768	0.000025456674405	0.000015253015225	0.599175484678255	0.693850090975216	0	2	2	4	4	4	4	6	6	7	8	7	9	8	12	10	12	11	12	13	14	16	17	20	22	21	22	21	21	18	22	21	22	24	24	25	26	26	23	25	26	24	26	24	26	28	28	28	29	27	28	27	31	31	31	32	0	1	1	3	3	3	0	6	7	6	8	8	12	12	13	13	13	13	14	16	20	21	22	30	23	23	32	23	30	23	32	23	32	24	31	27	26	29	32	32	35	26	39	39	39	36	42	39	45	36	42	42	51	52	49	54	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	2	1	2	1	1	2	2	1	3	2	1	1	2	1	2	1	2	2	4	1	2	1	2	2	1	2	2	2	2	1	1	2	2	2	2	1	1
7000	-279.222034805130193	-277.747639351564430	-1.474395453565755	0.000060427495326	0.000018976882501	0.314043837136031	0.667292858653759	0	1	2	3	5	5	3	7	6	7	8	8	10	9	11	9	12	12	12	11	14	16	17	19	21	19	21	20	22	22	22	20	22	23	24	24	26	25	24	25	26	24	26	25	26	28	28	27	28	28	28	29	31	29	30	33	0	1	1	3	3	4	0	5	7	4	8	8	16	8	13	12	13	13	14	16	20	21	21	23	23	23	32	26	23	24	32	23	32	24	31	27	42	29	31	34	35	25	39	39	44	27	42	43	45	36	42	42	47	42	49	51	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	1	2	1	2	1	2	1	2	1	1	1	2	1	1	1	3	2	1	1	2	2	2	2	3	2	2
7500	-316.890630059135958	-314.961503166669786	-1.929126892466194	0.000088283010825	0.000013268737751	0.150297748424075	0.617631473585725	-1	2	3	2	4	5	3	5	6	7	9	7	10	9	11	11	11	13	13	13	13	16	18	19	21	20	21	23	22	22	21	20	24	24	24	25	26	25	24	26	26	25	27	26	26	27	27	25	27	29	29	29	30	31	30	34	0	1	4	1	4	3	0	4	7	6	6	8	8	8	13	11	8	13	14	13	16	11	20	23	23	23	32	25	24	24	22	23	27	24	31	32	25	29	32	27	35	25	48	39	39	36	42	39	48	46	42	42	42	47	45	51	1	1	1	1	1	1	1	2	2	1	3	1	2	2	1	1	2	2	2	1	1	3	2	1	1	1	1	1	2	1	3	1	2	2	2	2	3	1	1	2	1	2	1	2	1	1	2	1	1	1	2	3	2	2	2	3
8000	-302.185114935568265	-300.313281895364639	-1.871833040203601	0.000093387612356	0.000015038030049	0.161028102862739	0.777272848211458	0	1	2	3	4	4	2	6	6	5	7	8	8	10	11	11	11	12	12	12	13	16	17	20	21	19	20	22	21	22	21	22	24	25	24	24	27	25	25	26	27	24	26	24	26	26	27	27	28	29	29	28	31	30	30	33	0	1	1	3	3	4	0	3	7	6	8	8	8	12	13	13	13	13	14	16	15	21	22	23	23	21	23	27	24	24	27	27	31	30	32	32	36	32	31	32	35	26	44	31	39	36	42	43	45	39	37	42	51	37	49	54	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	3	2	1	1	1	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	1	2	1	1	1	1	2	1	2	1	2
8500	-307.732098751952662	-305.568167853480759	-2.163930898471921	0.000133379588806	0.000015587993329	0.116869406098402	0.649091120157695	0	2	2	4	4	5	4	6	6	6	7	8	11	10	11	10	12	12	12	12	14	15	17	19	22	21	22	23	23	22	22	20	24	24	25	24	25	25	26	25	27	25	24	26	25	28	26	27	27	28	30	30	29	28	31	33	0	1	1	3	3	4	0	3	7	3	10	8	16	12	16	12	13	13	14	16	20	21	22	23	23	24	32	30	24	24	32	23	27	24	31	25	26	30	43	32	44	33	31	43	31	33	36	39	43	45	54	37	25	37	39	52	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	5	2	2	1
9000	-315.994701301728696	-313.721114576357593	-2.273586725371087	0.000099430177176	0.000010465279353	0.105252546562183	0.685569050963210	1	2	2	3	5	4	3	6	7	7	7	8	9	10	12	10	11	12	11	13	12	16	18	20	22	20	22	22	23	22	22	20	23	24	24	25	24	26	25	25	27	24	26	26	25	28	27	27	27	28	28	30	29	29	30	33	0	1	1	3	4	4	0	6	7	6	8	8	5	13	16	13	12	13	14	21	12	21	20	23	26	23	32	26	30	24	32	23	27	23	31	27	26	24	35	30	35	23	32	39	31	36	43	39	45	36	42	54	42	47	49	47	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	3	2	3	1	1	1	1	1	1	1	1	1	1	3	1	2	2	2	1	1	1	2	3	1	1	1	1	1	1	2	3	1	2	1	2	2
9500	-297.152764313221383	-295.105181739556031	-2.047582573665355	0.000121157367825	0.000015952802758	0.131670100175120	0.703568667456124	0	2	2	3	5	4	5	6	7	8	8	7	9	9	11	9	8	12	13	11	13	16	18	19	21	20	21	23	22	21	20	22	24	24	24	24	25	26	23	25	26	25	25	25	26	29	27	27	28	27	28	28	30	30	31	34	0	1	1	3	4	4	0	4	7	8	12	6	12	8	13	17	8	13	14	16	20	21	20	23	24	23	31	25	24	24	23	27	31	25	25	27	26	25	32	23	35	26	35	31	43	50	37	43	45	33	47	37	51	51	49	53	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	1	1	1	1	1	1	1	1	1	3	2	2	1	2	2	1	3	1	2	1	3	1	2	1	1	1	1	1	2	1	2	2	2
