step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
1	-654.986089079854310	-664.036932460305707	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.740440208327889	1	4	11	3	3	2	5	6	9	4	19	7	8	9	11	11	11	12	30	14	19	13	12	14	12	21	13	23	14	26	20	22	17	16	19	16	21	24	20	23	22	23	34	26	25	23	33	26	26	26	27	24	27	30	44	27	32	37	43	35	52	48	40	35	41	42	41	41	48	52	56	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-367.532683957858694	-376.583527338310034	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992513572413368	-3	5	11	2	2	4	1	1	7	3	18	4	8	6	13	13	8	9	33	10	15	13	15	6	6	24	17	17	13	25	22	19	19	9	17	20	18	22	23	23	22	23	35	13	27	25	29	25	19	18	27	23	20	19	45	16	26	38	44	35	49	52	32	30	42	34	41	35	47	55	54	0	1	6	1	1	1	1	1	7	1	5	1	4	7	12	9	10	24	36	25	13	14	1	5	7	15	2	15	17	32	27	18	44	2	3	15	5	29	32	33	50	3	48	14	37	16	56	33	29	18	42	54	11	34	58	12	31	64	19	64	64	69	30	54	68	48	43	38	65	55	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-388.149714776940527	-397.200558157391868	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997062302611408	-13	7	11	-5	3	1	4	3	10	2	11	7	9	8	12	4	9	5	20	12	19	13	6	13	15	14	7	20	6	26	10	14	13	5	22	9	16	25	14	23	21	26	38	27	26	26	33	27	20	22	13	19	30	18	43	31	29	33	39	31	50	38	34	29	43	39	39	36	46	41	54	0	5	7	1	1	4	6	6	16	4	18	6	27	5	12	10	6	6	17	5	9	5	8	27	17	11	6	3	4	32	8	16	36	6	39	34	5	41	29	51	22	41	47	32	35	21	52	52	24	9	18	20	41	12	62	49	46	53	56	32	43	64	30	51	67	57	47	45	63	67	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-355.287182842907100	-364.338026223358440	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970282001446383	-7	0	7	3	1	-4	6	6	2	3	22	8	10	5	8	6	15	11	31	12	20	10	13	15	11	22	15	14	10	24	16	19	13	13	15	13	20	23	22	26	18	19	32	24	21	25	36	25	19	26	27	24	24	26	46	21	32	36	44	28	49	45	39	25	41	39	42	39	52	50	56	0	6	5	2	1	1	5	2	1	6	31	2	7	5	4	10	13	5	46	10	27	3	4	14	14	28	14	15	10	27	36	20	29	22	25	16	31	37	24	39	34	33	64	27	18	45	57	37	25	21	56	24	24	26	63	34	46	60	65	42	62	63	37	41	19	38	50	21	62	65	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-371.417457227957868	-380.468300608409209	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.944585605603964	-4	2	11	5	4	4	6	2	12	4	16	10	-2	10	10	1	11	10	30	16	10	9	7	6	8	20	16	16	16	29	8	21	15	14	20	16	16	20	17	24	18	19	31	30	23	24	26	26	27	28	21	24	28	30	39	27	34	37	39	32	48	49	40	31	42	42	34	43	41	50	54	0	13	2	2	1	13	16	1	10	13	34	10	1	13	10	13	5	13	48	31	8	16	2	16	10	28	14	6	4	35	8	22	4	6	34	6	31	33	24	41	17	23	49	36	41	42	26	51	39	27	39	38	32	47	19	51	32	33	19	30	65	32	30	26	58	55	44	44	67	63	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-365.496981019523901	-374.547824399975241	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.947685772610390	-5	4	12	3	-1	2	5	2	9	4	22	6	10	8	13	11	1	12	29	16	18	11	11	17	14	17	10	20	16	26	21	20	21	18	17	11	19	25	19	18	19	20	25	26	25	22	29	26	27	22	21	15	26	24	45	20	26	33	29	31	54	44	28	33	35	33	41	38	41	49	48	0	6	2	5	1	1	1	1	5	5	26	1	7	5	14	2	1	9	11	36	27	4	12	36	13	2	5	25	13	50	52	20	25	23	3	10	22	40	13	16	29	16	28	50	33	36	54	24	26	24	13	27	16	41	68	23	20	53	56	38	71	35	38	19	57	33	64	47	59	65	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-377.098568805290995	-386.149412185742335	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994203200677736	-3	0	15	4	4	3	4	7	12	7	18	6	10	10	8	13	7	10	30	15	20	15	13	12	7	20	17	24	11	21	21	22	19	14	22	9	18	26	13	10	15	20	34	22	23	25	35	26	24	28	25	28	23	25	36	18	24	30	45	30	48	44	33	31	22	46	40	30	39	42	54	0	1	29	1	1	2	2	2	6	1	8	2	10	6	6	8	2	5	25	36	34	29	15	4	2	22	10	11	36	20	3	23	14	10	20	7	24	35	18	15	14	29	51	23	56	33	64	65	41	21	40	17	22	45	11	12	21	32	67	49	64	67	35	28	39	69	55	46	68	69	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-377.057974968915858	-386.108818349367198	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975779910077962	-5	5	13	3	-2	2	5	8	1	5	17	2	7	5	9	-1	12	6	28	12	9	16	14	13	11	16	12	18	17	27	19	13	20	14	21	18	21	24	15	25	15	19	35	28	27	23	31	21	22	23	25	26	20	25	29	27	30	31	38	36	48	51	39	35	35	40	39	33	52	45	56	0	9	16	9	1	1	6	16	1	16	32	1	9	5	18	1	9	6	38	6	18	2	14	6	4	10	2	20	2	50	41	18	20	20	36	32	7	27	18	53	9	21	54	50	48	32	37	17	28	34	29	42	23	41	50	28	38	30	48	42	59	43	30	52	30	68	36	55	60	67	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-376.062775161217473	-385.113618541668814	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998838839423243	-7	3	-4	-1	5	0	0	4	9	3	22	5	2	10	12	8	14	8	29	13	21	7	10	18	12	22	7	22	14	25	17	14	19	17	18	14	25	24	23	20	17	9	35	30	29	26	34	27	18	22	28	27	29	32	42	13	23	37	39	25	48	45	43	33	37	44	44	38	42	49	55	0	4	1	1	4	3	3	3	10	1	5	3	3	6	8	13	22	5	60	6	17	6	4	16	42	36	3	49	23	33	56	14	20	2	56	12	56	56	12	17	27	12	54	21	57	33	45	34	56	24	30	26	11	19	47	12	29	53	53	32	59	57	58	40	54	47	64	48	64	62	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-368.120440496751996	-377.171283877203336	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.964420242930371	-13	0	12	5	-1	4	4	3	8	6	18	-2	8	12	13	9	8	9	31	8	22	6	9	13	14	20	17	24	13	27	15	16	15	12	13	13	21	22	19	17	22	18	32	23	24	20	35	18	26	27	30	23	23	29	47	20	32	40	37	31	52	47	42	34	41	44	35	37	42	48	56	0	1	16	5	1	5	5	12	8	8	35	1	12	17	10	12	10	6	49	7	24	5	12	17	10	35	16	21	17	39	22	7	15	4	20	16	36	27	36	23	32	29	36	33	39	32	57	5	21	28	11	40	46	28	64	16	48	57	57	41	63	69	47	30	54	68	28	54	41	47	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
