step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-8206.724651315809751	-8205.262569231290399	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.159516117056305	-1	13	4	3	6	4	13	19	10	16	17	18	18	16	23	28	29	30	25	25	29	30	31	31	35	33	34	32	36	33	39	36	38	38	37	39	38	40	44	42	43	40	42	40	47	42	48	44	50	47	44	47	48	50	55	54	50	51	55	50	54	59	54	57	61	71	70	77	76	80	81	82	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	4	2	3	3	3	3	3	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	6	7	7	7	7	7	7	8	7	8	7	7	7	8	7	8	8	9	8	8	8	8	9	10	9	9	9	10	9	9	10	9	10	11	12	12	13	13	14	14	14
500	-880.885468751781104	-879.246917008541914	-1.638551743239225	0.000009999288327	0.000002244351031	0.224451076655684	0.220625670148322	-3	6	4	3	7	4	10	19	12	8	18	18	16	15	24	20	18	28	23	14	29	26	17	21	19	26	19	27	31	33	30	35	36	29	40	37	31	39	45	27	43	38	43	34	49	44	49	46	49	44	42	43	44	50	55	53	46	51	56	46	56	59	54	57	64	70	72	76	79	69	78	79	0	1	0	1	1	1	1	6	3	4	9	10	10	9	12	20	10	13	20	10	26	0	20	0	0	19	23	24	24	17	21	34	26	20	27	0	28	27	24	25	26	27	28	31	27	28	25	38	31	34	23	40	33	60	25	48	16	47	44	27	56	40	40	0	40	52	62	40	52	52	40	52	1	2	1	1	2	1	2	2	2	1	1	2	2	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	2	4	1	2	2	4	8	1	1	4	5	4	4	4	5	1	5	5	6	2	4	4	7	4	2	1	9	2	6	1	5	8	1	8	7	1	12	7	2	14	9	5	11	8
1000	-749.236816383883706	-747.832955506191752	-1.403860877691966	0.000010023859814	0.000008241339565	0.822172268752714	0.365793997511162	-4	9	-4	0	4	5	13	18	8	8	15	16	21	17	23	28	20	31	21	18	24	29	23	24	21	28	31	31	34	32	35	34	37	36	36	38	34	29	44	31	39	37	40	36	48	42	49	43	50	41	44	40	44	52	57	54	52	51	53	50	48	60	56	56	60	69	70	69	77	81	81	82	0	1	0	1	1	1	2	6	3	4	9	10	12	9	12	20	10	13	20	12	19	0	19	0	0	21	23	24	24	17	21	21	26	20	23	0	28	23	24	25	26	27	28	21	42	28	25	38	21	16	38	40	33	60	36	61	50	52	44	48	38	63	52	0	40	52	65	25	63	68	52	68	1	3	1	1	2	2	1	1	2	2	2	2	1	2	1	2	2	3	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	3	1	1	1	4	2	2	1	2	2	2	4	5	2	6	2	4	2	2	1	4	1	2	2	4	2	3	2	4	1	9	7	2	11	5	2	10	3
1500	-671.140243916097120	-669.726640293387732	-1.413603622709377	0.000010013786596	0.000008563896003	0.855210556046665	0.567012814244226	-6	13	3	3	5	4	13	18	10	14	17	19	16	14	20	27	27	27	26	24	29	29	31	29	34	31	32	33	35	32	37	37	38	37	36	32	36	36	44	41	38	41	37	39	45	43	40	39	49	45	45	45	49	52	55	56	49	52	52	48	43	58	52	59	59	71	71	77	76	80	81	84	0	5	0	1	1	1	1	6	3	4	14	10	4	9	10	20	12	13	20	15	19	0	19	0	0	21	23	24	24	17	21	21	26	16	23	0	28	27	24	36	26	27	28	31	27	37	36	38	31	20	38	47	41	60	40	61	50	52	44	48	48	52	52	0	47	63	65	58	63	66	40	70	1	1	1	2	2	1	3	3	2	1	1	2	3	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	3	2	2	2	1	1	2	2	2	1	2	3	1	1	2	1	2	3	1	2	3	2	2	3	2	1	6	4	1	5	4	2	5	2
2000	-627.489186294600131	-626.030192505617947	-1.458993788982152	0.000009994715604	0.000009908683387	0.991392229616258	0.613219938928374	-6	12	1	4	5	-3	13	18	10	17	16	12	19	15	23	28	20	30	25	20	30	24	28	27	33	32	34	30	32	26	38	33	36	37	33	35	35	39	41	41	44	38	43	41	43	43	47	42	50	46	45	47	46	51	56	55	49	48	55	48	46	58	53	56	63	63	71	74	71	79	81	84	0	5	0	1	1	1	1	6	3	12	9	4	12	9	12	20	12	13	20	12	19	0	19	0	0	21	23	24	24	17	26	21	26	16	23	0	28	27	29	25	33	27	28	31	27	37	36	38	31	16	38	40	26	60	52	61	50	40	44	48	48	63	52	0	62	58	65	69	66	68	63	70	1	1	1	3	3	1	3	3	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	3	1	2	1	2	2	2	1	2	3	2	1	3	1	2	2	1	3	2	1	1	1	2	1	2	2	1	1	2	1	5	1
2500	-615.899212780598532	-614.457262540885836	-1.441950239712679	0.000010059614487	0.000009483097017	0.942689904181403	0.755474816434115	-4	4	3	1	6	3	11	17	9	15	16	14	19	13	19	30	24	31	22	19	27	32	31	29	34	31	35	31	36	30	39	36	38	39	38	39	35	38	42	41	36	37	45	42	47	43	45	41	49	47	45	47	42	51	54	54	51	50	53	43	52	58	53	58	60	64	68	76	74	78	79	83	0	1	0	1	1	1	1	6	3	12	14	4	12	9	12	20	12	13	20	12	19	0	19	0	0	21	23	24	24	17	19	21	26	20	23	0	28	27	29	36	26	27	28	31	27	37	36	38	31	34	38	40	26	60	40	61	50	52	44	48	51	63	52	0	62	58	65	66	66	66	66	70	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	3	2	2	4	2
3000	-620.023578079499998	-618.405231504083190	-1.618346575416839	0.000010167388609	0.000014207278439	1.397337997517186	0.640036717425620	-2	10	1	5	6	4	2	15	7	17	15	14	18	17	20	28	21	26	25	22	28	29	28	23	34	32	30	32	35	32	40	38	39	38	35	38	39	33	45	42	42	37	39	42	47	41	46	40	52	44	44	46	44	49	54	53	48	53	52	47	47	60	55	58	63	64	68	76	77	81	80	83	0	1	0	1	1	1	1	6	3	12	9	4	12	9	10	20	10	13	20	15	19	0	19	0	0	21	23	24	24	17	21	21	26	16	23	0	28	27	29	25	26	27	28	31	42	37	25	38	31	16	38	40	26	60	36	61	50	52	44	48	48	58	52	0	62	63	65	66	66	69	66	70	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	2	1	3	1	2	2	2	1	3	1	2	1	2	3	2	1	2	1	2	2	1	2	1	1	2	1	1	1	1	1	1	2	2	1	3	1
3500	-595.322637929047119	-593.871236272131910	-1.451401656915214	0.000010726881203	0.000010404708155	0.969965823118302	0.737781388229658	-1	11	4	3	6	3	10	20	9	14	18	9	19	13	20	25	26	24	28	23	31	29	29	26	33	34	32	31	32	35	36	34	37	35	35	37	36	38	40	40	41	38	36	41	45	40	49	41	49	45	45	46	49	51	56	53	52	52	53	47	51	56	53	51	61	63	72	76	74	81	77	79	0	1	0	1	1	1	1	6	3	12	14	4	12	9	10	20	10	13	16	10	19	0	19	0	0	21	23	24	24	17	21	21	26	20	23	0	28	27	29	25	26	27	28	31	27	37	25	38	31	34	38	40	26	60	40	61	50	52	44	48	48	58	52	0	62	63	65	69	66	72	66	71	1	2	1	1	1	1	3	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	2	1	1	1	2	1	2	1	1	2	2	2	2	1	3	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1
4000	-594.281035257964163	-592.815737951659003	-1.465297306305217	0.000010910983453	0.000003511026924	0.321788309810064	0.724111424302492	1	10	2	6	5	5	9	18	11	18	18	12	17	16	16	26	24	27	25	21	29	30	29	20	35	33	31	31	34	32	36	32	39	36	33	41	36	40	43	40	40	36	40	39	43	40	51	44	45	41	44	45	47	51	55	55	48	51	51	47	48	58	55	57	60	67	65	78	77	81	70	79	0	1	0	1	1	1	1	6	3	12	14	4	12	9	12	20	10	13	20	12	19	0	19	0	0	21	23	24	24	17	21	21	26	16	23	0	28	42	29	25	26	27	28	31	27	37	25	38	31	34	38	40	33	60	47	61	50	52	44	48	48	58	52	0	62	52	65	71	71	72	66	71	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	1	2	1	2	1	2	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1
4500	-617.884722381302709	-616.520101501871636	-1.364620879431071	0.000010950073875	0.000005595901819	0.511037814258422	0.655462014332285	0	13	2	4	5	2	12	18	7	14	18	11	19	18	21	28	25	30	25	19	29	28	27	27	36	31	32	30	33	31	37	33	37	34	38	29	37	35	43	40	45	41	42	41	49	42	49	46	43	44	44	44	48	53	50	55	47	50	49	49	48	59	52	58	61	66	66	75	74	80	80	72	0	1	0	1	1	1	1	6	3	12	9	4	10	9	12	20	12	13	20	12	19	0	19	0	0	19	23	24	24	17	21	21	26	20	23	0	28	27	29	36	33	27	28	31	27	37	25	38	31	34	38	40	41	60	40	61	50	52	44	48	48	63	40	0	62	63	65	66	66	72	66	66	1	2	1	1	1	1	2	2	2	1	2	1	1	2	1	1	2	2	2	3	1	1	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	1	2	2	2	1	2	1	2	1	2	2	1	2	2	1	1	2	1	2	1	2	1	1	1	2	3	1	1	3	1	2	2	2	2	1
