step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-2799.758775189738117	-2798.296693105219219	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.208170838647722	3	14	16	24	23	28	25	32	35	29	40	34	41	41	48	48	51	52	56	55	60	61	59	59	64	64	65	65	67	66	68	73	71	77	74	74	78	78	75	76	78	88	82	83	81	84	79	83	80	83	83	87	85	87	90	87	92	94	92	91	90	93	97	95	93	97	95	105	101	98	98	102	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	4	4	4	5	6	5	6	5	7	7	8	8	8	8	9	9	10	10	10	10	10	10	11	11	11	11	11	12	12	13	12	12	13	13	12	12	13	14	13	14	13	14	13	14	13	14	14	14	14	14	15	14	15	15	15	15	15	15	16	16	15	16	16	17	17	16	16	17
500	-1014.863624160100017	-1012.806414179296667	-2.057209980803357	0.000010017596643	0.000024953938071	2.491010465054288	0.174110579391907	0	8	17	23	17	15	26	27	32	27	40	31	32	42	40	38	52	52	46	46	50	59	57	56	59	48	65	56	64	50	59	75	67	76	73	76	79	76	72	75	78	88	82	83	77	82	80	81	77	81	84	84	87	85	88	87	91	95	93	92	88	92	99	98	91	98	95	106	102	100	100	102	0	1	2	6	2	2	3	6	2	2	12	8	4	15	13	13	15	16	16	16	19	16	8	20	16	19	21	16	25	26	28	30	31	12	30	8	25	30	29	33	33	29	30	25	0	30	31	23	0	30	30	23	30	30	26	30	20	30	23	26	30	31	30	30	26	23	31	36	30	31	21	15	1	2	2	2	2	1	2	4	5	2	2	1	2	1	1	1	2	3	2	2	1	2	5	2	4	1	3	2	1	1	1	9	2	10	4	9	3	5	1	2	4	5	5	7	1	9	5	6	1	6	8	5	13	8	12	10	11	9	7	12	10	7	12	13	11	11	8	6	15	9	13	12
1000	-809.779227818358891	-808.280503639088010	-1.498724179270836	0.000009966685293	0.000010948336693	1.098493267441655	0.247811244513671	3	9	15	24	20	21	28	32	34	31	41	30	37	40	47	50	48	45	43	51	55	57	55	59	59	49	64	64	64	52	63	69	72	77	66	73	73	78	72	67	78	85	84	85	80	84	75	84	78	80	82	83	84	87	91	87	86	93	94	90	89	95	98	95	93	96	96	102	102	98	99	104	0	1	2	6	3	2	6	4	5	6	8	4	6	13	14	18	8	14	13	18	26	16	20	18	18	19	21	23	25	26	22	26	31	23	30	40	29	35	29	28	47	39	50	29	0	30	31	33	0	30	30	40	30	30	35	30	31	30	28	30	30	40	30	30	30	57	40	57	35	40	35	57	1	2	1	1	1	2	1	2	2	1	2	2	3	1	2	1	2	1	1	2	2	2	2	2	1	1	2	2	1	1	1	3	4	2	5	2	1	3	2	2	1	2	1	4	1	6	2	3	1	6	7	3	7	5	6	7	6	8	5	9	6	4	11	11	10	3	6	2	10	7	7	5
1500	-703.320886547122086	-701.699566566704902	-1.621319980417180	0.000010037995498	0.000014099094882	1.404572744112554	0.422893728656119	-3	14	9	17	20	29	21	34	36	28	39	35	43	37	49	46	51	43	52	55	61	59	57	57	61	55	66	65	67	56	65	72	69	73	58	73	78	69	72	69	78	88	76	84	83	83	77	76	77	67	83	86	84	86	90	74	85	82	82	93	88	95	98	95	95	96	91	103	101	94	98	101	0	3	1	3	2	4	4	4	5	4	8	6	14	6	16	8	16	14	16	6	26	16	18	16	18	19	21	23	25	26	22	26	31	20	30	31	29	35	25	31	33	39	38	39	0	56	40	31	0	30	38	48	56	53	56	35	40	35	47	35	56	67	35	35	38	67	47	62	50	59	50	57	1	1	2	1	1	2	1	3	3	2	1	1	1	1	1	2	1	2	1	5	1	3	1	2	3	1	1	2	1	1	1	3	1	4	1	2	2	2	1	1	1	2	2	2	1	1	2	2	1	2	2	2	2	1	3	3	3	7	1	7	4	1	9	7	4	2	2	2	5	2	8	3
2000	-640.259586480743792	-638.865565393959514	-1.394021086784252	0.000010027080752	0.000007884025489	0.786273261831300	0.552593813988637	2	15	9	18	24	27	24	28	33	31	32	25	42	32	43	47	52	49	57	54	61	55	59	55	64	60	65	63	68	67	65	75	70	76	69	71	79	71	74	71	79	81	79	80	75	81	78	81	79	78	84	88	83	80	87	88	89	97	88	87	91	83	95	94	94	92	93	95	103	94	94	102	0	3	1	3	3	4	2	4	5	6	6	4	14	6	14	15	15	15	20	18	19	18	18	18	20	19	21	22	25	26	28	26	23	24	30	31	29	35	29	31	33	39	38	39	0	35	31	47	0	35	46	48	38	50	46	50	47	54	40	35	38	40	38	38	56	57	62	57	65	59	38	67	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	4	1	1	3	2	1	1	2	1	2	1	1	2	2	1	1	1	1	2	3	1	1	2	3	4	4	2	3	2	6	5	1	1	2	1	1	1	5	3
2500	-607.416334857611218	-605.912033890733028	-1.504300966878178	0.000009934029379	0.000011056829877	1.113025687258399	0.709423787215269	0	15	10	16	22	28	20	34	30	28	38	25	36	41	45	43	49	46	52	49	56	56	55	59	64	63	63	68	66	67	65	71	72	73	69	73	81	76	74	78	74	86	82	83	78	75	75	82	74	79	84	89	83	84	91	85	91	93	90	92	90	81	98	95	89	94	95	98	98	94	95	103	0	3	1	3	3	4	4	12	5	12	6	4	6	13	13	13	14	16	16	16	19	16	18	18	22	21	21	22	25	26	23	26	31	24	30	31	29	35	29	31	33	37	50	39	0	35	31	47	0	35	46	48	50	38	51	35	62	35	40	56	50	31	58	58	51	62	57	62	65	59	54	62	1	1	1	1	2	2	1	2	2	1	2	1	1	1	2	1	2	1	2	2	1	2	2	1	2	1	1	1	1	1	2	1	1	2	1	2	3	1	2	2	1	1	1	2	1	1	2	2	1	2	2	1	1	2	1	2	2	3	2	2	2	2	1	1	1	2	1	4	2	1	1	3
3000	-592.406505862284916	-590.553546865388284	-1.852958996896583	0.000010337898462	0.000020357231325	1.969184684766522	0.700500094647842	3	16	14	22	20	29	25	32	29	29	39	35	38	40	43	45	47	49	53	55	57	59	57	54	62	61	62	66	66	64	69	72	73	73	73	74	78	75	77	75	77	88	80	84	74	77	78	84	78	78	84	88	83	86	89	82	91	89	78	92	89	85	96	82	91	94	93	104	98	94	98	104	0	3	1	2	2	4	4	6	5	4	12	8	12	13	14	13	14	15	16	18	19	18	16	18	16	21	21	22	25	26	28	26	31	24	30	23	29	35	29	31	33	39	38	39	0	35	31	47	0	38	46	48	38	38	51	38	40	50	31	54	35	36	56	38	56	57	62	57	65	59	58	67	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	3	1	2	1	1	1	1	2	1	2	2	3	2	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1
3500	-597.576539435357631	-596.054130437660092	-1.522408997697549	0.000010357319366	0.000012010439276	1.159608857438767	0.677939692201638	3	12	14	22	20	24	26	30	25	28	41	32	42	40	49	45	53	49	55	54	58	51	56	60	62	63	63	64	66	66	65	71	72	76	72	74	78	77	72	71	77	83	81	77	81	81	79	76	78	84	85	85	87	84	87	85	94	89	94	79	91	93	93	95	92	98	97	104	98	98	93	100	0	1	2	2	2	4	4	6	5	6	8	6	14	8	16	14	13	16	18	22	19	18	18	20	20	21	21	23	25	26	23	26	31	24	30	23	29	35	29	31	33	39	38	39	0	38	40	40	0	35	46	48	38	35	46	60	62	50	31	38	50	47	53	53	38	47	62	67	65	59	58	67	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	3	1	3	2	2	1	2	2	2	1	1	1	1	2	1	1	2	1	2	3	2	2	2	1	2	4	1	1	1	1	1	1	2	2	1	1	1	1	1
4000	-611.995340667157507	-610.112234661468847	-1.883106005688673	0.000010795727672	0.000022069344345	2.044266492810022	0.757239797305365	2	15	17	21	22	26	24	26	35	28	37	28	42	32	48	41	42	50	57	54	62	56	59	57	63	65	65	63	66	66	66	70	73	77	68	74	74	78	67	75	79	80	83	84	82	86	77	79	79	80	81	84	86	86	88	81	93	91	91	85	91	84	93	92	88	97	95	104	99	98	97	100	0	1	2	2	3	4	4	4	5	8	8	4	16	4	14	14	14	13	20	18	19	18	18	18	22	21	21	23	25	26	23	26	23	20	30	31	29	35	25	31	33	39	50	42	0	51	31	40	0	35	35	48	38	35	51	35	62	51	40	35	50	47	53	60	54	57	62	62	65	59	50	67	1	3	1	1	1	1	1	1	2	1	2	1	1	1	2	3	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	3	1	1	2	2	1	1	2	2	1	1	1	1	2	1	1	2	2	1	2	2	1	2	1	3	3	2	2	1	1	2	1	1	1	2	1	2	2	1
4500	-586.448409734692405	-585.084770180255418	-1.363639554437028	0.000011177277137	0.000006993974679	0.625731525914482	0.752071845263639	4	13	15	18	24	23	26	26	33	28	31	34	38	37	48	45	51	48	58	54	62	56	60	58	62	64	66	62	67	69	69	67	73	72	74	73	78	79	71	73	78	83	79	82	79	81	76	84	78	81	84	88	84	86	88	86	85	90	89	88	92	94	95	90	94	95	92	105	98	98	96	96	0	1	2	2	2	4	6	6	5	5	4	6	8	6	14	14	15	16	18	18	19	20	16	20	18	21	21	23	25	26	23	26	31	24	30	31	29	35	29	31	33	39	35	39	0	35	31	40	0	38	46	48	35	50	51	50	47	56	47	38	54	57	53	56	54	62	57	40	65	59	35	67	1	1	1	1	2	2	1	1	2	1	1	2	2	2	2	1	1	1	1	2	1	1	3	1	3	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	3	2	2	1	2	1	1	1	1	5	1	2	3	1
