step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101
1	-7076.167284081430807	-7074.705201996912365	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.014277816948468	0	2	1	1	3	3	2	4	3	4	5	3	4	7	5	5	5	6	5	4	4	7	6	6	6	5	6	5	6	8	8	7	7	7	6	6	7	8	9	8	7	7	7	8	9	9	10	9	9	8	10	9	9	9	10	9	9	10	9	10	9	10	10	11	12	14	12	12	13	11	12	14	12	12	13	14	14	15	14	13	14	16	14	14	16	17	15	17	17	17	18	17	18	19	20	21	22	23	24	26	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	3	2	2	4	3	3	3	3	3	2	2	4	3	3	3	3	3	3	3	4	4	4	4	4	3	3	4	4	5	4	4	4	4	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	7	6	6	7	6	6	7	6	6	7	7	7	8	7	7	7	8	7	7	8	9	8	9	9	9	9	9	9	10	10	11	11	12	12	13	15
500	-1590.345267312491387	-1587.202246116542256	-3.143021195949241	0.000010024900481	0.000060492365495	6.034211073433685	0.051407301694768	1	2	1	-1	1	2	-1	1	2	3	5	3	1	8	6	5	5	6	5	4	4	7	6	6	6	5	7	4	5	8	7	6	7	7	5	7	7	7	6	8	6	8	5	9	8	10	10	10	10	6	11	9	8	7	10	9	7	11	9	11	9	10	11	11	12	14	13	12	14	10	13	14	13	13	13	14	12	16	15	14	14	13	14	15	16	17	16	17	17	17	19	18	19	20	21	22	22	23	25	27	30	4	4	4	0	7	7	0	4	4	5	6	6	7	4	5	5	6	43	9	10	13	8	8	10	12	12	13	13	20	16	15	5	16	43	20	25	26	28	20	8	13	31	6	43	23	13	29	33	34	35	35	37	20	39	41	8	8	28	50	37	39	50	53	53	23	57	13	50	60	50	62	53	56	57	26	61	53	62	70	56	70	53	61	57	39	54	54	53	56	82	54	53	54	53	54	76	54	61	0	0	0	1	2	1	1	1	2	1	1	2	1	1	1	2	5	3	2	2	1	1	1	2	4	2	2	2	1	2	2	1	2	1	3	1	2	1	1	1	2	1	6	2	1	2	2	1	8	3	2	2	1	4	1	2	1	2	6	3	5	2	2	2	2	2	1	5	6	6	5	1	3	2	4	4	4	5	4	2	6	3	3	4	2	2	5	6	5	7	6	5	2	6	5	7	4	11	8	10	9	1	1	1
1000	-1208.809415421595077	-1206.275235387719022	-2.534180033876161	0.000010047643916	0.000038849853769	3.866563553887121	0.286682301123656	-1	3	0	-2	2	2	-1	2	3	3	4	4	2	7	4	5	5	6	6	4	4	8	3	7	6	5	5	4	6	8	7	7	6	8	6	7	7	6	6	9	7	8	7	9	8	10	10	8	9	8	10	9	9	10	11	8	8	11	10	10	8	10	10	11	12	14	13	13	13	11	11	13	13	13	13	11	14	16	15	13	15	17	12	15	13	18	16	15	18	18	18	18	19	20	21	21	21	24	23	25	28	4	1	7	0	3	7	0	1	1	5	6	6	3	1	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	16	15	5	16	43	20	25	26	28	20	23	13	31	18	34	23	13	29	33	34	35	35	37	39	61	41	23	23	28	50	37	39	50	61	53	45	57	46	59	60	62	62	53	56	57	37	61	64	70	70	56	70	72	53	57	76	76	72	76	80	87	85	85	88	76	85	76	76	76	0	0	0	1	2	1	1	1	2	1	1	2	1	1	1	1	3	1	2	2	2	1	1	1	3	1	2	1	1	3	2	2	2	2	2	1	1	1	1	1	1	1	5	2	1	1	1	3	7	2	1	1	2	4	1	2	1	2	2	3	3	1	2	2	1	1	1	2	5	2	2	2	1	1	2	4	3	4	3	2	3	2	3	3	3	1	5	2	4	3	2	3	1	2	3	3	5	5	8	6	9	1	1	1
1500	-1060.449817544125835	-1057.915268776300763	-2.534548767825130	0.000010106643106	0.000039089736552	3.867727012929294	0.579355968987607	0	2	2	-1	3	2	1	5	3	4	3	4	4	7	4	5	6	4	5	5	5	8	6	6	5	6	6	6	6	8	7	7	7	7	6	7	7	8	7	9	7	8	6	9	9	9	10	10	10	8	11	8	10	9	9	7	7	10	10	10	9	10	11	11	12	14	12	12	13	11	12	13	12	11	13	12	15	15	13	14	15	17	15	15	15	17	15	17	17	16	18	17	18	20	21	22	23	24	24	27	29	4	1	7	0	3	7	0	4	1	5	6	6	7	1	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	5	15	5	16	43	20	25	26	28	20	23	27	31	18	34	23	28	29	33	34	35	35	37	39	39	41	8	23	46	50	52	39	50	61	54	45	57	46	59	60	62	62	53	56	57	60	53	64	70	70	73	70	87	54	74	76	54	72	76	80	87	85	85	85	76	93	76	76	94	0	0	0	1	2	1	1	1	1	1	3	2	1	1	1	1	4	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	3	1	1	1	2	2	2	3	1	1	2	2	1	2	2	1	1	1	1	1	2	2	1	2	2	2	4	2	1	1	1	1	1	4	2	2	1	2	3	1	1	2	1	3	2	2	5	2	3	2	1	3	1	1	4	2	6	7	2	1	1	1
2000	-1008.478451045952625	-1006.235190438090967	-2.243260607861672	0.000010258961767	0.000030761092823	2.998460616379666	0.581200592818615	1	2	1	0	2	2	0	5	3	4	6	3	3	6	5	6	5	6	6	5	5	8	6	6	4	5	6	5	7	8	8	8	7	7	6	6	8	9	7	8	7	6	8	9	8	7	10	9	9	8	11	9	10	9	10	8	10	11	9	9	10	10	10	11	12	14	12	13	13	11	13	13	12	12	13	11	15	15	14	13	14	17	14	13	16	16	15	17	17	18	19	17	17	19	20	20	22	24	24	26	29	4	4	7	0	7	7	0	4	1	5	6	6	3	1	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	5	15	16	16	18	20	25	26	28	20	23	27	15	34	34	23	28	29	33	34	35	35	37	39	39	41	8	45	46	50	37	39	50	39	54	45	57	58	59	60	62	62	54	56	57	60	54	64	70	70	56	70	87	72	74	76	76	72	76	80	82	85	85	85	88	93	76	76	96	0	0	0	1	1	1	1	1	1	1	2	1	1	2	1	1	3	2	2	2	3	2	1	2	2	1	1	1	2	2	1	1	3	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	2	2	2	1	2	1	2	1	1	2	1	1	2	1	2	1	2	2	1	2	2	1	1	2	3	1	3	1	2	2	1	3	2	1	1	1	3	3	1	3	2	1	1	1	1	1	2	5	5	2	1	1	1
2500	-983.700124268079662	-981.163839230039684	-2.536285038040020	0.000010381553955	0.000040209914518	3.873207681041269	0.699829141537354	0	2	2	-1	2	3	-1	4	3	4	6	4	3	6	5	4	5	5	6	5	5	8	6	6	6	6	6	5	7	9	7	8	6	6	6	7	7	9	7	9	8	8	8	8	8	9	10	9	9	8	10	8	10	9	9	9	10	10	9	11	8	10	10	11	12	14	13	13	14	11	12	13	12	12	14	13	14	14	14	14	14	16	14	15	15	17	15	17	17	17	18	18	18	19	20	21	22	24	24	26	28	4	4	7	0	7	3	0	3	1	5	17	6	3	4	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	5	15	5	5	18	20	25	26	28	20	23	27	31	34	34	23	28	29	33	34	35	35	37	39	39	41	45	45	46	50	52	39	50	39	54	45	57	58	59	60	62	62	54	56	57	60	54	64	70	70	73	70	87	72	74	76	76	72	76	80	87	85	85	85	88	93	76	94	96	0	0	0	1	2	2	1	2	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	2	2	1	1	2	1	2	1	1	4	1	3	3	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	3	2	1	2	2	1	1	1	2	1	3	1	2	1	2	1	2	1	1	1	1	3	1	2	1	1	1	2	2	1	1	3	2	2	1	1	1
3000	-1002.325197502744118	-999.771046106471317	-2.554151396272756	0.000010630462751	0.000041775808018	3.929820271939700	0.714553752557995	1	2	1	0	2	2	0	4	4	3	4	3	4	8	4	5	5	5	6	4	5	7	6	7	5	5	5	5	5	8	8	5	7	7	5	6	6	8	10	7	7	7	8	9	8	9	10	10	7	8	10	7	8	10	10	9	9	11	10	9	9	11	11	12	13	15	13	13	13	12	12	12	12	13	12	13	15	15	14	13	14	17	13	15	16	17	15	17	17	16	19	17	19	19	20	21	23	23	24	27	27	4	4	7	0	7	7	0	4	1	5	6	6	3	1	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	5	15	5	16	18	20	25	26	28	53	23	27	15	34	34	23	28	29	33	18	35	35	37	29	53	41	45	23	46	50	52	53	50	53	53	45	57	58	59	75	62	62	53	56	57	60	72	64	70	70	73	70	87	72	74	76	76	72	76	80	87	85	85	85	88	93	88	94	96	0	0	0	1	2	1	1	1	1	1	1	2	1	2	1	1	4	1	2	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	3	1	1	1	1	1	2	1	2	1	1	2	1	2	2	3	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	1	2	1	1	1	1	2	2	1	1	1	1
3500	-941.937662569416943	-939.757191842010570	-2.180470727406394	0.000011268702961	0.000031815625548	2.823361806433320	0.621840617520133	1	2	2	0	2	2	1	3	2	3	5	3	3	5	5	5	5	6	6	5	4	7	5	5	5	5	5	4	7	9	9	7	8	7	6	6	7	8	9	7	7	7	7	8	8	8	10	10	9	8	10	9	8	10	11	10	9	10	9	11	10	10	10	12	12	14	12	12	14	12	13	13	12	12	12	13	14	15	14	13	14	17	15	14	16	17	15	17	17	17	18	17	18	19	19	22	22	23	23	27	30	4	4	7	0	7	7	0	1	1	5	6	6	7	1	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	16	42	5	5	18	20	25	26	28	53	23	27	15	18	34	23	28	29	33	34	35	35	37	20	53	41	45	23	46	50	52	39	50	39	54	45	57	58	59	75	62	62	39	56	57	60	54	64	70	70	56	70	87	72	74	76	76	72	76	80	87	85	85	85	88	93	94	94	96	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	3	2	1	2	1	2	2	2	2	1	1	2	1	2	1	2	1	1	1	1	2	3	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1
4000	-923.139038651817032	-920.325125992007884	-2.813912659809134	0.000011931018766	0.000057258433630	4.799123591444742	0.742482086897939	1	2	1	0	3	2	-1	4	2	4	5	4	3	7	5	6	4	6	6	5	5	8	6	7	6	5	6	6	7	8	9	8	7	7	7	7	7	8	9	9	8	7	8	8	8	8	11	9	9	8	10	9	7	10	10	9	9	10	9	10	10	10	10	11	12	14	12	12	12	12	13	14	12	12	13	15	14	14	15	13	14	17	15	14	16	18	15	17	17	18	18	18	18	18	20	21	22	23	25	26	29	4	1	7	0	3	7	0	1	4	5	6	6	3	1	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	16	42	5	5	18	20	25	26	28	53	23	27	15	34	34	23	28	29	33	34	35	35	37	20	53	41	45	45	46	50	52	53	50	53	54	45	57	58	59	60	62	70	54	56	57	69	54	64	70	70	56	70	87	72	74	76	76	72	76	80	82	85	85	85	88	93	94	94	96	0	0	0	1	1	1	1	1	1	1	2	1	1	2	1	1	3	1	2	2	2	2	1	1	2	1	2	1	1	2	1	1	1	1	3	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1
4500	-886.236308024054551	-884.279087484169622	-1.957220539884950	0.000014199049353	0.000031685339460	2.231511326780223	0.699348318785116	1	2	1	0	3	2	0	4	3	4	5	3	3	7	6	5	6	6	4	5	4	7	7	7	5	5	5	5	7	9	8	7	6	7	7	7	7	6	10	8	7	7	8	8	9	8	10	8	9	8	10	9	7	10	9	10	10	11	10	11	9	10	11	11	12	15	13	13	13	11	12	13	13	13	14	14	14	15	14	14	14	16	14	14	16	18	14	17	17	18	19	18	17	20	19	21	22	24	23	26	28	4	4	7	0	3	7	0	4	1	5	6	6	3	1	5	5	6	6	9	10	13	8	8	10	12	12	13	13	20	16	42	16	16	18	20	25	26	28	61	23	27	15	34	34	23	28	29	33	34	35	35	37	20	53	41	23	45	46	50	52	53	50	61	54	45	57	58	59	60	62	62	54	56	57	69	54	64	81	70	73	70	87	72	74	76	76	72	54	80	82	85	85	85	88	93	94	94	96	0	0	0	1	1	1	1	1	1	1	2	1	1	2	1	1	3	1	1	2	2	1	1	1	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1	2	2	1	3	1	1	2	1	1	1	1	1	1	2	1	1	1
