step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-429.363011366320734	-436.218499317280134	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.350424226947401	-1	1	2	5	9	9	8	9	10	11	10	10	12	11	14	14	13	15	13	14	15	15	15	19	24	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	5	5	5	6	6	6	6	7	6	8	8	7	8	7	8	8	8	8	10	13	12
500	-212.577497858950551	-219.432985809909923	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.360621974657145	-2	1	2	4	10	7	8	8	10	11	10	10	12	12	14	14	13	15	12	14	16	15	14	19	24	21	0	1	2	2	4	4	4	4	6	7	4	4	8	12	14	8	4	14	10	5	17	20	17	23	22	17	1	1	1	3	4	2	1	3	1	2	3	3	3	1	2	4	6	1	1	3	2	1	1	5	4	4
1000	-203.951281606327825	-210.806769557287197	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.400281340335070	-1	1	2	3	10	9	7	7	10	12	9	10	12	12	15	13	13	14	14	14	16	15	16	20	24	23	0	1	2	1	7	7	4	4	7	9	7	8	8	12	8	14	14	12	10	1	9	5	8	15	20	15	1	1	1	2	3	1	3	2	2	1	1	2	2	2	5	1	1	2	1	8	3	2	4	3	4	5
1500	-195.206146483479358	-202.061634434438730	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.527866333386675	-2	1	3	6	9	9	8	9	10	12	11	11	12	11	14	15	13	16	12	14	16	16	16	20	25	23	0	1	2	2	4	4	4	4	4	7	4	8	8	8	14	12	14	13	4	5	11	20	15	23	20	8	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	3	3	1	1	2	4	5
2000	-197.915282478439707	-204.770770429399079	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.584268275402665	-1	1	3	4	9	8	8	9	11	11	9	11	13	11	14	15	13	15	12	15	15	16	15	19	24	22	0	1	2	1	1	1	4	4	11	7	6	8	14	8	14	12	8	14	7	5	6	20	15	23	22	12	1	1	1	2	4	3	2	2	1	1	1	1	2	1	2	3	2	2	2	2	3	1	1	2	3	4
2500	-189.626295108243710	-196.481783059203082	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.539182495850148	-1	0	2	6	10	8	9	9	11	11	9	11	13	12	13	15	14	15	14	14	16	14	15	19	23	23	0	1	2	1	1	4	6	4	11	7	4	8	4	4	8	14	13	4	7	5	11	5	14	23	22	16	1	1	1	2	5	1	1	1	1	1	1	2	3	3	2	2	1	4	2	2	3	2	2	2	4	4
3000	-187.986044937116986	-194.841532888076358	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667487780924029	-1	1	2	5	10	10	7	7	10	11	10	9	12	10	15	14	13	15	13	13	15	16	14	19	23	23	0	1	2	1	4	7	4	4	4	7	4	8	14	8	17	14	14	8	10	5	11	20	14	23	22	24	1	1	1	3	1	2	1	1	3	1	3	1	1	2	1	2	2	4	1	1	2	2	1	3	4	2
3500	-184.181639124074678	-191.037127075034050	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.599593511104012	-1	1	2	5	10	7	8	8	8	11	10	10	12	10	14	14	13	15	13	14	14	16	15	19	23	23	0	1	2	1	4	4	6	4	4	7	9	8	14	8	14	14	8	15	10	5	11	20	8	23	20	16	1	2	1	2	3	1	1	2	2	2	1	1	1	1	2	1	2	1	1	2	1	1	2	2	4	4
4000	-183.985301912150817	-190.840789863110189	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515678822169788	-1	1	3	6	10	9	7	8	8	11	11	11	11	12	13	15	13	15	12	11	15	15	15	19	23	21	0	1	2	1	4	7	4	4	4	7	9	8	4	8	12	12	8	12	7	5	10	20	14	23	22	16	1	1	1	3	3	1	1	1	1	2	1	2	2	2	1	2	2	1	2	1	2	2	2	2	3	2
4500	-200.560299055579293	-207.415787006538665	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589736568428908	-1	2	3	5	10	9	7	9	11	11	9	11	12	12	12	14	14	15	13	12	14	14	15	19	24	24	0	1	2	1	4	7	4	4	11	7	7	8	8	12	4	14	8	12	10	5	11	20	12	23	20	14	1	2	1	2	2	1	2	2	1	1	1	1	1	1	3	1	3	2	1	1	2	1	2	2	6	7
5000	-194.768427372968404	-201.623915323927775	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626891964534901	-2	1	3	6	10	9	8	10	9	12	8	10	11	9	14	14	13	16	12	13	13	15	14	19	24	23	0	1	2	2	4	4	4	14	4	7	4	14	14	4	8	8	14	15	7	4	11	20	4	23	20	16	1	1	1	3	1	2	1	1	1	3	1	1	1	2	2	3	2	1	2	2	3	1	3	2	5	4
5500	-185.923765913782347	-192.779253864741719	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583487497924381	0	1	3	5	10	10	9	9	10	11	9	11	13	12	15	14	13	16	13	14	15	15	15	20	24	23	0	1	2	1	4	7	4	4	4	11	4	8	14	12	8	8	12	16	10	5	9	20	8	23	20	16	1	1	1	2	2	1	2	2	3	1	2	2	1	1	2	2	1	1	1	2	2	1	2	3	5	5
6000	-195.839762699163771	-202.695250650123143	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579316648959828	-2	1	3	4	9	8	7	9	11	11	10	10	12	11	14	13	13	15	13	12	15	15	15	19	22	23	0	1	2	2	2	7	4	4	11	7	7	8	12	12	14	8	8	12	7	5	11	20	8	23	20	8	1	2	1	1	3	1	2	2	1	3	1	1	1	1	2	2	1	2	3	2	3	2	3	2	7	6
6500	-201.462142174645578	-208.317630125604950	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.448122206496916	0	1	3	6	9	9	9	9	11	11	10	10	11	10	15	14	13	15	13	15	16	16	15	19	24	23	0	1	2	1	1	4	4	4	6	7	7	8	8	4	14	8	14	12	7	6	11	20	14	23	20	15	1	1	1	2	5	2	1	2	1	1	1	1	2	3	3	3	2	2	3	4	4	1	3	2	5	3
7000	-207.959819145257171	-214.815307096216543	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583873270285065	-1	2	3	5	8	9	8	10	11	11	10	9	12	11	13	14	12	15	13	12	13	15	15	18	24	24	0	1	2	2	1	4	1	12	6	6	6	4	12	8	8	13	8	15	10	5	10	20	15	23	20	12	1	1	1	2	6	2	3	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	2	2	4	7
7500	-185.462152929647857	-192.317640880607229	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589488375035654	-1	1	2	5	8	9	7	10	10	10	9	10	12	12	14	13	14	14	13	13	15	16	15	19	24	23	0	1	2	1	4	7	4	4	11	7	4	4	12	4	14	8	16	12	10	4	11	20	16	23	22	16	1	1	1	3	1	1	1	3	1	2	2	2	1	2	2	2	1	1	1	4	3	2	1	2	4	5
8000	-193.790733812779365	-200.646221763738737	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.447032990002410	-2	1	2	6	6	9	9	9	10	11	11	11	12	11	13	14	14	15	14	14	15	15	16	20	24	23	0	1	2	1	1	4	4	4	4	7	9	8	14	8	14	8	8	8	10	5	9	20	8	23	20	18	1	1	1	3	4	2	1	2	1	1	1	1	1	1	1	2	2	2	3	4	3	1	2	2	5	3
8500	-181.495974074064634	-188.351462025024006	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.341702567898599	0	1	2	5	9	8	8	9	10	11	9	11	11	11	14	14	14	15	13	14	16	15	16	20	23	24	0	1	2	1	4	4	4	4	4	7	4	8	8	8	12	8	14	12	10	5	9	20	15	23	20	14	1	1	1	3	3	1	2	2	2	2	2	1	1	2	2	2	2	2	1	2	3	1	1	2	5	5
9000	-183.684511602856617	-190.539999553815989	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.553380621299529	-1	1	3	5	9	9	8	9	10	12	8	11	13	12	15	14	14	14	13	14	15	16	14	19	24	24	0	1	2	2	4	7	4	4	11	7	4	8	8	12	14	14	8	12	7	5	19	20	8	23	20	16	1	1	2	2	2	1	1	2	1	2	2	1	2	1	1	1	2	2	4	2	1	1	2	2	4	6
