step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97
1	-3254.200543690072209	-3261.056031641031495	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.004848926542219	-1	2	4	8	9	12	13	12	16	14	15	17	16	17	16	17	17	18	18	18	17	19	19	19	19	19	18	18	18	19	20	21	20	23	22	24	24	24	25	25	26	27	26	27	28	29	28	28	29	30	30	30	31	32	31	33	32	34	33	34	34	37	35	35	35	36	37	37	38	37	38	38	37	37	39	41	40	42	41	42	44	42	42	43	44	43	45	44	43	43	44	48	45	46	48	48	47	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	5	7	7	7	9	8	8	9	9	9	9	9	9	10	10	10	9	10	10	10	10	10	10	10	10	10	11	11	11	12	12	13	13	13	13	13	14	14	14	14	15	15	15	15	15	16	16	16	16	17	16	17	17	18	17	18	18	19	18	18	18	19	19	19	20	19	20	20	19	19	20	21	21	22	21	22	23	22	22	22	23	22	23	23	22	22	23	25	23	24	25	25	24
500	-1135.787146553305547	-1142.642634504264834	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.016706041846079	-1	2	4	8	9	9	13	10	17	13	13	17	15	15	15	16	15	17	19	19	17	19	20	20	19	19	17	18	16	19	21	20	20	24	22	25	24	22	25	25	26	27	27	28	27	29	27	26	29	30	30	30	31	32	32	34	32	34	33	34	35	38	36	35	36	37	37	38	38	35	38	38	37	38	40	40	40	42	40	43	44	42	43	43	45	42	46	44	43	43	44	49	45	47	48	48	47	0	1	1	3	0	0	5	4	1	6	6	11	4	10	11	17	6	1	6	14	1	6	1	6	14	1	15	27	6	6	10	6	11	6	27	6	13	3	27	31	1	25	17	4	2	22	1	11	19	6	27	15	3	13	11	3	7	25	4	46	2	52	25	8	31	13	1	35	1	53	7	25	31	17	15	2	8	32	2	32	4	46	6	15	1	32	66	18	1	14	17	17	9	32	35	1	12	1	2	3	2	1	1	2	1	10	1	2	2	3	1	1	1	4	8	5	3	10	5	10	7	3	9	1	1	6	4	4	8	2	10	3	11	4	11	6	3	13	4	9	10	12	6	14	5	6	11	10	7	14	11	12	18	11	8	14	4	17	4	9	13	7	13	19	10	20	3	16	10	10	18	15	20	17	12	20	15	23	7	18	15	23	11	6	16	21	17	22	23	17	21	16	24	13
1000	-831.808679535048100	-838.664167486007500	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.108234358339300	-1	1	4	6	9	11	11	11	17	14	16	18	16	16	15	18	17	18	18	18	17	18	19	20	19	19	18	19	19	19	19	22	20	23	21	24	24	25	25	23	26	27	26	27	28	30	29	29	30	30	30	29	30	33	30	33	31	34	34	35	31	38	35	33	35	37	36	37	37	38	39	38	37	37	40	41	40	43	40	42	45	43	43	44	43	41	44	45	42	43	45	48	46	44	49	48	47	0	1	2	3	0	0	5	3	10	6	10	14	6	10	3	17	6	14	6	14	7	10	1	27	19	16	13	6	22	13	17	12	22	24	14	17	31	15	40	25	4	26	34	3	38	38	1	41	43	35	28	9	10	49	34	3	15	26	26	61	28	38	50	1	53	47	1	23	6	63	57	14	25	28	24	57	3	42	1	53	57	61	42	24	3	63	86	63	2	17	26	44	40	15	23	1	65	1	1	2	1	1	1	1	3	2	1	2	1	3	1	7	1	3	1	2	2	4	2	11	1	1	1	1	5	1	2	1	1	2	2	2	3	3	5	1	3	10	4	1	14	1	3	18	1	3	4	5	6	9	1	3	16	8	10	10	1	6	10	3	17	2	5	21	10	15	2	6	13	9	8	14	4	19	11	20	8	7	6	8	16	21	3	1	5	20	14	16	13	16	16	17	25	9
1500	-789.118386834515263	-795.973874785474663	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.201727738835757	-4	1	3	8	9	12	13	12	17	14	15	17	15	17	16	16	18	18	18	17	18	19	19	19	20	19	16	18	17	19	19	20	21	23	23	25	25	24	25	26	26	26	26	27	29	29	29	28	28	31	31	30	31	33	31	34	33	33	33	34	32	38	36	35	35	36	36	38	38	37	38	38	36	37	40	41	39	42	42	41	45	43	42	42	44	42	46	45	43	44	45	49	45	46	48	48	47	0	1	1	3	0	0	3	5	6	6	6	15	8	11	2	11	10	16	6	11	10	29	4	27	12	18	7	13	11	29	19	28	22	10	25	24	26	33	32	28	27	35	37	20	27	19	3	34	34	40	32	45	7	49	11	6	22	44	7	52	17	54	35	57	53	56	1	50	10	58	74	45	13	58	19	64	38	58	1	69	68	46	56	45	48	74	86	73	58	41	77	40	19	7	26	8	50	1	2	4	2	1	1	6	2	2	1	1	1	2	1	9	1	2	1	2	1	1	1	8	2	1	1	1	2	1	1	1	1	2	2	2	3	5	1	3	3	5	1	1	7	6	4	15	3	3	2	4	1	12	3	7	13	7	3	11	2	7	3	7	1	3	1	18	5	11	2	1	5	12	2	10	3	7	3	22	2	4	7	4	6	8	3	2	6	7	10	4	12	16	18	17	21	9
2000	-657.816162058586315	-664.671650009545715	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.290042054292616	-1	2	4	8	9	12	14	12	16	14	15	16	16	17	16	17	18	19	19	18	17	20	19	19	20	19	19	18	19	19	21	21	20	22	22	24	23	24	24	25	26	28	26	27	27	28	28	27	29	30	30	29	31	32	31	32	33	34	33	35	33	37	35	33	35	35	37	38	35	37	37	38	37	37	40	41	38	42	41	42	44	42	43	44	42	43	45	44	43	43	45	49	44	44	48	48	46	0	1	2	3	0	0	4	1	8	6	6	10	5	12	10	11	10	28	10	12	11	6	1	12	18	3	11	14	17	11	21	20	29	15	25	22	31	21	32	28	17	48	34	23	25	19	31	31	45	35	48	47	13	48	21	49	55	50	48	64	21	54	53	48	57	55	23	56	9	38	60	39	50	65	68	73	28	77	9	50	82	38	61	50	59	75	82	77	70	58	73	43	50	28	80	73	68	1	1	1	2	1	1	3	5	2	1	2	1	4	1	2	1	2	1	4	1	1	4	11	2	1	5	2	1	1	2	1	2	1	3	1	2	1	5	1	4	3	1	3	4	4	5	3	3	1	5	2	1	5	3	6	2	1	2	3	1	8	3	2	3	1	2	11	4	9	6	1	7	3	1	1	2	11	2	14	6	1	9	5	7	6	1	2	2	4	4	5	12	8	11	2	5	3
2500	-577.591715554631037	-584.447203505590437	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.405863528527828	-1	2	4	8	9	12	14	12	14	15	16	17	16	17	16	18	17	18	15	19	17	18	19	19	19	20	16	18	19	19	21	20	20	23	22	25	23	24	26	25	26	27	26	28	28	28	27	29	28	30	31	30	31	32	30	33	30	34	33	34	35	37	36	35	34	36	36	38	38	37	39	39	37	38	38	42	41	42	42	41	45	42	41	43	44	43	45	42	43	44	44	48	45	46	49	49	47	0	1	2	3	0	0	6	1	8	6	6	15	19	27	19	21	7	27	6	12	13	21	21	15	12	22	6	15	28	10	10	23	29	15	25	26	23	20	20	9	29	28	38	42	40	34	36	41	41	41	57	45	40	55	46	44	14	42	53	57	47	49	61	48	7	60	47	58	67	58	70	56	59	70	70	61	52	58	15	61	77	45	51	68	72	75	77	68	57	84	79	45	45	91	85	90	89	1	2	1	1	1	1	1	6	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	2	1	1	2	3	1	1	2	1	4	2	3	3	6	4	4	1	1	2	3	1	1	2	1	1	1	3	1	1	3	6	4	1	2	3	4	1	3	12	2	5	3	1	2	1	3	3	1	1	3	6	4	13	4	2	7	5	3	3	3	2	2	5	1	1	10	9	1	2	3	3
3000	-627.809296138601667	-634.664784089561067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.408400443928173	0	2	4	8	10	13	13	11	17	14	15	18	16	17	16	16	17	18	18	18	17	17	19	19	20	20	18	17	17	19	20	20	20	23	22	23	23	24	25	26	24	28	26	25	29	30	28	29	29	31	30	30	30	32	32	32	31	34	34	35	35	36	36	36	36	37	38	36	38	37	38	38	36	37	39	42	40	43	41	43	45	42	42	42	44	43	45	43	42	43	45	48	45	46	49	48	48	0	1	2	3	0	0	8	4	11	6	6	14	6	10	7	6	11	10	6	29	10	6	14	27	18	18	22	15	6	22	19	12	27	10	9	30	26	35	26	36	21	25	21	31	40	34	38	7	9	28	23	36	38	49	46	52	40	19	55	59	59	54	57	53	55	61	48	41	57	50	64	60	53	58	70	55	65	70	72	75	50	64	69	75	78	70	79	68	30	84	88	77	65	84	94	78	93	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	2	2	4	1	2	1	1	1	1	1	1	1	3	1	1	1	2	6	2	3	1	1	3	1	4	3	3	3	1	3	1	7	6	7	4	5	3	2	1	1	2	7	1	1	1	2	4	3	2	1	4	9	3	2	1	1	4	1	1	5	2	3	1	2	6	4	2	2	1	4	2	6	11	1	1	3	4	2	1	2	2
3500	-542.050611663274822	-548.906099614234222	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.449702567592855	-2	2	4	8	10	13	13	11	15	15	15	18	15	17	17	18	17	18	17	18	16	18	20	18	20	19	19	17	17	19	20	21	20	23	22	24	25	24	25	25	27	25	27	28	28	28	28	29	29	30	30	30	30	32	31	34	32	34	33	34	35	37	35	35	35	36	37	38	39	36	39	39	36	37	39	42	41	42	39	42	43	42	42	43	44	43	43	43	44	44	44	49	45	46	48	47	46	0	1	1	3	0	0	8	5	2	6	6	14	4	11	7	6	10	11	21	14	11	21	13	29	14	29	10	6	6	29	26	28	22	24	25	30	31	27	32	34	14	25	40	42	36	40	13	40	40	35	40	49	45	49	43	53	55	42	51	53	57	55	44	49	52	60	60	42	58	65	70	65	57	63	63	67	63	63	64	69	69	57	54	80	79	75	80	58	83	84	88	82	84	91	91	72	87	1	1	3	1	1	1	1	1	7	1	1	1	3	1	2	2	1	1	1	1	1	1	2	1	2	1	3	2	2	1	1	3	1	3	1	2	3	3	2	1	3	3	1	1	3	1	6	2	2	4	1	1	2	1	2	1	1	5	2	2	2	2	4	3	2	1	1	10	2	1	2	3	3	1	2	2	3	4	2	2	2	5	4	1	3	2	1	4	1	1	1	3	1	1	2	5	2
4000	-572.861407882368439	-579.716895833327840	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523743886589313	-2	1	3	8	10	12	14	12	17	15	14	17	16	18	16	18	16	18	16	19	17	19	19	17	20	20	19	19	17	20	21	21	20	24	23	24	24	24	25	25	25	28	26	26	28	30	28	29	30	31	30	28	31	33	31	34	33	35	33	34	35	34	35	35	34	37	37	37	38	36	37	38	37	37	39	42	40	39	42	39	44	40	43	44	43	43	44	44	43	42	44	47	45	44	46	48	46	0	1	2	3	0	0	5	5	8	6	8	11	7	10	7	17	6	17	11	12	8	11	9	19	14	19	12	13	6	10	26	18	19	18	32	30	33	32	38	34	38	41	26	37	35	34	44	43	43	35	41	44	39	55	49	52	42	50	55	48	34	49	45	65	50	60	59	35	67	57	64	71	64	70	68	63	64	61	56	61	80	49	82	80	60	75	66	50	69	77	80	79	84	68	81	94	84	1	1	1	3	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	3	3	1	1	2	2	1	1	2	2	1	1	2	3	1	1	2	1	1	1	1	1	2	1	2	4	1	2	2	3	2	1	3	1	1	2	2	2	1	3	6	2	4	1	2	2	2	7	1	2	1	1	1	1	1	4	2	2	4	3	2	4	1	3	4	2	4	8	2	1	2	1	1	2	1	1	1
4500	-584.150921412642788	-591.006409363602188	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.527946940323788	-1	3	5	8	10	11	13	13	16	12	14	17	14	17	17	18	17	18	18	18	18	19	20	18	19	20	18	16	19	19	20	21	20	23	22	25	22	23	25	26	27	27	26	28	27	28	27	29	29	29	30	29	31	32	32	34	32	34	34	34	35	37	36	34	35	37	38	37	36	36	39	37	37	37	38	40	40	41	41	43	45	42	43	43	44	43	46	41	43	42	44	49	44	46	48	46	48	0	1	1	3	0	0	10	6	11	3	6	11	10	28	13	10	6	15	9	12	15	15	13	28	14	21	11	13	16	17	16	8	10	16	24	34	21	19	18	17	39	35	28	36	33	34	39	33	38	23	41	47	48	40	40	42	53	44	52	46	54	48	53	57	45	60	68	40	52	58	59	48	70	70	56	63	58	70	71	76	82	72	66	90	90	79	81	58	71	71	80	82	84	91	87	83	85	1	2	4	1	1	1	1	1	1	2	1	1	1	1	1	3	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	5	2	2	1	2	3	2	4	1	2	6	2	3	2	1	4	3	3	1	1	1	2	3	3	1	3	2	2	2	5	3	1	4	2	1	5	4	1	3	4	1	1	2	2	3	2	1	2	2	3	3	1	1	1	1	3	3	1	1	4	1	1	1	2	2
