step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103
1	-818.047577991374055	-816.585495906855158	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.284409837918577	0	4	7	8	10	11	11	10	12	12	15	15	14	16	17	16	17	18	19	20	19	20	22	21	21	21	23	24	23	22	22	22	23	23	24	26	24	24	24	24	24	25	25	24	26	26	26	26	26	26	26	27	28	27	27	26	26	27	27	28	27	27	28	29	29	28	28	29	29	30	30	29	29	30	30	31	31	31	31	34	31	33	33	31	32	33	33	34	34	34	37	34	35	35	36	36	35	37	39	42	42	43	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	5	6	6	5	6	6	8	8	7	8	9	8	9	9	10	10	10	10	11	11	11	11	12	12	12	11	11	11	12	12	12	13	12	12	12	12	12	13	13	12	13	13	13	13	13	13	13	14	14	14	14	13	13	14	14	14	14	14	14	15	15	14	14	15	15	15	15	15	15	15	15	16	16	16	16	17	16	17	17	16	16	17	17	17	17	17	19	17	18	18	18	18	18	19	20	21	21	22	23
500	-743.705972991428325	-741.537993187747247	-2.167979803681057	0.000009998946358	0.000027887158283	2.789009689957334	0.129457072297131	0	4	7	9	9	11	11	10	12	12	15	15	13	14	17	16	15	17	19	20	20	19	23	21	22	21	22	24	21	22	23	22	23	24	21	26	24	24	25	25	25	25	25	24	26	24	27	26	27	26	25	27	28	26	26	26	25	27	28	28	26	27	29	29	29	27	28	29	30	30	28	30	29	30	31	31	32	32	32	34	31	34	33	31	32	34	33	34	35	35	37	34	36	36	36	36	35	36	39	43	43	44	46	0	1	2	1	2	2	3	4	5	7	10	6	10	3	16	8	1	2	14	3	16	6	1	6	14	13	10	7	6	14	10	3	1	30	14	1	3	7	9	3	19	6	11	3	2	2	2	9	2	3	8	7	4	1	6	51	1	1	1	42	1	37	7	4	6	4	1	47	3	8	1	1	2	6	12	4	1	1	4	2	2	1	5	3	12	46	1	7	77	5	1	6	1	6	1	38	1	3	1	4	1	19	2	1	2	2	5	3	4	2	1	1	1	1	2	1	4	1	3	5	6	4	8	2	3	12	5	4	4	5	8	6	5	6	9	12	1	2	12	7	7	6	10	3	9	4	9	11	11	13	7	13	9	8	9	11	11	7	1	13	15	14	1	11	2	10	10	11	11	13	1	12	11	13	17	16	11	7	13	16	17	13	19	13	18	15	12	8	7	17	12	2	14	19	14	17	14	18	6	19	14	20	17	20	13	22
1000	-768.584022498830791	-766.825397306942477	-1.758625191888268	0.000010016897339	0.000017404327767	1.737496869386252	0.157574496250616	1	2	7	8	10	12	11	10	12	12	15	15	15	17	17	15	18	18	19	19	20	20	23	21	22	22	23	25	23	23	21	21	23	23	24	27	23	23	24	24	24	24	25	24	26	26	25	26	24	27	26	27	28	28	27	27	25	27	28	28	27	26	28	30	30	27	28	28	30	31	30	30	29	31	30	31	31	31	31	34	28	33	32	32	32	33	32	35	34	35	37	35	36	36	36	36	35	37	40	42	42	43	45	0	1	2	2	1	4	3	2	8	2	10	8	2	9	13	3	7	16	16	7	17	1	2	3	22	22	5	29	22	20	2	3	3	17	15	47	3	20	25	3	22	3	20	14	42	6	3	27	9	20	40	2	24	10	3	44	38	1	3	23	35	25	8	50	1	41	1	27	31	40	8	1	1	58	19	2	4	3	27	70	1	2	22	13	61	47	3	7	7	11	1	17	74	75	3	59	55	87	6	44	2	39	8	1	1	4	2	3	2	3	4	1	3	1	2	7	4	1	6	4	1	2	3	1	7	12	6	2	1	5	2	2	1	10	6	6	2	3	1	6	3	1	9	2	8	3	4	1	8	9	2	7	4	1	14	3	7	9	2	1	11	10	2	1	2	9	1	16	2	14	2	6	5	11	15	15	3	6	14	12	14	5	1	8	15	8	12	3	4	14	13	11	11	18	12	3	2	17	4	3	2	16	8	18	9	19
1500	-761.255336611161283	-759.283334884723331	-1.972001726437899	0.000010071353515	0.000022855419845	2.269349379116763	0.209625658715522	0	4	8	9	10	11	11	11	12	13	15	16	14	16	16	17	18	18	20	19	19	20	22	19	22	21	24	25	22	22	23	22	23	24	24	26	23	23	25	24	24	24	25	24	26	26	25	26	27	27	26	27	28	27	27	25	26	26	24	27	26	26	26	29	30	28	28	29	29	27	29	29	30	30	29	30	32	31	32	32	31	34	33	31	32	32	31	34	35	34	37	33	35	36	35	36	35	36	39	42	42	42	45	0	1	1	3	2	5	2	4	1	9	6	6	3	10	3	7	2	6	14	2	11	2	24	2	15	7	24	15	2	16	19	7	9	12	19	34	20	21	25	7	7	7	19	3	31	21	29	6	59	32	7	1	34	17	44	3	24	3	1	24	56	25	2	32	7	46	1	45	25	47	63	9	5	32	54	12	21	67	65	54	55	1	61	27	48	51	1	20	49	29	1	54	84	87	3	43	69	84	21	85	51	28	1	1	3	3	1	4	1	4	1	6	1	4	3	3	1	5	3	7	4	2	7	2	9	2	7	3	5	2	7	8	3	2	5	5	4	2	1	3	2	3	6	6	7	2	6	1	3	2	7	2	3	9	15	3	7	2	8	5	9	7	6	1	3	10	2	13	1	15	1	2	1	2	7	10	4	1	5	6	2	1	2	3	18	3	2	3	2	18	9	3	5	20	3	3	3	15	7	3	3	9	6	11	10	16
2000	-905.776549449601362	-903.000862835503426	-2.775686614097988	0.000010109353179	0.000047166242648	4.665604397331848	0.237293528905600	-1	5	7	7	9	8	11	10	12	12	16	15	12	17	18	16	18	18	20	20	19	20	22	21	20	22	24	24	22	23	23	21	23	23	23	23	24	23	24	24	25	26	24	23	26	27	26	27	25	26	26	28	28	25	26	26	25	27	27	28	27	27	27	29	30	29	27	29	29	29	30	29	29	30	29	32	29	31	32	34	31	33	32	29	32	34	32	35	33	34	35	34	35	35	33	36	36	37	38	41	43	43	44	0	1	2	2	3	4	4	3	8	3	9	8	8	11	4	13	13	10	6	15	12	8	14	3	8	15	44	26	2	16	15	8	26	9	20	21	15	19	22	7	2	35	17	1	28	36	21	49	30	21	19	1	35	17	29	8	15	1	15	30	24	22	37	23	2	58	1	35	33	47	61	62	56	47	19	32	46	54	35	83	56	1	33	55	45	30	1	58	65	85	5	87	11	87	11	92	66	60	15	64	87	95	1	1	3	1	1	1	1	2	2	1	2	2	2	1	1	6	2	3	3	6	1	2	2	3	7	5	2	1	1	10	3	3	4	1	6	3	2	3	2	3	6	9	2	3	11	1	2	4	1	2	3	3	15	3	3	1	8	3	14	5	3	3	2	1	4	11	1	14	3	3	1	2	1	2	1	5	5	1	3	5	1	3	18	4	2	2	5	15	4	2	1	13	2	10	1	6	1	5	4	11	5	7	5	23
2500	-755.908163837721531	-753.616633910869609	-2.291529926851912	0.000010170688531	0.000031894133996	3.135887398378440	0.242542020302247	1	5	8	9	10	11	12	11	13	12	16	16	14	16	15	15	17	17	20	21	18	20	22	20	22	19	23	24	21	23	21	23	23	23	25	24	24	24	24	24	23	23	25	25	26	26	26	26	26	25	25	26	27	25	27	27	25	28	28	28	27	28	25	30	28	28	29	29	29	27	30	29	29	30	30	29	31	31	31	35	32	34	34	32	32	33	33	34	35	34	38	33	36	35	34	37	34	37	39	41	42	43	44	0	1	2	1	3	2	3	2	8	1	16	10	8	13	6	7	15	7	4	10	13	3	3	7	7	12	31	25	15	10	7	19	8	4	3	41	23	26	16	8	7	10	33	15	31	63	57	40	44	16	30	2	27	19	39	7	6	1	7	35	43	28	10	76	3	49	2	54	19	34	58	14	60	38	61	53	46	52	61	59	79	1	39	70	74	20	13	34	92	65	94	2	78	15	59	90	64	94	62	29	68	101	2	1	2	2	3	1	3	2	4	1	6	1	2	2	1	2	2	1	3	5	7	1	5	7	4	4	1	1	1	4	6	4	2	3	7	6	1	1	3	4	8	5	4	1	6	3	1	1	1	1	5	1	11	2	2	2	7	5	14	9	1	1	2	3	1	11	1	13	2	4	2	1	6	1	3	2	1	2	2	3	4	1	16	4	2	1	7	11	5	2	3	1	9	3	10	3	2	2	1	5	10	9	1	17
3000	-799.520160697703773	-797.545142604338253	-1.975018093365574	0.000010561696860	0.000024049958561	2.277092296796280	0.250872050648652	0	5	7	9	10	12	12	10	11	12	16	15	14	15	17	16	14	17	18	20	19	21	23	21	21	21	24	25	23	22	22	23	23	22	24	25	24	25	25	23	23	25	23	24	26	26	27	27	27	27	26	27	29	27	28	27	26	27	27	27	28	27	28	29	29	28	28	29	28	31	30	27	27	30	29	31	31	31	31	32	28	33	33	32	32	30	34	32	34	34	37	35	35	36	33	36	34	37	39	42	42	43	45	0	1	1	2	2	8	5	3	3	8	3	1	8	5	17	13	7	6	17	6	15	6	2	20	19	15	24	43	26	18	7	20	11	15	3	23	11	14	16	2	8	20	20	26	22	14	29	32	18	14	26	18	61	6	11	18	20	22	44	23	41	30	8	73	7	31	8	49	8	59	35	14	32	52	56	65	46	42	73	75	11	3	43	72	17	23	64	28	29	27	62	3	15	67	70	60	36	93	90	87	67	15	72	1	2	2	2	4	2	1	2	3	1	4	6	1	2	2	1	1	2	2	3	1	4	9	1	1	2	2	1	1	2	4	2	3	2	8	1	4	4	5	7	6	3	2	3	2	5	2	2	6	6	3	2	1	6	4	5	3	3	3	2	2	2	5	1	9	2	8	1	6	2	3	6	3	2	1	1	3	3	1	1	3	14	5	3	9	3	1	3	5	5	5	12	9	4	1	5	4	2	2	4	10	9	13
3500	-665.083638314213545	-663.059813800379970	-2.023824513833615	0.000010877216005	0.000026142517860	2.403419942033963	0.311010363357763	1	4	7	9	10	12	12	10	9	12	15	16	14	17	16	16	17	18	20	20	19	21	22	21	21	20	23	25	23	22	23	22	24	23	25	26	24	23	24	21	24	25	25	21	26	26	26	26	26	26	27	28	29	27	27	25	25	27	28	29	27	28	28	29	29	28	29	30	30	30	30	29	29	31	30	29	31	32	31	35	30	33	33	31	32	33	33	34	33	32	37	34	34	35	35	37	35	37	39	41	43	41	45	0	1	1	3	1	5	3	9	2	3	10	3	3	11	13	11	10	12	14	15	18	7	15	6	2	11	21	15	3	19	10	6	20	11	31	33	23	16	21	3	3	31	41	3	33	23	31	23	42	33	36	37	35	3	26	3	20	28	40	10	56	36	24	28	58	36	17	61	28	59	62	56	46	59	42	32	31	44	42	84	55	2	75	56	52	62	84	54	69	76	84	39	84	54	70	61	54	71	86	60	54	75	17	1	2	3	1	5	1	2	1	3	3	2	5	4	1	1	1	1	1	2	2	1	3	2	6	7	2	2	6	8	1	7	4	3	5	1	1	1	3	1	5	7	1	1	6	1	2	2	2	1	1	1	2	2	8	4	8	3	1	3	9	1	1	3	2	1	1	8	1	3	1	1	3	2	1	4	3	4	6	3	2	1	15	2	3	2	2	1	4	2	1	3	7	1	3	2	4	5	3	3	6	9	6	16
4000	-825.384996586478337	-823.799198342810087	-1.585798243668267	0.000011582130056	0.000015262911924	1.317798354057760	0.270902515971811	1	4	7	8	11	12	10	11	13	12	16	15	14	17	16	15	16	18	19	18	20	21	22	20	21	22	24	24	22	22	21	22	22	23	24	26	25	23	25	24	23	25	26	24	26	25	25	24	27	26	27	27	27	27	28	26	26	27	27	27	27	26	28	29	27	27	27	30	28	31	30	28	29	29	30	32	31	32	31	32	30	32	33	32	32	34	32	35	34	34	37	31	36	32	34	37	35	38	39	42	40	44	45	0	1	2	2	3	7	4	3	6	7	10	7	6	6	10	3	1	11	6	3	5	20	24	20	14	22	22	19	14	24	20	14	19	14	23	32	19	24	15	3	8	14	34	1	26	34	41	38	36	28	24	24	46	1	3	2	6	19	30	48	32	40	19	66	20	31	19	27	8	81	10	57	39	59	54	49	7	62	12	66	59	3	57	40	40	80	62	43	41	60	61	19	84	6	8	32	49	56	45	91	8	97	54	1	1	2	3	3	1	1	2	1	2	2	2	1	2	2	4	4	1	4	3	5	2	1	2	3	1	1	2	3	1	1	3	3	3	1	3	3	2	4	9	5	4	1	7	2	1	2	1	1	1	4	4	1	13	12	13	6	4	3	2	2	1	6	1	3	3	3	2	8	1	10	1	2	1	1	2	13	2	7	2	2	14	3	6	3	1	3	4	6	4	6	8	2	9	13	7	4	6	6	3	13	3	11
4500	-828.438570703456890	-826.571666372857976	-1.866904330598880	0.000012425976948	0.000024899720983	2.003844131238472	0.322731340911281	-1	4	8	8	10	11	12	11	13	13	15	15	14	17	17	15	17	18	17	20	20	17	22	20	21	20	23	24	23	23	22	22	22	20	23	27	25	24	24	24	24	25	24	24	24	26	26	27	26	26	26	28	29	25	27	25	25	26	27	28	27	26	28	29	29	27	27	28	28	27	30	29	27	31	30	32	30	31	31	34	31	33	33	32	33	33	33	35	34	32	37	35	35	35	36	37	35	37	38	41	43	43	45	0	1	2	2	3	5	5	3	8	5	9	3	8	9	12	10	3	11	11	3	15	8	24	3	18	18	19	33	8	22	8	8	21	11	26	27	19	17	24	10	29	32	29	2	26	42	35	33	39	31	35	37	34	2	19	8	32	45	40	24	42	44	37	44	48	23	10	46	2	3	63	57	37	69	61	69	52	70	21	59	59	2	60	44	69	69	76	71	38	63	80	54	58	68	2	85	79	87	87	94	54	100	34	1	3	2	2	1	1	1	1	1	1	1	4	2	2	2	1	5	2	1	6	3	4	1	4	3	1	2	1	7	3	6	6	1	2	1	2	4	3	3	3	1	3	1	9	1	1	1	3	1	2	2	2	3	12	7	8	1	1	1	5	1	2	1	3	1	2	7	1	13	7	1	2	1	2	2	1	1	2	5	4	2	13	2	5	3	3	1	2	4	1	3	5	7	5	16	2	2	2	3	2	12	1	9
