step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29
1	-1282.181641052415443	-1289.037129003374730	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.444260889378599	0	1	2	3	5	10	11	11	14	14	18	20	21	21	23	25	27	28	28	29	34	33	34	35	38	42	45	45	48	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	6	6	7	7	9	10	11	11	12	13	14	14	14	15	17	17	17	18	19	21	23	23	24
500	-272.751780777130534	-279.607268728089934	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.164860397892858	0	1	3	3	6	8	12	10	13	12	18	20	18	19	23	24	27	28	28	30	34	34	34	35	37	42	45	44	49	0	1	2	2	2	4	0	6	6	6	10	11	10	10	10	13	11	0	13	16	13	13	19	10	22	10	10	22	19	1	1	1	1	2	3	1	1	2	3	3	1	2	4	5	4	4	1	6	3	12	9	2	14	1	19	22	5	12
1000	-222.070888575920577	-228.926376526879949	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.244146083094401	-1	1	2	3	5	11	12	9	14	14	17	19	21	22	23	24	27	29	28	29	31	33	33	36	38	43	44	46	48	0	1	2	2	2	8	0	4	6	8	10	10	11	12	14	14	11	0	16	13	13	13	13	13	23	21	13	26	25	1	1	1	1	2	1	1	3	1	2	2	3	2	2	1	1	5	1	2	3	4	6	5	9	2	8	13	2	5
1500	-197.433640927047861	-204.289128878007233	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525750435513881	0	1	3	4	4	10	11	12	14	14	18	21	22	22	24	25	26	26	25	28	35	33	34	35	39	41	44	45	48	0	1	2	2	2	4	0	3	6	8	10	10	11	10	10	13	11	0	13	19	23	15	16	22	21	25	26	23	27	1	1	1	1	1	2	1	4	2	1	2	3	2	4	4	2	4	1	2	2	1	4	4	1	2	1	1	3	2
2000	-189.461740596776394	-196.317228547735766	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.402665417010885	-1	1	3	4	5	10	12	11	14	14	18	19	22	20	23	26	27	29	28	30	34	34	35	35	39	42	46	45	48	0	1	2	2	2	4	0	4	8	6	10	10	11	10	12	13	11	0	16	13	13	16	20	22	23	25	26	23	25	1	1	1	2	2	3	1	3	2	2	2	2	2	3	2	2	5	1	1	4	4	5	2	1	2	2	2	6	3
2500	-180.188270054839649	-187.043758005799020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596620097504399	0	1	2	3	6	11	12	10	14	15	19	20	21	21	24	25	27	28	28	30	34	32	35	35	39	42	44	45	48	0	1	2	2	2	8	0	4	6	6	10	10	11	11	10	13	15	0	16	19	16	16	22	22	23	21	26	23	27	1	1	1	1	3	1	1	3	2	2	2	3	2	1	5	2	1	1	2	1	4	3	2	2	2	5	1	4	2
3000	-195.173877194347199	-202.029365145306571	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.435332899801560	0	1	3	3	4	10	12	11	15	15	18	20	22	20	23	24	27	28	28	29	34	33	34	35	39	42	45	44	48	0	1	2	2	2	4	0	6	6	6	10	6	10	10	12	13	11	0	13	19	22	19	22	22	21	21	26	13	27	1	1	1	1	1	4	1	1	3	1	1	4	3	3	1	1	5	1	2	1	1	3	1	1	3	3	1	10	2
3500	-183.224678918596169	-190.080166869555541	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.452872539808203	-1	1	3	2	5	11	12	10	14	15	18	20	21	22	23	25	27	28	28	29	34	32	33	35	38	43	46	46	48	0	1	2	2	2	8	0	4	6	6	10	10	11	12	12	13	11	0	13	16	22	16	16	22	21	25	25	23	27	1	1	2	1	2	1	1	3	2	2	3	2	1	1	2	2	4	1	3	2	1	4	6	1	2	2	3	6	1
4000	-194.813313998813925	-201.668801949773297	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.575915298490808	0	2	3	4	6	10	11	8	13	15	17	21	21	21	23	25	27	28	27	30	34	32	34	34	38	42	45	45	48	0	1	2	2	2	8	0	4	6	9	10	10	10	11	12	13	14	0	13	16	16	20	22	22	23	25	25	25	27	1	1	1	1	2	1	1	1	2	1	1	3	3	2	1	2	3	1	3	2	4	1	1	1	2	2	3	3	2
4500	-181.112518555688041	-187.968006506647413	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515058312264560	-1	1	3	4	4	10	11	11	14	14	18	20	21	22	23	24	26	29	27	28	34	32	34	34	38	42	45	44	48	0	1	2	2	2	4	0	6	6	6	10	11	11	10	12	13	14	0	13	19	13	16	22	22	21	25	26	21	26	1	1	1	2	2	3	1	1	2	2	2	1	1	4	1	2	2	1	3	1	6	4	1	1	2	2	2	5	4
