step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
1	-622.037506771094286	-631.088350151545683	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.542931205821395	-1	1	5	5	4	3	2	3	3	4	7	4	6	4	4	4	5	5	7	13	5	7	7	6	7	7	14	7	9	7	8	8	9	7	11	12	9	10	10	9	11	9	12	13	10	10	10	9	9	10	9	10	13	11	11	14	13	10	10	12	12	11	12	13	12	14	12	14	15	14	16	12	13	17	17	15	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-228.265624700397211	-237.316468080848551	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993607108703457	-1	1	6	6	5	4	2	3	3	4	7	5	5	4	5	4	5	3	6	12	4	4	5	6	6	7	9	7	9	8	9	8	9	8	12	12	10	11	10	9	12	9	8	13	10	9	10	10	9	11	10	11	9	11	11	14	14	9	9	10	10	12	12	13	12	14	13	11	14	12	16	13	11	16	14	15	15	0	1	14	23	16	8	1	7	7	7	24	21	18	2	14	8	8	1	7	45	8	2	18	21	10	4	17	23	19	19	32	2	24	26	33	40	42	59	19	26	48	15	3	65	32	28	43	40	43	32	34	30	28	29	8	65	36	30	14	49	19	61	37	51	47	20	68	47	54	59	64	73	34	69	73	57	23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-218.797512901415956	-227.848356281867297	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996284057908511	-1	2	5	6	4	3	2	3	3	5	7	3	6	5	5	4	5	1	6	12	6	6	8	7	8	8	15	8	10	7	6	6	9	7	9	12	10	11	10	8	11	10	13	14	10	11	11	8	7	11	8	11	14	9	12	13	13	8	9	12	12	9	10	14	12	13	6	13	15	15	15	12	12	15	16	13	19	0	18	16	14	18	18	18	2	7	9	32	18	16	6	2	7	8	1	10	42	2	7	14	13	4	22	44	15	62	17	14	14	49	9	58	42	13	37	40	15	23	40	55	55	33	63	40	19	8	26	22	35	57	16	52	65	45	21	26	29	45	13	49	73	59	59	17	29	44	65	57	63	24	68	56	61	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-229.283393814096002	-238.334237194547342	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986377122720858	-1	1	5	5	4	2	3	2	3	5	8	4	5	4	5	5	4	4	7	12	6	7	4	7	6	8	13	5	7	7	9	7	10	8	11	10	9	11	10	9	9	9	11	12	8	5	10	8	8	11	10	9	13	12	9	14	13	9	11	13	10	11	10	13	12	14	12	4	16	11	16	12	13	18	14	13	16	0	1	9	17	9	2	6	1	8	5	24	9	1	2	12	68	7	9	10	33	16	14	7	14	68	24	51	2	21	4	16	17	11	32	47	25	34	42	11	34	21	25	37	11	24	5	25	24	30	40	4	3	70	38	29	76	20	24	52	72	26	19	40	35	51	50	63	7	35	41	56	43	62	71	65	20	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-231.907467859346241	-240.958311239797581	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997190748447290	0	2	6	4	5	4	2	1	3	4	8	5	7	5	2	3	5	5	8	12	5	8	5	6	8	8	13	7	8	8	4	8	8	8	11	11	10	9	9	9	12	10	13	14	11	10	9	9	9	10	10	11	13	12	12	13	13	9	11	10	10	10	10	12	10	14	12	13	15	12	13	11	14	11	17	16	17	0	1	5	7	2	8	8	1	15	15	17	7	21	9	1	15	15	2	21	50	9	24	4	23	4	14	67	31	13	28	1	13	24	28	25	50	19	32	34	31	22	4	35	63	47	49	23	13	14	33	11	39	63	50	11	36	20	3	12	12	48	21	19	58	29	45	19	41	66	60	52	60	46	49	73	55	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-250.886331221451996	-259.937174601903337	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997336790356684	-2	2	6	3	3	2	1	3	0	3	8	4	5	4	5	5	6	4	6	12	4	8	7	6	4	5	14	5	8	8	7	7	9	7	12	10	9	10	8	10	12	9	13	13	10	8	10	7	10	9	9	10	11	12	12	15	13	9	10	12	12	11	11	13	13	13	7	15	12	15	16	13	14	11	17	13	16	0	1	16	2	7	7	1	2	1	1	24	7	12	9	8	2	16	6	25	38	8	16	18	25	6	25	54	6	19	13	17	24	7	5	63	24	31	17	31	28	46	3	53	54	3	26	19	8	17	67	16	30	49	74	14	76	62	24	29	11	58	36	58	62	63	23	14	62	51	27	54	59	11	37	57	33	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-220.718004513815259	-229.768847894266599	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991273010720600	0	2	6	5	5	3	2	3	1	4	8	3	6	2	4	5	2	4	7	12	6	7	7	7	8	8	13	5	9	8	8	6	10	7	12	13	10	8	10	9	8	9	9	13	11	9	10	8	5	10	9	10	12	11	11	13	13	6	10	12	11	11	12	11	5	15	11	14	16	10	14	11	12	17	15	15	16	0	1	28	15	17	1	1	7	1	2	32	14	5	9	17	2	1	14	28	55	18	16	4	5	22	24	54	14	22	32	23	6	11	10	59	64	42	22	42	65	3	41	4	62	52	48	34	6	9	30	24	41	43	43	33	72	55	65	31	72	50	33	64	25	15	62	13	35	68	25	57	46	37	68	44	36	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-249.512129736591419	-258.562973117042759	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991816056745076	0	1	5	5	3	4	2	3	2	5	6	2	5	4	3	3	5	4	4	13	4	7	4	5	8	8	11	7	8	7	9	7	8	7	12	9	9	9	7	7	11	6	12	14	9	5	11	9	8	10	9	7	11	10	12	13	13	10	6	13	10	11	12	14	12	11	12	13	16	14	16	10	11	14	18	15	16	0	1	7	5	12	12	2	9	1	8	24	1	2	7	1	9	23	7	15	66	7	18	5	16	42	3	48	17	34	17	16	16	24	4	28	40	39	42	10	14	36	4	18	66	19	5	37	23	59	22	29	4	36	31	26	72	6	29	23	50	30	36	45	41	38	72	66	50	68	66	64	28	42	65	57	58	31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-226.052143217242815	-235.102986597694155	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992172058847143	0	2	5	6	5	3	2	4	2	4	7	4	6	4	5	5	6	6	7	13	6	8	7	7	6	7	13	4	10	7	6	9	9	3	10	10	8	11	11	9	12	9	9	14	9	10	10	9	8	10	9	9	14	10	12	15	13	9	10	13	13	12	11	14	13	15	12	11	15	14	11	12	13	15	17	13	15	0	1	10	3	34	2	1	7	1	9	10	34	3	2	10	6	12	2	3	63	34	31	21	21	14	25	41	9	33	25	3	13	17	2	33	45	4	8	23	16	39	23	25	73	18	32	26	30	23	51	11	25	73	48	19	57	31	17	45	48	71	45	5	60	48	72	39	40	51	38	43	47	45	76	67	38	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-220.717096436026310	-229.767939816477650	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979994213802561	0	1	6	6	3	3	2	2	4	4	7	3	5	3	2	2	6	5	6	14	5	8	8	6	5	7	15	8	8	8	7	8	9	7	11	11	8	10	10	10	10	10	7	12	11	11	9	9	10	11	9	10	14	10	10	14	12	11	9	12	13	10	12	13	13	15	11	13	12	14	16	13	13	17	16	16	17	0	1	14	21	16	1	1	1	2	8	21	16	12	8	2	2	14	16	1	36	2	19	25	8	9	24	20	10	17	11	12	34	3	4	47	38	7	37	37	30	4	37	17	42	38	24	21	37	34	40	34	26	65	30	48	44	36	33	32	48	57	22	41	62	63	72	31	45	50	49	27	69	57	27	42	70	27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
