step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-2919.102319929805617	-2917.640237845286720	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.094066370569595	-1	2	2	2	3	3	4	4	3	4	5	4	4	4	5	6	6	6	7	6	6	9	6	9	7	7	7	6	8	7	7	7	8	8	8	7	8	9	9	9	9	9	10	11	11	9	11	10	10	12	10	12	11	10	11	11	13	11	10	11	11	13	12	11	12	15	12	14	12	15	12	14	12	12	14	14	13	13	14	14	14	15	17	14	15	15	17	17	16	17	16	16	18	16	18	19	18	18	19	19	19	20	20	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	2	3	3	3	3	3	3	4	4	4	4	4	4	5	4	5	4	4	4	4	5	4	4	4	5	5	5	4	5	5	5	5	5	5	6	6	6	5	6	6	6	7	6	7	6	6	6	6	7	6	6	6	6	7	7	6	7	8	7	8	7	8	7	8	7	7	8	8	7	7	8	8	8	8	9	8	8	8	9	9	9	9	9	9	10	9	10	10	10	10	10	10	10	11	11	11
500	-1018.414932236554819	-1016.350032934620231	-2.064899301934625	0.000009975143680	0.000025050827770	2.511325006919055	0.182373269115216	-3	2	2	1	2	0	5	2	3	1	4	4	4	4	6	6	6	7	8	7	5	8	7	9	7	7	6	6	9	4	6	7	6	7	9	7	5	10	9	10	9	6	10	9	8	9	11	11	8	13	9	13	11	9	12	11	13	12	11	10	11	13	13	11	12	16	13	15	13	15	9	13	12	13	14	13	12	14	15	15	14	15	18	15	16	16	17	16	16	18	17	17	19	16	19	19	18	19	19	20	20	19	20	20	0	1	6	1	1	1	6	1	4	6	5	6	3	2	9	11	6	9	37	37	10	10	12	6	5	14	2	9	12	2	37	10	10	10	23	9	10	17	26	26	27	30	36	30	31	37	15	9	26	27	27	46	10	32	24	27	51	42	60	42	30	64	60	45	41	30	42	9	30	34	22	10	44	2	10	45	45	27	30	46	22	21	22	27	45	53	42	74	71	21	22	50	64	22	94	53	88	82	37	45	45	37	94	53	1	3	2	2	1	2	3	3	1	1	1	2	2	1	2	1	3	2	2	1	3	3	2	6	3	2	2	2	2	1	1	4	2	3	1	2	2	2	2	1	2	2	1	2	1	2	3	4	1	5	2	2	4	1	2	3	3	3	1	2	5	1	1	2	2	10	4	7	7	5	1	8	2	7	9	3	2	4	8	3	4	8	6	4	7	3	5	2	4	7	4	1	5	4	2	5	1	4	8	8	6	8	2	6
1000	-774.220373193368573	-772.611232788079633	-1.609140405288907	0.000009956550081	0.000013689355224	1.374909493026657	0.384901208639818	-1	3	2	2	2	0	4	4	3	2	5	3	5	5	6	6	6	7	8	5	6	9	5	8	7	7	7	6	9	6	7	6	9	9	8	8	7	8	10	9	8	9	10	11	9	9	12	10	11	13	8	12	11	11	11	11	13	11	10	12	12	13	12	12	13	15	13	15	12	16	12	11	13	13	14	13	13	14	14	15	15	16	18	13	14	15	17	17	13	17	17	16	17	16	19	20	18	18	20	18	20	21	20	20	0	1	6	1	1	1	3	1	4	6	5	6	7	2	9	5	6	9	32	10	10	10	12	6	5	8	14	9	23	5	10	10	10	37	12	15	10	17	26	26	14	30	15	30	31	10	28	28	40	41	27	34	22	22	38	26	41	42	42	42	30	64	42	45	51	30	44	18	30	46	22	10	61	51	37	45	45	51	60	37	46	89	72	41	77	72	69	74	22	72	72	84	85	86	94	89	88	89	90	76	85	72	94	89	1	2	1	2	1	1	1	2	1	1	2	2	1	1	2	2	4	3	1	2	2	3	2	3	2	2	1	2	2	2	2	3	3	1	3	1	2	1	1	2	1	2	2	2	1	4	2	2	1	2	1	2	1	1	1	2	2	1	1	3	4	1	1	2	2	6	1	4	4	3	2	6	1	5	6	2	2	3	1	4	3	3	3	4	1	2	2	2	2	4	3	2	2	1	2	4	1	3	2	3	3	7	2	5
1500	-704.585856462191600	-702.972967661804319	-1.612888800387319	0.000009871263015	0.000013662292065	1.384047010348296	0.607019100219233	-1	3	2	1	4	1	3	3	3	3	6	4	5	4	5	6	7	6	8	6	7	8	6	10	6	7	7	7	8	7	8	7	8	9	8	7	7	9	10	9	9	10	8	10	9	10	10	10	10	12	11	12	10	9	11	11	14	11	11	12	9	13	13	11	12	16	12	14	13	15	12	12	12	11	15	14	14	14	14	13	14	16	17	14	14	13	17	16	13	18	14	17	16	17	18	20	18	17	19	19	19	20	20	21	0	1	6	1	2	1	3	1	4	6	5	6	7	2	9	5	6	15	37	10	10	10	12	37	5	4	14	9	23	16	20	20	37	37	12	9	10	17	26	26	27	30	15	30	32	37	36	18	26	41	41	34	17	22	38	26	41	42	42	42	16	45	42	45	41	42	42	36	61	80	53	10	44	41	53	64	64	65	67	46	46	89	72	74	45	72	69	78	72	91	72	84	76	86	86	98	88	89	83	93	93	72	95	98	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	2	4	1	1	2	2	2	1	2	2	4	1	2	1	1	2	1	1	1	3	2	2	1	2	1	2	2	1	2	1	2	1	2	2	2	1	1	2	1	1	2	2	1	1	1	1	2	1	2	2	5	1	3	3	1	1	6	1	2	2	1	2	1	1	2	2	1	3	1	2	1	1	1	1	3	2	2	1	2	3	2	1	3	1	1	2	7	1	1
2000	-675.563938063627916	-673.877319178085713	-1.686618885542216	0.000009903733152	0.000015477899015	1.562834819760017	0.599824363985171	-1	2	2	1	4	1	3	4	3	3	5	4	4	4	6	6	7	7	8	5	6	6	7	8	7	7	7	6	9	7	6	8	8	8	9	8	8	9	9	9	9	9	9	12	10	10	11	9	10	12	10	12	10	10	11	11	13	11	9	10	11	13	13	11	12	15	12	13	13	15	11	13	10	11	15	15	14	14	14	14	15	16	17	13	15	15	17	16	13	17	17	16	17	17	19	19	17	18	19	20	18	21	20	19	0	1	6	1	2	1	3	1	4	6	5	6	7	2	9	5	6	9	22	10	10	10	12	17	5	14	14	9	23	16	10	20	22	22	23	18	22	24	26	26	27	30	28	30	32	34	9	15	26	51	41	34	10	17	38	40	51	60	30	42	30	45	44	45	74	58	60	43	30	80	53	37	30	41	53	64	45	65	67	34	80	89	72	74	77	72	69	65	71	72	72	84	85	86	86	98	88	89	91	93	85	72	86	98	1	2	1	1	1	1	1	3	1	2	1	2	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	2	2	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	4	1	2	1	1	2	4	2	1	1	2	1	1	1	2	2	1	1	1	2	1	2	2	1	1	2	2	1	2	2	2	2	1	4	1	2	1	1	1	1	1	2	1	2	2	2	1	1	3	1	1	3	1	2	1	7	2	1
2500	-661.542445413381756	-659.860932223128316	-1.681513190253445	0.000010087558548	0.000015640543726	1.550478607067147	0.685479798863659	-1	1	3	1	3	2	4	2	2	4	5	5	5	5	4	6	5	6	7	6	7	9	7	10	8	7	7	6	9	7	8	7	8	8	8	7	8	9	10	9	9	9	8	12	10	10	11	10	10	12	10	13	9	10	11	12	13	11	10	11	10	13	13	12	12	15	12	14	12	15	13	12	13	11	14	14	13	13	15	12	15	15	17	14	15	15	17	16	14	18	15	16	17	17	19	19	19	18	19	19	18	21	21	20	0	1	6	1	8	1	3	1	4	6	8	6	7	8	9	11	6	15	10	10	10	10	12	17	5	14	14	9	12	16	32	20	10	10	23	15	10	17	26	26	27	30	36	42	31	34	36	18	40	41	41	46	10	37	38	26	41	42	42	42	30	45	42	45	74	58	42	43	61	80	53	53	61	51	53	45	45	65	67	22	80	89	72	74	76	72	69	78	71	83	72	84	85	86	94	98	88	82	91	93	93	72	86	98	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	1	2	3	2	2	2	2	1	1	1	2	2	1	2	2	2	1	2	2	2	1	2	1	1	2	2	1	2	1	2	3	1	1	3	2	1	1	1	2	2	2	2	1	2	1	3	1	2	1	2	2	1	2	2	2	1	1	2	1	1	2	1	1	1	3	2	1	1	2	2	1	1	2	1	2	1	2	2	1	6	2	1
3000	-641.381590141914558	-639.435969272624561	-1.945620869289946	0.000010337271479	0.000022762024944	2.201937425063866	0.695700369064287	0	2	2	2	3	1	3	4	4	3	5	4	5	4	5	6	6	7	8	5	7	6	6	8	7	7	8	6	8	7	7	8	9	9	8	7	7	9	10	10	10	9	10	11	10	10	10	10	9	9	11	12	11	11	10	11	14	11	10	11	11	13	12	11	12	15	13	15	13	15	13	12	12	12	15	15	13	13	13	12	15	16	17	14	15	15	17	17	14	16	13	16	17	17	19	20	18	18	18	20	19	20	20	21	0	1	6	1	2	1	3	1	4	6	5	6	7	1	9	5	6	28	10	10	22	10	12	17	5	14	14	9	23	16	20	20	10	37	23	9	10	17	26	26	50	30	18	30	31	34	28	18	26	27	41	22	33	22	38	40	41	42	42	42	30	45	61	45	50	58	60	43	44	80	53	33	61	51	53	64	45	65	44	34	52	89	91	74	77	91	69	65	71	72	72	84	85	86	86	98	88	89	91	93	93	86	86	82	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	1	2	1	2	1	1	2	2	1	2	2	2	1	1	1	1	2	4	1	1	2	2	1	1	1	1	1	2	2	1	1	2	2	1	1	1	3	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	3	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2	1	1	1	2	2	1	2	1	2	1	2	2	1	1	2	3	2	1	2	2	3
3500	-632.043989697071879	-630.264577017129000	-1.779412679942894	0.000010237302549	0.000018306287419	1.788194432204948	0.614604270003110	0	2	3	2	3	2	4	4	3	4	5	4	5	4	5	6	6	6	8	6	7	9	6	9	7	7	7	6	8	7	7	8	9	8	8	7	6	9	9	9	10	9	10	11	10	9	11	9	10	9	11	12	11	10	12	12	13	11	10	11	10	13	11	11	12	15	12	15	12	15	12	12	12	12	13	14	14	14	15	13	14	15	18	14	15	15	17	17	14	17	15	17	17	16	19	18	19	18	19	18	20	20	19	19	0	1	6	1	1	1	3	1	4	6	5	6	7	2	9	11	6	15	10	10	10	10	12	17	8	14	14	9	23	16	20	20	37	37	23	9	10	17	26	26	50	30	18	30	31	34	9	36	26	27	41	34	22	21	38	40	51	42	42	42	30	64	42	45	41	58	42	43	61	81	53	22	30	50	53	45	45	65	60	52	52	89	91	74	77	72	69	65	71	91	72	84	64	86	86	82	88	82	91	93	100	95	86	89	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	3	1	2	2	2	2	1	2	1	2	2	2	1	1	1	1	2	1	1	3	2	1	1	1	1	1	3	2	2	1	2	2	2	2	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	2	2	3	1	1	1	1	1	1	1	3	2	1	2	1	1	1	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	2	2	1	2	1	2	2
4000	-660.357656113212443	-658.434698088334585	-1.922958024877868	0.000010884040922	0.000023340309533	2.144452570452961	0.736673125002393	-1	2	2	2	2	1	4	2	3	4	5	3	5	3	5	5	6	7	7	6	6	9	7	9	7	8	7	7	8	7	7	7	8	8	8	7	9	10	10	6	10	9	9	11	10	10	12	10	11	9	11	12	12	10	11	10	13	10	11	12	11	13	12	11	12	15	11	13	13	16	12	13	13	12	15	14	14	14	14	13	14	15	17	14	15	15	18	17	14	18	15	16	18	16	19	17	18	17	19	19	20	19	20	19	0	1	6	1	1	1	3	1	4	3	5	6	7	2	9	2	6	9	10	10	10	10	12	17	11	14	14	15	23	11	20	20	10	10	23	15	10	17	14	2	50	30	28	30	31	34	36	18	26	27	50	46	22	33	38	40	50	42	42	42	30	64	42	45	51	58	42	47	44	81	10	52	44	40	22	45	45	65	67	71	52	89	91	74	45	72	69	78	71	83	72	84	85	86	94	82	88	89	91	93	93	94	94	82	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	2	3	2	2	1	1	2	2	2	1	3	2	2	1	1	1	1	2	2	1	1	3	2	4	2	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	2	2	1	1	2	2	1	1	1	1	2	1	1	2	1	4	1	1	2	2	2	3	1	1	1	1	1	2	1	2	2	2	1	1	1	1	2	2	1	2	1	1	2	2	1	1	2	2	2
4500	-610.148187436193211	-608.403323474034778	-1.744863962158404	0.000012536342944	0.000021362188025	1.704020711693543	0.677391207088660	-1	1	2	2	3	1	4	5	3	4	5	4	5	3	5	5	6	7	8	6	6	7	6	9	7	7	6	5	9	7	8	8	8	8	7	7	8	10	9	9	10	9	10	11	9	10	11	10	10	9	11	12	11	11	11	12	13	12	10	11	11	13	13	11	11	15	12	14	12	15	12	13	12	12	14	15	14	14	15	14	14	16	17	14	15	15	18	16	14	18	14	15	16	17	18	18	17	19	18	20	20	20	20	19	0	1	6	1	2	1	3	14	2	6	5	6	3	1	9	5	6	15	22	10	10	10	12	17	11	14	2	9	23	16	20	20	10	10	12	9	10	24	26	26	50	30	36	30	31	37	36	15	26	14	50	34	17	37	38	26	50	60	42	42	30	64	60	45	50	58	60	43	44	52	53	53	44	65	53	45	64	65	60	52	52	89	91	74	45	91	69	78	71	83	72	84	85	86	86	82	88	89	91	93	93	94	94	89	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	1	1	2	1	2	1	2	3	1	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	1	2	3	2	3	2	2	2	2	1	3	2	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	3	2	2	2	1	1	2	2	1	2	1	3	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1
