step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
1	-4336.640159178142312	-4335.178077093623870	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.929077987137074	-1	4	3	6	7	9	8	8	10	8	9	9	12	10	9	9	10	13	10	11	12	12	12	12	12	12	14	13	13	15	13	16	15	15	17	17	19	21	20	21	23	21	21	22	22	24	24	24	23	25	25	26	28	28	29	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	4	4	5	5	5	6	5	5	5	7	6	5	5	6	7	6	6	7	7	7	7	7	7	8	7	7	8	7	9	8	8	9	9	10	11	11	11	12	11	11	12	12	13	13	13	12	13	13	14	15	15	15	15
500	-454.767767709441159	-452.558636775419416	-2.209130934021745	0.000009978609529	0.000028965707658	2.902779948883897	0.454375435383587	0	4	2	6	7	9	8	9	11	9	9	9	12	11	9	9	10	11	10	11	13	12	13	12	12	13	14	14	13	15	13	16	15	16	17	15	19	21	20	22	22	20	20	22	22	24	25	25	23	26	25	27	29	28	30	28	0	1	1	2	4	5	0	2	5	2	4	5	7	7	0	5	0	8	11	12	15	16	8	18	19	0	11	24	9	24	19	29	24	36	33	24	0	33	33	36	33	36	36	36	42	0	43	36	45	41	0	35	50	30	30	35	1	2	2	1	1	1	1	3	3	4	2	1	2	1	1	1	1	2	1	1	2	2	2	1	2	1	3	1	1	2	1	3	1	1	1	2	1	2	2	3	2	2	2	5	1	1	3	5	1	3	1	6	2	6	12	6
1000	-410.242572331591532	-407.746834465007964	-2.495737866583571	0.000010053665429	0.000037662843091	3.746180272049279	0.657188513710382	0	4	4	7	6	8	9	9	10	9	9	9	10	11	9	9	10	13	11	12	12	12	13	11	12	12	14	14	10	14	14	15	15	16	17	15	20	21	21	20	20	22	21	21	22	22	25	25	24	24	25	25	28	27	30	28	0	1	1	5	2	5	0	4	5	4	4	6	7	7	0	4	0	8	11	12	15	16	8	8	19	0	25	24	16	24	25	29	30	36	33	30	0	35	41	34	35	41	36	34	41	0	43	43	45	42	0	42	38	38	38	41	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	2	1	3	1	1	2	1	1	2	1	2	1	1	3	2	1	1	2	2	2	1	1	2	3	2	5	3
1500	-393.803246651205711	-391.943371010926342	-1.859875640279393	0.000010053030351	0.000019968938453	1.986360107927321	0.705338828151706	0	5	2	6	7	9	8	9	11	8	9	8	12	10	9	8	10	12	10	11	12	12	13	12	13	10	14	14	11	14	13	16	16	15	17	17	19	21	20	22	23	21	19	21	22	24	23	25	23	25	26	27	26	28	29	27	0	1	1	2	4	4	0	5	16	2	5	2	7	7	0	5	0	8	11	6	15	16	24	8	11	0	19	24	16	24	19	29	30	30	33	34	0	35	33	36	35	35	36	36	39	0	43	43	45	41	0	42	38	56	42	41	1	3	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	2	1	3	1	1	2	2	1	1	1	1	2	2	3	2	1	1	2	1	1	2	4	1	1	1	2	3	1	3	1
2000	-368.422249589319165	-366.462968477366871	-1.959281111952322	0.000009994911910	0.000022356377025	2.236775794160867	0.695617361629129	0	5	3	6	8	10	8	8	9	8	9	9	12	10	10	10	11	14	11	11	11	12	12	12	12	12	15	14	13	14	14	17	15	15	17	16	19	22	19	20	23	21	19	22	23	23	23	24	24	25	25	25	29	29	29	28	0	1	1	2	2	4	0	4	2	4	2	2	7	7	0	9	0	8	11	12	15	16	8	8	11	0	19	24	22	24	25	29	30	30	33	34	0	35	35	36	38	33	36	36	39	0	43	43	45	41	0	42	41	56	52	38	1	2	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	3	1	3	2	1	2	3	1	1	1	2	3	1	2	2
2500	-379.342723269563976	-377.547137468924575	-1.795585800639397	0.000010058852276	0.000018385188179	1.827762022379310	0.538279618585753	0	3	4	6	7	9	7	9	10	8	10	10	13	10	8	9	11	13	11	10	12	12	11	12	12	12	14	14	13	14	13	16	15	16	18	18	20	21	20	22	23	21	21	21	22	25	24	24	24	25	26	26	28	28	29	27	0	1	1	2	4	2	0	5	5	5	5	5	7	7	0	2	0	8	11	5	15	16	8	8	11	0	11	24	16	24	25	29	30	30	33	34	0	36	33	36	33	35	36	36	39	0	43	43	45	41	0	42	39	41	52	41	1	1	3	2	1	2	1	1	2	1	2	1	2	2	1	3	1	2	1	2	2	2	2	1	1	1	2	1	3	2	1	2	1	1	1	2	1	1	2	2	4	2	2	1	1	1	2	1	2	2	1	2	3	2	2	2
3000	-369.632209650342020	-367.838507184403966	-1.793702465938027	0.000010293839492	0.000018767196903	1.823148390663232	0.567616096646534	0	5	2	6	8	10	8	7	9	9	8	9	12	10	9	10	10	13	11	11	12	13	13	11	13	13	15	13	13	15	13	17	15	14	18	18	20	21	20	21	23	21	20	22	22	25	24	25	23	25	24	26	29	27	29	28	0	1	1	2	4	9	0	2	4	2	4	4	7	7	0	5	0	8	11	12	15	16	8	8	11	0	25	24	16	34	11	29	24	18	33	34	0	33	33	36	33	35	36	36	39	0	43	43	45	38	0	41	41	41	52	41	1	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	2	1	2	2	3	1	2	1	1	1	2	1	2	2	2	1	2	2	1	2	2	2	4	2	1	2	1	1	2	3	1	3	1	2	3	1	2	2
3500	-375.535678122713705	-373.473823747453594	-2.061854375260126	0.000010630012048	0.000026609834599	2.503274171147218	0.573478423846252	0	5	1	7	7	9	8	9	10	9	8	9	12	11	9	8	9	11	10	11	12	12	11	12	13	12	14	14	14	15	14	16	16	13	17	17	18	21	20	21	24	21	21	23	21	25	25	24	23	25	24	25	29	28	30	28	0	1	1	2	2	5	0	2	5	2	4	2	7	7	0	2	0	8	11	12	15	16	8	8	11	0	25	24	16	34	25	29	30	24	33	34	0	35	36	36	39	35	30	38	39	0	43	43	45	39	0	42	54	38	52	38	1	2	1	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	2	3	1	2	2	1	1	1	3	1	1	2	1	1	1	2	1	2	2	2	2	2	3	1	1	1	2	2	2	2	1	2	1	4	3	3
4000	-357.685224334218105	-355.684553155849130	-2.000671178368985	0.000011091407494	0.000025989860528	2.343242779741403	0.543135926018344	0	5	2	6	7	10	9	8	10	9	9	9	13	10	9	10	11	12	10	11	12	13	12	12	12	13	14	13	13	14	14	16	15	15	17	18	18	20	20	21	22	22	20	22	21	25	23	24	24	25	26	26	29	27	29	28	0	1	1	2	4	4	0	2	5	2	2	5	7	7	0	2	0	8	11	2	15	6	8	8	11	0	19	24	16	24	25	29	30	30	33	30	0	33	35	36	35	38	36	36	39	0	43	43	45	38	0	42	54	41	52	54	1	2	1	1	1	2	1	1	2	2	2	1	2	1	1	2	1	3	1	2	2	1	1	3	2	1	2	1	2	1	2	2	1	1	2	3	1	2	2	2	2	1	1	3	1	1	2	2	2	2	1	2	1	2	1	1
4500	-361.002969651579804	-359.255550691313033	-1.747418960266762	0.000012396032078	0.000021200084501	1.710231497191494	0.675700190247694	0	3	3	5	8	9	8	8	10	9	9	8	12	11	9	8	11	13	10	11	12	12	10	12	11	12	15	13	14	15	13	16	15	14	18	18	19	20	20	21	23	21	20	22	21	24	24	24	23	25	25	26	27	28	30	29	0	1	1	2	4	5	0	4	12	4	5	2	7	7	0	4	0	8	11	5	15	16	8	8	19	0	11	24	16	24	25	29	24	24	33	34	0	35	33	36	42	35	36	36	39	0	43	43	45	38	0	42	41	38	52	54	1	1	1	1	2	1	1	1	1	2	1	4	3	1	1	1	1	2	1	2	2	2	1	2	1	1	3	1	2	2	1	1	2	1	2	3	1	2	2	2	1	2	1	2	1	1	2	3	2	2	1	2	2	4	2	1
