step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103
1	-8625.246012304445685	-8632.101500255404972	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.986428829967093	-1	9	13	10	14	15	15	19	15	15	23	19	26	21	20	28	20	25	24	26	34	26	32	26	28	27	31	27	30	30	35	30	31	32	34	31	33	39	35	36	40	37	39	38	38	42	39	39	38	38	38	40	39	41	41	41	42	49	46	46	43	49	52	50	49	48	50	51	54	52	52	50	52	53	54	57	63	57	61	62	71	64	69	81	82	85	87	84	87	85	88	90	102	93	91	105	97	95	96	95	99	97	106	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	3	4	3	3	4	4	5	4	4	5	4	5	4	5	6	5	6	5	5	5	6	5	5	5	6	5	6	6	6	6	6	7	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	8	8	8	9	9	9	9	8	9	9	9	9	9	9	9	9	9	10	11	10	11	11	12	11	12	14	14	15	15	14	15	15	15	15	17	16	16	18	17	16	16	16	17	17	18
500	-1786.183701764820853	-1793.039189715780140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.266535574490042	-2	3	10	11	16	12	14	15	14	12	22	17	26	21	21	25	21	18	19	13	33	19	28	26	24	20	32	19	28	25	36	27	28	32	34	31	34	40	28	35	33	22	36	34	37	42	40	40	39	33	35	37	39	41	43	32	39	51	45	44	40	44	51	52	50	50	48	47	55	50	53	51	52	54	54	54	64	54	57	46	72	56	70	65	84	88	89	84	90	87	89	89	101	93	93	107	98	96	98	95	100	100	109	0	1	1	2	6	2	1	10	6	2	22	3	4	5	6	8	8	6	2	0	30	8	8	8	20	7	29	10	18	22	30	26	20	4	8	25	28	7	18	29	10	20	39	11	32	41	43	36	12	39	21	40	40	45	39	30	50	47	57	47	30	53	55	59	60	61	57	23	43	55	50	56	30	61	49	0	55	18	73	42	69	42	50	80	80	82	80	0	82	80	80	80	80	80	84	80	84	84	84	84	84	84	84	1	1	1	2	1	2	2	1	1	2	1	2	3	1	2	2	1	1	3	1	2	2	1	1	2	2	1	1	2	2	2	2	3	3	3	2	3	2	1	1	5	3	2	2	3	2	1	1	4	1	1	1	1	1	2	2	1	3	1	1	3	1	2	2	2	2	3	3	5	2	6	3	4	2	2	1	3	6	1	8	2	11	5	11	11	11	15	1	14	15	13	10	17	17	16	17	9	14	12	10	17	15	20
1000	-1538.217046813476145	-1545.072534764435431	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.252593951194186	1	6	14	6	9	13	16	15	11	12	23	18	25	17	20	24	15	25	21	24	30	25	29	27	29	27	19	21	31	29	35	24	29	33	34	30	33	39	31	37	37	35	38	35	34	42	41	36	40	40	36	42	38	40	41	41	43	51	44	43	40	47	48	48	48	41	48	48	53	53	47	51	51	54	56	54	63	57	61	64	69	49	69	65	84	86	89	82	89	87	90	88	103	94	93	108	97	97	98	91	101	98	108	0	1	1	1	4	4	1	5	2	4	14	1	2	2	8	8	2	27	4	0	6	19	17	17	20	3	9	8	27	8	19	7	20	13	17	25	28	32	11	29	30	33	39	18	32	24	43	36	30	39	16	40	18	45	39	35	44	65	44	43	30	53	57	59	39	31	43	21	53	55	57	61	21	31	21	0	55	50	51	76	67	13	11	82	84	84	84	0	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	1	1	2	1	1	1	3	1	1	1	1	3	3	2	1	1	1	1	2	1	3	1	2	2	1	2	2	2	2	2	3	1	1	1	3	1	3	3	2	2	2	2	2	2	2	3	1	1	2	2	3	2	2	1	2	2	2	1	2	1	2	1	2	1	2	2	3	2	3	3	1	3	3	4	3	1	3	2	3	3	5	6	7	12	8	8	10	1	12	12	11	7	17	15	12	16	9	13	12	6	16	14	19
1500	-1394.816528238047795	-1401.672016189007081	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.329148602744664	-1	7	3	5	13	13	14	11	12	14	24	14	25	19	19	27	10	26	21	19	31	25	32	21	24	20	29	27	32	27	37	25	29	28	35	28	32	35	33	33	40	34	37	34	38	41	37	35	38	36	33	38	41	30	42	37	37	48	43	44	43	45	53	50	51	47	49	49	50	52	53	47	52	53	51	59	62	59	61	63	68	54	69	65	82	86	90	84	90	86	91	91	103	96	91	106	97	96	97	90	100	98	108	0	4	1	3	17	2	1	17	4	4	9	1	19	12	6	24	2	19	4	0	15	24	8	17	20	3	11	6	18	17	16	26	20	15	24	25	28	26	27	18	15	20	39	18	7	23	39	33	16	29	30	27	27	32	40	51	27	52	50	44	21	40	55	59	60	56	59	41	53	55	57	8	16	56	56	0	78	50	56	76	50	72	78	33	84	84	84	0	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	3	1	2	1	4	2	1	2	2	3	1	3	2	1	2	1	1	2	1	3	1	2	3	3	1	2	4	2	1	1	3	1	1	2	2	1	2	1	2	2	1	2	2	3	2	2	2	2	2	3	2	2	3	6	4	2	2	1	1	3	2	1	7	3	3	8	5	8	8	1	11	10	11	4	16	15	10	14	8	11	10	4	16	12	17
2000	-1200.213389801177755	-1207.068877752137041	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.352136620031490	-4	11	9	4	7	14	16	15	16	13	19	18	25	22	21	21	21	26	15	25	26	24	32	25	30	28	32	24	20	25	32	28	29	29	33	32	33	34	36	29	37	38	35	31	39	42	36	39	32	38	33	38	38	42	42	35	38	47	46	47	43	45	47	47	48	47	49	51	52	55	50	42	51	49	55	55	62	57	60	58	70	65	69	65	80	85	88	85	89	85	90	90	104	96	89	102	98	97	96	95	101	98	108	0	5	1	1	4	5	3	2	4	5	19	3	14	2	9	8	9	29	2	0	17	8	17	16	20	7	18	8	11	16	30	12	20	21	17	25	28	7	18	29	21	33	44	18	26	28	18	25	30	40	16	27	43	45	27	21	40	47	57	47	49	43	55	57	47	41	57	21	53	55	59	30	61	51	51	0	70	27	74	76	70	80	78	26	84	84	84	0	84	84	84	85	84	84	84	84	86	84	84	84	84	84	84	1	1	2	3	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	3	1	1	3	1	2	2	1	2	2	1	1	1	4	3	2	2	2	2	2	1	1	1	2	1	3	3	2	2	3	3	1	2	2	2	2	3	2	2	1	2	2	3	5	1	2	4	2	1	3	2	3	4	5	6	6	1	10	7	9	2	16	13	9	14	2	8	9	5	14	12	16
2500	-1133.844799082581403	-1140.700287033540690	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.300614613349316	-3	7	15	7	13	15	11	15	14	16	17	14	21	20	22	27	17	26	23	21	29	26	34	23	29	28	20	25	31	28	34	21	25	28	36	32	35	37	33	30	40	38	40	35	38	42	38	38	37	37	36	41	37	43	36	38	32	46	44	45	39	47	46	50	45	47	50	47	50	49	52	51	47	55	54	55	60	49	54	61	72	65	65	65	81	82	85	79	88	85	90	91	103	94	92	104	98	96	97	96	100	98	107	0	1	1	1	4	5	1	5	4	5	5	2	2	6	4	8	8	27	14	0	28	8	17	17	20	3	11	4	27	6	21	12	20	28	24	25	3	32	27	27	21	33	40	18	15	28	39	25	21	40	31	27	29	45	27	51	27	43	57	43	15	53	55	59	47	61	59	41	53	63	50	49	56	56	61	0	70	50	51	76	50	80	78	45	84	84	84	0	84	84	84	85	84	84	84	84	90	84	84	85	84	84	84	1	2	4	1	2	1	3	1	1	1	1	3	2	1	3	2	1	1	1	1	1	3	2	2	1	4	1	2	2	2	1	1	1	1	2	1	2	3	3	2	2	2	3	2	4	5	1	2	2	1	1	4	1	1	2	1	3	1	3	1	3	2	1	1	2	3	1	1	2	1	3	2	2	2	4	1	1	2	3	1	6	1	3	3	2	3	4	1	7	5	6	2	13	13	9	13	2	7	9	4	12	11	15
3000	-1038.176726180045989	-1045.032214131005276	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.378062303875805	-5	6	13	9	14	15	12	15	17	16	15	14	25	20	19	19	19	21	22	25	32	26	28	24	28	23	33	28	28	30	35	27	30	31	36	31	35	39	30	33	41	34	40	36	34	35	36	36	39	35	39	41	35	39	38	42	42	44	47	45	41	46	53	53	50	48	49	53	52	49	50	51	54	50	54	48	61	56	59	55	70	61	68	65	80	85	85	84	83	80	86	93	104	95	92	105	96	92	97	95	101	99	108	0	1	2	2	4	4	1	4	5	2	4	1	12	10	12	8	2	11	4	0	30	4	17	16	20	2	18	2	18	8	2	26	20	6	28	25	6	26	18	29	21	33	27	29	32	28	39	25	21	39	21	40	39	26	39	21	29	47	57	47	21	43	39	57	43	49	59	61	43	57	50	61	51	61	66	0	70	50	61	76	64	80	77	80	84	90	84	0	84	84	85	86	84	84	84	84	95	84	84	89	84	84	84	1	2	1	1	1	2	3	1	1	2	1	4	2	1	1	1	2	1	2	1	1	3	2	1	1	2	2	4	2	1	4	1	1	2	1	1	3	3	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	3	1	2	2	2	1	2	2	1	5	2	2	1	1	2	2	1	2	1	2	1	1	1	2	4	3	2	3	1	1	3	2	1	3	1	4	3	1	2	11	11	8	13	1	7	8	2	11	11	13
3500	-1048.801615242515709	-1055.657103193474995	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.430373137783748	-3	3	5	8	10	12	11	15	16	11	24	19	22	20	11	18	18	20	26	19	31	22	30	27	24	26	28	24	28	21	31	24	27	25	36	32	32	39	30	33	40	35	38	37	35	38	31	39	29	39	39	30	39	42	42	39	35	47	46	41	34	47	51	43	44	46	52	48	55	52	53	49	53	46	44	55	63	58	58	60	70	65	66	65	75	79	82	70	85	83	90	87	100	95	90	107	87	96	97	92	101	97	104	0	1	1	2	2	4	1	4	6	4	9	3	6	6	4	8	8	4	6	0	30	8	17	15	20	7	18	4	18	8	30	7	20	16	28	25	28	12	18	52	30	20	57	4	26	28	29	25	30	57	49	29	47	26	39	30	39	50	55	47	6	53	55	50	60	21	27	56	53	55	50	31	68	41	61	0	70	50	31	76	59	80	78	42	88	85	85	0	84	88	87	86	84	84	84	84	89	84	84	97	84	84	84	1	1	1	2	2	1	2	1	1	1	2	2	2	1	1	1	1	2	2	1	2	2	2	2	1	2	2	1	2	1	2	3	1	1	2	2	2	3	1	1	2	3	1	4	1	1	1	3	2	1	2	1	1	3	3	4	2	1	1	1	4	1	2	1	1	2	5	2	2	2	3	3	2	1	3	1	3	3	4	1	3	2	2	5	1	1	2	1	4	2	1	2	11	8	6	13	1	7	7	1	10	10	11
4000	-997.022394494749960	-1003.877882445709361	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.409974099740356	-3	6	12	9	13	13	16	16	13	15	20	21	27	18	19	26	15	25	25	20	28	14	31	27	23	27	23	19	30	31	32	22	30	33	27	31	32	35	32	35	34	32	32	37	37	43	39	34	35	35	40	42	39	41	41	43	39	49	44	47	41	48	48	44	51	50	51	48	53	49	53	50	48	53	54	56	62	53	58	60	70	64	68	65	82	85	87	70	83	88	86	92	103	94	92	106	97	91	92	87	100	98	105	0	1	1	2	1	2	3	22	4	2	9	3	9	2	8	8	4	11	14	0	16	2	16	17	20	7	9	22	18	21	21	3	20	22	8	25	28	26	18	29	21	33	18	29	32	37	43	25	21	39	21	40	43	32	39	41	50	44	39	47	30	53	55	39	47	56	57	30	53	55	67	31	30	41	21	0	70	57	49	76	59	80	78	48	88	85	89	0	84	88	85	86	88	84	84	84	100	84	88	89	84	84	84	1	1	2	1	4	2	1	1	1	2	1	1	2	1	1	3	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	2	2	3	2	2	2	2	2	1	2	1	1	2	3	2	2	4	2	1	3	2	2	2	2	2	1	2	2	1	2	1	1	1	3	1	3	2	1	1	1	3	3	3	4	1	2	2	3	1	3	2	3	11	2	1	1	1	2	3	1	2	8	5	6	11	2	6	4	1	7	10	10
4500	-982.364805399600982	-989.220293350560382	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.476968740677830	-3	9	10	9	14	12	15	13	13	16	23	20	21	14	20	18	22	27	24	26	33	26	30	27	28	23	21	28	23	30	36	29	31	31	33	31	33	39	24	36	33	36	38	36	39	44	30	40	33	39	37	37	34	42	42	40	42	49	46	37	43	48	47	51	49	49	51	47	54	49	53	47	50	47	54	50	59	57	58	58	71	64	64	65	72	77	88	79	83	87	88	90	102	95	93	107	94	95	96	90	101	99	107	0	1	1	1	6	2	1	4	4	6	6	3	5	6	8	8	16	29	6	0	22	15	17	2	20	7	4	11	27	17	41	26	20	19	23	25	28	26	27	27	19	33	47	27	32	28	39	25	30	39	21	18	29	32	50	31	50	43	43	47	49	53	55	59	43	56	59	61	50	55	57	61	21	49	73	0	70	71	66	76	57	80	50	74	84	85	85	0	85	88	86	85	90	89	85	84	100	88	86	89	89	84	84	1	2	1	2	1	1	2	1	1	1	3	3	1	1	2	1	2	2	2	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	4	1	3	1	2	2	2	2	2	2	2	1	3	1	2	1	2	1	1	1	3	1	1	2	2	1	1	2	2	1	2	2	2	2	1	3	4	1	1	2	1	2	1	5	2	3	6	1	1	2	1	2	2	2	3	4	3	3	11	2	4	3	1	4	9	7
