step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-997.415300133857272	-1006.466143514308669	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.874280496172661	0	0	4	8	6	17	16	13	15	17	23	14	22	16	14	18	30	18	15	22	24	21	19	24	24	20	22	23	30	26	27	23	31	36	32	23	33	26	32	26	28	30	21	28	28	23	35	29	38	30	25	26	28	29	24	25	32	27	30	40	38	35	33	37	32	30	35	33	34	33	43	37	34	42	35	33	44	36	39	39	40	44	42	39	44	44	45	46	47	41	54	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-470.283455884393049	-479.334299264844390	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997646342626016	2	0	6	10	4	13	8	16	12	17	22	9	23	21	12	17	27	16	11	23	24	21	17	28	21	20	20	26	29	27	28	19	29	37	33	19	31	22	28	21	25	28	16	30	23	26	34	28	35	29	27	28	27	25	26	27	32	25	32	26	36	38	26	34	26	14	27	35	28	31	39	40	33	22	33	28	44	35	40	35	34	45	34	34	45	40	39	49	47	40	48	2	0	1	5	2	4	5	3	4	12	32	1	26	6	1	66	20	66	3	8	27	19	4	74	18	18	6	14	14	14	36	23	21	57	60	66	51	19	11	6	22	38	15	46	43	11	41	25	50	74	22	18	9	40	22	26	11	26	65	10	45	69	8	70	43	3	27	48	22	16	64	81	22	66	44	66	61	58	31	30	17	68	63	53	87	68	83	79	61	48	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-482.707841989846088	-491.758685370297428	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997461782910790	2	-2	8	11	1	18	17	15	15	9	21	15	16	18	14	17	28	20	16	15	26	23	15	23	27	11	26	23	28	20	11	20	34	30	33	21	34	24	35	28	30	33	20	25	23	8	20	21	38	32	28	25	22	26	21	26	33	21	28	39	33	31	33	31	22	30	35	33	32	19	43	34	38	36	31	34	37	37	39	37	42	44	40	40	33	38	42	48	44	41	51	2	0	2	46	2	9	46	3	3	2	19	10	26	4	26	15	52	4	26	46	14	16	46	46	19	2	19	70	14	7	10	5	55	55	25	15	38	70	57	11	44	54	26	47	19	5	5	13	21	28	18	65	20	22	14	38	54	23	28	35	58	45	44	44	16	38	66	21	28	8	39	64	22	44	54	48	54	53	76	17	54	80	40	39	41	64	85	86	73	63	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-480.958909794871772	-490.009753175323112	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985902986094939	1	-4	2	10	8	17	5	7	19	12	24	13	14	14	16	15	26	20	14	19	28	23	20	25	26	17	21	19	23	26	28	24	34	37	30	23	35	27	21	30	22	23	23	30	31	19	34	32	23	27	17	31	25	30	22	27	28	26	16	36	39	37	22	36	31	25	34	35	31	32	36	36	28	42	32	28	44	30	41	38	35	38	41	29	44	48	39	45	38	37	44	2	0	2	3	1	14	1	7	4	1	6	7	4	10	8	5	18	12	8	12	9	16	3	27	49	1	14	26	18	20	23	41	30	50	53	28	35	18	9	36	10	9	23	49	63	12	57	22	46	23	19	30	15	55	59	26	55	42	8	50	47	78	12	76	18	28	75	30	17	30	69	75	43	57	76	39	79	11	48	78	76	57	32	29	48	79	64	82	54	44	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-474.608367644877205	-483.659211025328545	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976645607347095	3	-2	7	13	8	19	11	10	15	17	25	15	21	18	18	17	33	22	16	22	21	18	20	25	24	13	25	21	31	23	29	25	27	38	31	16	36	24	34	24	26	32	15	29	29	22	23	30	37	26	23	29	30	31	21	22	28	24	28	37	37	34	24	37	27	30	38	21	30	32	39	35	32	43	28	29	39	33	37	38	41	45	41	36	34	42	34	46	48	44	46	2	0	2	8	2	8	1	3	26	8	6	8	43	5	4	26	30	14	26	19	10	3	12	5	21	8	19	14	13	7	38	21	43	53	41	7	75	6	22	15	13	75	3	13	58	8	22	30	29	38	36	68	47	19	8	22	15	21	21	17	35	40	55	87	58	15	73	9	9	30	35	13	56	69	23	56	61	25	48	48	55	61	33	35	53	42	53	60	61	67	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-468.017955998181833	-477.068799378633173	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996365098109494	0	-4	2	8	9	17	14	12	16	15	16	16	21	14	13	19	30	20	6	20	25	10	21	16	23	19	23	24	32	23	27	24	23	39	32	26	32	18	26	27	23	31	19	18	23	17	37	32	34	31	24	28	29	28	26	23	22	25	32	35	36	36	30	38	27	27	34	35	25	30	33	28	32	42	36	25	46	35	36	36	39	38	40	32	35	38	35	47	41	41	51	2	0	2	3	19	8	4	1	15	8	5	5	10	19	19	7	69	5	2	7	16	19	12	4	10	15	12	7	53	24	33	6	26	29	41	10	45	24	22	6	11	65	5	14	3	3	35	72	36	39	15	27	18	30	46	20	7	14	56	52	28	17	25	78	41	11	31	35	12	32	72	57	51	86	53	20	87	66	37	67	41	87	85	51	41	37	31	89	28	67	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-469.858325136753081	-478.909168517204421	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996252386988571	2	-1	4	6	2	12	19	12	17	12	20	12	22	17	15	20	33	19	15	22	17	23	12	21	24	18	16	24	27	22	25	25	30	32	30	21	30	21	27	20	29	31	17	25	26	19	26	27	35	31	24	27	24	27	13	12	22	20	33	42	31	24	29	35	32	31	38	22	36	27	36	28	29	43	35	34	44	38	32	35	43	45	38	40	41	41	43	46	29	33	45	2	0	2	5	2	5	12	5	55	3	23	4	11	12	6	56	68	55	12	12	56	19	3	43	24	15	56	58	40	26	14	38	36	51	31	56	24	46	53	15	28	22	10	18	26	12	18	58	29	32	27	13	7	62	3	3	43	55	11	83	51	21	47	39	46	25	44	19	34	30	37	11	57	75	42	28	67	75	47	34	72	49	37	32	17	64	34	17	30	33	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-471.588607203904814	-480.639450584356155	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993862772512494	2	-3	6	5	9	18	18	14	11	20	20	13	19	12	6	22	25	22	15	25	27	14	22	23	22	18	21	25	24	27	25	23	35	36	34	24	28	26	35	24	30	23	17	28	32	26	38	31	35	29	20	22	26	27	21	18	33	17	28	38	31	33	35	36	32	23	29	30	36	34	42	38	30	39	34	28	37	34	40	36	27	42	45	32	45	37	43	40	47	38	50	2	0	1	2	4	5	19	3	3	12	19	4	3	1	1	43	4	51	9	25	56	5	19	3	14	14	9	23	43	58	26	12	66	41	53	8	40	24	68	51	31	56	9	13	54	22	81	16	37	24	58	10	56	16	8	1	68	9	22	73	23	66	32	61	55	43	7	21	68	50	44	65	31	30	67	18	17	29	73	67	55	69	74	44	47	73	78	53	35	28	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-463.519691148526704	-472.570534528978044	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999604921256823	3	0	6	11	4	13	20	13	15	13	24	8	22	16	13	18	30	19	17	22	19	17	18	19	24	21	20	25	26	21	16	21	26	33	29	23	34	28	31	29	27	31	7	30	26	16	36	22	35	29	27	24	26	22	20	19	34	21	29	38	37	24	18	30	28	26	34	34	33	33	45	34	31	44	33	20	47	38	39	38	43	41	43	38	46	44	40	48	42	33	55	2	0	2	3	2	12	15	1	43	12	8	5	31	5	3	10	25	43	6	31	15	4	4	6	56	8	10	55	54	31	4	14	27	28	33	56	28	20	45	62	21	6	1	45	55	3	38	21	51	52	13	56	63	9	19	46	13	24	52	75	33	26	43	33	29	55	64	29	45	59	34	42	54	61	63	15	79	41	40	75	90	37	84	22	61	90	54	81	78	40	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-489.424921402606572	-498.475764783057912	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998193731244529	2	-3	5	5	7	19	11	13	14	9	22	11	20	15	13	15	19	22	12	24	25	25	12	16	18	23	23	23	32	17	25	20	30	35	22	17	38	22	31	17	23	29	24	18	29	27	35	28	21	34	22	28	19	27	18	24	35	30	24	38	36	32	23	36	34	30	29	31	33	26	39	39	26	37	33	26	42	21	38	34	26	36	39	38	43	44	38	38	45	34	52	2	0	2	2	1	16	4	7	12	4	17	4	4	10	10	7	12	36	5	55	25	17	5	7	19	6	36	17	41	10	51	23	21	33	40	5	58	55	63	3	17	9	6	19	27	28	67	30	30	43	12	44	9	26	19	32	31	41	10	62	52	31	14	33	41	16	59	18	28	55	56	90	25	39	14	13	82	16	51	41	51	42	20	66	29	39	39	62	69	13	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
