step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64
5000	-181.075767297299251	-179.613685212780382	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.861958470750790	1	3	3	4	2	3	5	6	6	5	6	5	6	8	5	8	8	7	6	6	8	5	7	10	9	7	9	9	12	10	10	9	9	10	11	8	9	7	10	11	12	14	12	13	13	12	13	13	13	14	15	14	15	16	16	17	18	17	20	20	20	24	22	22	0	1	5	6	1	1	2	3	15	3	3	6	12	11	6	2	9	8	4	7	15	2	15	25	11	7	19	18	30	32	10	36	38	37	24	9	23	15	14	17	36	43	31	37	41	35	29	35	28	30	48	46	45	42	50	49	58	50	57	55	57	61	59	56	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	2	1	1	1	2	1	2	1	1
5500	-177.638782305095816	-176.176700220576947	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.851112117486191	1	2	3	4	2	3	4	5	6	4	5	5	5	9	6	9	7	6	8	7	7	6	8	7	8	8	8	9	11	10	9	8	10	10	10	10	10	8	10	11	10	13	13	13	12	12	14	13	12	15	15	15	15	15	18	16	18	18	20	20	20	22	23	24	0	1	5	5	1	2	2	3	2	5	4	2	3	17	10	7	8	7	17	9	2	13	15	12	10	15	17	17	32	26	17	12	26	25	38	15	19	9	23	37	19	30	46	45	36	31	36	49	33	49	49	44	34	45	56	44	50	53	55	57	57	61	62	57	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	2
6000	-182.028379739881132	-180.566297655362263	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.886933435825960	1	2	3	5	3	3	6	7	6	6	5	4	5	9	7	8	9	7	8	9	7	5	7	8	9	6	9	8	11	9	10	9	10	10	9	8	10	9	10	12	12	13	11	12	13	12	13	10	11	13	13	12	16	16	17	15	19	18	20	20	21	23	22	24	0	1	1	6	1	2	6	2	3	12	6	1	12	23	4	10	19	22	10	23	7	5	22	10	8	5	19	10	27	15	16	19	36	19	7	21	38	9	38	31	37	29	31	39	40	27	33	24	20	16	43	35	47	56	51	46	54	53	58	54	57	63	61	61	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	1	1
6500	-148.587457101574103	-147.125375017055234	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.957750941919832	1	3	3	5	3	2	6	5	6	6	5	4	5	7	7	8	7	8	8	8	8	6	6	9	8	7	9	8	11	9	9	8	9	10	10	8	10	10	9	10	9	12	12	13	12	11	11	14	13	14	15	14	15	15	16	17	18	18	21	20	20	23	23	24	0	1	6	12	1	1	11	12	12	6	3	3	12	12	11	15	8	10	26	22	22	13	11	19	10	23	9	22	27	9	26	17	26	14	30	10	32	36	32	36	19	35	35	46	38	30	31	44	40	45	50	49	44	50	50	54	53	55	60	58	56	59	60	62	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-196.210306426432254	-194.748224341913385	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.796124159139230	0	3	4	4	2	2	4	6	6	5	5	4	5	8	6	7	8	6	8	9	7	6	7	10	8	7	6	9	11	8	9	9	10	10	9	9	9	7	10	12	12	14	11	13	13	12	14	12	13	14	14	14	15	14	16	17	17	18	20	21	20	22	23	24	0	5	5	5	1	1	5	4	11	7	5	5	12	10	7	5	27	11	22	8	11	12	10	17	12	27	10	23	37	11	17	9	37	35	30	16	17	10	17	36	5	40	31	20	43	24	22	33	37	44	31	46	45	28	44	49	53	51	57	57	53	61	62	54	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	1	1	3	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	1	5
7500	-206.881190349346440	-205.419108264827571	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.754681306790365	0	2	3	4	2	2	5	6	6	6	5	5	4	9	6	8	8	8	8	8	7	7	7	9	7	8	8	9	11	10	8	9	10	10	9	10	9	10	8	11	12	11	12	13	13	13	13	12	13	14	15	13	14	15	17	18	17	19	19	20	19	23	22	24	0	1	1	3	1	1	3	13	13	12	4	13	2	21	12	7	9	5	12	15	7	8	9	22	5	10	10	9	18	18	7	18	19	39	18	32	20	16	3	38	34	16	36	42	22	18	29	30	43	37	45	33	40	45	47	31	53	43	57	54	55	59	61	57	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	2	5	2	2	1	2	1	1	1	3
8000	-151.161076930793058	-149.698994846274189	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.982734399398986	1	3	4	4	2	3	5	6	6	5	5	5	5	7	6	7	8	8	8	9	7	6	7	8	7	7	8	9	11	10	9	9	8	10	11	9	9	9	10	11	12	12	12	13	13	13	14	13	13	14	14	15	16	15	16	18	18	17	21	20	19	22	23	23	0	1	5	6	1	1	2	7	6	2	2	3	6	4	13	22	11	12	15	11	12	7	10	14	12	13	22	22	36	36	15	16	9	16	37	23	18	27	27	32	32	40	30	42	41	40	49	17	35	48	41	44	52	41	47	50	53	44	61	57	53	57	62	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
8500	-175.932177914133632	-174.470095829614763	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.940769234455599	1	2	4	5	2	3	4	7	7	6	5	5	6	7	6	7	7	8	9	9	7	6	6	7	8	7	7	8	12	9	10	9	9	9	11	9	10	8	10	11	11	13	12	13	14	11	14	13	13	15	14	15	14	15	16	17	19	18	20	19	21	23	24	24	0	1	2	7	1	2	2	11	7	4	1	2	7	4	2	22	13	17	12	10	7	12	4	23	22	15	23	14	20	13	25	25	38	14	20	18	34	26	18	30	39	35	35	29	29	37	29	35	39	43	42	47	40	39	45	49	56	50	58	56	58	61	62	61	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
9000	-155.842670585412009	-154.380588500893140	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.987100127445465	1	3	4	5	3	2	4	7	6	5	5	5	6	9	4	9	8	7	8	9	6	6	7	9	8	6	8	7	11	9	9	8	8	9	10	9	9	9	10	12	11	13	10	12	13	12	14	13	13	15	14	13	16	15	16	17	19	18	20	20	20	23	22	23	0	1	1	6	1	1	1	11	7	1	5	7	3	27	6	11	28	9	22	23	7	7	22	9	7	12	5	21	39	26	22	12	22	33	19	28	32	8	30	43	37	35	33	41	29	35	42	40	35	40	49	39	45	52	50	54	56	54	58	58	57	61	60	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-170.999292351150871	-169.537210266632002	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.939076206412105	-2	2	4	3	0	2	5	6	6	6	5	4	5	8	7	7	9	7	9	7	7	6	8	10	8	6	9	9	11	10	8	10	9	9	9	9	9	9	8	11	11	11	13	12	12	11	11	13	12	14	14	14	15	15	17	18	16	18	20	20	20	21	23	23	0	5	2	5	1	5	4	3	3	3	3	2	3	21	13	7	20	22	15	10	26	11	11	37	22	12	25	23	23	37	18	4	39	20	21	26	31	10	20	27	33	14	40	30	29	34	17	39	40	44	44	46	50	43	53	57	53	48	55	56	58	60	62	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
