step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-1956.129369266035155	-1954.667287181516258	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.929609874114559	0	1	3	4	4	5	5	6	7	7	6	8	9	8	8	9	9	9	8	9	9	8	10	9	10	9	10	9	13	9	9	9	11	9	11	11	10	12	11	11	11	11	13	15	12	11	12	13	11	11	12	12	11	14	12	12	13	13	13	13	13	14	13	13	14	15	14	16	15	15	15	15	15	15	16	15	17	16	17	16	18	17	17	17	18	18	17	19	19	19	20	20	24	21	23	24	24	26	27	28	29	30	32	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	4	3	4	5	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	7	5	5	5	6	5	6	6	5	6	6	6	6	6	7	8	6	6	6	7	6	6	6	6	6	7	6	6	7	7	7	7	7	7	7	7	7	8	7	8	8	8	8	8	8	8	8	8	9	8	9	8	9	9	9	9	9	9	9	10	10	10	10	10	12	11	12	12	12	13	14	14	15	15	16	18
500	-388.257368917654787	-386.637939253245463	-1.619429664409303	0.000010035134994	0.000002327137359	0.231898959087361	0.650867390205980	0	2	3	5	5	6	4	3	5	7	6	7	8	9	7	8	9	10	8	9	9	8	11	10	10	9	11	9	13	9	10	10	11	7	12	10	10	12	11	10	12	11	12	15	13	11	12	13	12	11	13	12	12	14	13	13	12	13	13	13	13	13	13	12	13	16	15	16	15	15	15	15	14	15	16	15	17	15	17	17	18	17	15	17	17	19	17	17	19	19	20	20	25	22	22	25	24	27	27	27	29	28	32	35	0	1	1	8	1	8	3	1	2	7	9	7	12	15	9	10	11	30	12	19	12	4	32	4	19	12	26	7	39	34	22	34	37	5	32	20	16	17	40	19	34	16	11	73	25	36	25	20	21	16	42	36	25	38	17	27	20	30	33	33	18	27	33	17	19	14	31	71	40	54	30	58	48	27	50	59	71	33	66	32	78	30	61	74	74	85	78	64	88	68	27	79	92	91	73	97	76	50	39	93	102	94	93	100	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	3	2	3	1	2	1	3	1	1	3	2	1	1	2	1	3	1	3	1	1	1	1	1	2	1	1	3	2	2	1	3	1	4	6	6	1	1	2	2	4
1000	-343.710340575985754	-341.928742677794617	-1.781597898191150	0.000009992626257	0.000001808792571	0.181012731196677	0.722836669197245	0	1	4	3	4	6	6	7	8	8	6	8	10	8	8	10	10	10	8	9	9	9	11	9	11	10	10	9	14	9	8	9	9	9	10	11	10	11	11	11	12	12	13	16	11	12	12	12	11	10	12	13	12	14	12	12	13	14	12	13	13	14	12	12	14	13	14	17	15	15	15	14	16	16	15	16	16	16	16	16	19	18	18	18	19	17	15	18	19	19	18	20	24	22	23	24	23	25	27	28	29	29	32	35	0	1	4	2	2	3	5	4	7	7	3	7	12	2	6	31	10	32	7	31	2	10	28	7	30	9	12	8	41	19	7	12	10	11	20	8	28	30	17	11	23	50	63	67	24	24	49	50	26	24	32	18	23	33	18	30	37	42	30	41	22	49	14	50	55	41	34	59	51	66	72	45	57	45	43	67	71	43	58	29	91	61	76	87	83	58	60	74	86	58	57	82	73	90	94	89	89	84	93	93	100	100	102	101	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	2	2	1	4	1	1	2	2	3	3	1	1	1	2	3
1500	-288.860593632439645	-286.814231370381151	-2.046362262058503	0.000009912614576	0.000001306895614	0.131841665406136	0.895272884675034	0	2	4	4	3	6	5	6	7	8	7	7	9	8	9	10	9	8	9	10	9	8	11	9	10	8	11	8	11	9	10	9	11	9	11	12	10	12	12	11	11	12	13	16	12	11	12	13	11	11	13	13	11	15	10	13	13	14	13	13	13	14	13	13	14	15	13	16	14	14	15	15	14	15	15	15	15	16	17	16	17	18	18	17	19	19	16	20	20	18	18	20	23	20	23	23	23	25	26	28	28	30	32	34	0	1	5	2	2	4	3	4	7	8	4	5	28	6	10	22	14	6	9	19	18	12	15	11	18	11	24	9	24	11	26	8	19	26	20	27	6	46	31	30	13	33	27	67	13	13	25	45	15	24	23	33	30	60	34	23	29	45	42	27	30	29	39	55	45	67	29	13	36	39	51	67	50	16	57	51	60	29	56	76	62	84	80	69	61	84	65	90	78	72	56	44	89	90	88	89	94	97	95	99	99	101	102	103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1
2000	-268.723766666294580	-265.479021529558963	-3.244745136735615	0.000009896842695	0.000000498253979	0.050344740667894	0.979022939252009	0	2	3	3	5	5	5	6	7	7	7	7	9	8	9	8	10	10	8	9	9	8	11	9	10	10	11	7	13	10	9	9	12	9	11	11	10	13	12	10	12	11	13	15	12	11	12	13	11	11	12	12	11	15	13	12	13	14	14	13	13	14	13	12	15	15	15	16	15	14	14	16	15	13	16	15	17	17	18	17	17	17	16	17	19	18	16	17	18	18	20	19	24	21	22	24	23	25	28	27	30	31	32	34	0	1	2	1	3	3	3	5	8	6	6	6	14	8	12	7	16	22	5	11	16	8	24	9	14	19	20	6	41	28	10	11	40	28	32	15	22	6	46	22	50	13	46	57	40	34	23	47	18	21	23	34	19	71	18	46	50	60	55	35	49	74	36	15	71	43	60	61	62	36	41	54	45	36	70	17	75	73	83	75	54	59	67	65	84	78	62	44	65	66	81	78	92	75	82	94	95	94	98	98	99	99	102	103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-254.798570311879416	-253.333177446810964	-1.465392865068448	0.000009969535335	0.000003207241877	0.321704248932746	0.984943903532869	1	2	4	4	4	6	5	6	6	7	6	8	9	8	9	8	10	9	8	10	10	9	11	9	11	9	9	7	11	10	9	9	10	9	12	11	10	13	10	11	11	11	13	15	12	11	12	14	11	10	12	13	10	14	13	13	12	12	13	12	14	13	14	13	15	16	13	15	14	16	15	15	14	15	16	15	16	16	18	15	18	15	15	17	18	17	17	18	19	19	20	20	24	21	21	25	25	26	26	28	29	31	32	33	0	1	2	1	2	3	3	4	3	5	4	10	14	9	28	28	19	28	11	16	22	19	34	16	22	19	8	11	26	18	10	19	28	16	40	20	31	29	16	12	32	31	41	57	32	24	30	43	26	16	24	45	9	60	41	42	21	46	36	39	58	25	38	46	45	72	50	55	67	68	43	47	62	73	74	67	54	61	78	52	77	43	64	44	70	83	44	78	77	86	88	90	94	90	85	95	93	93	93	98	98	100	101	102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-243.123754147922710	-238.785727924578197	-4.338026223344518	0.000009966347384	0.000000268880630	0.026978853900553	0.996925659546560	1	2	3	4	5	5	6	7	7	6	7	9	9	8	7	9	9	8	7	10	9	9	11	8	11	9	11	9	13	10	9	9	11	10	11	11	10	11	12	10	11	12	13	14	13	11	12	14	12	11	12	13	11	14	12	13	12	14	13	13	13	15	13	14	15	15	14	16	14	16	15	15	15	14	16	15	17	16	18	17	18	18	17	17	18	18	16	19	20	20	20	19	24	21	22	25	25	27	27	28	28	30	33	35	0	1	1	2	4	4	6	3	5	4	5	24	7	7	6	11	15	8	5	12	9	8	28	8	13	10	34	19	41	28	11	11	18	16	34	32	18	22	38	16	21	37	37	57	35	16	12	57	32	26	40	37	37	55	21	39	40	29	57	23	25	56	25	20	48	61	53	76	55	51	60	67	74	57	48	46	62	73	70	72	77	48	62	75	78	70	72	84	75	79	86	84	94	91	89	93	93	97	96	99	98	100	102	103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-294.012007487827134	-291.674326035731383	-2.337681452095761	0.000009912282950	0.000000984215915	0.099292556471812	0.946872519965015	0	1	2	4	5	6	5	6	7	8	5	8	10	8	9	7	9	10	7	6	9	7	10	8	10	9	9	6	13	9	10	10	12	9	10	10	10	13	11	11	11	11	13	14	12	12	13	12	12	10	12	12	10	14	12	12	13	14	13	14	13	14	13	13	13	15	14	17	16	15	15	14	16	16	15	15	17	17	16	16	17	16	17	17	16	18	17	19	19	20	19	21	24	21	23	25	24	26	27	29	30	30	31	33	0	1	2	3	3	11	4	11	5	8	3	8	24	22	8	7	22	17	5	11	6	7	17	8	12	24	14	3	42	12	26	9	25	9	21	12	34	39	36	30	35	25	51	18	39	35	18	17	18	26	15	30	6	45	25	31	56	38	18	42	39	57	42	40	52	55	63	36	75	62	62	38	76	64	62	72	85	73	72	58	73	38	71	54	70	74	62	74	81	88	68	86	94	89	78	97	95	93	96	99	99	99	100	102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1
4000	-251.133965542210746	-249.727548884455956	-1.406416657754792	0.000009642492554	0.000003766897719	0.390656015305456	0.999186335951837	0	1	3	5	4	5	5	6	7	7	7	8	9	7	9	9	8	9	9	9	10	9	10	9	11	9	7	10	12	9	9	9	11	10	12	11	10	12	12	11	11	12	13	16	13	11	12	12	11	12	13	13	11	15	12	12	14	13	13	13	14	15	11	13	14	16	14	17	14	15	14	14	14	13	15	16	15	14	16	16	19	17	17	16	18	18	17	19	20	20	19	20	24	21	22	24	23	26	28	27	29	30	32	35	0	1	2	5	3	3	1	5	6	4	7	11	12	8	9	5	11	10	8	27	17	12	15	27	24	14	6	26	37	11	9	9	37	17	23	30	26	15	24	21	24	63	35	71	31	28	37	37	20	36	25	42	24	39	21	41	56	56	40	21	39	45	32	21	38	57	55	71	40	73	39	47	29	53	59	59	50	50	75	78	82	62	65	57	83	84	73	77	85	68	85	85	95	81	89	95	94	93	98	98	100	99	102	103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-249.687962136918600	-247.991922611227380	-1.696039525691212	0.000008762946104	0.000001794176831	0.204745848046054	0.989721080253879	1	2	3	5	4	6	6	6	7	8	6	9	8	9	9	9	10	10	8	9	8	8	10	8	11	7	10	9	13	8	9	9	10	9	11	10	10	12	10	11	10	11	12	15	12	11	12	13	11	11	12	13	10	14	12	12	13	14	12	13	14	15	13	10	14	16	14	15	16	15	15	15	15	15	15	14	17	16	18	16	18	16	18	17	16	18	16	20	19	19	20	20	25	21	23	22	24	26	28	28	30	30	32	34	0	1	1	5	1	4	3	3	11	9	5	9	8	24	11	7	26	14	6	30	11	11	10	6	21	7	15	22	35	6	6	9	12	26	53	24	13	36	31	17	22	64	15	42	39	14	23	46	20	41	37	25	31	48	64	64	25	51	23	25	25	56	49	34	59	71	52	29	51	48	52	58	29	45	60	51	73	72	78	52	70	75	75	74	67	82	67	79	86	85	79	79	97	88	92	83	96	97	98	98	99	100	101	103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
