step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-695.501149714280587	-704.551993094731984	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.266658506816307	0	2	5	3	6	6	7	8	8	8	9	9	10	9	9	10	10	12	12	12	11	12	13	15	11	14	11	11	15	12	13	17	19	14	14	12	13	14	12	13	15	17	16	13	14	16	13	14	14	16	14	15	14	18	15	14	14	17	16	16	14	18	16	15	16	18	17	18	21	19	18	16	17	18	18	19	18	17	22	17	19	19	18	18	20	19	19	23	0	1	1	1	1	1	6	5	7	7	4	7	8	7	7	8	14	14	8	14	12	12	12	12	8	8	8	17	39	8	14	8	14	22	22	12	12	12	14	14	21	12	64	25	25	8	8	31	39	17	39	31	8	22	36	23	39	41	12	12	25	23	17	12	53	56	29	41	29	29	29	29	41	58	23	32	43	29	84	29	58	45	67	29	23	65	78	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-523.798395985283946	-532.854615779000824	9.056219793716860	0.000010024641255	0.000009804369168	0.978026935639572	0.923093263961080	0	2	2	3	6	5	7	9	9	8	6	9	10	9	10	11	10	13	11	12	10	11	14	11	12	12	12	12	14	12	13	18	13	14	14	13	13	11	12	11	14	13	14	13	15	14	13	15	14	16	15	14	14	18	16	15	14	17	16	15	13	16	15	15	15	19	16	16	20	17	16	17	18	18	17	19	17	18	22	18	20	17	18	19	21	17	19	22	0	1	1	1	6	3	6	5	7	7	4	7	8	7	12	13	14	20	13	40	12	15	37	15	8	16	13	17	39	19	20	46	40	22	22	22	12	15	40	14	21	24	42	25	61	30	30	31	39	17	29	31	27	22	36	37	39	41	42	24	25	23	17	43	53	56	29	41	72	57	29	51	58	58	23	32	43	71	84	67	58	45	67	71	62	65	78	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-520.765436958310602	-529.730671050679007	8.965234092368355	0.000009992812814	0.000012243447238	1.225225316043610	0.980864737393341	0	3	4	4	6	5	6	9	8	7	7	9	10	9	10	10	11	12	11	11	10	12	14	15	12	14	12	12	13	12	12	17	16	14	15	13	12	12	11	13	14	14	12	13	15	16	12	15	15	15	14	15	15	15	16	15	14	15	15	17	13	16	16	14	17	17	16	16	17	19	19	17	17	19	15	19	14	16	19	17	17	17	18	17	21	19	18	22	0	1	2	1	6	3	6	5	10	7	4	10	8	10	12	8	14	14	13	14	12	15	37	15	13	27	16	17	39	19	20	26	18	22	22	22	12	15	14	14	21	12	15	25	61	26	13	31	29	17	39	31	30	34	36	37	29	41	42	24	25	37	28	43	53	56	51	41	57	72	72	39	58	81	23	32	43	57	84	67	58	45	67	57	62	65	78	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-510.132796776426460	-518.934544515475750	8.801747739049306	0.000009958961359	0.000016255389962	1.632237477010430	0.973767230904163	1	3	5	4	6	5	6	8	9	8	6	9	9	9	10	11	11	13	12	12	12	11	14	14	12	10	12	12	12	12	13	17	15	14	15	12	13	11	10	10	14	13	14	14	15	15	14	14	14	14	15	15	14	13	15	15	14	17	15	16	14	17	14	15	16	17	16	17	20	19	17	15	18	19	15	19	19	17	21	17	18	15	19	19	20	20	19	23	0	1	2	2	6	2	6	5	7	7	4	7	8	7	12	13	40	20	13	40	15	12	37	15	26	8	16	17	39	8	20	46	18	22	34	22	15	15	14	14	21	15	15	25	61	16	30	31	29	28	57	31	27	22	36	37	29	41	24	24	25	23	28	43	53	56	57	41	71	71	57	39	58	58	37	32	43	51	84	67	58	61	67	71	62	65	78	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-514.061229971741454	-522.600666895201584	8.539436923460082	0.000009961677993	0.000022742591104	2.283008055332916	0.997778464601712	1	2	5	4	7	6	7	8	8	9	8	9	10	9	10	10	11	10	11	13	12	11	14	14	12	12	12	12	14	12	13	13	12	14	15	12	12	15	12	10	15	13	15	13	15	16	13	14	15	16	13	15	15	13	15	15	15	16	16	16	13	19	14	16	17	16	17	18	21	18	18	17	17	17	18	17	16	15	21	18	18	20	18	18	20	20	16	20	0	1	2	1	6	3	6	5	7	7	4	7	8	7	12	8	40	14	8	40	12	12	37	42	19	19	8	17	39	13	40	26	40	22	34	22	12	42	18	14	21	15	24	25	61	27	27	31	51	63	39	31	32	22	36	23	29	41	42	24	25	37	28	43	53	56	29	41	57	72	72	39	58	58	23	32	43	51	84	67	58	45	67	29	62	65	78	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-521.098513206744087	-529.711154016875980	8.612640810131909	0.000009685202609	0.000020985359686	2.166744520762108	0.994354121521631	1	3	3	4	5	3	4	8	8	7	7	9	10	9	10	11	11	11	9	12	10	11	14	11	11	14	12	12	15	13	13	14	18	13	14	13	13	13	13	14	15	12	14	13	15	17	14	15	14	14	15	16	15	16	14	15	15	17	14	16	14	15	15	15	16	16	16	18	21	19	16	14	18	19	18	16	19	16	21	18	18	20	17	18	17	17	20	23	0	1	1	3	6	1	6	5	10	7	4	10	19	10	12	19	14	14	8	18	12	12	37	15	13	16	13	17	39	27	18	30	40	22	22	22	12	42	18	18	21	15	24	25	61	26	30	31	39	28	72	31	32	34	36	23	39	41	12	42	25	37	28	43	53	56	57	41	57	72	51	39	58	58	37	32	43	72	84	67	58	45	67	71	62	65	78	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-502.826315991011938	-511.790508932781620	8.964192941769694	0.000009897633265	0.000012387335380	1.251545197532855	0.994573601632751	1	2	3	4	6	4	6	8	8	7	7	9	11	10	10	10	11	11	13	13	12	12	14	12	11	14	12	12	16	11	13	14	14	14	14	13	13	14	12	13	15	13	15	14	15	15	14	15	14	16	13	15	15	15	15	14	15	17	15	16	14	17	13	16	17	16	16	18	20	17	17	16	18	19	17	19	17	15	21	18	20	16	18	18	21	18	19	24	0	1	1	2	6	2	6	5	7	7	4	10	8	10	12	8	14	14	27	14	15	15	37	15	16	13	30	17	51	16	14	27	20	22	22	22	24	42	14	14	21	15	24	25	61	26	19	31	39	63	39	31	32	34	36	37	51	41	42	24	25	23	28	43	53	56	57	41	71	72	72	51	58	58	37	32	43	39	84	67	58	61	67	29	62	65	78	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-519.011135950314269	-527.588841584179363	8.577705633865147	0.000010321436829	0.000021616512157	2.094331682156090	0.996367459955790	1	3	6	4	7	4	6	9	9	9	5	9	11	8	10	10	11	10	11	11	10	12	13	16	11	12	11	12	15	12	11	14	15	14	14	13	12	15	12	12	13	13	14	14	15	17	14	14	15	14	15	15	15	15	15	14	15	15	15	15	14	17	14	15	16	18	16	18	21	20	19	14	17	19	19	18	17	17	19	17	17	18	19	16	19	18	19	22	0	1	1	2	6	2	6	5	7	7	4	7	16	7	12	8	14	14	16	14	12	12	37	42	8	16	16	17	72	13	18	26	20	22	22	22	12	42	20	14	21	15	42	25	61	26	26	31	72	28	39	31	32	22	36	23	39	41	42	42	25	37	28	43	53	56	29	41	71	51	51	39	58	81	23	32	43	51	84	67	58	45	67	29	62	65	78	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-496.532755927900212	-505.123570357864878	8.590814429964668	0.000010764200511	0.000021002762787	1.951167926024730	0.995225412329895	0	2	2	3	6	4	6	8	9	8	8	9	11	9	10	10	10	12	10	13	10	12	13	14	12	13	12	11	15	13	13	14	15	13	14	13	12	15	12	10	16	16	15	14	15	15	12	14	15	16	14	14	15	17	16	15	14	17	15	16	14	16	14	16	16	18	17	17	22	20	19	17	18	18	19	16	18	16	20	18	19	19	18	18	21	17	19	22	0	1	1	2	6	3	6	5	7	7	4	10	19	7	12	8	14	40	8	40	12	15	37	15	16	16	13	17	57	8	18	27	20	22	22	22	15	12	40	14	21	24	24	25	61	30	13	31	51	63	39	31	32	34	36	23	39	41	15	24	25	23	28	43	53	56	29	41	70	71	72	29	58	58	62	32	43	29	84	67	58	45	67	72	62	65	78	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-502.713435087633286	-511.298031229288426	8.584596141655117	0.000011228918302	0.000020795094861	1.851923248731189	0.986396528842659	0	2	3	3	5	4	6	8	8	8	7	9	11	9	10	11	11	11	11	13	11	10	13	13	11	10	10	12	14	12	12	14	18	14	15	12	12	14	12	12	15	14	15	12	15	13	12	13	13	15	13	16	15	17	14	14	14	17	14	16	13	17	15	16	16	18	16	17	20	18	17	17	18	19	19	16	17	18	20	17	19	17	18	18	19	18	19	24	0	1	1	2	6	2	6	5	7	7	4	7	26	10	12	8	14	14	8	40	12	12	37	15	27	8	8	17	51	26	14	13	20	22	34	22	15	24	18	18	21	15	42	25	61	30	13	31	39	28	39	31	32	34	36	37	39	41	24	42	25	23	28	43	53	56	57	41	70	51	29	57	58	58	62	32	43	29	84	67	58	45	67	71	62	65	78	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
