step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
1	-1225.891081170524330	-1234.941924550975727	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.557215348087719	8	9	12	23	24	20	23	32	34	32	27	31	30	31	33	38	32	36	34	39	35	35	50	42	33	38	45	38	42	38	44	44	41	44	49	48	44	54	56	56	54	47	47	51	57	52	54	54	52	54	61	62	54	58	61	54	59	72	72	63	65	59	63	65	66	64	69	61	70	61	67	63	70	71	89	75	80	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-406.318475376563640	-415.369318757014980	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.969993184627315	2	10	9	15	23	19	22	26	35	27	27	30	28	33	21	33	30	34	36	39	34	35	51	39	35	41	48	39	42	39	38	33	43	43	43	45	44	46	59	56	51	45	42	48	55	43	50	55	53	46	60	63	54	61	64	52	59	68	69	62	63	58	49	46	67	66	72	53	70	52	66	62	71	74	88	74	79	0	1	1	1	6	2	6	15	8	7	15	10	15	5	3	8	4	7	14	17	11	8	37	21	11	25	37	22	18	11	10	11	22	14	14	25	25	31	68	53	64	30	8	26	29	18	43	64	47	30	49	62	42	48	40	27	53	61	50	63	41	44	36	28	33	40	61	63	62	20	61	40	65	58	77	61	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-410.135286226341236	-419.186129606792576	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.973222969300682	6	10	13	20	23	18	21	31	29	31	26	32	33	26	35	33	24	31	35	40	35	30	51	43	36	31	47	38	43	37	43	45	39	41	43	47	44	54	54	56	54	44	47	49	56	49	50	54	52	53	62	62	53	55	63	56	52	71	68	58	56	55	60	61	65	63	69	63	68	55	67	56	59	72	89	74	83	0	1	1	2	6	2	2	4	11	4	7	5	5	6	4	5	4	4	5	16	10	6	30	28	4	5	8	16	16	9	21	30	21	15	19	13	26	57	57	36	23	22	37	35	62	15	43	12	33	27	70	23	27	29	73	31	33	45	52	41	37	23	44	50	60	37	51	61	62	31	68	41	45	71	77	69	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-404.329332414779969	-413.380175795231310	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987181929142367	8	11	15	23	22	19	25	33	32	26	28	27	25	34	36	29	33	36	34	40	32	34	46	44	34	38	46	37	39	39	46	46	38	41	46	48	40	43	53	57	50	39	44	45	61	51	57	47	54	44	54	53	56	53	60	57	58	74	73	65	65	53	60	65	61	64	69	59	69	54	66	64	65	71	75	67	70	0	1	2	2	3	2	5	11	10	6	4	5	4	21	11	5	7	12	5	16	13	4	30	22	9	17	20	25	9	9	30	28	18	14	20	37	14	33	32	30	21	18	14	18	51	23	48	29	50	20	44	37	23	35	53	54	62	52	72	55	40	29	52	72	54	53	45	39	55	41	57	47	54	64	73	72	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-404.716112180843311	-413.766955561294651	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994585788009223	7	11	14	16	23	19	17	26	29	28	27	28	26	33	31	35	27	35	36	38	33	34	50	39	30	35	41	38	34	37	46	39	44	41	41	46	44	48	52	53	47	47	43	52	56	53	50	41	51	56	62	63	52	58	56	48	56	69	69	62	66	59	65	51	65	62	59	60	45	59	66	56	72	67	76	65	79	0	1	1	2	4	3	2	5	7	4	6	5	5	8	17	8	3	12	21	21	10	9	27	21	11	10	19	14	9	15	27	14	9	14	32	27	29	24	32	41	25	32	35	43	23	38	26	26	31	53	45	46	69	64	64	35	44	45	76	72	33	47	57	26	55	39	40	64	26	47	46	44	66	60	59	57	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-404.342396946921383	-413.393240327372723	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983601362421035	7	12	14	24	21	13	22	35	29	35	22	22	33	32	25	30	35	35	36	39	37	33	44	42	37	35	43	33	30	30	47	42	42	40	52	41	44	53	56	58	53	49	48	51	52	55	51	48	55	48	63	57	52	57	64	51	58	70	75	62	69	59	60	65	67	58	64	55	72	55	67	46	68	69	78	67	81	0	1	1	3	3	1	6	30	7	12	6	3	5	12	5	7	29	29	29	26	16	11	22	26	16	29	14	29	15	5	27	28	34	28	48	18	14	43	27	38	27	31	27	32	43	48	20	37	24	36	70	50	27	70	54	27	39	40	61	52	64	50	68	42	52	45	41	44	64	37	60	23	52	40	59	60	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-388.216889375645565	-397.267732756096905	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981952706698197	6	10	14	20	21	14	24	31	26	29	28	28	25	27	32	36	29	32	33	31	37	37	48	42	33	36	45	36	42	36	42	37	43	46	47	45	37	53	47	49	55	41	46	50	53	54	52	55	44	54	62	57	56	60	56	54	55	72	69	56	64	59	60	62	65	64	69	57	67	62	59	66	65	68	86	76	80	0	1	1	2	3	2	5	3	4	7	5	7	4	4	14	7	9	14	10	13	5	20	27	21	10	11	19	8	26	18	16	14	21	28	22	42	19	34	17	32	39	37	31	33	49	40	39	35	21	49	46	41	39	36	47	32	38	73	51	38	55	48	68	57	68	71	70	27	63	68	56	71	68	46	77	70	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-427.648103082486728	-436.698946462938068	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991135474908686	4	10	14	18	18	16	23	34	30	35	23	32	31	33	32	39	23	36	19	32	32	30	50	44	25	38	29	40	41	37	44	43	42	44	46	45	38	43	46	56	55	42	49	43	46	51	54	37	52	48	49	60	56	51	59	55	57	72	72	55	68	61	52	63	63	67	64	59	69	59	55	64	72	60	87	70	76	0	1	2	6	3	2	5	27	4	20	2	17	25	11	7	9	19	22	6	25	27	3	38	18	6	10	7	25	13	12	15	37	20	42	31	18	18	9	28	45	51	30	34	18	24	34	48	13	44	28	37	34	34	35	54	36	47	61	66	43	65	32	39	56	36	70	55	60	64	23	35	71	55	35	61	46	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-393.637514877161550	-402.688358257612890	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991725728914837	8	11	14	16	23	19	24	30	37	35	28	35	25	28	33	40	34	35	32	40	32	34	49	38	27	37	48	35	44	40	43	36	38	40	49	43	42	54	47	56	54	48	44	43	51	55	51	48	42	49	62	63	52	50	57	52	59	71	69	64	67	54	61	60	53	65	59	57	60	61	68	58	69	70	78	68	77	0	1	1	1	2	1	1	13	8	25	6	11	6	6	5	22	8	8	11	28	25	5	49	8	7	17	16	15	17	18	33	17	8	22	26	26	30	27	44	27	47	33	9	19	48	45	44	43	15	30	41	46	31	44	41	50	53	76	70	72	69	35	38	40	42	68	46	53	68	41	60	36	70	57	58	68	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-405.962960564884838	-415.013803945336178	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986559564808142	8	12	13	25	18	19	26	32	33	33	29	32	28	22	32	40	29	38	34	34	36	38	50	34	35	36	43	32	27	41	47	43	43	37	50	47	43	51	56	51	53	38	45	53	46	46	51	53	47	43	61	55	52	59	60	52	61	71	71	56	65	59	60	61	69	59	71	58	65	62	69	66	66	70	84	73	82	0	1	1	3	2	3	6	17	14	6	5	29	14	2	13	15	4	10	7	29	10	29	12	12	8	15	42	17	4	11	18	22	22	20	27	16	9	33	38	28	36	28	20	43	22	19	25	45	22	28	41	37	49	23	40	32	49	69	55	48	57	39	39	33	57	38	54	31	53	52	69	52	51	62	69	65	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
