step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10
1	-83.176530032595224	-90.032017983554596	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.984202129202975	1	1	4	1	3	3	4	5	5	9	0	0	1	0	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	4
500	-44.551770614327076	-51.407258565286448	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.949075732278957	0	1	4	1	2	4	4	5	5	10	0	1	1	1	2	4	5	4	7	9	1	1	1	1	1	2	1	2	1	2
1000	-45.227509353154616	-52.082997304113988	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736424397623474	0	1	4	2	3	4	5	6	4	10	0	1	1	1	2	4	5	4	5	9	1	1	3	1	1	1	1	2	1	4
1500	-36.639223394600208	-43.494711345559580	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785905922497722	0	1	4	1	4	3	3	5	5	9	0	1	4	1	7	4	2	6	7	9	1	1	1	1	1	1	1	1	1	2
2000	-41.190381291851502	-48.045869242810873	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.923553231426297	0	1	4	2	3	4	4	5	5	6	0	1	1	1	2	4	5	6	5	9	1	1	3	1	1	1	1	1	1	1
2500	-40.376771040341396	-47.232258991300768	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760056950751780	0	1	4	2	3	3	4	5	5	8	0	1	4	1	2	4	5	6	5	9	1	1	1	1	1	1	1	1	2	2
3000	-41.984259849822116	-48.839747800781488	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.735414481118308	0	1	5	1	4	3	3	4	5	9	0	1	1	1	2	4	2	6	7	9	1	1	2	1	1	2	1	1	1	2
3500	-33.599691973512584	-40.455179924471956	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.909544513763212	1	2	3	2	3	3	4	5	5	9	0	1	1	1	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	1
4000	-38.321220381204924	-45.176708332164296	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644252053719067	-1	1	3	1	3	3	4	4	5	9	0	1	1	1	2	4	5	4	5	9	1	1	2	1	1	1	1	2	1	2
4500	-38.171564760612519	-45.027052711571891	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.868029988074087	0	2	4	1	4	3	3	6	6	9	0	1	1	1	7	4	2	6	7	9	1	1	2	1	1	1	1	1	1	1
5000	-44.540147265099961	-51.395635216059333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672206038423680	0	2	3	1	4	3	3	6	6	9	0	1	1	1	7	4	2	6	2	9	1	1	2	1	1	1	1	2	2	1
5500	-38.832741592449651	-45.688229543409022	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702524039563779	0	2	4	2	4	4	5	6	6	8	0	1	1	1	2	4	5	4	7	9	1	1	2	1	1	1	1	2	1	1
6000	-41.603137728515861	-48.458625679475233	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.582803818662851	0	1	2	2	3	3	4	5	5	10	0	1	1	1	2	4	5	6	5	9	1	1	2	1	1	1	1	1	1	3
6500	-40.063358059918812	-46.918846010878184	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.691029848928509	0	1	3	2	4	3	3	4	6	10	0	1	1	1	7	4	2	4	5	9	1	1	2	1	1	1	1	1	1	2
7000	-40.421837434841592	-47.277325385800964	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731494591076230	0	1	4	1	4	3	3	5	5	10	0	1	1	1	7	4	2	4	7	9	1	1	2	1	1	1	1	2	1	1
7500	-40.337826405442264	-47.193314356401636	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.759126335169094	0	2	3	1	3	4	4	6	6	10	0	1	1	1	2	3	5	6	7	9	1	1	1	1	1	1	1	1	1	2
8000	-37.564158046430819	-44.419645997390191	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741314068577898	-1	1	3	1	3	3	4	6	5	9	0	1	1	1	2	4	5	6	5	9	1	1	2	1	1	1	1	2	1	2
8500	-38.493095296681552	-45.348583247640924	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.682781603579052	0	1	5	2	3	3	5	6	5	9	0	1	1	1	2	4	5	6	5	9	1	1	3	1	1	1	1	1	1	2
9000	-40.905878812704181	-47.761366763663553	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605693304449972	1	2	3	2	4	3	5	4	5	10	0	1	1	1	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	3
