step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-4457.787282574368874	-4464.642770525328160	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.137811149994544	0	5	6	8	7	7	9	11	10	9	10	10	12	11	13	12	12	12	12	12	13	13	14	15	15	13	14	15	15	15	15	15	14	16	17	16	18	20	20	19	18	20	21	20	22	22	24	22	23	23	23	23	24	25	25	27	25	25	26	26	26	27	27	28	28	28	29	30	30	30	31	31	33	33	34	34	39	41	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	4	4	5	6	5	5	5	5	6	6	7	6	6	6	6	6	7	7	7	8	8	7	7	8	8	8	8	8	7	8	9	8	9	10	10	10	9	10	11	10	11	11	12	11	12	12	12	12	12	13	13	14	13	13	13	13	13	14	14	14	14	14	15	15	15	15	16	16	17	17	17	17	20	21
500	-1011.415464088350291	-1018.270952039309691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.202837627193822	1	5	6	7	7	7	8	10	10	10	10	11	12	8	14	12	12	11	11	11	13	13	15	14	15	13	11	15	15	15	15	16	15	17	18	16	18	20	20	19	18	18	22	20	21	21	25	22	24	20	23	23	24	26	26	28	25	24	27	27	25	27	27	27	29	28	30	31	30	31	32	32	34	33	35	35	39	42	0	0	2	2	2	3	4	4	14	7	14	4	4	5	26	8	11	7	14	8	14	9	16	17	12	27	11	22	12	19	17	15	0	32	32	24	24	32	31	34	34	17	50	17	24	22	30	19	44	19	17	42	0	48	45	14	0	11	49	46	2	38	0	26	63	50	50	50	50	50	50	0	21	50	50	50	0	0	1	1	1	1	1	1	1	2	1	1	1	3	2	1	1	1	1	2	2	1	3	3	2	2	2	1	1	1	3	2	1	1	1	1	1	1	3	2	3	1	1	4	2	4	5	4	5	7	2	7	5	3	1	3	2	12	1	7	2	3	8	4	1	10	1	5	6	7	7	8	10	1	15	9	9	12	1	1
1000	-745.537069538565106	-752.392557489524506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.370005745561235	0	5	7	8	8	8	10	9	10	8	10	10	13	11	14	12	11	12	12	13	12	13	14	15	16	14	15	16	16	16	13	15	14	17	17	17	18	18	20	20	18	20	21	21	23	23	25	20	23	24	24	24	25	23	26	24	26	26	26	26	26	26	27	29	29	27	30	29	31	30	32	32	34	33	35	35	40	41	0	0	2	2	3	3	10	4	10	2	5	10	8	5	19	8	4	12	11	8	9	17	4	17	18	19	19	17	18	19	17	19	0	27	32	31	19	34	36	38	26	28	48	36	38	43	43	41	42	19	43	49	0	43	48	23	0	43	52	48	9	34	0	43	63	16	63	43	65	9	21	0	21	56	66	56	0	0	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	2	1	1	1	2	2	1	3	3	2	2	2	3	2	2	1	2	1	2	1	1	2	1	2	1	2	2	1	1	2	2	2	1	1	7	2	1	1	2	3	4	1	2	1	4	7	5	1	4	1	6	2	4	1	7	12	1	16	5	5	6	1	1
1500	-550.247104642549857	-557.102592593509257	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615846217998821	0	5	7	7	7	8	9	10	11	10	8	9	13	10	13	11	11	11	11	12	13	13	15	15	16	13	14	16	16	16	14	15	15	16	18	16	18	21	21	19	18	20	21	20	21	22	23	20	22	24	22	24	23	26	25	25	25	25	26	27	25	28	26	27	28	28	30	30	30	29	32	32	34	34	35	34	39	41	0	0	2	2	2	3	4	4	14	12	5	4	4	5	19	8	11	12	11	4	9	17	16	22	18	19	26	24	18	15	17	19	0	26	32	31	15	37	36	32	32	36	48	36	40	48	43	41	42	45	43	42	0	58	46	13	0	43	52	47	29	50	0	47	63	56	65	64	65	66	37	0	63	69	73	70	0	0	1	1	1	1	1	1	1	2	1	1	1	1	4	2	1	1	2	1	1	2	1	1	2	1	2	1	1	1	4	2	1	2	1	1	1	1	2	2	2	2	2	2	1	3	1	1	1	1	1	2	1	2	1	1	1	6	1	2	1	2	4	2	1	2	2	2	2	2	2	1	10	1	3	2	1	2	1	1
2000	-483.249321388741237	-490.104809339700637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.728534452152526	0	5	6	7	7	7	9	12	10	8	10	10	12	9	14	10	12	13	11	13	14	14	14	15	16	14	13	15	16	15	16	15	14	17	14	17	19	19	20	20	18	20	21	21	21	22	24	20	22	23	24	23	25	25	24	24	24	24	25	26	26	26	26	28	29	27	29	30	29	31	32	29	33	33	34	34	38	41	0	0	2	2	2	3	4	16	14	4	14	10	16	5	19	4	11	12	11	13	9	17	8	17	18	27	19	17	18	19	17	19	0	35	19	31	15	34	36	38	35	31	48	31	34	43	46	41	44	40	46	49	0	43	48	16	0	43	52	55	57	45	0	54	63	56	63	64	66	69	56	0	66	69	71	65	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	2	2	2	2	1	2	2	1	3	1	1	1	2	2	1	3	2	1	2	1	1	1	1	1	1	2	2	3	1	1	1	1	2	3	1	1	2	1	1	1	1	1	7	1	2	2	1	3	1	1
2500	-455.676178578085683	-462.531666529045083	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711354331810797	0	5	7	7	7	6	9	10	10	10	10	10	10	11	13	12	12	12	11	13	13	14	15	15	15	13	14	16	16	15	15	15	13	15	17	16	17	21	21	19	19	20	22	21	21	23	25	21	23	23	23	24	23	26	25	26	25	25	27	26	27	26	26	28	29	27	29	29	29	29	32	31	34	34	35	34	39	42	0	0	6	2	2	2	4	2	5	7	5	7	4	5	19	8	9	12	11	8	9	11	16	17	12	19	19	22	18	26	27	26	0	26	27	31	27	34	36	34	34	31	48	42	34	43	43	41	44	40	43	49	0	43	48	38	0	43	52	47	57	50	0	58	63	56	63	47	66	66	67	0	69	69	73	70	0	0	1	1	1	1	1	1	1	3	2	1	2	1	1	1	2	2	1	1	1	1	2	2	2	1	3	1	2	1	2	1	1	2	1	1	1	1	1	3	2	2	2	2	1	1	2	1	2	1	1	2	1	1	1	2	2	2	1	2	1	1	2	2	1	2	2	1	1	1	2	1	2	1	4	2	1	2	1	1
3000	-461.000874027434236	-467.856361978393636	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670415165044914	-1	5	6	8	7	8	9	10	10	8	10	10	12	11	13	12	12	13	12	13	12	12	15	16	14	13	14	15	14	16	15	16	13	15	18	16	19	20	20	18	18	19	21	21	20	23	24	20	23	24	23	24	24	24	25	26	25	25	27	26	27	26	26	26	29	28	29	28	31	30	31	31	33	34	33	33	40	42	0	0	2	2	2	3	10	4	4	2	5	4	8	11	19	8	11	12	11	13	9	11	16	17	12	19	19	22	4	19	22	15	0	19	19	31	34	34	36	34	34	31	48	42	34	43	43	34	42	45	43	49	0	46	46	42	0	43	52	55	57	50	0	54	63	56	63	64	65	66	67	0	66	73	69	70	0	0	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	2	3	2	2	2	1	2	2	1	2	2	3	2	2	3	1	1	2	2	2	2	2	2	1	1	1	1	1	4	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1
3500	-429.653813982075690	-436.509301933035090	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.752303483707898	1	5	6	8	7	7	9	11	9	9	10	11	10	11	14	13	13	13	11	12	13	12	12	14	15	13	13	15	15	15	15	16	14	16	16	16	18	20	20	18	18	20	22	19	22	23	25	20	22	23	23	24	24	26	25	28	24	24	27	26	26	27	25	27	28	29	30	30	30	31	31	29	33	33	35	35	37	41	0	0	2	2	2	3	4	13	5	4	4	10	4	9	27	23	22	12	11	13	14	11	8	17	18	19	19	22	18	15	22	27	0	19	19	31	32	40	36	15	35	44	48	31	38	43	46	41	42	45	43	49	0	58	58	29	0	43	52	55	57	50	0	58	63	65	63	64	66	66	65	0	70	69	74	70	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	7	1	2	2	1	1	2	1	1	2	1	2	1	1	1	2	1	2	2	1	2	1	1
4000	-430.134226676687604	-436.989714627647004	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649620584354106	0	5	6	7	7	7	9	10	9	9	10	10	13	12	13	13	11	13	12	12	13	12	14	15	16	14	14	15	14	15	15	16	14	17	17	16	18	20	20	18	18	21	22	20	22	23	24	21	22	23	22	24	24	25	25	28	25	26	26	26	27	27	26	28	28	27	29	30	31	29	30	32	32	33	34	34	40	41	0	0	2	2	2	3	4	4	5	4	9	10	8	9	19	8	11	10	11	8	9	17	16	17	12	15	19	17	7	15	17	27	0	26	19	31	15	34	36	15	32	44	48	36	38	43	43	40	44	45	48	49	0	47	48	18	0	46	52	55	57	50	0	47	63	63	63	64	66	66	56	0	66	56	73	73	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	1	1	3	3	1	1	1	2	1	2	1	1	1	3	1	3	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	9	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1
4500	-436.149365484534314	-443.004853435493715	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663484744903452	0	4	6	7	6	8	9	10	9	9	10	10	12	12	13	13	12	12	12	12	13	13	14	15	16	13	14	16	16	14	15	15	14	17	16	17	19	20	20	18	18	21	21	19	22	23	24	20	21	24	23	23	25	25	25	27	23	25	26	27	27	24	27	28	29	28	30	30	30	30	31	30	33	32	32	35	39	41	0	0	2	2	2	3	4	4	2	4	9	4	8	6	19	8	11	12	11	8	9	17	13	22	18	11	26	22	18	14	17	15	0	26	32	31	32	34	31	14	34	44	48	31	34	43	51	41	44	38	43	49	0	43	46	14	0	43	49	48	57	38	0	54	63	63	65	64	66	66	67	0	66	70	70	70	0	0	1	1	1	2	1	1	1	1	2	1	1	2	1	4	1	2	1	1	1	1	2	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1	2	2	2	3	1	1	1	3	2	2	1	1	1	2	1	1	1	2	1	6	1	1	2	3	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1
