step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
1	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.534826142852293	1	5	4	23	15	17	22	23	29	48	33	30	33	44	56	84	86	91	96	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-97.539687310416411	-106.590530690867752	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988879931070311	-4	0	5	22	12	13	15	18	25	43	35	32	31	42	54	68	78	86	92	0	1	2	6	2	3	3	6	7	11	9	9	8	12	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-96.680978671274062	-105.731822051725402	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970085268839436	1	5	4	22	14	20	21	25	29	44	35	30	28	47	57	76	83	88	94	0	1	1	5	2	5	2	5	6	12	12	13	7	9	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-97.106773408077515	-106.157616788528856	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993314868163108	0	5	3	14	17	21	23	22	31	49	36	30	29	37	56	70	82	91	98	0	1	1	2	4	4	3	5	8	14	13	8	7	8	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-97.100193140221151	-106.151036520672491	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961783320206176	2	7	8	20	10	14	19	22	22	51	33	32	33	42	58	77	83	91	95	0	1	1	3	1	5	2	6	5	14	5	9	8	12	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-101.728732153737056	-110.779575534188396	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.953371500829690	0	3	7	13	14	19	15	22	29	46	27	30	36	41	55	79	85	87	88	0	1	1	2	3	5	3	2	6	13	7	8	9	9	14	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-98.870274285746518	-107.921117666197858	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981325382997777	-1	7	5	24	16	15	21	19	29	39	33	27	34	40	60	78	85	91	93	0	1	1	6	1	3	8	2	6	9	7	7	9	9	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-103.323100786381104	-112.373944166832445	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.924631467728115	-4	3	0	23	10	8	17	19	26	47	34	25	32	49	57	76	86	91	81	0	3	1	7	2	3	2	6	8	11	4	8	9	11	14	15	19	19	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-108.928379908769728	-117.979223289221068	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998516673989371	0	5	3	21	14	10	19	27	25	42	26	33	28	38	55	76	82	87	95	0	3	1	6	3	3	6	9	2	12	6	6	11	12	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-101.399106920731171	-110.449950301182511	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.949018796831281	1	9	6	13	5	18	13	18	28	50	35	23	26	45	60	81	89	91	95	0	1	1	3	1	5	1	2	12	14	12	2	8	11	10	15	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
