step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45
1	-2866.674670071266064	-2873.530158022225351	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736156147422431	-1	2	3	4	3	3	3	6	6	6	9	8	9	8	9	10	11	10	13	15	17	17	21	21	21	21	23	28	32	35	33	35	34	34	36	38	36	35	37	36	39	41	42	45	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	4	4	4	5	5	5	5	5	6	6	6	7	8	9	9	11	11	11	11	12	15	17	18	17	18	18	18	19	20	19	18	19	19	20	21	22	23	23
500	-821.269373226543621	-828.124861177503021	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.195271026051159	0	3	3	5	2	4	1	5	6	6	7	7	9	8	8	11	12	10	13	12	17	16	21	22	22	21	20	25	32	36	33	35	35	35	37	39	37	36	38	37	39	42	43	46	46	0	1	7	5	1	3	1	5	3	6	7	4	8	6	10	13	15	15	0	11	20	20	21	21	23	21	20	0	27	27	28	20	28	28	27	27	28	28	28	2	20	28	28	28	28	1	2	1	2	1	1	1	2	2	1	3	1	2	2	1	1	2	1	1	3	3	2	2	2	1	3	7	1	10	12	6	14	8	7	13	15	11	10	13	21	21	15	15	14	18
1000	-577.791156177019616	-584.646644127979016	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.252251597041985	0	2	4	5	3	4	2	5	7	6	9	9	8	9	9	10	11	10	13	15	18	17	22	19	21	21	23	25	29	35	33	35	34	34	35	39	35	34	38	36	40	41	43	44	45	0	1	7	1	1	5	1	5	7	1	4	4	8	6	10	13	10	10	0	19	20	20	24	20	24	20	26	0	28	28	29	4	28	28	29	28	29	29	28	11	11	28	28	29	29	1	1	2	3	2	1	1	1	2	3	2	2	1	2	1	1	3	2	1	1	3	1	2	2	1	3	1	1	3	6	2	19	5	7	4	12	6	3	9	16	19	8	15	10	14
1500	-371.079037741664649	-377.934525692624049	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.420761676240271	-1	2	4	3	2	3	2	5	6	6	9	9	9	8	9	10	11	10	13	15	17	18	22	20	21	22	23	25	29	35	33	36	34	35	35	38	37	36	38	37	40	42	41	44	46	0	1	5	1	1	7	1	7	4	6	3	8	8	10	6	13	10	15	0	19	20	21	24	21	21	21	23	0	28	31	29	28	29	28	29	28	29	34	28	28	29	29	29	40	29	1	2	2	2	2	1	1	1	1	2	3	2	2	1	4	1	3	1	1	1	1	1	1	2	2	4	1	1	3	1	1	10	3	5	3	9	5	1	8	11	10	9	5	4	12
2000	-300.535788948451454	-307.391276899410855	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560836277509506	0	2	3	4	4	4	4	6	6	5	9	9	9	7	9	11	10	10	12	15	16	17	21	20	22	22	23	25	30	33	34	36	34	34	36	38	35	36	37	36	37	41	41	45	45	0	1	1	1	2	3	3	5	7	6	7	8	8	6	10	13	14	10	0	19	20	20	21	21	24	24	25	0	28	29	30	29	29	29	30	30	29	30	28	33	30	29	32	42	32	1	1	1	2	1	1	1	1	2	1	3	1	2	3	1	1	2	2	1	1	1	1	2	3	1	1	1	1	3	2	1	6	3	2	1	3	3	2	6	1	2	6	2	2	4
2500	-249.582850424760267	-256.438338375719638	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671774119154656	0	2	2	4	3	4	3	7	6	6	9	7	9	8	9	11	12	10	13	14	17	18	21	22	21	19	24	29	31	36	33	32	34	34	36	37	37	35	37	37	38	41	41	46	43	0	1	1	7	1	3	3	4	7	6	2	4	8	10	10	13	15	10	0	19	20	21	26	26	26	21	24	0	28	32	32	29	32	32	38	33	38	33	34	33	39	39	30	43	43	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	2	2	3	1
3000	-235.776243617507674	-242.631731568467046	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.691473298275751	0	2	3	4	4	3	1	6	6	7	9	8	9	7	8	11	10	10	13	15	16	17	20	22	21	22	23	28	31	34	33	35	34	34	37	37	37	36	37	35	39	42	40	43	45	0	1	7	2	2	7	1	4	5	6	9	8	8	6	10	13	15	15	0	19	20	21	21	23	23	23	23	0	28	29	29	29	29	29	38	40	38	32	30	33	31	32	32	43	44	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	1	2	3	2	2	2
3500	-224.429579013501126	-231.285066964460498	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723948635364334	0	2	2	4	3	4	3	6	6	6	8	9	8	8	9	10	11	10	13	14	17	16	21	19	22	21	22	29	32	34	34	35	35	34	36	37	37	35	37	37	38	41	43	45	45	0	1	1	5	2	7	3	4	3	6	7	8	8	10	10	13	18	15	0	19	22	20	24	21	23	24	24	0	28	29	29	30	30	29	38	33	35	34	30	33	40	39	42	43	43	1	1	2	1	1	1	1	1	2	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1
4000	-243.879432305481686	-250.734920256441058	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693079412098466	-1	2	2	4	3	4	1	5	3	6	9	9	8	9	9	10	12	8	13	15	18	17	19	21	20	22	24	29	32	35	33	36	34	34	37	38	36	35	38	36	37	41	43	46	45	0	1	7	2	2	3	1	5	2	6	5	8	8	10	10	13	10	10	0	19	22	20	21	23	23	23	24	0	28	31	29	30	31	29	30	32	38	29	30	29	30	36	42	43	43	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1
4500	-224.654165492197478	-231.509653443156850	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.850593519134253	0	3	4	3	4	4	2	6	6	6	8	9	8	8	8	11	11	10	13	15	18	16	20	22	21	21	23	29	32	36	33	35	34	34	35	38	36	34	38	36	40	41	42	44	46	0	7	7	1	4	7	1	3	3	7	3	8	8	10	10	13	15	15	0	19	22	20	21	23	23	23	24	0	28	34	29	28	31	29	38	40	35	29	30	33	31	39	42	43	44	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	2	1	1	1	1	3	2	1	1	1
5000	-228.899474065550351	-235.754962016509722	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741343552013699	-1	3	1	4	2	3	4	6	6	6	8	7	9	8	9	11	10	10	13	15	17	16	19	21	20	21	23	29	32	35	34	36	33	35	34	39	36	35	37	36	39	38	42	44	46	0	5	1	5	1	3	3	4	7	6	7	8	8	10	10	13	10	15	0	19	22	20	21	23	23	23	24	0	28	31	28	33	29	31	29	40	35	35	30	33	39	32	42	43	44	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1
5500	-235.013532585399702	-241.869020536359074	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.798973469764914	-1	2	2	4	3	3	4	5	6	6	9	8	8	8	10	10	10	9	13	15	17	18	19	21	22	21	22	26	30	35	33	34	34	35	34	38	36	36	37	36	39	41	42	44	45	0	1	1	2	1	3	3	5	7	6	7	8	8	10	18	8	10	10	0	19	20	21	21	23	23	23	24	0	28	32	29	31	29	31	29	29	35	35	30	33	30	36	42	43	44	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	4	2	1	1	1	2	1	1	1	1
6000	-238.338117654985780	-245.193605605945152	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.767938976905028	0	3	3	5	4	4	4	6	7	6	9	9	8	8	9	11	12	10	14	15	18	17	20	21	22	22	24	28	31	35	33	36	33	35	34	39	36	35	36	36	40	40	42	44	46	0	1	1	2	1	3	2	5	3	6	7	8	8	10	5	13	14	14	0	19	22	20	21	23	23	23	21	0	28	31	29	30	29	29	29	39	35	35	34	33	40	32	42	43	44	1	1	2	1	2	1	1	1	2	1	3	1	1	2	3	1	2	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	2	2	1	1	1	2	2	3	1	1	1
6500	-241.688502046082903	-248.543989997042274	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718975770686920	-1	1	2	3	4	4	3	5	6	6	10	8	9	9	9	11	12	11	14	16	18	17	19	21	21	21	22	28	31	35	33	35	34	34	35	39	37	36	37	35	40	41	42	45	46	0	1	2	2	2	3	3	4	3	6	5	8	8	10	10	13	15	15	0	19	22	20	21	23	23	23	24	0	28	29	29	29	29	29	34	30	38	35	32	31	39	31	30	43	44	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1	1	1	2	4	2	1	1
7000	-233.870433845047472	-240.725921796006844	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762223941691445	0	2	3	4	4	4	4	5	6	6	8	8	7	9	9	10	11	11	13	15	17	17	20	21	22	21	23	29	30	32	33	35	33	34	36	38	37	34	37	36	39	40	42	45	45	0	1	1	2	2	3	2	2	7	6	7	8	8	10	10	13	15	15	0	19	20	20	21	23	23	23	24	0	28	29	29	29	30	30	38	33	35	30	29	33	32	39	42	43	43	1	1	2	1	1	1	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	2	3	2	1	2	2
7500	-228.823635844019208	-235.679123794978580	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.766113671509075	0	2	3	4	3	3	3	7	6	6	9	8	9	8	7	11	12	11	13	15	18	16	20	21	22	21	24	28	31	35	33	36	34	33	37	39	37	35	36	36	39	41	43	45	46	0	1	2	2	2	1	1	7	7	6	3	8	8	10	10	13	15	15	0	19	22	20	21	23	23	23	24	0	28	29	29	31	29	29	38	39	38	33	29	30	32	32	42	43	44	1	1	1	1	1	1	2	3	2	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1
8000	-249.864727977561444	-256.720215928520815	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667878694340814	-1	1	2	4	4	3	3	6	6	5	10	8	9	6	10	10	11	10	14	16	17	15	19	21	22	21	23	28	31	36	32	34	35	35	35	39	37	34	37	36	36	42	43	45	45	0	1	2	2	2	3	3	2	3	6	9	8	8	10	10	13	10	10	0	19	22	19	21	23	23	23	24	0	28	32	28	29	29	32	38	33	35	29	32	29	29	32	42	43	43	1	1	1	1	1	1	1	2	2	1	2	1	2	1	3	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	3	2	4	1	1	1
8500	-227.877308481489763	-234.732796432449135	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734456004728200	0	2	3	4	2	2	1	7	5	6	10	9	9	8	10	10	12	11	13	15	18	17	20	22	21	22	23	28	33	36	32	35	34	34	36	39	36	34	38	36	38	41	43	45	46	0	1	7	5	1	7	1	4	3	6	8	8	8	10	14	13	15	6	0	19	22	20	21	23	23	23	23	0	31	29	28	29	31	31	38	33	38	31	29	33	32	32	42	43	44	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	1	2	1	1	1
9000	-236.925280523956502	-243.780768474915874	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.729143299670955	0	2	4	3	4	4	2	7	7	7	9	9	9	9	9	11	12	10	13	15	18	17	20	22	21	22	23	28	33	35	32	35	35	35	36	38	37	36	38	37	38	40	42	44	45	0	1	7	2	2	7	1	4	7	6	7	8	8	10	10	13	18	10	0	19	22	20	21	23	23	23	23	0	31	29	28	29	29	29	32	40	35	31	30	30	32	41	42	43	43	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2	1	2	1	2	1	1
9500	-237.836259462148405	-244.691747413107777	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724985360395336	-1	1	3	5	3	4	3	5	6	7	8	7	9	9	9	11	12	11	14	16	18	17	20	21	22	22	23	28	32	34	31	35	34	33	36	38	35	34	37	35	40	41	43	45	46	0	1	1	5	2	3	2	5	3	3	3	8	8	10	10	13	15	15	0	19	22	20	21	23	23	23	24	0	31	29	28	30	29	31	38	40	38	31	30	29	30	32	39	43	44	1	1	2	1	1	1	1	1	1	2	2	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	3	2	2	2	1
10000	-221.489022216293165	-228.344510167252537	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.843583734183786	0	2	4	4	2	3	2	5	6	6	9	8	9	7	10	10	12	11	13	15	17	18	19	21	19	21	23	29	33	36	33	35	35	35	36	38	37	35	38	36	39	40	42	45	45	0	1	7	5	1	7	1	5	3	6	3	8	8	6	10	13	15	10	0	19	20	21	21	23	21	23	24	0	28	32	28	31	29	29	38	40	35	29	30	33	30	39	42	43	43	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1
