step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107
1	-6472.611694386975614	-6479.467182337934901	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.992822621996802	0	1	3	5	5	8	7	10	8	9	11	10	10	11	11	13	12	12	13	12	11	14	15	13	12	14	16	14	14	14	14	15	14	15	14	17	16	15	18	18	17	16	17	17	17	17	19	18	19	17	18	17	19	18	18	21	19	20	19	18	20	20	20	20	20	19	19	20	20	22	20	21	21	21	20	24	22	22	22	23	22	23	22	22	22	22	23	22	22	24	22	24	23	23	25	23	24	24	25	26	26	26	27	27	27	27	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	5	4	5	6	5	5	6	6	7	6	6	7	6	6	7	8	7	6	7	8	7	7	7	7	8	7	8	7	9	8	8	9	9	9	8	9	9	9	9	10	9	10	9	9	9	10	9	9	11	10	10	10	9	10	10	10	10	10	10	10	10	10	11	10	11	11	11	10	12	11	11	11	12	11	12	11	11	11	11	12	11	11	12	11	12	12	12	13	12	12	12	13	13	13	13	14	14	14	14	15
500	-875.648157206687756	-882.503645157647156	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.307393499218435	1	2	4	5	3	6	7	10	8	9	10	9	9	11	11	13	12	12	13	10	11	14	15	12	12	14	16	14	14	15	14	12	14	14	12	17	16	15	18	17	17	16	18	16	17	18	19	18	18	14	18	17	20	18	18	21	20	20	19	18	20	20	20	19	21	16	19	20	19	23	19	21	22	21	19	25	21	23	22	23	23	24	23	23	22	22	23	22	22	25	22	24	24	24	25	23	24	24	24	27	26	27	26	27	28	28	29	0	1	2	5	2	4	5	9	6	6	7	4	6	7	6	7	13	6	13	7	13	11	31	13	21	15	18	15	21	25	35	20	16	15	13	37	26	28	33	50	20	16	25	35	38	27	36	35	27	32	33	35	31	35	38	32	66	45	66	66	41	32	32	14	13	31	60	45	31	68	16	67	35	31	41	67	20	50	41	20	7	41	50	57	59	27	44	64	16	66	52	32	16	72	32	58	69	74	73	40	32	35	91	35	13	5	18	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	5	2	4	2	2	1	2	1	2	1	1	2	2	2	2	1	2	1	1	1	1	1	1	2	2	3	2	3	2	1	2	1	2	1	2	2	3	4	3	1	5	2	2	2	1	3	5	4	5	7	1	1	2	3	2	2	2	6	5	1	2	8	4	2	8	8	5	5	2	1	5	4	2	6	4	4	7	9	1	8	1	2	2	1	8	11	7	2	11	12	19	9
1000	-804.096734748182371	-810.952222699141771	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.345526151327143	0	1	4	6	4	8	7	10	9	8	10	10	10	9	12	12	11	13	14	10	11	15	16	13	12	15	16	13	14	15	15	14	14	15	12	17	15	16	19	17	18	17	18	16	17	17	20	18	19	17	18	17	20	19	19	22	19	19	20	18	19	20	19	20	21	20	19	19	21	22	20	21	21	21	20	25	21	22	20	24	23	24	22	22	23	22	23	23	22	24	23	24	23	23	25	24	24	24	22	27	25	26	28	28	27	27	30	0	1	2	3	2	2	4	6	3	4	7	10	9	7	10	21	9	10	13	14	12	11	8	17	21	18	4	3	16	21	35	20	25	18	13	26	4	34	33	32	32	33	33	35	38	18	15	31	36	32	25	35	28	52	26	50	35	36	60	44	41	32	28	50	57	35	31	27	48	46	49	35	60	27	32	84	32	61	41	32	41	50	64	52	57	36	74	50	27	44	67	40	71	60	5	89	84	67	53	64	9	52	99	35	35	5	28	1	1	2	2	2	3	1	2	3	1	2	2	1	1	2	1	1	2	2	1	1	2	3	1	1	1	6	6	1	2	2	2	2	1	1	1	4	1	3	2	2	2	2	2	1	2	5	2	1	2	3	2	5	1	2	4	2	1	2	1	1	4	3	3	1	5	2	2	2	2	1	6	2	3	3	2	6	2	1	7	3	3	1	2	2	2	1	3	4	5	2	5	2	2	9	1	1	3	1	4	9	6	3	12	11	14	10
1500	-748.349570825861747	-755.205058776821147	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.360710898526717	0	1	3	4	5	6	8	9	7	9	11	9	10	11	12	11	11	13	13	10	11	14	15	13	12	14	16	12	14	15	14	14	14	15	13	16	17	15	18	18	17	16	17	17	18	18	20	18	19	16	18	17	20	19	18	21	19	19	19	19	20	20	19	20	19	18	19	20	20	20	20	21	21	21	20	25	22	22	22	23	22	22	22	22	23	23	24	22	23	24	23	24	22	22	25	23	23	25	24	25	27	25	27	27	28	28	29	0	1	2	2	4	4	5	4	1	6	7	4	6	20	8	9	9	16	17	7	12	11	35	13	16	15	15	8	21	21	19	20	25	15	13	28	27	18	33	50	32	25	25	35	34	37	8	35	27	32	33	35	35	35	18	50	35	38	52	52	50	32	20	32	35	35	35	58	57	28	28	31	59	54	41	31	61	61	75	75	63	75	40	60	72	47	74	64	68	97	60	32	71	52	32	70	69	84	84	64	63	99	48	10	66	20	58	1	1	1	2	1	1	2	2	4	1	1	2	2	1	2	3	2	1	1	1	1	2	1	2	1	1	3	2	1	2	1	2	1	2	1	2	1	1	2	2	2	3	2	2	2	1	5	2	2	1	2	2	4	3	2	3	2	2	2	2	2	4	5	3	2	2	4	1	1	4	4	3	1	1	2	7	2	2	1	1	2	1	2	1	1	2	2	1	2	1	4	6	2	2	8	1	1	1	1	1	7	1	3	10	7	15	7
2000	-704.356888221781333	-711.212376172740733	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.490139319805560	1	2	4	4	5	7	6	9	7	9	11	10	11	10	11	12	12	12	13	13	11	15	15	14	12	14	16	13	15	14	14	15	15	15	13	17	17	14	18	19	17	17	18	17	18	17	19	18	19	17	18	17	19	17	19	21	19	19	19	16	20	20	20	21	20	19	19	20	21	23	19	21	21	22	20	24	22	23	22	24	22	23	23	22	22	21	24	23	21	24	23	25	24	23	25	22	22	24	25	26	26	26	28	27	26	28	28	0	1	2	2	2	4	4	9	4	4	7	10	10	5	4	12	13	15	13	7	12	11	35	17	21	15	18	6	25	21	13	14	25	28	15	18	27	15	42	50	32	33	42	35	27	38	18	35	28	32	33	35	23	60	36	50	44	38	60	31	50	41	32	50	31	31	54	58	66	55	45	60	52	53	41	65	40	64	75	82	32	41	64	44	35	34	74	56	68	97	53	75	71	73	79	89	66	85	59	83	32	66	44	35	76	2	58	1	1	1	1	3	2	1	2	2	2	2	1	1	2	4	1	1	1	1	4	1	2	1	1	1	1	2	3	2	2	1	3	2	1	1	2	1	2	1	1	1	1	1	2	2	2	2	3	3	1	2	2	2	1	1	2	2	3	2	1	2	2	3	2	2	3	1	1	1	3	1	4	2	2	2	2	2	1	1	1	3	2	1	1	4	4	2	1	1	2	3	2	2	1	2	1	1	1	4	2	4	3	6	9	1	15	4
2500	-683.151105906565590	-690.006593857524990	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611361269768414	0	1	3	5	6	8	8	9	8	10	12	10	10	11	11	14	12	12	12	11	12	14	13	14	13	14	17	14	13	15	14	14	14	16	15	17	16	16	16	18	17	16	17	18	15	17	18	19	19	17	18	17	18	19	18	20	19	20	20	17	20	20	21	20	21	18	20	21	20	22	20	21	22	18	19	24	22	22	22	23	23	21	22	21	21	22	22	23	22	25	22	24	24	23	25	23	23	25	26	26	26	26	27	24	26	25	29	0	1	2	2	2	3	5	9	5	4	7	8	6	7	6	12	6	9	10	6	12	7	13	19	21	18	34	15	12	21	23	14	25	28	31	34	26	45	25	50	32	21	33	35	26	45	18	35	27	32	25	13	35	60	46	40	35	18	60	35	40	41	41	50	66	35	35	58	52	47	47	60	52	52	41	59	40	61	63	63	62	41	64	57	69	28	53	40	68	97	53	75	71	72	79	58	65	54	48	83	32	54	53	65	67	6	96	1	1	2	2	2	2	1	1	1	2	2	1	2	1	1	1	3	2	1	1	1	3	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	4	2	1	1	2	3	2	2	1	2	1	4	1	1	1	2	2	2	2	2	4	1	1	3	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	3	3	3	1	2	2	2	2	1	2	1	1	2	5	2	4	4	5	1	3	9	2
3000	-643.564289712950540	-650.419777663909940	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565238113514845	0	1	3	6	6	8	8	10	7	9	11	10	11	11	10	13	13	12	13	10	11	14	15	14	12	13	16	14	15	15	12	14	14	14	14	17	15	15	16	18	17	16	17	17	17	17	18	18	19	16	18	17	19	17	19	22	19	20	18	19	20	20	19	19	20	20	19	19	20	22	19	22	20	21	20	24	22	22	22	24	22	21	22	22	21	21	24	21	22	24	21	25	23	24	25	23	25	25	24	25	26	26	26	27	26	28	28	0	1	2	3	2	9	5	6	3	9	5	9	10	20	6	12	13	4	13	7	12	11	31	17	21	4	28	18	16	16	10	20	25	26	31	18	26	26	33	32	32	33	42	35	38	37	28	35	36	32	33	35	35	35	46	40	59	68	54	59	50	63	32	40	35	35	59	45	44	18	37	54	57	67	32	65	61	61	63	75	62	63	50	65	57	27	74	40	38	69	31	62	71	66	62	68	90	65	60	83	75	65	94	48	99	50	96	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	3	1	2	1	1	2	1	1	3	2	1	1	1	2	2	1	1	1	2	2	1	2	3	2	1	1	2	1	1	1	3	1	1	2	2	2	2	1	3	1	1	1	1	2	1	2	1	3	3	1	1	2	6	2	2	1	1	3	2	1	2	1	2	1	1	3	1	1	2	2	2	4	2	3	2	1	3	2	3	1	3	3	2	3	2	1	4	1	8	3
3500	-632.306190265859072	-639.161678216818473	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591954993130828	0	2	4	6	5	8	7	10	9	9	12	9	10	10	11	12	12	12	13	12	11	14	15	12	12	14	16	13	13	14	14	15	15	15	14	17	15	15	17	19	16	16	16	17	16	17	19	18	19	17	18	17	20	19	19	21	19	21	19	19	21	20	20	20	20	17	17	20	21	21	20	20	21	21	19	24	22	23	22	23	20	23	23	22	21	23	23	23	23	24	23	25	23	24	25	24	24	24	25	26	26	25	27	27	27	27	29	0	1	2	3	2	2	5	12	4	4	9	4	10	7	9	12	13	6	13	14	12	11	17	13	21	18	18	9	21	29	13	20	21	28	24	34	26	28	42	50	32	33	33	35	38	38	27	35	36	32	42	31	44	67	38	63	35	47	66	67	63	32	41	40	59	35	35	45	60	36	47	54	53	48	41	60	62	64	63	63	41	63	64	65	57	70	74	56	58	53	48	63	71	53	79	68	73	59	87	83	95	73	60	99	57	14	96	1	1	1	1	2	3	1	1	1	2	2	1	1	2	1	1	1	2	2	2	1	2	2	1	1	1	3	2	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	2	1	3	1	2	1	2	1	1	3	2	1	1	2	1	3	1	2	1	1	1	2	2	2	1	3	1	2	2	1	3	1	1	1	1	1	1	3	2	2	2	2	2	2	2	3	1	2	1	1	4	1	3	8	2
4000	-606.622687510373112	-613.478175461332512	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.501969658490358	0	1	3	4	5	8	8	10	9	7	10	9	9	11	11	14	11	13	13	12	11	14	16	14	12	14	17	15	12	14	14	14	14	14	15	17	16	15	18	17	17	16	16	18	18	16	18	16	19	17	19	18	19	18	19	20	19	18	19	19	20	20	20	20	20	18	17	21	20	22	20	21	22	21	19	24	23	22	22	23	23	23	22	22	22	23	23	22	21	24	21	24	24	23	26	24	25	24	25	26	27	27	27	25	28	28	29	0	1	2	2	3	10	5	6	4	4	7	4	10	7	6	15	13	15	13	14	12	11	19	17	21	18	28	18	21	21	13	14	25	15	31	28	26	15	33	32	32	33	33	35	38	38	28	35	47	32	25	48	35	67	46	50	23	38	54	67	40	41	41	50	52	35	31	58	67	28	49	65	48	35	41	91	78	61	62	41	62	63	64	67	65	27	74	56	27	73	57	62	71	72	79	68	90	65	84	83	95	76	69	53	104	32	96	1	1	1	2	1	1	2	1	3	1	1	2	1	1	2	2	1	1	2	1	1	2	2	2	1	1	1	1	1	2	3	2	1	1	1	2	1	2	2	1	1	1	1	2	2	1	2	1	1	2	3	1	2	1	2	1	2	2	1	2	2	2	2	1	1	2	1	2	2	4	1	1	3	3	1	2	1	1	2	2	1	2	1	3	1	2	1	1	2	1	1	3	2	1	2	2	1	2	2	1	1	1	3	4	1	10	2
4500	-630.809178772805808	-637.664666723765208	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605440980854281	-1	1	2	5	5	7	7	9	9	9	11	11	10	11	11	13	12	12	14	13	12	14	16	13	11	15	16	14	14	13	14	15	14	14	13	17	17	15	17	18	17	16	18	18	18	18	18	17	20	16	17	16	19	17	17	21	20	20	18	19	19	19	20	19	19	20	17	20	20	21	20	22	21	20	21	24	21	23	23	24	22	23	22	22	23	21	23	23	21	23	21	22	23	23	26	23	24	25	25	25	27	24	27	27	26	28	27	0	1	2	2	3	5	4	4	6	6	7	8	4	7	10	21	13	13	13	14	12	11	35	17	4	18	18	18	21	21	13	14	25	18	13	9	26	18	25	50	32	25	39	52	55	55	28	52	37	32	33	31	67	52	38	40	60	38	54	48	50	32	41	40	52	67	35	36	60	36	27	35	67	53	62	60	61	61	92	63	41	41	64	54	66	27	74	56	36	52	66	75	71	66	79	68	90	65	102	83	79	72	98	99	84	64	96	1	1	1	2	2	1	1	1	1	1	3	1	2	2	1	1	1	2	2	1	1	2	2	1	3	2	2	1	1	1	1	2	2	1	2	4	1	2	4	2	1	3	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	2	1	2	2	4	2	1	1	3	2	2	1	2	2	3	2	2	2	2	2	1	2	3	1	1	2	2	2	2	1	4	1	1	2	2	1	1	2	7	2
5000	-630.098093131178871	-636.953581082138271	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548912932585483	0	2	3	6	5	8	7	10	8	10	10	11	10	11	12	13	11	12	13	12	11	15	15	14	12	14	16	14	14	13	13	14	14	16	14	17	17	14	18	17	16	16	18	16	17	18	19	18	19	18	18	18	20	16	17	21	18	20	19	19	20	20	20	20	20	19	20	21	20	22	19	21	21	21	20	23	23	23	22	23	22	23	22	22	22	22	24	23	22	25	22	25	24	23	24	23	25	22	22	25	26	25	28	25	28	27	26	0	1	2	3	2	5	5	9	4	9	7	8	6	11	13	12	13	9	17	14	10	11	17	6	21	18	18	9	21	21	17	20	25	28	31	18	26	18	33	32	32	25	33	35	38	55	34	31	36	40	33	35	44	35	38	63	35	45	54	54	40	41	50	50	35	35	54	45	57	36	28	54	65	44	41	60	61	61	63	32	62	62	64	44	53	36	74	56	28	87	65	75	49	66	79	89	69	67	66	64	79	57	85	76	99	100	96	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	2	1	2	2	1	2	2	1	3	2	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	2	2	1	2	1	1	3	2	2	2	1	3	2	3	1	3	2	2	1	2	1	4	1	1	1	3	1	3	2	1	4	1	1	3	3	3	2	1	2	2	2	3	2	3	3	1	3	2	2
