step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101
1	-2879.358646084579959	-2877.896564000061062	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.348414561914760	0	1	3	3	5	3	4	2	3	5	4	4	4	5	7	6	6	7	8	9	8	9	9	10	9	10	11	12	13	11	12	12	12	13	13	12	14	15	13	14	14	14	15	16	18	17	20	18	17	18	17	18	19	19	18	20	21	20	19	20	21	21	21	20	22	21	23	22	22	22	22	22	22	23	23	25	24	24	24	24	24	23	23	27	26	25	25	25	25	25	27	27	29	28	27	27	28	31	30	32	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	1	2	3	2	2	2	3	4	3	3	4	4	5	4	5	5	5	5	5	6	6	7	6	6	6	6	7	7	6	7	8	7	7	7	7	8	8	9	9	10	9	9	9	9	9	10	10	9	10	11	10	10	10	11	11	11	10	11	11	12	11	11	11	11	11	11	12	12	13	12	12	12	12	12	12	12	14	13	13	13	13	13	13	14	14	15	14	14	14	14	16	15	16	16
500	-1098.740401095556308	-1096.632319438650484	-2.108081656905764	0.000010020183414	0.000026317201313	2.626419120948893	0.229716943127437	0	2	2	4	5	3	5	1	4	6	4	4	5	4	7	6	6	7	8	10	8	9	9	10	7	9	8	10	13	9	11	13	13	12	14	12	14	16	10	11	14	14	12	16	16	18	20	18	18	19	14	18	19	20	18	17	21	19	18	18	21	20	20	21	22	22	22	21	23	23	22	23	23	24	23	25	24	25	24	24	24	24	23	27	27	26	25	25	25	26	27	28	29	28	27	27	28	32	30	33	31	0	1	1	1	2	1	3	1	2	6	3	3	3	2	10	4	1	2	12	13	1	27	12	12	13	13	4	27	24	25	12	31	28	25	20	28	28	31	23	23	28	36	25	27	34	39	40	45	28	28	25	34	39	40	51	43	51	43	51	43	40	39	39	53	60	60	20	55	66	32	39	51	59	56	40	31	51	45	56	43	40	39	39	43	56	51	40	55	20	39	58	20	34	88	59	39	68	51	43	39	58	1	1	1	2	1	2	2	1	2	2	1	1	2	1	1	2	2	2	2	3	4	1	3	3	1	1	2	1	3	2	4	1	2	3	2	1	1	3	1	2	2	2	2	4	4	6	4	1	5	6	4	3	7	7	2	3	3	5	2	3	7	4	4	1	2	3	5	2	1	7	7	7	3	6	6	10	7	6	4	8	6	9	8	10	7	7	7	5	8	12	6	12	10	1	6	12	6	14	13	15	9
1000	-882.994138314455540	-880.447847971541137	-2.546290342914450	0.000010019058598	0.000039123047023	3.904862581774219	0.306069477216735	0	1	2	2	5	3	5	3	3	5	3	4	4	6	6	7	6	8	8	9	8	8	8	10	7	11	11	10	13	12	12	12	13	12	13	12	13	15	10	14	15	14	14	16	18	14	21	19	17	18	14	18	19	19	19	18	22	18	19	17	20	22	22	21	23	21	23	19	22	22	23	22	23	24	22	26	25	24	25	25	24	23	23	28	26	25	25	26	26	26	27	27	29	28	28	28	29	31	30	33	31	0	1	1	2	9	2	3	2	1	6	3	3	3	2	10	6	2	1	12	25	14	15	7	19	13	25	22	22	24	20	23	23	36	20	30	28	28	31	23	32	42	36	30	28	60	39	54	43	28	37	30	25	39	32	60	43	45	60	60	25	40	53	39	54	59	55	56	58	60	54	46	51	55	56	40	40	60	66	74	56	40	39	46	68	43	60	40	78	73	39	68	51	56	86	66	39	58	60	56	53	68	1	1	1	1	2	1	2	1	2	2	1	1	2	3	1	2	1	5	2	1	1	1	2	1	2	2	3	1	3	2	2	2	1	1	1	1	3	2	2	1	1	2	1	3	1	2	2	3	4	3	1	5	7	4	1	1	3	1	1	5	4	2	4	1	2	1	4	1	2	3	5	5	2	3	5	7	6	2	1	5	6	8	6	6	6	6	7	1	2	10	5	9	5	2	3	12	6	8	9	12	7
1500	-783.814199922702755	-781.940935604309402	-1.873264318393310	0.000010155466772	0.000020510911922	2.019691697331822	0.413960711198100	0	2	3	2	6	3	5	2	3	5	4	4	5	5	8	7	5	6	9	9	8	10	9	10	9	10	11	11	13	12	12	12	13	13	14	12	15	16	12	15	14	15	15	17	17	16	18	18	17	18	16	18	17	17	17	19	22	20	18	17	21	21	21	20	20	21	23	21	22	22	21	21	23	22	23	26	24	23	24	23	24	23	23	28	27	26	25	25	25	26	27	27	29	27	27	28	28	31	31	33	31	0	1	1	1	14	1	3	1	1	6	3	3	3	4	14	10	4	14	12	13	2	15	12	3	13	20	22	22	19	13	23	23	36	20	25	28	28	19	19	31	36	36	20	37	43	39	32	30	27	44	30	25	46	40	51	43	52	52	55	30	40	46	53	54	60	60	52	58	60	40	53	51	66	56	40	61	65	55	74	56	75	53	46	68	80	65	47	73	78	39	68	65	67	86	60	46	68	65	85	62	68	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	2	1	2	2	2	1	2	4	3	1	1	1	2	5	1	2	1	2	3	1	2	4	1	2	1	2	3	2	1	2	3	3	3	1	2	5	1	1	1	2	2	1	1	4	2	2	3	2	2	2	2	1	2	3	2	2	2	2	4	3	1	3	1	2	1	4	4	5	3	3	5	2	2	7	3	6	3	1	5	11	5	6	2	8	7
2000	-678.288032265804191	-676.377926137332565	-1.910106128471673	0.000010060129511	0.000021247210115	2.112021529332750	0.531523964302138	0	2	2	2	5	2	3	3	4	4	4	5	3	6	7	7	5	7	7	9	7	6	9	9	7	9	11	10	13	11	12	13	12	13	14	11	14	15	13	15	14	14	15	16	19	17	20	19	18	18	16	18	19	18	19	20	21	20	20	18	20	21	22	20	23	21	24	22	22	22	22	22	23	23	21	25	24	24	24	24	25	24	24	27	27	24	26	24	24	25	27	28	30	26	27	26	27	32	30	33	32	0	1	1	1	9	1	3	1	1	6	3	3	3	2	10	6	4	4	12	25	17	10	12	12	13	25	22	22	24	20	23	23	36	20	30	28	36	31	31	32	36	36	34	28	51	39	40	43	44	44	30	20	46	31	60	43	45	52	60	51	40	53	46	54	59	55	74	58	59	47	53	52	66	56	61	61	65	66	56	74	70	62	71	68	74	65	61	66	66	46	68	65	67	86	88	39	68	94	85	90	68	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	2	1	2	1	1	1	2	1	2	3	1	3	3	2	2	3	2	1	2	2	1	2	3	1	1	2	2	1	2	1	2	3	2	2	1	4	5	1	3	1	3	1	1	1	1	2	2	3	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	2	1	2	2	1	3	2	1	3	2	2	4	3	3	3	1	2	8	5	4	1	6	5
2500	-636.737304810043838	-634.717128725151952	-2.020176084891901	0.000009996568530	0.000023930855546	2.393907016640799	0.542529653424444	0	1	3	3	5	2	4	2	3	5	5	5	4	6	6	6	6	7	9	10	9	9	10	10	8	11	11	11	12	12	12	12	12	13	13	11	14	16	13	14	14	13	15	16	17	17	21	19	18	18	17	18	19	18	19	20	20	19	20	18	21	21	22	20	23	21	23	22	22	22	23	23	22	24	22	25	23	25	25	25	25	23	24	27	26	25	25	25	25	26	28	28	29	28	26	28	29	31	31	32	31	0	1	2	2	4	1	3	2	2	6	7	9	3	1	4	6	9	17	10	25	4	10	19	3	13	25	22	22	24	20	23	23	36	20	25	22	28	31	23	23	36	33	25	37	43	39	40	45	44	44	43	43	46	40	60	43	51	45	60	51	54	53	53	54	55	57	56	58	59	47	53	45	66	67	47	75	59	66	67	67	70	62	62	68	67	65	47	60	66	71	68	86	74	86	66	83	68	94	67	83	68	1	1	1	2	1	1	1	1	1	2	1	1	1	3	1	2	2	1	3	1	3	2	1	5	2	2	1	1	1	2	1	1	1	2	2	1	2	2	1	2	1	1	3	1	1	2	4	1	2	1	1	1	1	2	1	2	2	1	1	1	2	2	2	1	3	1	1	2	1	1	2	3	1	1	1	2	2	2	1	1	2	1	2	3	2	2	2	3	2	2	3	2	2	1	2	2	4	2	3	4	4
3000	-636.091277737884184	-634.222310406295151	-1.868967331589025	0.000009796080469	0.000019680147403	2.008981803010334	0.592461646993438	0	1	2	3	5	4	3	1	3	4	5	4	4	5	7	6	6	6	7	9	8	9	10	11	8	11	12	12	13	11	13	12	13	12	13	11	14	16	13	14	14	14	14	17	19	16	20	16	16	18	17	18	18	19	18	20	21	19	19	20	22	21	22	20	22	20	22	23	21	22	21	23	22	23	24	25	23	24	24	24	23	23	23	28	26	24	26	23	26	25	26	28	29	27	27	24	28	29	30	33	31	0	1	1	1	2	3	3	1	1	2	7	3	3	4	18	10	14	7	12	25	8	15	12	23	13	25	22	36	24	20	23	23	36	20	25	22	28	31	19	32	33	36	30	37	52	39	40	25	28	28	43	48	46	40	51	48	45	51	51	55	47	53	53	54	59	55	56	58	59	47	53	57	66	67	47	61	65	66	67	67	70	62	62	68	67	65	76	66	66	83	68	86	80	86	88	83	68	94	93	96	97	1	1	1	1	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	4	1	3	1	2	2	2	1	1	1	2	1	1	2	3	1	2	2	2	1	1	1	1	2	1	2	3	4	2	3	2	1	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	3	1	1	2	1	2	1	3	2	1	2	1	2	1	1	1	2	2	1	1	2	3	1	1	2	2	2	2	1	3	1	1	5	2
3500	-582.488677004984311	-580.621971875791701	-1.866705129192623	0.000009649033467	0.000019330373689	2.003348185587329	0.681605426543474	0	2	1	3	6	4	4	2	3	5	4	5	5	4	6	5	6	7	7	8	7	9	9	11	10	9	12	10	13	11	12	12	13	13	13	12	14	14	14	15	14	14	16	16	18	18	17	18	18	18	17	16	20	19	18	19	21	19	20	19	21	21	22	20	21	21	22	23	21	23	20	23	23	23	24	25	24	23	24	24	22	23	23	27	26	25	26	24	26	25	25	27	29	28	27	27	29	32	31	32	31	0	1	1	1	4	2	3	1	2	6	3	3	7	2	6	6	9	9	12	13	17	15	12	19	20	20	22	22	24	13	23	23	36	25	20	28	28	31	31	31	33	36	30	42	52	39	40	43	44	44	43	34	46	47	51	43	51	52	55	55	47	71	46	54	60	60	56	58	60	81	39	57	66	56	61	75	65	66	67	67	61	71	62	68	74	65	76	66	78	83	68	86	67	86	78	90	91	94	93	96	97	1	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	3	2	1	1	2	3	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	2	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	2	2	1	2	2	1	1	1	3	1	2	1	2	2	1	4	1
4000	-562.999160841877938	-560.850592007581440	-2.148568834296450	0.000010660883043	0.000029167485916	2.735935268903279	0.662482221293321	-1	1	3	3	4	3	5	2	1	5	5	5	5	5	6	7	5	6	8	10	8	8	10	9	8	9	11	11	13	12	12	11	13	13	12	12	13	15	14	13	13	14	15	16	18	17	18	18	17	18	17	19	18	19	19	21	20	20	20	21	20	20	21	21	22	21	22	22	22	21	23	22	22	24	24	25	24	24	24	24	24	23	22	25	26	25	25	25	25	25	26	28	28	28	27	27	28	31	30	32	31	0	1	2	9	4	9	3	1	1	6	3	3	3	1	6	10	4	2	12	13	18	15	12	12	13	25	22	22	24	20	23	23	36	25	25	27	28	23	31	32	36	33	34	42	51	39	40	43	44	44	43	45	46	47	51	34	51	52	55	55	47	53	62	54	59	55	56	58	60	61	53	57	60	67	47	61	65	66	56	67	70	62	62	68	74	65	61	78	66	83	68	86	67	86	88	90	91	94	93	96	97	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	2	2	2	1	1	2	2	2	1	2	1	1	1	2	1	1	3	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	2	2	1	2	1	2	1	1	2	1	1	3	1	2	1	2	2	2	1	2	1	1	2	1	3	2
4500	-583.618368331124316	-581.649868269510648	-1.968500061613680	0.000011155051058	0.000025214541256	2.260369865157900	0.635374875068554	0	2	2	3	6	3	4	2	3	5	5	4	5	5	8	6	5	7	8	10	9	8	10	8	8	10	11	12	13	11	12	13	13	13	13	12	13	14	12	14	15	14	15	16	16	17	19	19	18	18	17	18	19	20	18	20	19	21	20	19	22	20	21	21	21	21	22	22	22	22	23	21	21	23	24	26	24	24	24	24	23	23	24	27	27	25	24	26	26	26	27	28	28	28	28	28	29	32	30	31	32	0	1	1	1	2	2	3	1	1	6	3	3	3	4	10	6	9	14	12	25	4	14	24	12	13	25	22	27	24	20	23	23	22	25	25	22	28	23	23	32	36	36	25	28	43	39	40	43	44	44	45	45	46	47	51	43	51	57	55	55	47	53	53	54	59	55	56	58	59	47	62	57	60	67	61	61	65	66	56	74	61	53	62	68	74	77	47	78	66	83	68	86	80	86	88	90	91	94	93	96	97	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	1	3	2	1	1	1	3	1	2	1	2	2	2	2	1	2	1	1	1	2	3	3	1	2	3	2	2	2	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	2	2	2	2	1	3	1	2	1	2	2	2	2	1	1	1	3	2	1	2
