step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112
1	-4516.339167646391616	-4523.194655597350902	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.884716387768823	0	2	3	2	5	3	3	3	5	4	4	6	4	5	5	6	5	6	5	8	6	6	6	6	6	6	8	7	7	8	7	7	8	8	9	8	8	9	8	11	9	9	9	9	9	9	9	9	10	10	10	10	12	10	10	11	13	11	11	11	11	12	12	13	12	12	12	12	12	12	12	12	15	13	13	14	13	13	13	13	14	13	13	13	14	14	15	14	14	14	14	14	15	14	15	15	15	18	16	15	18	16	17	17	17	18	18	19	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	4	3	3	3	4	3	3	5	3	4	4	5	4	5	4	6	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	6	6	7	6	8	7	7	7	7	7	7	7	7	8	8	8	8	9	8	8	8	10	8	8	8	8	9	9	10	9	9	9	9	9	9	9	9	11	10	10	11	10	10	10	10	11	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	13	12	11	13	12	13	13	13	13	13	14	14	15	16	16
500	-908.375754216165092	-915.231242167124492	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.326360928075886	-1	1	3	2	5	2	3	3	5	4	3	6	4	4	5	4	5	6	5	7	3	6	6	6	5	6	7	7	4	5	7	7	8	8	8	8	8	9	5	11	9	6	9	9	9	8	9	7	10	9	9	10	11	10	10	11	13	9	10	11	11	12	12	13	12	12	12	10	11	12	12	11	15	11	12	14	13	12	11	13	14	13	12	13	14	14	15	12	13	14	14	14	15	14	15	15	15	18	16	15	18	16	17	17	16	18	18	17	18	20	21	21	0	1	2	1	10	2	6	6	21	7	6	7	6	11	11	6	13	13	13	30	6	14	15	13	13	19	13	15	7	16	39	14	28	11	42	20	30	46	29	20	27	29	20	28	7	20	20	39	20	28	37	34	28	20	46	42	38	42	50	50	51	52	20	78	5	79	31	29	58	59	68	44	65	20	42	38	48	49	29	42	6	58	35	75	14	45	81	58	35	48	56	29	42	84	29	14	81	75	42	12	42	67	42	87	58	82	58	102	0	58	42	4	1	2	2	2	1	1	1	1	2	1	1	3	2	1	2	2	1	2	1	2	1	1	1	1	1	1	3	1	1	1	2	3	1	4	2	1	2	1	1	2	2	2	2	2	6	1	2	1	2	2	1	1	2	3	1	3	4	2	1	2	2	2	4	1	7	1	4	5	2	2	1	2	2	2	4	4	6	2	5	5	11	3	3	1	8	3	1	1	2	4	3	4	8	1	8	9	1	5	8	7	10	3	10	2	6	4	8	1	1	10	15	11
1000	-771.048148421536212	-777.903636372495612	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.318356881460295	0	1	3	2	5	2	3	3	4	4	3	4	4	5	5	6	5	6	5	7	6	6	6	6	5	6	8	7	6	5	7	7	8	7	8	7	8	9	5	11	9	8	9	8	9	9	7	9	10	9	10	10	9	9	10	11	13	9	11	11	11	12	12	13	12	11	12	11	12	12	11	12	15	11	13	14	12	12	13	13	14	13	13	13	13	14	15	14	14	14	14	14	15	14	15	15	15	18	16	15	18	16	17	17	17	18	18	19	19	20	21	21	0	1	4	1	7	2	6	6	6	8	6	6	7	11	11	12	13	25	13	30	9	14	15	17	13	19	7	14	39	10	39	11	11	11	29	30	30	39	7	18	27	29	39	34	44	30	39	21	20	33	30	53	34	30	46	20	31	35	50	50	38	52	43	48	20	38	46	29	58	50	51	45	63	35	35	56	39	48	20	35	30	69	58	69	50	56	67	75	48	49	68	75	58	84	42	60	79	92	58	29	99	69	69	87	102	81	84	102	0	58	58	4	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	2	2	1	1	2	2	4	3	2	2	3	3	2	4	1	2	2	1	1	3	2	3	2	1	4	1	2	2	1	3	3	1	2	2	2	2	3	2	4	2	3	2	2	2	1	2	2	2	4	2	6	3	6	4	8	1	2	1	2	1	3	1	5	2	2	1	5	1	6	2	2	3	5	8	2	3	3	2	1	3	5	1	1	9	11	9
1500	-728.660966926047877	-735.516454877007277	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.468684548758424	0	1	3	2	5	2	3	3	5	4	4	6	3	5	5	5	5	6	5	8	5	6	6	6	5	6	7	7	7	5	7	7	8	6	9	8	8	9	6	11	8	9	9	9	7	9	9	8	10	8	9	10	12	10	10	11	13	10	11	11	10	12	12	13	12	11	12	11	12	11	12	10	15	13	12	12	13	11	13	12	14	13	13	12	14	14	15	11	13	14	13	14	15	14	15	15	15	18	15	15	18	16	16	17	17	18	18	17	19	20	21	18	0	1	1	1	8	2	6	6	6	8	8	16	6	11	11	6	13	25	13	30	10	11	10	17	13	25	9	14	30	7	39	22	14	9	29	30	30	39	30	19	5	48	9	45	14	9	20	39	30	14	20	45	44	38	46	42	38	42	50	50	51	45	43	48	61	29	42	42	58	45	61	44	57	66	58	43	49	49	80	68	82	58	69	58	60	66	86	58	43	49	66	69	58	84	58	85	67	75	67	30	87	93	95	79	93	92	103	93	0	82	58	64	1	1	3	2	2	1	1	1	3	1	1	1	1	1	1	2	2	1	2	3	1	2	2	1	2	1	2	2	1	2	1	1	2	1	2	3	3	1	1	5	2	1	1	1	2	1	1	2	3	3	1	2	3	1	1	1	4	1	2	2	1	2	2	4	1	2	3	2	2	4	2	1	2	1	2	2	2	1	1	1	1	2	1	2	3	1	1	1	2	2	2	2	3	2	3	1	3	5	3	8	2	1	1	3	2	2	2	2	1	6	10	4
2000	-569.187568043472538	-576.043055994431938	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677450522870849	0	1	3	2	4	2	3	3	5	4	4	6	4	5	5	6	5	6	5	7	6	6	6	6	5	6	8	7	7	5	7	7	8	7	9	8	7	8	8	11	9	9	8	9	9	9	9	9	10	8	10	10	12	10	10	10	13	10	11	10	11	12	12	13	12	12	12	12	12	12	12	12	15	13	13	14	13	13	13	13	13	13	13	13	14	14	12	14	12	14	14	14	15	14	15	15	15	17	16	14	18	16	16	17	16	18	18	19	17	20	21	19	0	1	4	1	6	2	6	6	8	6	7	11	7	11	11	5	10	25	13	30	9	11	15	17	13	19	29	11	30	10	30	22	28	10	20	20	9	31	31	26	27	29	31	33	33	31	38	43	43	22	42	44	33	46	46	35	63	29	50	50	51	52	43	48	51	43	35	56	58	59	43	52	46	56	58	51	49	49	68	63	69	69	69	69	60	64	35	58	43	77	67	81	69	84	84	85	64	75	93	75	104	93	94	87	93	98	95	105	0	92	93	109	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	4	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	2	3	4	2	2	2	2	2	1	4	2	3	1	3	3	2	3	1	1	1	1	1	1	1	1	2	3	2	1	2	1	3	1	2	1	2	2	1	1	1	1	2	4	1	1	3	2	1	3	5	1
2500	-596.450875616733356	-603.306363567692756	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525042992682165	0	1	3	2	4	2	3	3	5	4	4	5	4	5	5	6	5	6	5	6	6	6	6	6	5	6	8	7	7	5	7	6	8	7	8	8	8	9	8	8	9	9	9	9	9	9	9	9	10	9	10	10	12	10	10	10	12	10	11	11	11	12	11	13	12	12	12	10	11	12	12	12	15	13	13	14	12	11	12	13	14	13	13	13	13	14	15	14	14	14	11	14	15	14	15	14	14	18	16	15	18	16	16	17	17	18	18	17	19	19	20	21	0	1	4	1	8	2	6	6	7	7	7	10	6	11	11	12	13	25	13	8	9	14	15	17	13	19	5	14	20	8	9	11	34	14	29	31	20	31	31	26	27	20	30	34	33	20	30	39	48	33	37	34	45	37	20	35	43	42	50	28	51	52	68	78	54	91	56	35	58	50	61	52	43	68	58	63	78	49	56	42	58	43	58	69	60	74	74	58	46	77	29	82	88	84	94	85	43	92	82	94	56	69	94	67	99	92	103	82	0	99	106	109	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	4	2	1	2	2	2	1	2	1	1	1	1	1	2	1	2	3	2	1	2	1	1	1	1	2	2	3	2	4	2	2	1	2	3	1	2	1	2	1	1	2	2	1	3	1	1	3	3	3	2	1	1	1	4	2	3	2	1	2	1	1	3	4	2	3	1	1	1	1	1	2	2	2	1	4	3	2	3	1	3	2	2	1	3	2	2
3000	-576.617074244201945	-583.472562195161345	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699259848841490	-1	1	3	1	5	2	3	3	4	4	4	5	3	5	5	6	5	6	5	8	5	4	6	6	5	4	7	7	6	5	7	7	8	8	8	8	8	9	8	11	9	8	8	9	9	9	9	7	10	9	9	10	11	9	10	10	13	10	11	11	11	12	12	13	12	9	10	12	12	12	12	12	13	13	13	14	13	12	13	12	14	13	11	13	14	14	15	13	12	14	14	14	15	14	15	15	15	18	15	15	18	16	16	17	17	18	18	19	18	20	21	21	0	1	4	1	10	2	6	6	8	7	8	10	6	11	11	12	13	13	26	29	9	8	15	17	13	13	6	11	7	8	30	22	28	14	29	48	48	37	31	17	27	29	31	33	33	35	20	30	48	34	30	28	45	30	20	29	89	35	50	50	51	53	43	49	61	20	35	67	58	50	61	52	51	67	69	63	78	48	68	56	75	58	58	69	70	67	74	58	43	77	67	69	82	84	94	70	89	92	82	94	87	99	94	86	102	92	94	105	0	106	106	109	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	2	1	1	1	1	3	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	2	1	1	2	2	2	1	2	3	1	1	2	1	2	3	1	2	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	3	2	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	1	1	3	1	1	2	3	2
3500	-590.073252837879068	-596.928740788838468	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588964582518136	0	1	3	2	4	2	3	3	5	4	4	4	3	5	5	6	4	5	5	6	6	6	6	6	6	4	8	6	7	6	7	7	8	8	9	8	8	8	8	11	9	9	9	9	8	9	9	9	9	9	10	10	11	10	10	11	13	10	11	11	11	11	12	11	12	12	11	12	12	12	11	12	13	12	13	13	13	13	11	13	13	13	13	13	13	14	13	14	12	14	14	14	15	14	14	15	15	17	16	15	18	16	16	16	17	17	17	19	18	20	19	20	0	1	4	1	6	2	6	6	8	7	6	8	6	10	11	12	13	13	26	6	9	14	15	17	13	13	10	11	20	5	20	10	28	14	29	20	30	30	31	45	27	37	20	33	14	36	38	31	31	33	30	28	33	37	30	29	61	35	50	50	43	52	30	31	51	56	29	56	58	50	51	52	37	67	58	89	64	49	29	42	69	58	63	69	60	80	56	75	61	77	67	81	82	84	84	60	76	92	82	94	104	75	94	80	99	92	94	105	0	106	98	109	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1	2	2	1	2	1	2	2	2	2	2	2	1	1	1	1	1	2	1	3	1	1	2	2	1	2	3	1	2	1	2	1	1	2	2	2	1	4	4	2	1	2	1	1	3	1	1	3	1	2	1	2	4	3	4	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	3	1	2	3	2	2	1	3	1	2	1	2	2	2
4000	-587.639692990278604	-594.495180941238004	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.698151305183808	0	1	3	2	5	2	3	3	5	4	4	6	3	5	5	5	5	6	5	5	6	6	6	6	4	4	6	7	7	8	7	6	7	8	9	8	8	7	8	11	9	8	9	8	9	7	9	9	9	9	10	10	12	10	10	11	13	10	11	11	11	12	12	13	12	10	12	12	12	11	12	12	15	13	13	11	11	13	13	13	14	13	12	13	13	13	15	14	14	14	13	13	15	14	15	15	15	18	16	15	18	14	17	17	17	16	18	18	19	19	20	21	0	1	4	1	10	2	6	6	10	8	8	7	6	11	11	8	13	25	26	10	9	5	15	17	13	13	8	14	12	20	8	16	14	14	29	20	8	5	46	19	27	31	36	28	33	20	38	39	37	33	43	45	45	30	37	35	38	29	50	50	51	52	43	76	61	37	42	66	58	50	61	52	54	56	69	30	39	49	63	68	69	69	58	69	60	63	91	75	77	64	56	69	82	84	84	60	78	81	102	94	87	83	84	87	102	92	94	105	0	98	106	109	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	2	4	2	1	4	2	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	5	2	2	2	1	2	3	1	1	1	3	2	2	2	1	2	2	2	1	3	2	3	1	1	2	1	2	1	2	1	1	1	1	1	2	1	2	1	2	3	2	3	2	1	2	2	3	2	2	3	1	1	1	1	3	2
4500	-570.698987479172388	-577.554475430131788	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.538865565765296	0	1	3	2	5	2	3	3	4	3	4	6	3	3	5	5	4	6	5	6	6	6	6	6	6	4	8	5	7	8	7	6	7	7	9	8	7	8	8	10	9	9	9	9	9	9	9	9	10	10	10	10	12	10	10	11	13	11	11	11	11	12	12	13	12	12	12	12	10	12	12	11	12	13	13	14	13	13	12	13	12	12	13	13	12	13	14	14	12	14	14	14	15	14	15	15	15	18	16	14	18	16	17	16	17	18	15	18	19	20	21	20	0	1	1	1	8	2	6	6	6	6	14	11	6	6	14	10	13	13	26	8	6	14	15	17	13	13	7	14	20	21	20	28	28	22	20	20	20	37	31	25	27	29	30	33	28	37	20	31	48	45	43	33	44	37	30	42	67	69	50	50	51	44	43	48	61	30	43	42	35	50	51	52	37	89	58	63	49	31	35	56	69	58	58	58	60	68	67	58	43	77	56	81	82	84	84	85	76	92	93	84	87	83	94	87	102	92	84	105	0	98	110	109	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	3	2	1	2	2	1	2	2	1	2	1	1	2	1	3	2	1	1	1	1	1	1	1	2	3	2	2	2	1	1	1	3	2	1	2	2	1	1	1	1	1	2	2	3	1	4	3	3	1	2	1	1	4	1	2	2	2	5	2	1	1	1	2	2	1	1	2	3	2	1	3	1	3	1	1	2	1	4	1	1	4	2	2	1	1	3	2	1	1	1	1	1
