step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53
5000	-297.260288953186773	-304.115776904146173	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647022615163241	1	3	3	4	6	4	5	7	8	6	9	8	8	7	8	9	10	8	8	10	10	10	9	9	10	12	11	12	12	11	10	9	11	13	13	11	11	13	13	13	15	15	15	15	15	16	16	18	18	19	21	24	27	0	1	1	2	2	2	2	7	14	6	5	10	8	4	14	8	18	4	14	15	8	15	10	2	19	20	11	11	24	18	24	19	9	22	23	16	18	21	11	31	24	37	33	11	40	37	44	47	45	41	46	51	0	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	1	1	3	1	1	3	1	2	3	1	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	3	2	2	3	1	3	1	1	2	2	2	2	1
5500	-298.558869762839151	-305.414357713798552	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621291904776030	1	3	2	5	5	6	5	7	7	7	9	9	8	9	8	8	10	7	8	10	9	10	11	9	10	11	10	12	10	11	10	10	11	12	12	12	12	14	13	14	15	15	17	15	14	16	17	17	18	19	22	24	27	0	1	1	1	2	7	2	4	4	6	5	6	4	2	9	2	18	2	9	15	8	14	10	8	19	22	11	11	16	18	7	19	15	22	23	13	31	23	27	31	36	37	9	39	18	42	44	44	45	41	42	51	0	1	1	1	2	1	1	2	1	1	1	1	2	1	3	1	2	1	2	1	1	1	1	2	1	2	1	1	2	1	2	2	1	1	1	1	3	1	2	2	2	1	1	3	1	2	1	1	1	2	2	4	1	1
6000	-290.652659953954753	-297.508147904914154	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659444598635575	-1	4	2	5	6	5	6	7	7	7	8	9	9	9	7	10	10	7	9	9	10	10	10	9	10	12	10	12	10	11	10	10	11	13	12	12	11	13	12	14	15	12	17	14	15	15	16	18	18	19	21	23	27	0	1	1	2	2	2	2	2	4	6	5	10	8	4	4	24	2	2	9	9	8	14	6	2	19	14	11	27	8	18	18	19	14	20	23	16	31	23	11	31	16	31	33	39	17	42	44	44	40	41	37	51	0	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	3	2	1	1	2	1	4	2	1	2	1	1	2	2	1	1	1	2	1	1	1	2	1	2	2	1	2	1	3	2	1	3	2	1	4	1	1
6500	-308.660598320119220	-315.516086271078620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627269715819241	1	4	3	4	6	6	6	8	7	7	9	9	9	8	6	10	10	8	9	9	9	10	8	8	10	11	10	12	12	10	10	11	10	14	12	11	12	11	14	13	15	14	15	14	14	15	16	17	19	19	22	23	28	0	1	1	1	2	2	2	2	2	6	5	10	10	9	4	24	18	7	14	15	24	9	10	7	19	15	11	27	24	18	18	19	14	15	23	8	31	10	28	31	29	31	34	28	40	31	44	47	45	41	42	46	0	1	2	1	1	1	1	1	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	5	2	2	1	2	1	2	1	2	1	2	1	2	1	1	2	2	3	4	1
7000	-283.071809817414930	-289.927297768374331	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.662120079074177	0	4	1	5	6	5	6	8	7	7	8	9	9	6	8	6	10	8	9	10	10	10	10	10	11	10	10	13	10	11	10	10	11	12	12	10	11	14	12	14	14	14	18	14	13	15	16	16	17	17	20	24	27	0	1	1	1	2	2	2	16	14	6	5	6	16	4	2	2	18	7	15	15	8	15	10	8	19	15	11	39	10	17	18	19	19	22	23	16	31	23	11	31	21	37	33	28	18	42	44	44	42	41	46	51	0	1	2	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	3	2	3	1	2	1	1	1	2	2	2	2	1
7500	-270.014010223316006	-276.869498174275407	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694550738851076	0	3	2	5	5	5	5	9	7	7	9	7	7	8	7	8	10	8	9	9	10	10	9	10	11	11	10	12	12	12	10	11	11	13	12	11	12	13	13	13	14	14	18	14	16	16	16	17	18	18	21	23	27	0	1	1	2	2	2	2	16	2	6	5	6	4	4	4	13	18	7	9	15	16	9	6	16	19	9	11	11	8	17	18	19	9	22	23	16	18	10	28	31	8	37	33	11	37	42	44	44	40	41	46	51	0	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	1	1	1	1	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	1	2	1	2	1	1
8000	-304.596339104965239	-311.451827055924639	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680865449360713	0	3	2	5	5	6	6	7	7	7	9	8	8	7	8	10	10	8	9	9	7	9	10	7	10	12	11	12	10	12	10	10	10	14	13	11	11	13	12	14	15	15	18	15	14	16	17	18	19	20	20	24	27	0	1	1	2	2	2	2	2	4	6	5	6	8	4	9	8	18	7	4	15	7	14	10	7	19	20	11	5	8	18	18	19	20	22	23	24	31	23	11	31	16	37	34	28	30	37	44	44	40	41	42	51	0	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	3	2	2	1	1	1	2	2	2	1	2	1	2	3	2	2	2	1	3	2	1	3	1	3	2	1
8500	-263.073701528898823	-269.929189479858223	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.864086681562274	0	3	3	5	6	5	6	7	7	7	9	8	9	8	8	9	10	8	9	9	9	10	10	9	10	12	11	11	12	9	9	11	11	14	11	10	11	14	13	14	15	15	16	14	15	14	16	18	18	19	20	23	27	0	1	1	2	2	2	2	7	4	6	5	6	8	9	9	8	18	7	9	15	8	20	12	8	19	15	11	11	24	18	18	19	9	22	23	24	31	35	28	31	36	46	33	28	40	37	44	47	45	41	37	51	0	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	2	2	1
9000	-283.575946004057073	-290.431433955016473	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.758682406645707	0	2	2	5	6	6	5	7	6	7	9	8	9	7	8	10	9	7	8	9	9	10	9	8	9	11	10	12	13	11	10	10	11	13	12	12	9	13	14	13	14	14	17	14	15	16	16	18	18	19	21	24	26	0	1	1	2	2	7	2	7	7	6	5	10	8	9	9	24	7	7	14	14	24	15	10	8	19	15	11	27	17	17	18	19	14	22	23	16	18	23	11	31	16	37	34	28	40	37	44	47	45	41	46	51	0	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	3	2	1	1	2	1	1	2	1	2	1	1
9500	-307.365111168268299	-314.220599119227700	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.698839387388902	0	3	1	4	6	6	6	7	6	7	7	9	8	5	7	9	8	9	9	10	9	10	10	10	11	12	11	12	13	12	10	10	11	13	12	11	11	14	13	12	14	13	16	15	13	14	16	18	15	20	21	23	27	0	1	1	1	4	4	4	4	4	6	5	10	8	4	9	13	7	17	15	15	8	15	6	16	19	20	11	5	36	18	17	19	14	22	23	18	31	23	5	31	16	37	33	28	31	42	44	47	40	41	42	51	0	1	1	1	4	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	3	1	1	2	1	3	2	1	2	1	2	2	1	2	1	3	2	1	1	1	1	2	2	4	1	1
10000	-293.890097369203659	-300.745585320163059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.764008317123087	1	3	3	5	5	5	6	9	6	7	9	9	9	9	8	9	10	8	8	10	9	10	10	7	9	12	10	13	12	10	10	10	11	14	13	10	12	13	12	14	16	15	18	13	16	14	15	17	18	17	21	25	25	0	1	1	2	2	2	2	24	4	6	5	10	24	9	9	24	18	7	9	15	24	14	10	7	19	20	11	39	33	18	18	19	5	22	23	24	31	23	11	31	8	37	34	11	40	37	44	47	40	41	37	51	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	2	2	3	2	2	2	1	1	1	1	2	1	5	2	1
10500	-301.462958265911425	-308.318446216870825	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626829532698712	-1	3	2	5	6	6	6	9	6	7	9	9	9	9	7	9	9	8	9	10	10	10	9	7	11	10	11	10	13	11	9	11	12	14	12	11	11	13	13	12	15	14	17	15	15	15	16	17	17	20	21	24	27	0	1	1	2	3	2	2	24	2	6	5	6	24	15	4	24	18	7	9	9	16	15	6	2	19	14	11	11	24	18	18	19	9	20	23	16	31	23	11	31	29	37	34	39	31	42	44	44	37	36	45	46	0	1	2	1	1	2	2	2	1	2	1	2	2	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	1	3	2	1	1	3	2	2	1	1	2	2	2	1	1	1	1	4	1	1	1	3	4	3	3	1
11000	-299.222074309596223	-306.077562260555624	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.567674645815087	0	3	2	4	5	6	5	6	6	8	10	9	8	9	8	10	10	7	8	9	8	11	9	9	10	11	11	13	13	12	9	10	11	11	13	12	11	12	14	13	15	15	17	12	15	16	16	17	18	18	21	24	27	0	1	1	2	2	4	2	2	4	6	5	10	8	9	9	13	18	2	9	15	8	15	6	8	19	15	11	27	16	17	18	19	14	4	23	16	18	23	28	31	36	37	15	11	31	45	44	47	40	41	46	46	0	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	2	2	2	1	2	1	1	2	1	1	1	1	3	1	1	1	2	1	2	2	2	4	2	3	1	2	1	2	2	2	3	1
11500	-314.687246167508306	-321.542734118467706	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614890932415514	1	4	3	5	6	5	6	7	8	8	10	9	8	8	7	9	10	8	10	9	7	10	9	9	11	12	10	13	13	12	8	11	11	13	10	12	11	13	13	14	16	14	16	15	16	15	17	17	17	20	21	24	25	0	1	1	2	2	2	2	2	4	6	5	6	7	4	4	8	18	2	9	15	2	20	6	8	19	9	18	27	8	17	2	19	14	22	23	16	18	23	11	18	36	37	33	39	40	37	44	44	29	36	42	51	0	1	2	1	1	2	1	1	2	2	1	2	2	1	2	1	1	1	3	1	1	2	1	2	1	1	1	1	2	3	1	2	1	1	2	1	2	2	2	2	3	2	2	2	1	1	3	1	2	1	4	3	2	1
12000	-301.596006311327187	-308.451494262286587	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.528969589528409	0	3	3	5	4	5	5	8	7	8	9	8	9	8	7	9	10	8	9	8	10	9	11	9	10	10	10	13	13	12	10	11	12	13	13	11	12	12	13	14	15	14	17	14	15	15	16	18	18	17	22	23	27	0	1	1	2	2	2	2	7	4	6	5	2	8	9	4	2	18	2	2	15	8	9	10	2	19	15	11	27	8	18	18	19	15	22	23	8	31	10	11	31	36	37	33	11	31	42	44	44	40	29	46	42	0	1	2	2	1	1	1	1	1	1	2	3	1	1	1	2	2	1	3	3	1	1	1	1	3	1	2	1	2	3	1	1	1	2	2	1	1	1	3	2	2	2	1	3	2	2	1	1	2	2	3	5	4	1
12500	-309.784736137852349	-316.640224088811749	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.574992626653446	0	3	1	4	5	5	4	8	6	7	8	8	8	8	8	7	9	7	8	9	9	10	8	10	11	11	10	11	12	11	9	10	11	13	12	11	12	13	14	13	15	13	17	14	15	15	17	16	17	20	21	25	27	0	1	1	1	2	2	2	2	2	6	2	6	16	9	2	9	18	7	9	14	16	14	6	8	19	20	11	27	16	18	18	19	15	22	23	8	31	23	28	31	29	30	33	28	30	42	48	44	40	41	42	51	0	1	2	1	1	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	2	2	2	1	2	1	2	2	1	3	2	2	2	1	1	2	2	3	3	1
13000	-291.318421601447938	-298.173909552407338	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.575198351648433	0	3	2	5	6	5	5	7	7	8	9	8	8	8	6	9	10	8	9	9	9	10	11	9	11	11	10	12	12	11	10	11	11	14	12	11	11	13	13	13	15	15	16	14	15	16	16	18	19	20	19	25	28	0	1	1	2	2	2	2	2	15	6	2	6	8	9	4	8	18	7	14	15	8	14	10	8	19	20	11	11	16	16	18	19	15	22	23	24	18	23	11	31	36	31	9	28	40	37	44	47	37	41	46	51	0	1	2	1	1	1	1	1	3	1	2	4	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	2	2	1	2	1	3	2	1	1	2	1	2	2	2	2	4	1	1	2	1	1	3	1	1	4	1
