step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.729158506541622	6	0	16	14	38	26	23	31	30	30	33	40	35	52	49	52	53	54	55	59	55	70	67	72	73	75	77	79	79	80	84	85	103	83	87	84	84	88	90	84	92	86	93	93	89	93	91	92	88	89	89	103	93	89	88	95	107	92	92	92	91	93	93	93	102	91	105	96	93	95	96	102	102	102	103	98	99	103	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-406.868859801593487	-415.919703182044827	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996524037158001	6	-2	19	12	28	25	19	34	32	28	22	41	35	48	47	54	44	51	56	55	57	60	64	69	73	73	79	78	71	74	84	81	100	82	79	82	82	79	81	86	94	86	93	82	88	92	89	82	86	84	90	106	88	91	87	95	106	84	95	91	92	83	88	89	101	89	101	95	90	94	95	102	97	97	98	98	99	100	2	0	4	1	11	3	4	10	5	3	3	10	6	17	13	14	12	12	14	18	18	19	14	22	23	29	29	25	22	23	35	30	56	25	30	29	39	25	29	39	60	37	36	29	27	31	28	25	34	25	30	56	37	49	39	64	53	28	50	42	42	38	36	49	73	30	69	51	58	51	42	68	68	53	55	66	61	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-418.376417022065482	-427.427260402516822	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.939574529994275	10	1	17	3	37	27	23	32	32	30	35	25	34	40	54	46	50	48	52	60	55	70	64	71	73	76	73	80	79	81	84	82	103	83	79	86	80	86	92	84	89	88	89	86	87	89	81	94	82	88	84	107	87	89	86	90	102	94	92	93	92	90	90	95	105	88	105	98	91	87	87	101	102	104	103	97	98	100	2	0	1	2	6	7	3	7	7	12	10	3	7	12	16	8	5	5	16	19	17	19	21	23	22	25	22	22	22	22	24	25	44	24	27	37	25	47	32	47	70	35	47	37	49	37	25	55	22	37	37	60	32	32	27	38	60	46	40	50	71	51	45	53	61	35	72	59	34	28	34	54	60	69	25	41	44	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-404.775148753237829	-413.825992133689169	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989115363829628	10	2	12	14	40	25	20	22	23	30	30	38	34	49	43	50	56	54	59	58	54	69	69	72	66	71	79	77	77	82	84	82	104	82	87	81	82	89	89	82	90	81	95	95	88	95	94	89	87	88	88	105	89	83	91	87	99	86	93	94	90	89	88	92	97	90	100	94	89	90	90	94	95	102	96	97	100	99	2	0	2	1	13	4	4	4	1	7	6	8	7	5	11	12	21	5	14	16	5	17	18	25	19	23	26	24	24	26	29	25	43	24	32	24	26	37	54	29	54	24	70	55	31	51	45	34	23	34	32	68	40	26	63	42	38	40	58	45	42	58	37	56	43	54	76	30	27	56	30	58	45	60	69	51	54	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-404.777151115636627	-413.827994496087967	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997641859480228	7	2	12	15	37	19	24	25	29	32	30	41	26	50	43	48	53	56	51	48	57	65	61	72	62	72	79	78	73	76	86	82	92	87	91	85	81	81	89	83	92	86	89	94	88	87	93	89	87	86	80	102	94	90	85	98	110	92	91	95	85	85	93	96	103	87	107	99	91	96	98	99	100	101	98	94	102	102	2	0	2	2	11	3	6	1	4	7	6	13	6	15	12	12	16	16	20	12	20	14	21	22	14	23	30	26	22	29	32	28	37	26	55	26	30	24	55	37	66	32	40	31	40	51	49	62	30	30	30	56	39	37	38	44	56	37	40	45	37	29	49	66	34	37	56	33	45	49	66	60	60	63	44	69	43	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-405.409614510204108	-414.460457890655448	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997679275213303	7	-4	16	10	32	23	27	32	31	29	34	40	38	48	43	50	57	56	59	63	52	69	65	74	76	71	66	76	77	75	80	87	101	85	86	85	84	90	86	81	93	83	92	91	85	91	92	92	83	85	91	93	96	86	77	84	104	94	90	93	88	95	90	94	104	91	86	91	90	94	94	101	97	103	98	95	95	97	2	0	4	1	7	3	3	6	6	6	6	8	10	5	13	14	12	14	15	18	14	20	19	26	23	23	20	23	24	27	29	37	63	25	49	31	26	37	24	25	36	28	39	67	28	39	49	49	25	31	39	42	50	42	26	55	76	36	49	59	54	51	36	39	75	42	55	49	31	61	44	48	67	62	45	50	60	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-410.725831746566143	-419.776675127017484	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988247442944868	7	-3	17	15	25	25	20	28	29	30	32	37	36	47	42	54	47	47	59	57	53	69	69	74	66	79	76	80	76	81	79	82	92	83	85	87	82	91	84	76	90	84	93	92	90	87	80	88	91	86	89	96	94	93	87	98	110	93	93	85	90	87	94	88	98	87	106	92	92	94	98	96	97	101	98	98	102	97	2	0	1	1	3	7	4	6	5	7	5	10	9	12	11	17	13	13	14	17	18	14	20	23	21	23	23	29	22	22	27	31	62	47	47	27	40	40	31	23	34	31	39	66	34	34	22	39	39	32	32	60	48	66	31	58	65	39	60	26	66	29	48	40	66	27	43	42	36	26	41	54	45	47	62	64	46	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-415.427900779355014	-424.478744159806354	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998822936029709	7	0	15	14	31	23	27	29	31	31	32	40	36	52	40	51	54	45	57	60	58	75	72	70	67	77	77	80	80	72	87	88	99	80	81	80	86	86	82	76	90	82	94	98	86	83	90	88	88	90	77	98	91	85	88	94	103	93	94	81	92	89	91	91	97	93	105	90	86	95	92	102	101	99	97	96	97	104	2	0	1	1	8	3	4	4	3	8	6	10	9	15	13	18	18	8	16	19	16	24	19	17	21	24	23	51	30	21	36	36	70	22	40	23	34	35	22	30	31	27	50	49	22	60	31	54	42	42	24	71	31	34	60	63	63	55	35	26	39	34	31	40	32	31	63	37	22	45	69	61	49	50	61	63	47	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-400.222163975871752	-409.273007356323092	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996523182800570	7	1	12	14	35	19	19	32	30	33	35	42	27	47	48	44	54	51	53	58	44	70	64	73	65	73	77	70	82	80	86	80	104	79	82	84	81	88	92	85	91	81	94	96	88	89	77	95	89	92	89	100	94	86	89	95	94	94	94	91	93	87	91	93	101	88	97	96	90	92	89	99	97	96	103	95	95	100	2	0	1	1	1	3	1	13	6	13	13	11	6	11	12	8	14	14	15	18	5	14	20	23	19	20	24	23	28	22	32	26	59	24	27	34	26	35	36	27	37	47	45	46	29	42	22	41	47	37	31	53	71	42	37	41	49	41	45	27	38	37	40	62	41	36	57	63	31	40	40	48	69	30	58	40	45	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-406.969163308937539	-416.020006689388879	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998455638684888	6	-1	17	13	42	23	22	34	28	31	34	43	30	47	44	53	51	56	43	61	57	74	68	73	72	76	76	74	82	72	84	86	97	82	81	78	83	90	89	78	90	86	88	78	87	89	90	93	85	88	90	105	93	78	84	92	107	92	94	87	93	92	90	91	97	86	100	91	92	94	97	103	94	95	100	98	99	103	2	0	4	1	10	3	3	9	6	9	9	8	7	5	7	15	11	14	9	17	17	20	18	20	20	28	25	18	23	20	27	29	63	30	24	24	23	37	26	30	40	54	31	22	22	37	34	45	54	36	60	71	49	22	40	60	33	44	42	26	27	66	49	29	46	40	73	32	42	35	59	74	66	50	53	58	66	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
