step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
1	-213.881656600391437	-212.419574515872569	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.571614166559290	0	1	3	3	6	5	6	7	9	8	12	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	5	4	6	8
500	-80.849734354588691	-78.215659074162630	-2.634075280426058	0.000010024087799	0.000041980500575	4.187962178500926	0.791319009714226	-1	2	3	4	6	6	7	8	9	9	11	16	0	1	2	3	2	4	5	6	7	5	10	11	1	2	1	1	2	1	1	1	1	2	1	2
1000	-82.656788898589625	-80.651767001050004	-2.005021897539625	0.000010011439872	0.000023572094366	2.354515900562582	0.873399918246505	0	2	3	4	5	5	6	6	8	8	13	15	0	1	2	3	2	4	5	6	7	7	10	11	1	1	1	1	2	1	1	1	1	1	3	1
1500	-82.288994488685574	-79.785298198826339	-2.503696289859231	0.000009989861459	0.000037671314976	3.770954695488827	0.858820864055725	0	1	3	4	6	6	5	8	10	9	11	15	0	1	2	3	7	4	2	6	5	7	10	11	1	1	1	1	1	1	1	1	2	2	1	2
2000	-84.182798028688183	-82.002121007211485	-2.180677021476704	0.000009961116612	0.000028129500690	2.823930467494307	0.539252394613624	0	1	2	4	7	6	6	8	9	9	12	16	0	1	2	3	7	4	1	6	7	7	10	11	1	1	1	2	1	1	2	1	2	2	2	2
2500	-83.618601006692160	-81.347594285846355	-2.271006720845801	0.000010072789713	0.000030995489670	3.077150477053724	0.476940639696906	-1	1	2	3	5	5	6	7	9	8	12	15	0	1	2	3	1	4	5	6	5	5	10	11	1	1	1	1	3	1	1	1	3	2	2	2
3000	-83.541600011051841	-81.957835261914909	-1.583764749136937	0.000009732615675	0.000012777004550	1.312802742532351	0.656654267473881	0	1	2	3	6	5	7	8	9	9	12	17	0	1	2	3	2	4	5	6	5	5	10	11	1	1	1	1	2	1	1	1	2	1	2	3
3500	-84.055644885539408	-82.134769761807959	-1.920875123731456	0.000009860491009	0.000021093447671	2.139188368092273	0.614484063316748	-1	1	2	3	6	5	7	7	10	9	13	16	0	1	2	3	2	4	5	6	7	5	10	11	1	1	1	1	2	1	1	1	2	1	3	2
4000	-78.921192829677281	-76.673813766847246	-2.247379062830029	0.000009836906979	0.000029609966410	3.010089093438002	0.802177947712121	0	1	3	4	6	6	7	7	8	8	11	15	0	1	2	3	2	4	5	6	5	5	10	11	1	1	1	1	2	1	1	1	1	1	1	2
4500	-84.627688382532185	-82.724226157876586	-1.903462224655593	0.000010335600771	0.000021656207869	2.095302280910812	0.875074004149750	-1	1	3	4	5	5	7	7	10	7	13	14	0	1	2	3	2	4	5	6	7	5	10	11	1	1	1	1	2	1	1	1	2	2	2	1
