step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-1086.105852429602010	-1084.643770345083112	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.465228332692305	3	5	4	6	8	8	8	9	11	10	12	11	12	13	13	14	13	14	13	17	21	23	22	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	4	5	4	5	5	5	6	5	6	5	7	9	10	10	11
500	-358.951023705327202	-357.241587487418428	-1.709436217908756	0.000009999076090	0.000016179259962	1.618075491853638	0.443418656233538	3	5	5	6	8	9	8	10	11	10	10	11	12	13	12	15	13	15	14	16	21	24	22	25	0	1	1	1	4	3	2	5	5	4	6	4	9	0	11	10	11	6	13	12	20	20	0	12	1	1	1	2	1	3	2	1	2	2	1	2	1	1	1	3	3	4	1	4	3	6	1	6
1000	-336.018492173010600	-333.759641228591363	-2.258850944419258	0.000010003735182	0.000030437113098	3.042574852610955	0.563328176459191	2	4	3	6	8	8	8	9	10	11	12	11	12	13	13	15	14	15	14	15	21	24	22	26	0	1	1	1	1	3	2	5	5	4	6	4	9	0	11	12	15	11	13	12	20	20	0	12	1	1	1	2	3	2	3	1	1	3	2	3	1	1	1	2	1	2	1	2	3	6	1	7
1500	-345.360263813043616	-343.172736566838694	-2.187527246204907	0.000010012419743	0.000028463686713	2.842837939790201	0.603789019779137	3	4	5	6	9	8	8	10	11	11	12	11	12	13	14	14	13	15	14	17	20	23	22	25	0	1	1	1	4	3	2	5	5	4	6	4	9	0	17	12	11	6	13	16	20	20	0	10	1	1	1	1	2	2	3	1	1	3	2	3	1	1	1	2	1	3	1	1	2	3	1	6
2000	-327.506300879979960	-324.924273885336447	-2.582026994643524	0.000009990970973	0.000040153121000	4.018940812685111	0.476184584584282	3	5	4	6	8	8	9	9	11	10	13	12	12	14	12	15	11	14	13	16	21	24	22	26	0	1	1	1	4	3	2	5	5	4	15	4	9	0	17	12	6	6	9	12	20	21	0	12	1	1	1	2	1	3	2	1	2	3	1	3	1	1	1	1	2	3	1	2	3	2	1	7
2500	-331.331149116864140	-329.247336058510598	-2.083813058353570	0.000010308027284	0.000026404248185	2.561522923650358	0.564694697839407	3	5	4	5	7	8	7	9	10	11	13	10	13	12	14	15	10	12	13	17	21	23	22	25	0	1	1	1	4	3	2	5	5	12	17	1	9	0	17	12	6	6	9	12	20	20	0	12	1	1	1	1	1	3	1	1	2	1	2	3	2	1	3	2	1	2	1	4	2	3	1	6
3000	-334.830674072748650	-332.266677269407523	-2.563996803341099	0.000010347847240	0.000040989749171	3.961186150068507	0.572072045259535	3	5	4	6	8	8	8	10	11	9	12	11	12	13	13	13	11	14	13	15	20	24	21	26	0	1	1	1	4	3	2	5	5	4	17	1	9	0	11	1	6	17	9	12	20	21	0	12	1	2	1	2	1	2	2	1	2	1	1	3	1	1	1	6	2	1	1	2	3	2	1	7
3500	-334.156073795639770	-330.835003501334654	-3.321070294305093	0.000010705083416	0.000072475084194	6.770155950763939	0.650867623489135	2	6	4	6	8	9	8	10	11	11	11	10	12	13	13	14	13	13	14	16	21	24	23	24	0	1	1	1	4	3	2	5	5	12	6	4	9	0	11	12	11	6	13	16	20	21	0	16	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	4	3	1	4
4000	-323.726776649793976	-321.176975953496083	-2.549800696297916	0.000011498497937	0.000045028094717	3.915997981847485	0.414546908206351	2	5	5	6	7	9	6	8	11	9	11	11	12	12	14	14	14	14	14	17	19	23	23	25	0	1	1	1	4	3	2	5	5	4	6	4	9	0	11	12	11	6	13	16	20	20	0	12	1	1	1	3	1	2	1	1	2	1	1	4	1	1	2	2	1	3	1	2	1	2	1	4
4500	-313.212685082365738	-311.056002348325364	-2.156682734040376	0.000013243427898	0.000036526370678	2.758075247490698	0.500084029543195	3	5	5	6	8	9	9	9	11	11	11	11	13	13	14	14	14	13	14	17	21	23	22	25	0	1	1	1	4	3	2	5	5	4	6	4	9	0	11	12	11	6	13	16	20	21	0	12	1	1	1	2	1	2	2	1	2	2	1	3	1	1	1	2	3	1	1	2	2	2	1	8
5000	-289.737480940045714	-287.286809363592738	-2.450671576452996	0.000017059083594	0.000061537688872	3.607326767089032	0.552982966269850	3	5	4	7	8	9	9	9	10	11	11	10	12	13	13	15	14	14	13	17	21	23	22	25	0	1	1	1	4	3	2	5	5	4	3	4	9	0	11	12	11	11	13	16	20	21	0	16	1	1	1	2	1	2	2	1	1	2	3	2	1	1	1	3	2	2	1	1	2	1	1	5
5500	-288.640759999300656	-287.095353208240908	-1.545406791059759	0.000027169538560	0.000033084578935	1.217708532713251	0.669550535754494	3	4	5	6	7	8	8	9	9	9	10	11	12	13	13	14	12	14	12	17	21	22	22	23	0	1	1	1	4	3	2	5	5	4	6	4	9	0	11	12	11	17	9	12	20	20	0	16	1	1	1	2	1	1	2	1	1	1	1	3	2	1	2	2	1	1	1	4	1	3	1	3
6000	-205.380837485464241	-203.986472611844647	-1.394364873619595	0.000053211824688	0.000041908699192	0.787582448776176	0.578236668501292	3	5	5	7	8	9	9	10	10	10	12	11	12	14	12	15	12	15	13	17	21	23	20	23	0	1	1	1	4	3	2	5	5	4	6	4	9	0	6	4	6	15	13	16	20	21	0	16	1	1	1	2	1	2	2	1	1	1	2	2	1	1	2	5	2	1	1	1	2	1	1	3
6500	-205.701456753834577	-204.256712988824773	-1.444743765009815	0.000225205649688	0.000076894616137	0.341441772190985	0.646177330465961	3	6	5	6	9	8	8	8	12	10	11	11	11	12	12	14	13	13	13	18	21	22	22	24	0	1	1	1	4	4	1	4	2	7	6	5	7	0	6	8	7	15	11	12	20	20	0	16	1	2	1	2	1	2	2	1	3	1	2	1	1	1	2	4	2	1	1	3	2	2	1	5
7000	-190.600166573525655	-188.840465080936468	-1.759701492589176	0.000525578854436	0.000098056850210	0.186569245284844	0.576805351685556	3	5	5	6	8	8	9	8	10	11	12	11	12	13	11	14	13	14	13	17	21	24	22	24	0	1	1	3	4	3	5	2	5	9	15	7	4	0	7	9	15	11	9	2	16	19	0	16	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	2	6	3	5	1	5
7500	-219.557531119760796	-218.102273240233018	-1.455257879527770	0.000364980362102	0.000120799279758	0.330974738098547	0.434800036576560	2	6	4	7	8	8	9	8	11	10	12	12	10	12	13	15	13	15	14	16	20	23	21	26	0	3	1	1	1	4	4	2	1	3	4	13	4	0	4	4	5	15	10	12	13	21	0	16	1	1	1	2	3	1	1	1	4	3	3	1	1	1	3	4	2	2	1	3	5	2	1	6
8000	-195.794369210868268	-194.239544687518105	-1.554824523350167	0.000472980282669	0.000123711012384	0.261556383885559	0.315414990536742	2	3	5	6	9	8	8	9	11	10	13	11	10	14	13	14	14	14	11	18	20	23	22	24	0	1	2	3	2	2	4	3	6	4	2	6	1	0	13	19	7	10	10	17	13	20	0	11	1	1	1	1	3	2	1	2	1	2	5	3	3	1	1	2	3	3	1	2	6	2	1	6
8500	-186.608722152670452	-185.121522969218262	-1.487199183452188	0.000524023902708	0.000159274454937	0.303945018755394	0.583709149445565	3	5	4	6	8	8	8	10	11	9	12	12	11	13	12	15	12	15	13	18	21	23	23	24	0	1	1	3	4	4	2	5	10	3	6	13	5	0	4	12	7	17	13	15	16	15	0	21	1	1	1	1	1	1	1	1	1	3	2	1	1	1	3	1	1	2	1	3	4	4	1	2
9000	-198.879941025397528	-197.192741810223993	-1.687199215173527	0.000484897346710	0.000100638770097	0.207546547283653	0.408151498169966	1	6	4	6	8	8	7	9	11	10	13	8	12	13	13	15	13	15	12	17	21	23	22	25	0	3	1	3	4	4	1	7	5	12	4	4	5	0	7	10	9	17	6	13	16	7	0	7	1	1	1	1	1	1	3	1	2	1	3	1	3	1	2	2	1	2	2	3	3	7	1	11
9500	-190.301170895979709	-188.914166875025415	-1.387004020954294	0.000487668490972	0.000208752859334	0.428063045283387	0.568334331977693	4	6	5	6	8	8	8	8	11	11	12	10	12	12	13	15	14	14	13	18	20	23	22	26	0	1	1	3	4	2	4	4	5	2	6	7	12	0	10	11	8	6	5	16	17	12	0	17	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	3	3	3	2	3	6	1	6
10000	-238.982959124364299	-237.408678374123411	-1.574280750240897	0.000434101891668	0.000109296243015	0.251775551115332	0.544106745537859	3	5	4	6	8	9	8	8	11	10	12	11	13	14	13	11	14	13	12	17	20	23	23	25	0	1	1	3	4	4	1	2	5	5	8	6	16	0	7	7	11	11	10	9	16	8	0	17	1	1	1	1	1	2	4	2	1	1	2	1	1	1	1	2	2	1	1	2	3	7	1	8
10500	-175.067636211774385	-173.413327946783141	-1.654308264991253	0.000435389791378	0.000095209668757	0.218676851507793	0.554805078792117	3	5	4	6	7	8	9	9	12	10	12	12	12	13	13	14	12	14	14	16	21	24	22	26	0	1	1	3	2	4	2	4	7	5	6	7	8	0	9	9	6	15	13	17	16	10	0	22	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1	2	3	4	1	1
11000	-216.861922637520848	-215.020745307748854	-1.841177329772008	0.000576873827405	0.000096538155578	0.167347088725931	0.571549023624160	4	5	5	6	8	7	8	9	10	11	13	11	12	14	12	15	12	14	13	18	20	23	23	26	0	1	1	3	4	2	2	5	5	2	12	8	4	0	4	19	7	13	7	16	12	5	0	20	1	1	1	1	1	1	2	1	1	4	2	1	3	1	3	1	1	1	1	2	4	7	1	7
11500	-190.795285022221805	-189.184182527977299	-1.611102494244502	0.000326489069153	0.000076825383558	0.235307674335984	0.662980044718275	4	6	5	5	7	9	8	9	11	10	12	11	11	13	13	15	14	12	13	17	21	22	23	24	0	4	1	1	4	4	2	5	8	5	6	7	8	0	6	4	11	6	12	16	10	20	0	21	1	1	1	1	1	2	1	2	1	3	1	1	2	1	2	4	1	1	1	1	5	2	1	2
12000	-193.008636318709392	-191.431782302996709	-1.576854015712672	0.000574829153789	0.000144019301464	0.250542792611084	0.456520193303307	3	5	4	6	9	8	8	9	9	10	12	11	12	14	13	13	14	13	12	17	20	21	23	25	0	1	1	3	7	2	4	1	6	4	4	4	6	0	8	13	8	1	4	16	17	15	0	21	1	1	1	1	1	2	1	2	1	2	3	2	2	1	2	1	2	4	4	2	3	4	1	3
12500	-197.273692655172823	-195.698366943420069	-1.575325711752762	0.000404579249888	0.000101659973917	0.251273326411752	0.481795962641956	3	5	4	4	9	8	9	8	12	9	12	11	11	13	13	14	14	15	13	18	22	22	20	24	0	4	1	1	1	3	8	4	6	2	8	8	6	0	10	9	9	12	8	6	16	9	0	20	1	1	1	1	3	2	1	2	2	3	2	1	1	1	2	2	1	2	2	6	3	3	1	3
13000	-191.180205878341525	-189.546516713408636	-1.633689164932900	0.000335490014124	0.000075920469244	0.226297254903798	0.309158351811675	3	6	4	6	9	8	9	8	12	10	11	11	13	12	13	12	14	14	13	17	21	23	22	26	0	1	1	3	4	2	1	4	2	3	3	8	1	0	7	1	13	7	10	7	9	20	0	21	1	2	1	1	2	1	4	1	2	3	4	1	4	1	2	4	1	3	1	3	7	2	1	2
13500	-204.541303786164349	-202.797786267848551	-1.743517518315786	0.000496256845455	0.000094729471844	0.190887990183652	0.523834587940861	3	5	5	7	8	8	9	9	11	9	12	11	12	13	13	14	13	13	13	15	21	21	22	25	0	1	1	3	4	3	1	4	7	4	5	4	4	0	13	7	6	3	9	4	16	12	0	21	1	1	1	1	1	1	4	1	1	1	2	2	3	1	1	2	2	4	1	4	3	4	1	2
14000	-187.140164802684495	-185.488877532018421	-1.651287270666067	0.000435946191639	0.000095803609901	0.219760171640107	0.553577653163679	3	6	4	6	7	8	8	8	9	10	13	11	12	13	13	15	12	15	12	17	20	22	23	25	0	3	1	3	1	4	2	4	5	5	6	3	4	0	19	19	6	19	8	13	19	12	0	21	1	1	1	1	2	1	1	1	1	1	3	3	2	1	1	1	2	2	3	3	5	5	1	4
14500	-202.616444824405534	-200.884130416301247	-1.732314408104301	0.000491602492475	0.000095366559223	0.193991203630071	0.492844422581466	3	5	4	7	9	7	9	10	11	9	11	12	12	13	12	15	13	11	11	17	19	22	22	26	0	1	1	3	4	2	3	5	5	4	7	19	7	0	6	17	7	7	7	12	10	10	0	21	1	2	1	1	1	1	3	1	1	1	1	1	2	1	2	1	2	1	2	3	4	5	1	5
