step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-673.263409590375545	-671.801327505856648	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.410847189607712	-1	2	3	5	6	8	8	9	7	8	9	8	9	10	9	11	10	12	10	11	12	12	13	14	13	12	12	13	12	14	15	14	14	13	13	13	14	14	14	15	16	15	15	15	14	15	16	15	15	16	16	16	16	18	16	18	16	17	17	17	17	18	18	17	19	18	18	17	18	18	20	19	19	18	18	19	19	20	21	20	21	21	21	23	22	26	26	29	29	31	33	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	5	5	5	4	5	5	5	5	6	5	6	6	7	6	6	7	7	7	8	7	7	7	7	7	8	8	8	8	7	7	7	8	8	8	8	9	8	8	8	8	8	9	8	8	9	9	9	9	10	9	10	9	9	9	9	9	10	10	9	10	10	10	9	10	10	11	10	10	10	10	10	10	11	11	11	11	11	11	12	12	14	14	15	15	16	17	18
500	-546.502434998545482	-544.619077725683383	-1.883357272862048	0.000009990340893	0.000020429195587	2.044894744419224	0.214633568095481	-1	2	4	5	5	8	8	9	8	8	8	9	10	10	8	12	9	10	10	11	12	12	13	14	13	12	11	14	11	13	16	14	14	13	13	11	13	14	13	12	16	15	15	16	14	16	16	14	15	14	16	16	15	18	17	18	16	16	18	14	16	18	19	18	20	18	19	17	19	17	20	18	18	17	17	19	19	20	20	19	21	21	21	23	22	27	27	28	29	31	31	35	0	1	2	1	3	5	5	3	3	1	2	3	17	15	5	2	5	1	2	15	13	1	14	2	5	2	3	6	9	18	35	2	18	40	5	18	3	2	11	9	1	10	15	50	18	33	21	5	3	30	21	1	34	43	34	70	3	2	24	36	30	52	3	60	5	1	9	3	3	52	24	9	75	5	10	74	1	77	31	3	3	57	1	61	10	1	1	39	63	3	2	77	1	3	1	4	1	2	2	4	3	6	3	3	1	2	1	3	1	6	5	1	1	6	1	5	5	5	4	2	2	2	2	7	2	1	4	1	6	6	3	3	11	4	4	1	2	2	1	5	7	1	2	10	1	2	3	1	7	7	3	1	2	1	8	1	7	11	4	5	8	1	3	6	1	8	5	1	10	1	2	6	8	3	12	4	6	15	14	5	6	14	18	13
1000	-580.603437315193446	-577.563045771252973	-3.040391543940461	0.000009989235428	0.000056260656134	5.632128358623020	0.321147980948505	-1	3	3	6	6	8	8	10	5	8	8	9	9	10	9	10	11	11	10	12	12	11	13	14	14	12	12	12	13	13	16	14	14	13	13	14	14	15	14	15	14	16	13	15	14	14	16	16	13	16	16	15	17	18	17	18	15	17	17	15	18	18	18	17	19	17	19	17	19	18	19	18	20	18	19	19	20	21	21	20	21	21	22	23	21	27	26	27	28	32	33	33	0	1	1	2	1	4	5	10	3	2	9	5	5	6	4	10	8	6	9	18	10	9	19	10	26	14	5	15	9	2	33	2	34	11	9	11	10	21	19	10	1	41	10	3	20	35	25	5	9	25	8	17	33	64	17	50	5	1	30	2	18	52	28	27	10	1	41	1	10	31	12	3	35	9	55	26	20	41	63	1	3	57	47	76	2	2	5	10	9	15	10	3	1	1	1	1	4	1	1	1	1	3	2	1	1	1	1	1	1	1	2	1	3	4	1	4	1	1	3	2	5	5	1	6	1	3	4	3	3	2	2	4	9	1	4	5	2	1	1	7	5	1	2	3	1	1	2	1	5	8	2	4	4	2	4	4	6	11	4	10	5	1	5	7	3	8	1	3	3	2	1	10	9	2	3	1	8	13	10	6	10	11	11	9
1500	-652.194924267380316	-649.868630086278472	-2.326294181101812	0.000009982245166	0.000032306849318	3.236431161714911	0.292453566465394	-1	3	4	6	7	8	8	10	7	8	10	8	9	10	9	11	9	13	10	12	12	12	13	13	14	13	12	13	10	12	16	13	14	13	13	12	15	15	14	15	15	15	14	15	14	14	17	15	14	16	16	16	14	17	16	19	16	18	18	17	17	18	19	16	19	18	17	14	17	19	21	19	18	19	18	20	17	19	21	20	21	22	22	23	21	27	27	28	29	31	34	35	0	1	1	1	4	9	3	3	3	5	2	3	5	3	12	6	1	4	4	14	6	2	16	2	36	27	2	2	9	9	35	3	1	9	22	29	14	5	30	3	32	28	5	34	5	8	40	24	3	44	34	10	28	51	4	32	1	46	55	5	45	36	28	11	9	3	13	1	11	26	63	44	48	5	3	48	24	9	80	2	2	75	60	58	68	26	62	39	87	2	61	4	1	3	2	4	1	1	1	2	1	1	3	2	1	2	1	1	5	3	2	1	1	4	1	5	1	1	5	5	1	2	2	4	5	3	1	1	2	3	1	6	1	1	2	1	5	3	1	1	5	1	2	3	1	1	4	3	10	2	1	5	2	3	3	2	6	8	3	8	3	3	1	2	2	8	7	2	2	5	1	9	6	3	3	2	3	6	5	7	2	11	14	13
2000	-536.390502620094821	-534.693251140462394	-1.697251479632421	0.000009980515724	0.000015854750222	1.588570236283967	0.237137672655870	-1	2	4	6	5	9	9	10	8	6	9	8	6	10	9	11	11	12	11	10	12	11	13	15	14	12	12	13	12	14	16	14	13	12	13	13	14	15	15	14	14	16	15	14	15	15	15	15	13	16	16	13	15	18	17	18	16	16	17	17	17	18	17	17	17	18	19	17	17	18	19	17	19	18	19	19	19	21	22	17	20	21	20	22	19	24	27	30	29	30	33	35	0	1	2	2	1	5	10	3	13	1	13	4	2	9	13	1	8	7	13	12	9	9	29	34	18	14	3	13	9	15	8	1	13	5	15	29	8	5	52	10	27	25	1	13	10	28	34	9	5	13	14	6	7	57	24	33	16	3	7	15	47	40	5	26	9	9	21	15	5	39	49	15	30	1	2	52	66	83	53	1	10	56	50	36	2	21	73	9	50	44	5	2	1	1	2	3	3	3	1	2	1	3	2	1	3	1	2	6	1	1	2	1	2	1	1	1	2	1	5	4	3	2	2	6	3	3	3	1	2	5	1	4	1	2	8	4	4	1	2	4	2	6	2	2	3	1	1	2	2	6	4	2	1	2	6	2	3	5	5	5	5	1	2	5	3	9	6	2	1	1	2	5	7	1	2	7	6	7	4	10	7	9	9	19
2500	-497.498795593292755	-495.893692355638336	-1.605103237654431	0.000009959213094	0.000013594911662	1.365058818708115	0.286040806654723	0	3	2	6	7	8	7	10	7	8	9	8	9	11	9	11	10	12	11	10	13	13	12	13	13	11	12	13	11	14	16	13	14	14	13	13	13	13	15	15	17	15	14	15	15	16	17	16	15	16	17	16	15	18	16	18	16	17	17	15	15	19	18	17	19	17	18	15	17	18	20	16	20	19	16	19	17	20	20	20	22	22	22	23	22	26	25	30	29	31	31	34	0	3	1	3	2	1	2	5	3	2	9	5	9	9	7	4	10	6	6	12	9	2	29	8	14	9	10	10	5	15	11	1	21	3	3	14	26	10	3	5	10	3	1	32	1	45	21	10	5	32	13	61	36	30	39	26	21	2	39	21	26	75	28	15	9	13	66	9	2	43	14	39	69	2	9	14	38	5	63	41	39	34	34	74	5	2	72	77	48	5	5	1	1	1	1	2	3	5	2	2	2	3	1	1	1	2	1	2	1	2	2	1	3	4	1	2	1	2	2	3	2	3	3	6	1	6	6	1	1	2	7	4	5	6	6	1	6	1	1	3	4	1	4	1	1	2	1	4	1	7	1	1	2	1	1	4	6	4	1	4	7	2	4	1	1	9	4	3	2	6	1	1	3	4	5	2	9	9	7	11	6	13	10	18
3000	-527.292437694289220	-524.857206724459616	-2.435230969829576	0.000010051357225	0.000035785935115	3.560308753628527	0.372210807661626	0	3	4	5	7	7	7	8	8	7	9	9	9	10	9	10	10	13	10	12	11	13	13	12	13	12	13	13	11	14	16	15	14	14	13	14	14	14	14	15	16	15	14	15	14	16	15	15	15	17	16	16	17	18	16	19	16	16	17	17	17	18	17	17	20	19	19	17	18	18	19	18	19	18	18	20	18	20	21	20	19	21	21	24	21	27	27	29	29	31	33	35	0	1	2	1	2	3	3	3	6	2	3	5	3	9	7	10	8	3	3	21	15	5	21	3	19	6	3	2	3	5	25	18	5	26	5	27	18	5	29	21	44	18	1	30	26	40	22	2	18	43	1	3	5	5	30	38	2	3	31	5	35	21	5	5	27	18	18	23	2	55	70	18	59	3	18	81	19	34	60	10	18	52	26	54	13	85	33	5	76	64	18	36	1	2	1	3	2	2	2	3	1	2	1	1	2	1	1	2	2	5	3	1	1	2	1	4	2	3	4	4	4	4	1	2	3	1	3	1	1	4	2	2	1	1	7	1	2	1	1	6	1	2	8	4	4	4	1	3	6	6	1	4	2	3	3	6	2	4	3	2	6	1	1	2	2	8	4	1	3	4	1	7	2	3	5	3	4	4	6	6	4	10	11	12
3500	-607.107354624204731	-605.005929871779472	-2.101424752425245	0.000010083224425	0.000026302725582	2.608562943175032	0.391108476627792	-1	2	4	5	6	8	8	8	8	7	10	8	10	11	9	10	10	12	10	11	12	11	12	14	13	13	13	13	11	14	15	14	14	13	13	13	14	14	15	15	15	15	14	16	14	14	16	16	16	15	17	14	17	18	16	18	16	15	17	17	17	17	17	17	20	17	19	16	17	18	20	18	20	18	19	17	19	20	19	20	18	21	21	23	22	27	26	29	29	32	31	35	0	1	2	1	2	4	10	3	5	5	15	2	7	9	3	4	5	4	1	6	29	15	12	15	29	3	3	10	2	11	22	5	10	19	4	2	17	11	29	36	35	36	3	30	3	20	39	2	36	7	16	20	42	26	41	47	10	36	44	13	58	28	28	68	55	2	34	24	5	38	63	5	40	34	34	46	74	3	51	59	60	49	26	37	26	55	52	26	72	76	1	3	1	2	1	3	2	1	1	2	1	1	1	3	1	2	2	3	2	3	6	1	1	1	2	3	1	4	3	2	3	1	1	5	2	1	4	6	2	2	2	1	1	1	5	2	4	1	1	9	1	3	3	1	2	3	1	1	3	1	1	3	1	2	1	1	2	8	4	1	3	1	1	4	3	2	3	1	1	8	1	2	1	3	5	4	3	6	6	6	5	7	7	13
4000	-575.285376453010258	-572.461514039769554	-2.823862413240718	0.000010408504072	0.000050316832622	4.834204058063410	0.285530806922759	-1	2	2	5	6	9	8	9	7	8	10	9	10	11	9	10	9	13	10	10	12	13	14	14	12	13	13	14	12	14	16	14	13	13	13	14	15	15	14	14	15	15	15	15	13	15	16	15	16	16	17	16	13	15	16	18	17	16	17	16	17	18	19	17	19	18	19	18	18	17	19	18	20	16	17	19	19	20	18	20	22	20	21	22	22	27	27	29	29	31	34	36	0	1	1	3	3	3	9	3	2	9	15	5	7	15	5	3	5	20	1	10	15	21	34	3	7	11	1	15	13	13	35	2	13	6	15	16	5	15	11	13	26	13	20	30	5	53	43	10	15	13	20	21	14	1	48	6	5	5	21	15	27	47	13	35	18	21	10	24	2	14	79	54	47	44	2	56	29	2	48	40	10	50	5	61	9	65	38	10	33	61	54	54	1	1	1	1	1	3	1	4	3	1	1	1	1	1	2	4	1	1	6	1	2	1	1	6	3	2	7	3	1	2	2	7	1	2	3	2	4	3	2	3	2	3	3	1	4	1	1	3	5	3	5	2	1	9	1	5	6	4	2	3	2	1	4	2	4	4	7	2	5	3	1	2	1	1	8	1	3	7	2	4	6	2	6	4	4	4	7	6	7	6	10	12
4500	-571.765378580331685	-570.387555342028350	-1.377823238303392	0.000011369242334	0.000005144782189	0.452517594169931	0.300327119597485	0	3	4	4	7	8	8	9	8	8	7	8	10	10	9	11	9	12	11	11	11	12	13	13	13	12	13	14	12	14	15	14	15	13	14	14	15	15	14	13	16	15	15	15	14	16	17	16	14	16	16	15	17	17	15	18	16	17	17	18	17	18	17	17	19	16	16	18	19	18	21	17	19	18	18	19	18	20	20	21	18	21	21	23	22	26	27	27	30	32	32	35	0	1	2	2	1	4	3	5	4	3	1	4	7	9	10	7	1	17	9	7	11	2	17	14	20	8	1	2	1	15	24	10	15	19	23	4	5	15	10	3	44	9	2	18	3	22	20	36	3	5	8	3	14	32	39	58	3	2	31	37	51	48	42	28	41	2	5	9	39	8	76	1	9	46	2	36	42	9	62	40	15	55	22	76	9	85	19	39	69	88	82	15	1	2	1	1	3	2	2	1	2	2	4	1	1	1	1	2	4	2	2	1	2	4	2	1	1	2	6	5	6	4	2	3	3	1	1	5	3	3	2	5	1	3	4	2	3	2	2	1	4	4	4	5	5	2	1	1	4	7	1	1	1	1	2	1	1	5	2	6	2	5	1	8	5	1	9	3	2	4	1	6	3	2	5	2	6	2	9	6	4	3	4	13
