step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
1	-857.435726378331196	-864.291214329290597	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.514385518142319	0	2	5	4	3	5	4	4	6	6	5	9	7	7	8	8	7	8	8	8	9	10	8	9	11	9	13	11	11	11	11	11	14	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	2	2	3	3	3	5	4	4	4	4	4	4	4	4	5	5	4	5	6	5	7	6	6	6	6	6	7	8
500	-173.915404189136439	-180.770892140095810	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636613938635778	-1	2	5	4	3	6	5	2	6	6	4	9	7	8	8	7	7	5	8	7	9	10	8	9	10	9	12	9	11	11	11	12	15	15	0	1	5	2	8	3	5	1	4	7	8	13	3	10	18	10	5	11	0	5	3	21	8	20	19	19	23	6	22	10	26	28	30	32	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	3	1	1	1	2	1	1	2	1	2	2	1
1000	-164.104897290851341	-170.960385241810712	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.813182021261199	1	2	5	4	4	6	4	3	6	6	5	8	8	8	9	7	8	7	7	7	9	10	9	9	11	10	13	11	11	12	12	12	14	16	0	1	5	2	8	3	8	1	2	7	5	20	6	16	18	10	6	11	0	5	12	12	10	20	19	19	16	21	20	23	26	28	30	28	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	1	2	2
1500	-151.221228518521997	-158.076716469481369	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740316643903722	0	2	5	4	4	6	5	3	6	6	5	9	7	8	8	9	8	7	8	7	8	9	9	10	11	10	11	11	11	12	11	10	14	16	0	1	5	2	1	3	8	1	4	5	8	21	11	10	18	10	5	5	0	3	6	13	10	17	19	19	16	32	22	23	26	12	30	28	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2
2000	-179.308669550829308	-186.164157501788679	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663345462707868	0	1	6	3	3	5	5	4	6	6	5	10	7	8	9	8	6	7	9	8	9	10	9	9	11	10	12	10	12	12	11	12	14	14	0	1	5	2	1	5	8	5	2	7	8	6	6	10	18	10	11	11	0	3	13	6	10	17	19	19	5	21	6	16	26	28	23	21	1	1	1	1	1	1	1	1	3	1	1	2	1	1	2	2	1	1	1	1	1	2	2	2	1	1	3	1	3	2	1	1	3	3
2500	-162.151617751984475	-169.007105702943846	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716858770116322	0	2	2	4	4	5	4	4	4	6	6	9	7	8	7	9	7	9	8	8	10	10	9	9	10	9	13	11	12	12	11	11	14	16	0	1	1	2	3	5	3	3	1	7	5	20	6	10	3	10	11	15	0	17	6	13	10	17	19	19	23	12	21	23	26	12	30	28	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	2	1	1	1	1	3	2	2	1	1	1	1	1	1	2	1	1	2	2
3000	-151.723181984044317	-158.578669935003688	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.812300961750267	0	2	6	4	2	5	4	4	6	5	4	9	7	7	6	8	7	8	8	8	10	10	8	9	10	10	13	10	12	11	12	11	14	15	0	1	8	2	1	8	5	5	2	7	5	3	6	10	11	10	3	15	0	8	12	13	10	17	19	19	16	3	22	23	26	12	30	32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	3	2
3500	-145.141873930395207	-151.997361881354578	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.868278873431661	1	2	6	4	3	5	5	4	6	6	5	9	7	8	7	8	7	8	9	9	8	9	8	9	11	10	14	10	12	11	12	11	14	15	0	1	8	2	1	5	5	5	4	7	8	21	6	10	11	10	11	15	0	17	13	13	10	17	19	19	30	21	22	16	26	28	30	32	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2
4000	-148.523342589020416	-155.378830539979788	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.775793262467210	1	2	5	4	3	5	5	4	6	6	6	10	7	8	8	9	7	9	8	8	9	10	8	9	10	9	13	11	12	11	11	9	14	15	0	1	5	2	1	5	5	5	4	7	8	20	6	10	11	10	11	15	0	8	6	3	10	17	19	19	16	12	22	23	26	6	30	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	2	1	3
4500	-145.279901629565558	-152.135389580524929	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.782134379779952	0	2	5	4	3	6	4	5	6	6	5	10	8	7	7	8	8	8	8	8	8	9	9	10	9	9	13	11	11	11	11	12	14	15	0	1	5	2	1	8	5	5	4	7	5	21	6	10	11	10	11	15	0	6	6	6	10	17	19	19	30	12	22	16	26	28	30	28	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2
5000	-185.458686689927362	-192.314174640886733	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644423952962475	0	3	4	3	2	6	5	4	6	6	5	9	7	8	5	8	7	8	7	8	9	8	9	9	11	10	12	12	12	11	11	10	14	16	0	1	5	1	1	8	5	5	8	8	5	6	3	10	8	10	11	15	0	3	13	13	11	17	19	19	16	32	22	10	26	21	23	21	1	3	1	2	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	2	2	3	3	1	1	2	3
5500	-156.482512765552428	-163.338000716511800	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748826290056818	0	2	6	4	3	6	2	4	6	6	5	10	7	7	7	7	7	9	8	8	8	10	8	9	10	10	13	10	12	11	11	11	14	16	0	1	8	2	7	5	1	5	4	7	5	13	5	10	11	10	11	15	0	8	6	13	10	17	19	19	16	20	12	23	26	28	30	32	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	2	3
