step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94
1	-4387.043037050928433	-4385.580954966409990	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.707842738053039	2	7	13	16	16	14	18	23	16	24	29	32	31	31	34	38	38	34	36	43	41	43	39	37	39	42	42	42	55	48	47	44	40	44	44	44	43	43	46	46	46	50	45	48	49	53	52	51	49	52	53	54	52	57	52	54	54	59	56	56	62	61	57	59	65	66	64	63	61	61	65	66	68	68	66	74	78	74	71	72	77	74	74	86	79	87	90	90	87	104	93	98	103	99	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	3	4	3	4	5	5	5	5	6	6	6	6	6	7	7	7	6	6	6	7	7	7	9	8	8	7	7	7	7	7	7	7	8	8	8	8	7	8	8	9	9	8	8	9	9	9	9	9	9	9	9	10	9	9	10	10	9	10	11	11	11	10	10	10	11	11	11	11	11	12	13	12	12	12	13	12	12	14	13	14	15	15	14	17	15	16	17	16
500	-1153.760430757630047	-1152.285251490670589	-1.475179266959423	0.000009977939457	0.000010336192770	1.035904538618400	0.273828621287813	0	8	12	16	6	15	18	25	16	21	27	29	20	17	34	23	33	24	35	42	39	42	30	37	29	38	43	42	51	49	45	45	40	42	42	40	35	41	46	44	41	48	35	47	50	50	52	49	49	50	52	51	50	58	50	49	56	61	59	54	63	59	44	59	64	62	49	63	60	56	61	66	68	70	66	76	76	58	72	70	78	58	75	88	78	85	91	91	88	101	79	95	103	100	0	1	1	2	1	5	3	10	2	6	14	16	9	2	23	14	12	16	11	25	11	37	14	17	13	18	19	19	12	41	18	19	25	37	21	17	11	19	41	25	16	13	14	25	34	37	46	19	16	16	22	18	38	20	16	28	55	56	56	63	71	22	34	42	22	12	14	12	55	38	23	60	48	12	23	63	48	0	67	59	67	0	59	65	67	67	82	82	78	78	0	82	78	91	1	2	3	1	2	2	1	1	3	1	2	2	1	2	1	1	1	1	2	3	3	1	2	1	2	3	2	1	4	2	4	2	2	2	1	2	2	2	1	4	4	6	3	3	2	2	1	3	7	5	1	7	2	4	6	2	1	3	4	2	1	3	1	3	6	7	8	9	2	2	6	4	5	9	9	10	7	1	4	1	7	1	3	8	12	12	11	9	10	9	1	6	10	7
1000	-943.251861517820771	-941.731099236909017	-1.520762280911774	0.000009987155602	0.000011539227829	1.155406833468586	0.417563414750403	2	5	8	13	8	15	16	19	13	22	26	32	31	17	35	26	33	34	30	43	34	40	37	37	33	44	42	35	52	46	41	44	37	43	43	41	29	39	45	40	39	48	45	45	45	54	53	48	50	53	51	55	54	56	53	52	53	57	57	51	62	59	47	60	61	65	58	63	58	58	59	66	65	69	64	75	77	67	70	73	74	62	75	88	79	87	92	88	86	101	83	99	103	98	0	1	1	2	2	5	1	6	5	8	14	16	14	9	11	14	16	16	11	40	14	37	14	17	13	18	11	19	16	41	18	38	25	37	21	17	11	19	18	25	16	33	28	40	22	45	22	38	30	41	34	26	43	25	41	48	41	48	56	63	71	22	37	42	63	50	56	12	36	48	48	65	67	68	11	65	70	0	75	59	67	0	70	65	81	79	82	82	78	82	0	82	78	91	1	1	1	2	1	1	2	1	1	1	2	2	2	1	2	2	2	1	1	1	3	2	2	1	1	2	2	2	4	1	2	2	1	2	1	2	1	2	1	2	2	3	2	1	1	2	3	2	1	3	2	2	1	5	2	1	2	2	2	1	1	3	2	4	2	2	1	5	3	3	1	1	2	2	9	2	3	1	2	3	4	1	2	7	2	5	11	7	6	9	1	6	8	7
1500	-859.130125676482407	-857.592338085340202	-1.537787591142202	0.000009925369752	0.000011896263234	1.198571290678460	0.655871184010405	4	6	13	12	9	11	14	18	12	27	28	32	30	24	35	29	34	35	35	42	41	45	33	36	38	41	37	35	50	46	42	41	33	43	45	44	39	43	48	46	40	50	46	46	48	54	50	48	51	49	42	53	50	52	52	52	52	55	55	56	63	58	48	59	60	58	59	56	62	61	61	66	69	68	62	66	74	71	65	73	71	62	70	85	71	83	90	82	86	100	79	97	106	100	0	1	1	1	2	5	1	6	5	8	14	16	14	9	14	14	16	12	14	25	11	37	11	17	33	18	14	14	41	16	18	19	13	37	21	17	14	19	31	25	12	33	28	25	34	22	37	28	30	36	37	26	38	44	29	48	29	48	56	63	71	45	51	42	60	50	56	50	55	59	58	65	67	68	56	65	83	0	75	83	67	0	70	76	67	79	82	82	82	88	0	88	90	91	1	1	2	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	2	1	2	2	2	1	1	1	2	2	2	3	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2	3	1	1	1	2	1	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	2	1	2	6	3	4	9	5	5	4	1	4	2	5
2000	-807.441684065991467	-805.869159380291649	-1.572524685699822	0.000010009596660	0.000012863514999	1.285118215685203	0.624735737906441	-4	5	9	16	9	12	14	24	15	21	27	32	31	19	29	30	35	32	31	36	34	45	32	32	37	42	43	42	56	42	44	42	39	41	41	46	40	41	47	48	47	50	45	47	44	50	52	50	46	52	53	53	51	56	48	53	52	58	56	59	63	61	56	57	62	62	62	59	58	62	57	67	68	69	68	73	74	68	72	70	72	65	69	89	78	84	90	84	88	103	81	99	100	99	0	1	2	3	2	5	3	10	5	6	14	16	11	9	11	14	16	16	11	13	11	34	11	16	20	18	38	19	12	16	18	23	20	37	21	17	23	19	31	25	16	33	28	25	34	11	37	32	30	41	45	26	32	40	16	48	55	48	56	63	71	45	46	42	63	50	56	41	55	59	48	65	67	68	67	65	80	0	75	70	67	0	56	76	81	79	82	78	82	89	0	87	89	91	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	4	2	2	1	1	1	2	3	2	2	1	2	2	2	1	2	1	2	3	1	1	1	1	2	2	2	2	1	1	2	1	1	1	2	2	1	1	2	1	2	3	2	2	1	1	2	1	2	1	1	1	1	1	1	3	3	1	2	6	2	3	4	1	2	2	5
2500	-823.896422058372309	-822.244779287621895	-1.651642770750404	0.000009879602945	0.000014603681242	1.478164792964215	0.596409891801301	2	8	13	17	5	12	17	24	16	20	28	35	31	21	32	26	30	32	36	34	40	44	40	37	37	40	42	38	47	48	43	41	40	34	42	42	41	44	46	45	43	50	46	47	48	55	51	49	50	52	46	51	52	56	42	50	51	58	54	54	64	64	48	55	62	63	57	60	53	59	61	66	69	70	66	72	73	71	69	73	72	75	70	82	75	87	89	86	85	99	83	98	96	96	0	1	1	1	1	5	3	10	5	6	14	16	11	9	14	14	16	16	14	13	15	37	11	17	20	18	19	19	12	41	18	28	25	11	21	17	34	28	31	25	12	33	28	25	37	37	34	38	30	29	23	26	19	44	16	19	55	48	56	63	71	37	19	33	60	50	56	29	55	59	58	65	67	68	67	65	59	0	75	83	67	0	59	76	73	79	82	78	78	88	0	93	88	91	1	2	2	3	1	1	1	1	3	1	2	2	1	1	2	1	1	2	3	1	1	1	3	1	1	2	2	1	2	2	2	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	3	1	1	1	2	2	2	2	3	2	1	2	1	2	1	4	2	2	1	2	1	2	1	2	1	1	2	2	1	2	3	1	1	1	2	1	3	2	1	2	4	3	2	3	1	1	3	3
3000	-818.685644201156379	-817.045343967298209	-1.640300233858178	0.000010057050719	0.000014589461935	1.450670016785682	0.610781440002455	-1	8	10	12	7	13	10	20	12	26	27	31	32	20	35	29	33	35	32	36	38	41	33	38	38	40	43	42	53	47	46	43	40	43	45	44	37	36	44	46	41	51	41	46	50	54	51	47	50	45	55	51	52	56	42	51	52	58	52	57	60	61	53	56	61	65	61	55	57	64	65	66	68	68	66	69	77	72	72	69	75	76	75	85	78	88	87	91	84	105	86	100	95	97	0	1	2	2	1	5	2	6	5	8	14	16	14	9	14	14	12	16	11	13	13	37	14	17	20	18	11	19	41	11	18	19	20	37	21	17	11	19	18	25	16	33	19	25	22	22	22	28	30	36	45	26	28	44	16	48	55	48	48	63	58	34	34	42	60	50	56	50	55	59	58	65	67	68	67	72	83	0	75	59	67	0	70	76	67	79	82	82	78	89	0	93	88	91	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	1	1	1	1	1	2	1	2	1	1	1	2	2	2	4	2	2	1	2	1	2	1	1	2	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	3	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	2	2	1	3	3	3	3	2	3	2	2	1	2	1	2
3500	-781.883641855361930	-780.300246144778612	-1.583395710583311	0.000009960399115	0.000013067005154	1.311895738640548	0.724721028844071	3	6	10	15	9	13	18	22	17	17	28	34	32	24	36	27	34	30	32	36	39	43	41	37	38	42	34	40	55	42	45	40	40	40	45	43	37	43	48	48	46	51	47	47	48	53	49	48	51	48	52	51	50	53	51	53	54	58	57	54	62	47	50	57	64	66	63	56	60	60	64	68	67	68	67	74	79	69	70	72	76	75	71	84	69	86	92	89	86	104	91	98	96	101	0	1	2	3	1	5	1	10	5	6	14	16	14	9	14	14	16	16	14	13	11	37	11	17	20	18	19	11	55	12	18	19	20	14	21	17	14	19	26	25	12	33	38	25	34	34	62	38	30	12	22	31	28	44	41	48	55	48	56	63	58	37	34	42	63	69	56	41	55	59	61	65	67	68	67	65	70	0	75	83	67	0	70	76	73	79	82	82	78	87	0	93	89	91	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	2	2	1	3	1	2	2	1	1	2	2	2	1	2	2	2	1	1	2	1	2	1	2	1	1	1	1	3	1	1	1	2	1	1	3	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	2	1	2	2	1	2	3	2	3	1	1	1	2	3
4000	-780.679550413387460	-779.170285882399867	-1.509264530987575	0.000010696570911	0.000012043072288	1.125881592143351	0.686103235183625	3	5	12	16	8	15	18	19	17	16	31	31	32	21	36	29	32	34	32	34	38	43	26	36	37	41	35	35	56	40	43	41	37	45	44	44	40	38	45	47	42	52	45	48	48	53	50	46	51	52	47	55	53	58	47	52	53	57	55	57	60	59	53	57	59	59	61	61	56	61	65	64	66	64	63	75	78	67	70	74	74	70	75	78	77	81	90	87	75	101	91	96	98	98	0	1	5	1	2	3	3	10	3	6	14	16	14	9	23	14	16	16	23	13	19	37	14	16	20	18	19	19	41	16	18	19	20	37	21	17	11	19	31	25	12	33	28	25	22	22	45	38	30	16	37	26	32	44	41	48	55	48	56	63	58	45	51	42	63	50	56	50	55	59	61	65	67	68	67	65	59	0	75	70	67	0	59	76	81	79	82	89	82	87	0	88	92	91	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2	2	1	2	2	2	2	2	1	2	1	1	2	3	1	2	2	1	1	1	2	3	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	1	1	3	2	1	1	2	2	1	2	1	1	2	4	3	1	1	1	2	1	1
4500	-773.741544382012762	-772.180915372620234	-1.560629009392547	0.000011272494787	0.000014154514505	1.255668312351431	0.669229522225595	3	8	11	17	8	15	17	21	16	23	26	34	31	23	30	29	39	33	31	33	33	35	36	36	37	44	40	40	54	47	48	38	38	43	40	46	41	44	46	42	43	50	48	46	48	50	52	49	51	50	54	47	46	56	50	55	55	56	58	54	61	63	52	60	61	63	58	56	61	61	65	65	63	67	65	72	75	68	72	70	78	75	69	84	80	85	88	91	84	98	94	93	103	98	0	1	1	3	1	5	1	6	5	8	14	16	11	9	14	11	16	16	11	11	14	11	14	16	20	18	23	19	41	41	18	19	20	22	21	17	22	19	18	25	16	33	32	25	37	34	45	19	30	41	22	26	28	40	36	38	55	48	56	63	48	45	45	42	63	50	56	50	55	59	61	65	67	68	67	65	59	0	75	70	73	0	59	76	73	79	78	89	82	87	0	89	92	91	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	1	2	2	1	1	3	1	1	2	1	1	2	1	1	1	1	1	1	2	3	1	2	1	2	1	1	2	1	1	1	2	3	2	2	3	1	1	3	2	1	2	2	3	2	2	2	2	2	1	1	2	1
