step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57
6000	-327.953771114502388	-326.119841773933445	-1.833929340568917	0.000017655439997	0.000033935123785	1.922077489445765	0.632595098053878	0	2	3	4	2	4	6	5	5	5	7	6	7	7	6	7	6	7	12	9	9	9	9	9	8	9	9	11	11	10	12	12	11	13	13	13	14	14	15	15	16	16	14	17	16	18	19	19	21	18	22	21	22	22	23	23	25	0	1	5	2	1	3	4	3	6	5	3	9	9	12	4	8	9	2	18	18	14	14	15	11	18	14	14	20	24	27	25	33	27	28	27	18	33	27	37	43	38	38	36	38	43	41	45	44	46	45	48	46	50	50	51	52	55	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	3	2	2	1	1	2	1	1	1	1	1	2	2	2	1	2	2	2	2	1	1	1
6500	-289.932279964032034	-288.523370649812591	-1.408909314219438	0.000045082808104	0.000037849234701	0.839549182786912	0.705178509039237	1	3	3	5	2	4	6	5	5	5	7	6	5	6	6	7	7	10	11	8	8	9	9	10	10	9	9	10	10	10	11	11	11	13	12	12	15	13	14	14	16	15	16	17	17	16	18	18	20	20	20	22	22	23	24	24	26	0	1	5	2	1	5	2	5	6	3	3	6	6	6	4	8	13	16	11	12	11	14	15	11	11	21	14	20	11	21	25	27	27	28	32	24	32	27	35	36	38	38	40	42	43	38	45	44	46	47	48	49	50	50	51	52	55	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	3	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1
7000	-282.589894983995350	-281.205051919088703	-1.384843064906669	0.000089041367492	0.000038577806326	0.433257118710296	0.770537279377685	0	3	2	5	1	4	5	5	5	6	7	6	7	7	5	7	6	10	11	7	9	9	7	9	9	9	9	9	10	9	11	11	11	13	14	12	15	13	13	15	16	15	16	17	17	18	19	19	20	20	21	22	23	22	23	24	26	0	1	5	2	1	2	2	2	6	3	10	6	9	17	2	6	6	16	12	12	14	14	15	11	20	13	14	16	24	14	25	27	27	19	27	24	32	27	32	36	38	38	40	42	43	38	45	44	46	45	48	49	50	50	51	52	55	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1
7500	-288.454773229221189	-287.034113692032633	-1.420659537188546	0.000055217457380	0.000020417441950	0.369764254258179	0.838096664192618	0	2	2	4	3	4	4	6	5	7	7	6	7	7	7	7	6	9	11	7	6	8	9	10	9	9	8	10	11	10	11	11	12	12	15	13	14	14	14	14	16	16	14	17	17	19	18	19	21	20	21	23	22	22	23	24	24	0	1	1	2	3	5	1	5	6	5	8	6	9	21	9	8	4	8	18	9	4	21	15	11	20	14	21	20	24	27	25	27	27	28	37	24	32	33	33	36	38	38	36	38	43	38	45	44	46	47	48	49	50	50	51	52	51	1	1	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1
8000	-293.835073677867001	-292.465187162438554	-1.369886515428457	0.000083111726802	0.000040023802705	0.481566251171095	0.782102957917960	0	2	3	5	2	5	4	6	4	7	7	5	6	7	7	7	7	11	11	8	8	9	7	9	9	9	9	10	11	10	11	11	11	13	13	13	14	14	15	11	16	15	16	17	17	19	18	19	20	20	20	22	22	22	23	23	25	0	1	5	2	1	9	2	4	5	3	12	9	6	9	9	13	9	16	11	8	14	14	4	11	20	21	14	20	24	27	25	27	27	28	27	18	33	33	35	11	42	38	40	42	43	41	45	44	46	45	48	38	50	50	51	46	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	1	4	1	1	2	2	1
8500	-309.290622857640130	-307.909970330760132	-1.380652526879999	0.000107049513371	0.000047556393321	0.444246702515515	0.713103908523037	1	2	3	5	3	4	6	6	5	7	7	7	6	6	8	7	6	10	11	8	7	9	8	9	9	9	8	10	10	10	11	9	11	13	14	13	13	12	14	15	16	15	16	18	18	18	19	19	20	20	20	22	22	22	23	23	25	0	1	1	3	1	3	1	5	6	3	3	9	9	6	12	4	9	8	11	9	14	14	4	16	5	14	21	8	3	32	25	27	27	13	27	19	33	27	32	35	38	38	40	41	43	41	45	44	46	45	48	49	50	50	51	49	51	1	1	1	1	1	1	3	2	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	3	2	1	2	3	1	1	1	1	3	4	1	1	2	3	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2
9000	-317.661338154968348	-316.292230214985693	-1.369107939982630	0.000085620704287	0.000057296752256	0.669192723104359	0.603634113843354	0	3	2	6	4	5	5	5	4	5	6	7	6	7	6	7	7	10	12	8	7	10	8	9	10	9	9	9	9	10	12	11	11	14	14	12	13	13	15	14	16	16	15	15	16	17	18	20	19	19	22	22	23	22	24	23	25	0	1	1	5	3	9	2	3	3	3	8	13	6	4	5	5	6	11	20	9	6	21	15	8	20	21	21	6	11	14	25	27	27	22	12	11	27	32	37	36	38	38	40	38	43	41	45	42	38	45	48	49	50	47	51	49	48	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	1	2	1	1	1	1	2	2	3	4	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2
9500	-297.597490445102267	-296.227538804251651	-1.369951640850618	0.000063303133148	0.000030466249617	0.481275540431712	0.879162440533551	-1	1	3	5	4	4	5	6	5	6	7	6	6	7	7	6	6	7	11	8	8	8	9	9	10	9	10	10	11	9	11	11	12	12	14	12	13	13	14	14	17	14	16	18	17	17	18	19	21	19	21	22	22	21	24	24	26	0	1	2	3	3	3	3	5	6	3	8	6	6	13	4	5	9	8	10	18	14	14	15	11	20	14	14	20	18	14	25	27	27	28	27	24	32	33	33	36	38	38	36	41	43	42	45	42	46	47	48	49	45	45	51	52	55	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	3	3	2	1	1
10000	-275.699276940417406	-274.304226304854694	-1.395050635562727	0.000086377206518	0.000035488821309	0.410858636670713	0.792814122365650	0	2	2	5	4	5	5	6	3	6	7	7	5	7	7	7	6	10	11	9	8	10	9	10	9	9	9	11	9	9	11	10	12	14	13	12	13	13	14	14	16	16	16	17	17	18	19	19	20	20	20	22	22	22	23	24	25	0	1	1	2	3	9	1	5	3	5	5	13	9	13	4	3	13	23	8	6	14	21	15	11	13	14	14	20	11	8	25	27	27	20	32	24	27	33	35	36	38	38	40	42	40	41	45	44	46	47	48	49	50	50	51	52	55	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	3	2	1	1	1	2	2	1	1	1	1	2	1	1	2	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10500	-299.866869214319820	-298.432466839661174	-1.434402374658666	0.000110231337664	0.000038884467600	0.352753295241318	0.787309409414450	1	3	2	4	4	4	5	6	3	6	6	5	6	6	6	6	7	9	10	8	9	8	8	9	9	9	9	11	10	9	12	12	11	13	12	13	15	13	13	14	16	15	17	16	15	18	19	20	20	20	21	22	23	23	23	23	25	0	1	1	1	3	9	1	4	3	4	2	9	6	6	7	6	12	2	18	13	14	14	15	11	20	22	22	21	24	14	25	27	27	28	33	19	33	35	27	36	38	38	45	42	36	38	45	46	46	47	48	46	50	50	51	49	51	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	2	2	2	2	2
