step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
5000	-235.613871569836562	-242.469359520795933	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.512773289969245	3	6	8	5	6	9	10	9	9	13	11	12	11	12	13	14	14	16	16	18	17	19	20	22	25	33	34	35	38	40	39	42	43	45	0	4	4	1	4	3	8	5	4	11	8	7	2	6	3	9	12	14	15	19	19	21	18	16	24	25	26	0	26	0	29	29	29	32	1	1	1	1	1	1	1	2	2	1	2	1	1	2	3	2	1	2	2	1	1	1	2	3	2	3	1	1	3	1	1	2	3	2
5500	-223.339634105892173	-230.195122056851545	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652304771388047	3	5	7	4	9	9	10	10	11	12	11	11	10	12	13	12	14	16	17	19	16	18	22	23	26	33	35	35	38	41	40	40	43	45	0	4	4	1	3	3	5	5	3	8	5	5	3	6	14	4	12	14	15	22	15	21	18	19	24	25	26	0	27	0	29	29	32	33	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	4	1	2	2	1	2	1	2	2	1	3	1	1	1	1	1	1	2	1
6000	-224.884842648675203	-231.740330599634575	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572132840563468	3	6	7	5	8	10	11	10	11	11	10	12	11	12	14	14	14	14	17	18	18	18	21	22	24	33	34	34	38	41	40	41	43	45	0	4	4	1	3	3	8	5	4	8	5	11	2	6	9	4	12	6	15	19	19	19	18	16	24	25	26	0	26	0	29	31	29	33	1	1	2	1	1	2	1	1	3	1	1	1	2	1	1	4	1	2	2	1	1	1	3	3	1	4	1	1	2	1	1	1	2	1
6500	-228.996941959592533	-235.852429910551905	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581412020499942	3	6	6	5	8	9	9	10	10	12	11	12	10	12	13	14	15	15	16	18	18	18	22	22	26	32	35	33	38	40	40	41	43	45	0	4	4	1	3	3	5	5	4	8	8	11	2	3	14	9	12	6	15	19	15	19	18	16	24	25	26	0	27	0	29	27	32	33	1	1	1	1	1	2	1	1	3	1	1	1	2	3	1	2	2	3	2	1	2	2	4	4	2	3	3	1	2	1	1	3	1	1
7000	-216.824314925408004	-223.679802876367376	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.697380200709157	3	6	7	5	8	8	10	10	9	12	12	11	11	12	13	13	15	15	16	18	16	18	22	21	25	33	35	35	39	41	41	41	43	44	0	4	4	1	4	4	5	5	4	7	5	5	2	6	4	4	12	14	15	19	15	19	18	16	24	25	26	0	27	0	29	29	32	33	1	1	1	2	1	1	1	1	2	1	2	2	3	2	2	2	2	1	1	1	2	1	2	4	2	3	1	1	2	1	1	1	1	1
7500	-220.405738378014689	-227.261226328974061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627852354526608	3	6	8	5	9	8	10	10	10	12	10	12	11	13	13	14	14	15	15	18	16	18	22	23	25	31	34	35	38	41	41	41	43	43	0	4	4	1	6	4	5	5	4	5	5	8	2	3	3	15	12	14	15	15	15	15	18	16	24	24	26	0	27	0	29	29	32	32	1	1	2	1	1	2	1	1	2	2	1	1	1	3	2	1	2	1	1	2	1	2	4	4	1	3	1	1	2	1	2	2	1	1
8000	-222.518937406654203	-229.374425357613575	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646267861569610	3	6	9	5	9	7	11	10	10	13	10	12	11	13	12	12	14	15	17	18	17	18	21	22	26	33	34	35	39	40	40	40	42	44	0	4	6	1	6	4	5	5	4	8	5	8	2	6	4	4	12	14	15	21	15	19	18	16	24	25	26	0	27	0	29	29	29	33	1	1	1	1	1	1	1	1	3	1	1	1	3	2	3	4	1	1	2	1	3	1	2	5	2	3	1	1	2	1	1	1	1	1
8500	-241.916820364714511	-248.772308315673882	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.607914391345024	2	6	6	5	8	7	10	9	11	12	12	12	11	13	10	13	14	16	16	19	17	18	23	22	25	32	35	33	36	39	40	40	42	45	0	4	4	1	6	3	8	5	4	8	5	7	2	15	4	15	12	14	15	19	16	19	18	16	24	24	26	0	27	0	29	29	32	32	1	1	1	1	1	1	1	1	3	2	2	1	2	1	2	2	1	1	3	1	2	1	3	3	1	3	2	1	1	1	2	2	1	2
9000	-236.013448717847922	-242.868936668807294	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605528653897593	3	6	5	4	9	6	10	10	10	12	11	12	10	13	13	14	15	16	17	18	14	19	21	22	24	33	35	35	39	40	41	42	43	44	0	3	4	1	6	3	5	5	4	7	8	5	2	6	4	15	12	14	21	21	14	21	14	15	24	25	26	0	27	0	29	29	32	33	1	1	1	1	2	1	1	1	3	1	1	1	2	3	5	1	1	2	2	2	1	3	3	5	1	4	1	1	2	1	2	2	1	1
9500	-227.917108597185205	-234.772596548144577	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.725260873298392	3	6	6	5	9	8	11	10	9	12	12	10	8	10	13	14	14	14	17	18	18	19	21	23	25	32	35	35	38	40	40	40	43	44	0	4	4	1	6	3	5	5	4	5	7	5	2	6	4	15	12	6	15	15	15	21	18	21	24	25	26	0	27	0	29	29	32	33	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	1	1	3	2	2	2	1	3	3	1	2	1	1	1	1	1	1	2	1
