step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-1029.793719332273440	-1028.331637247754543	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.779706595675591	0	1	3	2	2	3	4	4	5	4	7	6	7	6	6	6	8	7	7	9	9	8	8	8	7	9	10	10	9	8	8	9	10	10	10	10	10	9	9	11	11	10	13	11	11	11	10	10	11	10	11	12	11	13	11	13	13	12	12	13	13	14	14	12	12	13	14	14	13	15	14	14	14	16	14	14	13	14	15	16	17	15	15	17	16	16	17	16	17	17	17	18	17	17	18	19	18	19	20	21	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	3	2	4	3	4	3	3	3	4	4	4	5	5	4	4	4	4	5	5	5	5	4	4	5	5	5	5	5	5	5	5	6	6	5	7	6	6	6	5	5	6	5	6	6	6	7	6	7	7	6	6	7	7	7	7	6	6	7	7	7	7	8	7	7	7	8	7	7	7	7	8	8	9	8	8	9	8	8	9	8	9	9	9	9	9	9	9	10	9	10	10	11	10	11
500	-612.631446911662920	-610.475616717631738	-2.155830194031218	0.000009966070532	0.000027463958077	2.755745906845152	0.541174813334380	0	1	4	3	2	2	4	4	5	3	7	6	7	7	5	7	8	7	8	9	10	5	8	8	8	9	10	10	9	9	9	10	10	8	10	10	10	9	9	12	11	10	13	11	11	12	10	8	12	9	11	13	12	12	11	14	14	13	11	13	12	13	14	12	12	13	15	15	13	15	15	15	14	17	14	15	13	15	16	17	18	16	14	17	16	15	17	15	16	18	15	17	17	17	18	19	19	17	20	22	19	20	0	1	5	2	2	2	2	5	10	2	9	4	6	22	7	1	9	5	12	19	23	4	7	12	18	15	13	19	14	13	16	17	34	11	31	17	23	4	22	33	39	48	59	14	26	35	48	13	41	13	18	41	39	29	50	64	61	19	7	25	38	41	40	20	3	35	53	66	48	58	32	20	25	75	30	41	47	77	77	67	89	39	47	28	19	77	29	21	16	58	26	3	75	61	85	67	68	66	95	90	81	79	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	2	1	1	1	1	3	1	1	2	2	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	2	2	3	3	2	2	1	1	3	2	1	1	4	1	2	3	2	1	2	2	1	1	2	1	1	5	2	4	5	1	3	2	3	2	2	4	1	3	1	2	1	2	1	2	1	2
1000	-526.873268452984235	-525.273892632923321	-1.599375820060937	0.000009969455185	0.000013469392945	1.351066100856311	0.608514994023720	1	2	4	3	2	3	3	3	4	5	7	7	8	6	5	6	6	6	7	10	9	8	7	9	7	8	10	10	9	9	8	10	9	9	10	10	10	10	8	11	11	10	14	11	11	11	10	11	12	10	11	13	10	12	11	13	13	13	12	12	13	13	13	13	12	13	15	14	12	15	14	15	14	16	14	11	13	15	15	15	17	12	14	18	17	15	16	16	17	17	17	18	16	17	17	19	18	17	19	21	17	21	0	1	2	5	1	2	1	2	2	9	7	7	23	6	7	8	15	4	9	2	19	1	8	39	9	10	5	5	12	11	14	12	19	13	15	31	26	16	25	53	31	39	61	22	20	42	25	20	29	3	27	41	12	21	23	46	33	33	16	21	29	4	65	45	44	36	62	20	11	44	52	64	60	75	24	4	50	24	64	49	79	14	82	74	56	83	43	48	71	72	73	4	83	72	58	90	83	64	93	49	68	38	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	3	1	2	2	1	1	2	2	3	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	3	1	1	2	2	2	1	2	2	3	1	2	3	1	1	1	2	1	2	1	2	1	2	1	1	2	3	1	2	1	2	1	3	2	1	2	1	1	2	2	1	2	6	1	1	3	1	2	3	3	5	1	5
1500	-410.077159797555680	-408.078132622911767	-1.999027174643936	0.000009951023067	0.000023275315040	2.338987145583877	0.684641001362813	0	1	3	2	2	4	4	4	5	4	6	7	5	6	7	6	8	7	8	10	9	8	8	9	6	9	11	10	9	8	9	10	11	11	10	11	10	9	7	12	12	10	14	10	12	11	10	9	11	11	12	12	12	13	11	12	13	12	12	13	13	14	15	12	13	13	13	15	13	15	14	14	14	15	15	13	13	15	15	16	17	16	16	18	14	16	18	17	18	16	17	16	18	17	18	17	19	18	21	19	21	22	0	1	5	1	2	5	5	5	10	1	10	13	4	9	9	8	8	11	39	11	12	25	10	12	3	25	9	29	15	14	18	14	38	31	30	28	13	25	25	32	20	31	46	39	20	38	13	39	30	28	46	26	42	56	38	20	16	37	27	40	23	45	69	28	55	32	27	35	17	58	52	47	29	61	66	17	40	76	69	29	63	41	76	94	45	72	96	52	38	19	75	1	90	45	78	41	92	80	100	73	89	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	3	4	2	1	1	2	1	1	2	1	1	1	3	1	1	2	1	1	1	1	2	4	2	1	6	1	3	1	2	2	2	1	2	2	8
2000	-508.748519771659346	-506.014813502353206	-2.733706269306142	0.000009934913573	0.000044918182010	4.521245371855731	0.735722396822052	1	2	3	2	2	3	3	4	5	5	7	7	6	6	7	5	8	7	7	10	9	7	9	8	8	10	10	10	9	9	9	9	11	11	10	11	9	10	9	11	11	9	13	11	10	11	11	11	10	10	12	12	11	12	12	14	13	12	12	13	11	14	15	13	12	14	14	14	13	15	14	14	14	16	14	14	13	13	14	15	17	15	14	17	17	16	17	16	18	17	18	19	17	17	19	20	18	19	21	20	21	21	0	1	5	1	1	2	4	6	6	7	16	16	16	2	10	5	14	10	8	31	19	4	14	3	3	39	25	21	11	22	24	4	31	32	21	25	17	39	12	45	30	18	46	21	16	31	50	22	31	19	34	49	23	44	23	17	58	40	26	48	31	19	43	39	42	43	55	58	36	71	29	30	61	17	25	39	34	31	60	75	77	15	52	86	86	54	86	36	31	70	56	48	82	65	63	87	93	46	95	89	91	48	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	3	3	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	3	1	1	2	1	1	3	1	2	1	1	1	1	1	1	2	3	2	3	2	3	1	2	1	1	2	2	1	1	1	2	1	3	3	2	2	4	1	2	2	1	1	4	1	1	1	4
2500	-414.090557633024503	-411.820028212342891	-2.270529420681624	0.000010041627758	0.000030885936900	3.075789866347951	0.605495549296599	0	1	3	2	3	3	4	5	6	4	7	6	7	4	7	6	8	6	7	10	9	8	8	9	6	9	10	9	10	7	7	9	11	10	10	9	9	7	8	11	11	11	14	12	12	10	9	9	11	10	12	12	12	14	11	14	13	11	11	13	14	14	15	12	13	13	15	13	13	14	14	15	14	15	15	14	12	15	15	17	18	14	15	16	15	17	17	17	17	16	17	18	17	16	18	19	18	19	19	21	19	20	0	1	4	1	2	2	4	10	8	4	16	4	16	4	12	1	3	14	8	48	7	9	1	18	8	19	8	19	10	8	25	9	36	47	48	39	1	10	31	47	12	48	55	50	35	37	15	31	9	16	29	35	49	26	46	51	27	16	32	77	29	25	65	28	50	45	73	45	41	8	33	24	29	52	57	19	36	68	55	75	84	27	71	79	9	47	75	66	55	72	85	66	55	77	91	78	90	61	88	101	86	51	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	3	1	1	1	2	1	3	2	1	1	2	1	3	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	3	1	1	1	2	1	1	3	4	1	2	1	1	1	1	1	3	1	3	2	2	1	2	2	1	2	1	1	1	1	1	3	4	1	2	4	1	2	4	4	2	1	2	1	3	2	1	1	2
3000	-486.418555430574941	-483.657552298267490	-2.761003132307434	0.000010306917618	0.000047564806159	4.614842955303510	0.682567516250328	1	2	3	3	3	3	4	4	5	5	8	6	8	7	7	6	9	6	8	10	9	7	7	8	5	9	10	10	9	8	6	6	10	10	10	11	11	9	9	11	12	11	13	12	12	9	10	10	12	11	10	12	11	12	10	14	13	12	12	13	13	14	13	12	13	13	15	14	11	14	14	14	14	13	13	14	14	14	16	16	14	16	14	16	17	16	18	17	14	16	16	15	18	16	17	19	18	19	19	21	20	21	0	1	1	1	1	1	2	5	1	8	32	5	16	9	16	3	22	7	7	16	32	4	4	31	7	4	24	31	25	22	5	8	21	6	21	38	46	25	7	14	34	29	30	22	51	16	11	17	46	11	32	69	34	47	13	37	53	28	55	40	58	14	19	40	69	46	44	74	34	63	57	59	50	53	37	40	14	44	23	43	29	77	39	67	35	83	80	80	63	20	81	83	20	56	80	91	77	90	91	80	86	21	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	3	1	3	2	1	2	2	1	3	1	1	1	2	3	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	5	1	3	1	1	1	4	1	1	1	1	3	1	1	3	1	1	1	2	2	1	2	2	7
3500	-443.330397402384449	-441.177090912039944	-2.153306490344492	0.000010328489644	0.000028391518004	2.748854767982721	0.607819304582277	1	2	4	2	3	3	5	5	5	3	7	6	6	7	7	6	8	7	7	8	10	7	8	8	7	9	10	10	8	8	8	10	11	9	9	9	10	9	9	11	12	9	14	12	11	12	10	10	11	10	11	13	11	14	12	14	13	11	10	14	13	14	13	12	13	13	12	14	13	16	13	15	14	16	13	14	12	13	15	15	16	14	15	17	16	17	16	16	18	17	17	18	16	16	18	18	16	19	20	21	20	21	0	1	2	1	1	4	6	10	4	1	5	4	6	7	9	4	3	1	8	16	29	1	1	18	9	9	15	1	12	9	16	8	39	29	14	30	9	14	15	29	31	5	53	38	36	39	20	38	31	19	32	48	1	33	58	50	11	34	39	77	30	65	33	24	40	41	19	27	59	65	58	41	41	75	48	39	32	45	73	63	65	30	64	70	20	71	76	68	83	1	30	15	82	37	71	97	34	84	54	56	89	80	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	2	2	4	1	1	1	3	3	1	1	2	1	4	1	2	1	2	1	1	1	1	4	1	1	1	3	4	2	1	1	1	1	1	1	2	1	2	4	1	1	2	4	1	1	1	3	1	1	2	1	1	2	2	1	1	1	2	1	1	2	4	1	1	1	1	2	2	2	1	3	2	1	1	2	7	5	6	1	3	2	1	4	2	3	2	1	2
4000	-441.809575950260125	-439.444807151619500	-2.364768798640623	0.000010660678841	0.000035705517531	3.349272411699282	0.651592399758076	0	2	3	3	2	3	4	5	5	5	7	5	7	7	6	6	7	7	7	8	8	8	6	9	6	8	9	9	10	8	9	9	10	11	10	10	10	9	9	12	12	10	14	11	11	12	11	10	11	11	10	11	12	13	12	13	12	10	11	14	13	14	15	12	12	13	14	14	14	15	14	15	13	17	14	13	12	15	15	17	17	15	16	15	17	15	17	17	17	16	17	18	16	17	18	19	19	19	20	21	20	21	0	1	2	5	1	1	6	6	6	6	10	4	3	10	4	6	25	6	9	17	10	1	6	19	3	15	21	14	30	15	19	15	25	32	14	16	9	23	6	51	47	28	24	22	26	37	32	13	20	42	22	11	24	45	48	21	59	30	38	46	11	36	49	36	42	46	49	55	14	57	61	68	65	57	76	21	29	32	43	46	62	52	53	45	34	27	93	78	84	57	64	67	75	76	83	88	87	39	91	101	84	98	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	3	1	1	1	3	2	1	1	1	2	3	1	1	2	2	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	3	3	1	1	1	2	1	3	1	2	1	2	1	3	1	2	3	3	1	1	2	2	2	3	1	3	1	1	1	3	1	1	2	2
4500	-505.384004823338046	-503.148013222634404	-2.235991600703647	0.000011334515557	0.000033753963096	2.977980216947679	0.557484254986523	1	2	3	3	3	3	4	3	5	4	7	5	7	6	6	7	8	8	7	10	9	8	8	9	7	9	10	10	9	9	7	9	10	10	11	10	10	8	9	12	11	11	12	11	11	12	11	10	10	10	10	12	10	13	11	14	12	12	12	13	13	13	14	12	13	14	13	14	12	16	14	15	14	16	14	12	12	13	15	17	15	15	15	18	17	17	17	16	16	18	17	16	17	17	19	20	18	17	20	22	19	21	0	1	2	2	1	1	8	1	2	2	6	1	6	8	9	10	15	9	12	38	13	4	1	31	12	38	13	15	19	13	10	5	18	38	25	18	18	19	7	37	39	25	13	36	20	48	30	18	1	14	31	20	30	24	24	48	21	50	50	47	31	28	20	7	76	54	41	52	33	68	43	14	1	18	45	33	49	42	78	72	62	5	50	65	33	92	40	82	16	21	79	60	35	82	94	62	72	23	90	98	98	20	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1	2	1	2	1	1	1	2	4	1	1	1	1	2	1	1	1	3	1	1	2	1	1	1	3	1	1	2	3	1	1	1	1	1	4	2	1	1	1	2	1	3	1	1	1	1	4	1	2	3	1	1	1	1	1	1	1	5	5	3	2	1	1	1	1	1	1	6	3	2	2	1	2	1	4	4	1	2	3	1	1	4	1	4	2	3	2	10
