step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
5000	-207.018103773459984	-213.873591724419356	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.466900000377275	0	4	3	6	6	8	8	11	11	12	11	13	12	14	14	15	15	16	18	20	21	24	24	27	28	27	31	33	33	35	0	1	1	2	2	5	4	2	3	8	7	13	3	11	9	11	13	13	16	17	19	13	21	22	24	0	19	0	26	29	1	2	2	1	1	2	1	3	2	1	1	1	4	1	1	2	2	2	2	3	2	5	2	2	1	1	8	1	4	1
5500	-219.100392017697942	-225.955879968657314	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.427634140965414	1	3	3	6	5	6	8	10	10	13	12	14	14	16	14	16	16	16	18	19	20	24	25	27	26	26	30	32	34	36	0	1	1	2	2	5	2	2	7	9	1	8	8	11	11	11	12	13	8	12	19	18	19	25	22	0	19	0	26	29	1	1	1	2	2	1	2	4	1	2	8	1	2	2	2	2	2	1	4	2	1	3	4	1	1	1	6	1	5	1
6000	-194.632035184950638	-201.487523135910010	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.529557694187583	2	4	4	6	6	8	7	9	10	11	13	14	12	16	14	15	16	16	19	19	21	24	24	26	28	28	30	32	33	36	0	1	1	1	2	5	2	7	8	7	7	13	3	16	10	11	12	13	10	12	19	13	19	22	22	0	23	0	26	29	1	1	1	2	1	1	2	1	1	3	3	2	4	1	2	1	1	1	3	2	1	6	3	1	2	1	4	1	2	2
6500	-193.288302935093157	-200.143790886052528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.577227045148152	1	4	3	5	4	8	8	11	10	12	14	13	11	16	14	16	15	16	18	19	19	24	24	26	28	28	30	32	34	36	0	1	1	1	1	5	2	2	7	9	8	13	3	11	9	11	13	13	11	12	14	18	14	22	24	0	11	0	26	29	1	1	1	2	2	3	2	4	1	1	1	1	3	1	2	1	2	3	2	3	1	4	4	1	1	1	7	1	3	1
7000	-199.552290492953176	-206.407778443912548	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.454895860898951	1	3	4	6	5	7	8	11	10	13	13	13	11	16	14	14	15	15	18	19	20	23	23	26	25	24	30	33	34	36	0	1	2	2	2	5	2	2	7	9	7	13	3	11	9	11	12	13	11	12	14	18	19	25	22	0	11	0	26	29	1	1	1	1	1	1	3	4	1	2	3	2	3	2	2	1	1	2	2	2	1	5	2	1	1	1	6	1	4	1
7500	-189.398573145613909	-196.254061096573281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546507791110758	2	3	4	6	7	7	6	9	10	12	13	13	12	15	13	15	15	16	18	18	20	24	24	25	27	28	31	32	33	37	0	1	1	2	7	7	2	7	8	9	8	13	3	11	8	11	13	13	16	13	14	18	21	22	24	0	11	0	26	29	1	1	1	2	1	1	2	2	1	2	2	1	4	1	2	1	2	2	1	3	3	4	2	1	1	1	8	1	2	4
8000	-201.790875600525112	-208.646363551484484	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480236997475631	1	3	3	6	5	7	9	7	10	11	14	14	13	16	14	16	16	17	18	17	20	24	23	26	28	27	29	31	32	37	0	1	1	1	2	5	4	2	8	9	7	13	7	11	9	11	12	13	14	12	19	18	14	22	24	0	19	0	26	29	1	1	1	3	1	1	1	3	2	1	2	1	2	1	1	1	1	2	2	2	1	5	3	1	1	1	5	1	2	3
8500	-208.750457199041023	-215.605945150000395	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.508710650154043	-1	4	3	6	5	7	7	10	10	13	13	14	11	15	14	15	15	14	18	19	19	24	23	26	27	27	30	33	33	36	0	1	1	2	3	5	4	7	7	9	7	13	7	11	10	11	12	13	14	12	11	18	11	22	24	0	11	0	26	29	1	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	3	2	4	5	1	1	1	7	1	2	1
9000	-208.050940618796460	-214.906428569755832	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565158948917719	0	3	3	6	5	8	8	11	11	13	14	13	12	15	13	16	15	16	18	18	18	24	25	26	28	27	29	33	32	36	0	1	1	2	2	5	2	7	7	8	8	13	7	11	8	11	13	13	11	12	11	18	19	22	24	0	19	0	26	29	1	2	1	1	1	1	2	2	2	1	2	1	2	1	1	2	1	2	3	3	1	6	5	2	1	1	5	1	3	3
9500	-200.865804597752003	-207.721292548711375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.416999417927577	1	4	4	6	5	8	8	9	10	13	13	13	12	15	14	16	14	16	18	19	20	22	24	26	28	27	30	32	34	35	0	1	1	2	1	5	1	7	8	9	7	13	3	11	10	11	12	13	16	12	11	13	16	22	24	0	21	0	26	29	1	1	1	1	2	1	4	1	1	2	4	1	4	1	1	2	1	2	1	4	4	5	4	2	2	1	4	1	3	1
10000	-183.047042174912718	-189.902530125872090	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646017465605446	1	3	3	7	5	7	8	10	11	13	13	13	12	15	15	16	15	16	19	18	21	24	24	26	27	28	31	32	33	35	0	1	1	2	2	5	4	7	8	8	7	13	3	11	10	14	12	13	14	12	19	18	14	22	24	0	23	0	26	29	1	1	1	3	1	1	1	1	1	1	2	1	4	1	1	1	1	2	2	2	1	4	4	1	1	1	4	1	3	1
10500	-179.708698751462748	-186.564186702422120	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.469048294630440	2	4	4	6	6	8	7	9	11	12	13	14	12	15	14	15	15	17	18	17	20	24	24	26	27	27	28	31	33	36	0	1	1	2	2	5	1	7	8	9	8	13	3	11	9	11	12	13	14	12	11	18	21	22	24	0	11	0	26	29	1	1	1	1	1	2	2	1	1	1	2	1	4	1	1	1	1	3	2	1	3	3	2	1	1	1	6	1	3	2
11000	-200.925431393696044	-207.780919344655416	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.517395296753563	1	3	3	7	6	8	7	8	10	12	12	13	12	16	14	16	14	15	18	20	20	24	25	26	27	27	30	33	32	36	0	1	1	2	2	5	2	7	8	9	7	13	3	11	9	11	13	13	10	13	14	13	14	22	24	0	19	0	26	29	1	1	1	2	2	1	2	1	1	1	3	1	4	3	2	2	1	1	2	5	1	5	4	1	1	1	6	1	2	1
11500	-211.254863784253189	-218.110351735212561	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548196522380573	2	4	3	6	5	8	8	9	10	13	13	14	13	15	13	16	15	16	19	20	20	23	23	26	28	28	30	32	33	36	0	1	1	2	1	5	1	7	8	9	7	13	3	13	9	13	13	13	14	13	14	18	14	22	22	0	16	0	26	29	1	1	1	1	2	2	2	1	1	2	3	1	4	2	2	2	1	1	2	3	3	3	5	2	2	1	4	1	2	2
12000	-198.678357287864628	-205.533845238824000	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.511947119518901	1	3	3	6	5	8	9	9	11	13	13	14	13	14	14	14	16	16	17	19	20	23	25	25	27	26	30	32	34	36	0	1	1	2	2	5	2	1	8	9	8	13	4	7	8	11	12	13	16	13	11	18	21	22	24	0	11	0	26	29	1	1	1	2	1	2	3	4	1	1	3	1	3	3	2	1	1	1	2	3	2	2	3	1	1	1	8	1	4	1
