step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
1	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.837004661573481	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.492223915573852	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
1000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.638351629780906	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
1500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.476329895365637	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
2000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.427865027747805	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
2500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.429742656165046	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
3000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.431140760177095	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
3500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.376215149183981	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
4000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.356245105186845	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
4500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.530253054003632	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
5000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.309793075442303	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
5500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.547611258205349	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
6000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.423607284258956	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
6500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.543311007653372	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
7000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.473558517823705	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
7500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.558326458495166	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
8000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.436120114426827	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
8500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.538795604880571	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
9000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.400605629757024	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
9500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.442604361894016	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
10000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.398726926707660	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
10500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.523741087825101	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
11000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.451751524276560	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
11500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.428903451469921	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
12000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.391106416839873	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
12500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.522033276400427	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
13000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.611867254647521	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
13500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.393831712072541	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
14000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.461887170286828	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
14500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.286171237890022	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
15000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.447791048581095	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
15500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.232824112790981	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
16000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.391477863040857	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
16500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.475119157025760	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
17000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.459620620093688	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
17500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.386734259648431	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
18000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.418075700999608	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
18500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.620055711020010	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
19000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.524033161766123	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
19500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.431342687295886	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
20000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.444123177103770	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
20500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.287393264315988	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
21000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.555402872855369	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
21500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.564143268422014	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
22000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.400558893044893	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
22500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.392699173486815	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
23000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.539052533000235	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
23500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.528497544508411	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
24000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.323402287797993	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
24500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.414950707567902	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
25000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.428011328823730	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
25500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.539382986675517	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
26000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.592980470047113	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
26500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.329190099037107	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
27000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.371244008907755	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
27500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.531631177285086	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
28000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.397042636630934	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
28500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.348176210853349	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
29000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.390525105795382	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
29500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.425398668262984	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
30000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.468780041336993	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
