step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112
1	-6748.306976559405484	-6755.162464510364771	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.812349190518580	0	2	3	4	5	5	5	6	6	7	7	7	8	9	8	9	9	10	9	10	9	10	10	13	10	10	13	11	10	10	10	11	10	11	13	12	12	12	11	11	11	11	12	11	11	12	12	12	12	12	12	14	12	12	12	13	13	13	13	15	13	14	14	13	14	13	14	16	16	14	14	15	15	15	14	14	14	14	15	15	15	15	15	18	15	15	16	17	18	16	17	17	18	18	18	19	21	21	22	20	21	21	23	22	22	22	23	24	24	24	26	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	5	5	6	6	6	6	7	6	7	7	8	7	8	7	8	8	10	8	8	10	8	8	8	8	8	8	8	10	9	9	9	8	8	8	8	9	8	8	9	9	9	9	9	9	11	9	9	9	10	10	10	10	11	10	11	11	10	11	10	11	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	13	11	11	12	13	13	12	13	13	13	13	13	14	16	16	16	15	16	16	17	16	16	16	17	18	18	18	19	20
500	-1848.048930258480596	-1854.904418209439882	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.173183961380973	-2	2	1	2	5	5	5	3	6	4	5	7	7	9	7	9	9	10	8	9	6	9	10	13	10	10	13	9	9	8	10	11	7	11	13	12	12	11	11	11	11	9	12	10	10	12	12	12	11	11	12	14	12	12	11	12	13	11	13	14	12	14	14	13	14	13	14	16	16	14	14	15	15	14	14	14	14	11	15	15	14	15	15	18	15	15	16	17	16	16	17	17	18	17	18	19	21	21	22	20	21	21	23	20	22	22	23	24	24	24	26	27	0	3	1	1	4	8	8	1	4	8	1	0	10	3	10	30	12	13	6	19	3	0	11	16	12	12	36	13	10	9	14	22	11	8	13	39	17	29	16	11	31	30	41	22	22	26	42	22	29	3	11	16	11	11	42	26	11	23	41	49	29	29	8	30	4	31	21	8	11	1	4	8	11	4	1	13	11	4	13	47	4	11	61	59	30	4	3	8	33	4	33	33	42	33	11	22	6	15	34	8	33	33	54	33	33	32	11	13	6	78	75	54	1	1	2	4	1	2	2	2	3	1	6	1	3	4	3	1	2	3	2	1	2	1	3	2	3	2	1	2	4	2	1	2	2	7	5	1	2	2	2	5	1	1	1	1	1	2	3	2	2	6	5	4	5	7	2	2	7	1	2	3	3	4	9	4	9	3	7	10	10	13	8	12	9	11	11	6	5	8	7	3	11	7	2	4	5	10	14	13	5	12	10	9	9	10	10	9	15	13	9	14	13	14	11	11	15	9	14	16	17	11	11	15
1000	-1146.229369209293964	-1153.084857160253250	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.212560985094127	-1	2	1	4	5	3	5	6	6	7	6	6	6	8	5	6	8	8	6	10	9	8	10	13	9	9	13	11	10	8	9	11	7	9	13	12	11	11	11	10	11	11	12	11	11	12	12	9	12	12	12	14	12	12	11	13	13	13	13	15	13	14	14	13	14	13	12	15	16	14	14	15	15	15	14	13	12	14	15	15	15	15	15	18	15	15	16	17	17	16	17	17	18	18	18	19	21	21	22	20	21	21	23	22	22	22	23	24	24	22	25	27	0	3	1	2	2	1	4	1	5	13	1	0	15	2	3	3	12	8	3	14	15	0	16	18	12	12	8	4	1	15	15	22	19	10	50	14	12	4	23	30	31	31	31	22	33	26	28	33	16	16	39	49	15	19	15	37	17	3	53	27	51	13	54	43	19	21	19	33	48	11	26	15	11	16	15	47	55	31	39	29	22	33	39	66	55	3	4	11	32	33	33	33	86	33	33	48	40	53	65	22	33	33	75	89	33	48	29	15	15	78	75	75	1	1	2	1	2	3	1	3	1	1	6	1	1	3	4	3	2	2	5	2	4	1	4	4	3	3	5	6	10	3	2	3	1	1	1	2	2	5	1	2	2	1	2	3	3	3	1	2	4	4	1	2	5	4	4	1	5	7	1	1	1	5	2	1	5	4	5	8	6	8	5	8	7	7	6	1	1	5	3	2	6	7	4	4	3	9	12	9	5	9	8	10	2	9	9	7	10	6	4	11	13	11	7	5	15	8	12	14	17	6	8	10
1500	-885.961367471765243	-892.816855422724643	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.281341629514821	0	2	3	4	5	5	5	5	3	7	6	7	8	7	8	9	8	10	7	10	9	8	8	13	10	9	11	11	10	10	10	10	7	11	12	12	11	11	10	9	11	10	12	11	11	12	12	12	12	12	12	14	11	12	12	12	12	12	13	15	13	14	14	12	11	12	13	16	16	14	14	15	14	15	14	13	14	14	15	15	14	13	15	18	14	15	16	17	18	16	17	15	18	18	18	19	21	21	22	19	21	21	22	20	22	22	23	24	24	24	26	27	0	1	1	1	9	2	3	4	2	8	1	0	19	2	2	4	12	3	11	21	10	0	4	2	17	12	13	13	13	23	15	22	2	4	23	3	12	13	11	1	4	16	65	33	32	12	19	33	18	38	11	34	11	53	42	25	12	10	66	11	39	24	41	11	14	42	65	22	45	26	56	17	61	11	31	31	66	67	62	14	32	44	36	54	76	6	11	11	69	33	32	22	86	32	48	68	93	86	41	32	68	81	64	91	33	90	24	80	41	80	107	41	1	2	2	2	2	3	2	1	1	2	5	1	1	4	5	5	1	5	1	1	2	1	4	8	2	2	2	3	2	2	2	2	2	7	4	8	3	2	4	7	5	1	1	3	1	4	4	5	2	1	5	3	4	1	2	2	4	4	1	5	3	1	2	5	4	2	1	7	2	5	2	5	1	8	2	3	2	1	1	5	4	1	3	5	1	7	8	11	2	7	6	6	3	4	6	3	3	4	7	9	4	7	6	2	15	4	3	6	7	5	3	10
2000	-762.860162976158222	-769.715650927117622	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.324480076005339	0	2	3	4	5	5	5	6	5	7	7	7	7	8	5	9	9	10	8	10	9	9	9	13	10	10	13	11	10	8	10	11	8	10	12	12	10	12	10	11	11	11	12	10	11	11	12	12	12	12	12	14	12	12	12	13	10	13	13	15	13	13	14	13	11	13	14	16	14	14	13	14	14	15	13	14	14	13	14	13	15	15	15	18	15	15	16	15	18	15	17	17	17	18	18	19	21	20	22	20	19	21	23	22	22	22	23	24	24	24	26	26	0	1	2	1	2	3	3	2	2	1	3	0	15	11	1	19	12	23	2	15	1	0	13	36	12	17	50	34	21	8	11	22	10	16	16	34	12	34	13	30	31	31	41	33	22	26	31	22	10	29	39	40	21	65	42	37	12	19	47	24	38	39	53	20	20	14	42	81	22	26	37	57	39	34	54	64	65	19	62	42	48	32	73	66	65	66	49	67	92	48	69	22	88	32	82	91	93	93	93	48	94	90	93	96	33	91	98	98	93	98	103	20	1	2	1	4	2	2	1	3	3	6	3	1	2	1	2	1	2	1	3	4	4	1	2	1	2	1	1	1	1	2	2	2	1	1	2	1	2	2	1	2	1	1	1	2	1	1	1	2	4	1	2	2	1	1	1	3	2	4	1	2	1	2	2	3	1	4	2	1	5	4	3	1	2	5	1	1	2	4	1	1	2	3	1	2	3	2	3	1	1	2	3	8	2	6	3	2	3	3	5	8	1	6	5	3	14	4	3	4	4	3	3	10
2500	-669.337516581240266	-676.193004532199666	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.426575833891061	-1	2	3	4	5	5	5	6	6	7	7	7	7	9	8	9	8	10	9	9	9	7	10	11	10	10	13	11	10	10	10	11	10	10	13	11	12	11	11	9	10	11	12	9	11	12	12	12	12	11	12	13	11	12	12	13	11	13	13	15	13	13	14	13	14	13	14	13	13	13	13	12	12	15	13	14	14	14	14	14	15	14	15	18	15	15	15	16	18	15	17	17	17	17	18	18	21	21	22	20	19	20	22	22	22	19	23	23	24	22	26	27	0	1	2	3	2	3	3	4	5	8	3	0	2	8	1	10	12	10	3	11	11	0	16	10	12	12	16	34	19	13	6	22	22	11	36	23	12	4	15	15	19	41	41	22	44	17	41	22	23	16	39	40	14	41	42	46	12	51	47	49	15	39	53	43	75	54	47	44	48	25	26	17	39	62	54	75	66	42	62	41	69	69	73	75	76	75	62	20	94	32	90	32	67	44	90	90	93	93	80	33	94	96	93	96	22	91	110	103	110	98	109	88	1	2	1	1	2	2	2	2	1	1	3	1	5	2	5	2	1	3	3	2	1	1	1	2	2	2	4	1	1	2	3	3	2	3	1	1	3	4	3	1	1	1	2	2	1	2	1	2	1	2	1	2	2	2	1	1	2	1	1	3	3	2	2	1	1	1	1	4	1	3	1	2	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	7	1	3	2	5	3	5	2	2	2	3	6	6	2	2	4	1	13	2	1	1	2	1	2	11
3000	-579.586781482949505	-586.442269433908905	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.556219779887187	0	2	2	3	5	5	5	6	4	7	7	7	8	7	8	6	9	10	9	8	8	8	10	12	10	10	13	11	10	7	9	11	10	11	13	10	11	12	11	10	11	11	10	11	11	11	12	12	12	11	12	13	12	11	12	13	11	13	10	14	13	14	14	13	14	13	14	15	16	14	14	15	14	15	14	14	14	13	13	15	14	13	15	17	15	15	16	17	18	14	17	16	18	18	17	19	20	21	21	20	21	21	20	22	22	22	23	23	24	22	25	27	0	1	1	3	9	4	1	4	2	2	16	0	10	16	11	6	12	13	14	8	8	0	13	36	12	12	50	13	13	8	20	22	22	13	36	10	12	29	36	30	43	31	19	33	33	26	41	22	29	23	39	40	34	31	31	37	12	50	31	50	39	79	53	54	64	31	66	32	33	56	56	37	61	79	54	55	66	42	51	66	82	48	73	85	75	75	62	80	91	33	90	90	88	92	90	69	93	93	80	90	96	100	88	94	22	101	110	103	107	103	109	103	1	1	1	1	1	2	2	3	1	3	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	3	2	1	1	2	2	3	2	3	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	2	3	1	2	2	1	1	2	1	2	1	1	3	1	3	4	1	1	3	1	1	3	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	3	2	1	2	3	2	2	2	3	5	2	1	2	3	11	1	1	2	1	2	1	7
3500	-563.537754703064479	-570.393242654023879	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645542811292296	0	1	3	3	4	5	4	6	5	7	7	7	8	9	8	9	9	9	8	8	9	8	10	12	10	9	12	11	9	10	10	11	10	10	13	12	12	12	11	11	10	11	12	10	11	11	12	11	12	11	12	14	12	11	12	13	11	11	13	14	12	14	14	10	14	13	14	16	14	14	14	12	12	15	13	14	14	14	13	15	15	15	14	15	15	15	16	16	17	13	17	17	18	16	18	19	21	21	19	19	21	21	22	22	22	22	23	24	24	21	26	27	0	1	1	1	2	3	4	6	5	4	8	0	11	19	8	13	12	13	11	11	8	0	29	16	12	12	58	23	13	19	20	22	22	10	29	23	57	18	29	8	20	41	41	22	44	17	41	33	34	13	39	40	41	64	42	37	12	18	53	24	13	79	53	8	54	64	47	69	32	56	56	17	39	62	54	66	47	47	39	78	69	69	73	54	76	65	79	80	68	33	94	69	88	90	92	91	99	93	88	94	96	96	99	101	90	101	110	103	107	93	109	103	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	3	1	1	3	3	2	1	1	1	2	2	3	2	1	4	2	1	2	2	2	1	1	1	2	1	2	2	1	2	3	1	2	2	1	1	1	3	1	1	1	3	1	2	2	2	2	2	2	2	1	1	2	1	1	2	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	1	1	2	2	2	1	2	2	2	1	4	1	2	2	1	2	1	3
4000	-517.532972687608776	-524.388460638568176	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578739695575480	0	2	2	4	4	5	4	6	6	7	7	5	8	9	8	9	9	10	9	10	9	8	9	13	10	10	13	11	10	10	10	11	10	10	13	11	9	11	11	11	11	11	12	11	11	12	12	12	12	12	12	14	11	12	12	13	13	13	13	15	13	14	14	11	14	13	13	16	14	14	14	14	15	15	13	14	14	14	13	15	15	15	15	18	15	15	16	16	18	15	17	16	18	17	18	18	19	21	20	20	21	19	23	22	21	21	23	24	24	21	26	25	0	1	1	3	2	4	3	4	2	8	8	0	10	15	11	15	12	13	15	14	15	0	13	14	12	12	34	29	23	14	21	33	22	16	36	13	12	18	34	30	31	31	41	33	33	25	64	22	23	38	39	40	31	64	42	17	37	38	41	49	51	79	53	31	64	54	55	69	44	56	56	17	79	79	54	47	66	67	39	31	69	69	61	66	75	76	79	55	82	69	90	48	88	90	90	91	88	99	88	90	102	96	110	105	96	102	110	103	107	99	109	107	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	3	3	3	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	3	3	1	1	2	1	1	1	4	1	2	2	2	1	1	2	1	2	1	1	1	2	1	1	3	1	2	1	2	1	1	2	5	1	1	2	5	2	1	3	3	2	1	2	4	2	2	2	1	2	1	2	4	2	1	1	1	2	2	1	1	1	1	2	1
4500	-521.950344350111664	-528.805832301071064	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.640015036509421	0	2	3	4	5	5	5	4	6	7	7	7	8	9	8	7	9	10	9	10	9	8	10	13	10	10	13	11	10	10	10	10	10	11	13	10	11	11	11	11	11	11	12	11	10	12	12	11	12	12	12	11	11	10	12	13	13	12	13	14	13	14	13	12	14	13	14	16	15	14	14	14	13	15	14	14	14	13	12	15	14	15	15	18	15	15	16	16	16	16	17	17	18	18	17	18	21	21	20	19	21	20	23	22	20	22	23	24	24	22	26	27	0	1	1	1	2	8	8	1	5	8	8	0	10	15	4	3	12	13	11	19	15	0	13	50	12	12	38	18	13	14	14	22	22	13	50	13	12	18	10	30	31	31	41	32	22	25	31	22	34	38	39	30	54	15	42	25	26	36	47	34	51	79	53	54	64	47	31	45	48	56	56	26	58	79	64	47	66	42	39	75	32	81	73	85	64	75	62	80	81	69	90	90	88	90	90	91	93	93	93	90	96	96	98	102	96	105	110	103	107	98	109	110	1	2	1	1	2	1	1	1	1	3	1	1	1	1	2	1	2	2	1	1	1	1	2	1	3	2	2	1	2	1	1	2	2	2	1	2	4	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	2	2	1	2	1	2	2	2	2	1	1	4	3	1	1	3	1	2	2	1	1	1	1	1	3	1	2	3	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1	2	2
