step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-462.716110001042466	-469.571597952001866	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.960160792788059	8	10	10	13	12	11	13	12	13	13	13	14	16	14	15	16	15	17	17	16	19	19	21	21	22	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	2	3	3	3	3	4	3	4	4	4	5	5	4	6	6	7	7	7	9
500	-172.142553105340227	-178.998041056299598	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615055783987897	9	11	11	13	12	11	12	12	13	13	14	14	17	14	15	16	14	17	18	17	17	19	20	21	22	23	0	1	1	1	3	1	1	1	8	5	7	9	17	9	9	11	3	6	17	3	15	9	20	6	20	24	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	2	2	2	1	5	3	1
1000	-170.712235818249695	-177.567723769209067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715908438532556	9	10	11	13	11	11	12	13	13	14	14	15	15	15	15	17	16	18	18	16	18	19	21	20	22	25	0	1	1	3	1	1	6	3	3	5	7	9	3	9	9	11	3	6	17	9	9	9	20	18	20	24	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	2	2	1	3	2
1500	-178.146080083197205	-185.001568034156577	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.445012762013101	8	10	11	14	13	12	11	12	12	14	14	13	15	14	16	15	13	17	17	17	18	20	21	21	23	25	0	1	1	3	1	1	1	3	1	5	7	3	3	9	9	11	3	6	13	9	15	9	20	6	23	24	1	1	1	2	3	2	2	1	2	1	2	1	2	2	2	1	1	2	1	3	1	5	2	3	2	2
2000	-170.730122373071282	-177.585610324030654	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738461556407552	9	10	10	13	12	10	13	12	13	13	14	15	17	15	14	15	15	17	18	16	18	19	22	21	21	23	0	1	1	3	1	1	1	3	3	5	7	9	17	9	9	7	3	6	13	5	15	14	20	18	20	24	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	3	1	2	2	1	2	2	2	1
2500	-170.456591552417024	-177.312079503376395	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.772376413771193	9	10	10	13	12	12	13	12	12	14	14	14	16	14	15	16	14	15	17	16	20	18	19	21	22	25	0	1	1	1	3	3	3	3	3	5	7	9	17	9	9	11	1	6	17	1	15	9	20	6	23	24	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	3	2	2	3	2	2
3000	-184.470738227258380	-191.326226178217752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611733581000673	9	11	10	13	12	11	12	12	13	13	13	14	16	14	15	16	13	15	17	16	19	18	21	20	21	24	0	3	1	3	1	1	3	3	1	5	7	9	17	9	9	7	3	6	17	3	15	14	20	4	20	24	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1	2	2	2	2	3	2	2	3	6	3	2
3500	-171.101353130121510	-177.956841081080881	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.494859010067450	9	11	10	13	12	12	11	13	12	13	13	15	16	14	14	16	12	17	17	17	17	18	21	21	22	26	0	1	1	1	1	1	1	9	1	5	7	1	17	9	9	11	3	6	13	4	15	9	20	18	20	24	1	1	1	2	1	2	1	1	2	1	1	2	2	1	1	2	1	2	1	2	1	3	1	2	2	3
4000	-171.651192641142813	-178.506680592102185	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.482793780193204	7	10	9	13	11	12	13	13	12	13	14	15	13	14	14	17	15	16	17	16	20	18	21	21	21	25	0	3	1	3	1	3	3	9	3	5	7	9	3	9	9	7	3	6	17	9	15	9	20	6	20	24	1	1	1	2	2	2	3	1	2	1	1	2	2	1	1	2	2	2	1	2	3	2	2	5	2	2
4500	-167.539979836882594	-174.395467787841966	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.722310204523491	9	11	10	11	12	12	13	12	13	14	14	14	15	15	15	16	14	18	15	16	19	20	20	21	23	25	0	1	1	1	3	1	3	1	5	5	7	9	17	9	9	11	1	6	17	17	15	9	20	18	23	24	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	2	1	1	2	4	2	2	2	3
