step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25
25500	-129.745049290835595	-136.600537241794967	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596368715503279	0	4	5	6	6	10	11	11	15	10	16	12	12	14	17	16	15	14	13	15	18	14	17	18	20	0	0	2	2	3	5	5	6	7	5	20	6	8	7	22	18	22	6	6	12	20	7	18	12	16	1	1	1	1	1	3	3	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	3	2
26000	-118.709783524835231	-125.565271475794603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.707785395020525	0	4	5	6	7	9	11	11	14	11	14	12	13	15	15	16	14	14	15	14	16	16	18	17	20	0	0	2	2	3	5	6	5	7	5	12	6	8	17	7	9	10	10	11	12	12	15	15	21	16	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	2	1	1	2	1	2	1	2
26500	-127.963218055478222	-134.818706006437594	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.842922374885653	1	4	6	7	8	9	11	11	15	11	16	12	13	14	17	17	15	14	14	15	18	17	17	16	20	0	0	2	2	3	5	6	6	7	6	19	5	8	10	18	17	10	10	12	19	12	18	14	20	16	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1	2	1	2	1	1
27000	-125.248329631889163	-132.103817582848535	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.791882363996992	0	5	6	6	8	10	11	12	14	11	14	12	13	13	16	16	15	15	15	15	17	14	17	17	19	0	0	2	2	3	5	5	7	10	5	14	6	8	5	22	10	14	22	12	12	12	6	17	20	16	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	2	2	2	2	1	1	2
27500	-126.297072461548424	-133.152560412507796	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.733979035939573	0	5	6	6	8	9	11	11	13	11	14	12	12	14	17	16	16	14	13	14	17	13	17	17	18	0	0	2	2	3	5	6	6	7	6	12	7	6	10	22	9	18	7	12	12	12	6	17	12	16	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	2	1	1	2	2	1	2	1
28000	-130.108195604798453	-136.963683555757825	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542327613027019	0	5	6	6	7	9	10	11	13	12	15	12	12	15	15	16	16	14	14	15	18	17	16	16	18	0	0	2	2	3	5	5	6	10	6	6	7	8	18	6	9	15	7	12	12	12	15	10	20	16	1	1	1	1	1	1	1	1	1	2	3	1	1	1	3	1	1	2	1	2	2	1	2	1	2
28500	-125.517410716659782	-132.372898667619154	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.625847894830593	-1	4	5	6	7	9	11	11	15	10	15	12	12	14	17	17	14	14	13	15	18	16	16	17	20	0	0	2	2	3	5	5	6	6	6	12	7	8	10	14	18	10	10	7	12	20	9	17	20	16	1	1	1	2	1	1	2	1	2	1	2	1	1	2	2	1	3	2	1	2	2	1	1	1	1
29000	-132.243265594347406	-139.098753545306778	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779840829592103	0	5	6	7	8	10	9	11	13	12	16	12	13	13	16	17	16	14	13	15	15	16	17	17	19	0	0	2	2	3	5	5	6	6	5	21	7	8	5	10	6	18	10	12	12	9	18	15	20	9	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	1	1	1	2	1	1	1	1	2
29500	-130.883587619148159	-137.739075570107531	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.742673367303438	0	5	6	7	8	9	11	11	13	10	16	11	13	14	16	17	15	15	14	15	15	17	17	18	21	0	0	2	2	3	5	6	5	5	6	12	6	8	7	14	11	7	10	12	12	12	6	17	21	16	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	2	2	2	2	3	1	1	2
30000	-139.652850251031509	-146.508338201990881	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641068173969299	1	4	5	7	8	10	12	11	14	10	13	11	13	14	16	15	14	14	15	15	17	13	16	17	19	0	0	2	2	3	5	6	6	22	5	12	10	8	10	7	22	10	6	12	12	20	5	17	12	7	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	1	2	2	3	3
30500	-140.987058351202762	-147.842546302162134	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.701389234609287	1	5	6	7	8	9	11	11	13	12	13	11	12	13	14	16	16	14	15	12	15	17	18	18	20	0	0	2	2	3	5	5	6	10	7	12	6	8	7	10	3	18	5	11	12	20	15	17	12	22	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	5	2	3	2	1	2	1	1	4	1
31000	-134.335401890106311	-141.190889841065683	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617269596591291	0	4	6	6	8	10	12	10	14	12	15	11	12	13	17	15	16	15	13	14	17	16	17	18	19	0	0	2	2	3	5	6	5	5	5	19	5	8	10	22	10	7	9	12	12	12	9	16	20	16	1	1	1	1	1	1	2	1	3	2	1	1	2	1	1	2	2	1	1	2	2	1	1	1	2
31500	-123.502361729813231	-130.357849680772603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.925340458422536	-3	5	6	6	7	9	11	11	14	12	16	12	13	14	15	16	16	15	15	15	17	14	17	17	19	0	0	2	2	3	5	6	6	7	6	19	6	8	7	22	9	10	14	12	12	20	7	17	20	16	1	1	1	1	1	1	1	1	1	2	1	2	1	3	1	1	2	1	2	1	1	1	1	1	1
32000	-128.719124955830409	-135.574612906789781	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.561096825551674	1	5	6	7	7	10	11	11	13	12	14	12	12	14	16	15	15	14	15	15	16	16	17	18	20	0	0	2	2	3	5	5	5	7	7	6	6	8	10	14	6	18	6	11	12	12	18	14	21	15	1	1	1	1	1	2	2	2	1	1	3	1	1	2	1	2	1	2	1	2	2	1	2	2	2
32500	-125.472424889554247	-132.327912840513619	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.794036210771135	0	4	6	6	8	10	11	11	14	12	14	12	13	15	17	15	16	14	14	14	17	17	18	17	18	0	0	2	2	3	5	6	5	6	6	7	6	8	10	7	5	10	10	12	12	20	14	17	12	16	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1
33000	-121.732043200359868	-128.587531151319240	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.665579582854584	0	5	6	6	7	9	11	10	15	11	14	11	12	13	16	17	15	13	15	15	16	16	17	17	20	0	0	2	2	3	5	6	5	7	6	18	6	8	10	7	9	18	10	11	12	12	18	22	21	16	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	2	1	2	2	2	1	1	1
33500	-134.660531587783339	-141.516019538742711	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.714677104506582	0	2	4	6	8	9	11	11	13	11	15	12	12	14	16	17	15	13	15	15	16	16	18	17	18	0	0	2	2	3	5	6	5	6	6	9	7	6	10	18	9	10	10	12	12	12	7	17	20	22	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2	1	2	1	1	2	3	2	1	1	1
34000	-145.943378290622746	-152.798866241582118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557849357694152	0	3	5	6	8	9	12	11	13	12	15	13	12	15	17	16	15	14	14	15	17	15	18	17	21	0	0	2	2	3	5	3	5	10	5	7	10	8	9	22	9	18	10	5	12	12	10	17	7	7	1	1	2	2	2	1	3	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	3	5
34500	-121.337095605116389	-128.192583556075760	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.765966001558084	1	4	6	6	7	9	12	11	14	11	15	12	13	13	16	16	15	14	15	16	18	16	17	17	20	0	0	2	2	3	5	5	6	7	5	10	6	8	10	17	9	7	10	12	19	20	18	17	12	16	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	2	1	2	1	2	1	1	2	1
35000	-150.948141195729420	-157.803629146688792	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.396914060493916	-3	3	4	7	7	10	12	11	13	11	13	11	13	14	15	16	15	14	14	14	17	16	17	17	21	0	0	2	2	3	3	6	6	7	5	6	5	8	6	6	15	10	5	11	12	9	7	17	12	18	1	1	1	3	2	2	1	1	1	2	1	2	1	2	2	1	2	3	1	2	3	1	1	3	3
35500	-137.957519895988156	-144.813007846947528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558575044877938	0	5	6	7	7	9	11	10	15	12	15	12	12	13	14	17	16	13	15	15	17	17	17	16	19	0	0	2	2	3	5	5	5	14	6	15	6	8	5	3	9	18	6	14	12	20	19	17	18	16	1	1	1	1	1	1	2	1	1	2	1	1	1	3	3	1	1	3	1	2	1	1	1	1	1
36000	-134.842176466919341	-141.697664417878713	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.475249024881137	0	3	5	6	7	9	10	12	14	11	16	13	13	15	17	16	15	14	15	16	17	14	17	18	20	0	0	2	2	3	5	5	6	7	3	12	7	8	10	16	9	18	6	7	12	12	6	18	11	9	1	1	1	1	1	1	2	2	2	3	2	2	1	2	1	1	1	2	2	1	2	2	2	1	3
36500	-119.588836414177621	-126.444324365136993	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602729544624401	0	4	6	6	7	9	11	11	15	11	16	12	13	14	16	17	13	14	14	14	17	16	16	17	20	0	0	2	2	3	5	5	6	7	6	12	6	8	10	9	9	7	5	7	12	12	7	18	20	16	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	3	2	1	2	2	1	1	2
37000	-120.702856383030294	-127.558344333989666	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.756156044136813	-1	4	5	6	7	9	11	10	13	10	16	13	12	15	16	17	15	12	14	15	17	13	17	17	21	0	0	2	2	3	5	10	5	7	6	19	7	8	10	7	15	18	10	12	12	12	7	17	20	16	1	1	1	1	2	1	1	2	1	1	1	1	1	3	2	1	2	1	1	1	2	1	1	1	1
37500	-128.268508465084579	-135.123996416043951	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.793355865271484	1	4	5	6	8	10	12	10	14	11	16	12	12	14	15	16	15	13	14	16	16	16	17	16	21	0	0	2	2	3	5	5	5	13	5	9	6	8	18	18	7	18	7	12	12	12	7	17	12	9	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	3
38000	-143.359538513343466	-150.215026464302838	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.687168243034176	-2	3	5	5	7	9	12	12	13	10	15	13	11	15	15	16	16	14	14	16	17	16	18	14	20	0	0	2	2	3	5	6	10	10	5	19	10	5	7	9	7	18	7	10	12	12	15	7	10	16	1	1	1	1	1	1	2	1	2	2	1	1	2	2	1	2	2	1	2	2	2	1	2	2	2
38500	-133.842898523171698	-140.698386474131070	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762937116085795	-1	3	5	6	7	9	11	10	13	10	16	12	12	14	13	16	15	14	14	15	17	16	17	17	20	0	0	2	2	3	5	6	5	10	6	20	10	8	10	7	15	10	7	6	12	12	7	17	12	22	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	3	1	2	2
39000	-125.349433872064708	-132.204921823024080	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780059525818238	-1	5	6	6	7	9	10	11	15	11	13	12	12	15	14	16	15	14	14	15	17	16	16	18	19	0	0	2	2	3	5	5	7	6	6	12	7	8	10	7	9	10	10	11	12	20	15	18	21	9	1	1	1	1	1	1	1	1	3	2	1	1	1	2	2	1	2	2	1	1	2	1	1	1	1
39500	-129.112391114427083	-135.967879065386455	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.509808382483757	0	4	6	6	7	10	11	11	13	10	16	12	12	14	15	15	14	13	14	15	17	17	16	18	20	0	0	2	2	3	5	6	10	5	5	18	6	8	18	18	18	10	6	6	12	12	15	17	20	22	1	1	1	1	1	1	1	1	4	2	2	1	1	1	1	1	2	2	2	2	2	1	1	2	1
40000	-128.470520939782858	-135.326008890742230	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.603871080261646	-1	5	6	6	8	9	11	11	13	11	15	12	12	14	15	16	15	15	14	16	17	17	17	18	20	0	0	2	2	3	5	6	6	5	6	12	7	7	7	10	9	10	10	5	12	12	15	18	20	16	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	2	2	3	2	4	1	1	1	2
40500	-123.828939066750024	-130.684427017709396	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685698840031031	0	4	6	6	7	10	11	10	14	10	13	13	12	15	17	16	16	14	15	15	18	16	17	18	20	0	0	2	2	3	5	10	3	6	5	7	6	8	10	22	9	18	7	11	12	20	9	18	20	16	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	2
41000	-115.151816338993356	-122.007304289952728	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760737384514724	0	4	6	6	8	9	11	10	14	11	16	13	12	14	17	16	14	15	14	15	17	16	17	17	20	0	0	2	2	3	5	5	5	6	6	19	7	8	10	18	18	10	7	7	12	20	9	17	12	16	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	3
41500	-114.881150795502478	-121.736638746461850	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.767803032105659	1	5	6	6	7	9	11	11	14	12	14	12	12	14	16	17	15	14	15	16	17	14	17	17	20	0	0	2	2	3	5	6	5	7	6	12	7	8	10	22	22	10	10	11	12	12	10	17	12	16	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	4	1
42000	-136.234075401266324	-143.089563352225696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602748677759634	0	4	5	7	7	9	11	11	15	9	14	12	13	13	15	16	14	14	15	14	17	17	17	17	20	0	0	2	2	3	5	5	6	6	5	7	7	8	10	17	18	14	7	18	12	20	15	17	12	9	1	1	1	1	1	1	2	1	3	1	2	1	1	2	1	2	1	1	1	2	2	1	1	2	2
42500	-134.195607720996719	-141.051095671956091	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731016366995399	-1	4	5	6	8	9	11	10	14	11	15	12	11	14	16	17	15	14	13	15	15	16	18	18	20	0	0	2	2	3	5	6	5	7	5	19	6	8	10	7	9	5	7	10	12	12	7	17	15	16	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	4	1	1	1	2	2	2	1	2
43000	-118.517469092305376	-125.372957043264748	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.758984151982227	-1	4	6	6	8	9	12	11	14	11	15	12	13	14	17	15	14	13	14	15	17	16	17	18	18	0	0	2	2	3	5	10	5	7	6	12	5	8	18	22	9	18	10	12	12	12	11	18	21	16	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	2	1	1
43500	-122.210509283325393	-129.065997234284765	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.764534611014654	1	4	5	7	7	9	11	11	13	12	15	12	13	14	16	17	15	14	13	15	17	17	18	17	21	0	0	2	2	3	5	6	5	7	6	19	6	8	10	18	15	10	10	12	12	12	15	17	20	15	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1
44000	-134.661441978453695	-141.516929929413067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.807606172876186	-2	5	6	7	7	9	11	9	15	12	16	12	13	15	16	16	15	14	14	14	16	17	17	18	20	0	0	2	2	3	5	6	5	6	5	19	6	8	10	9	10	18	7	7	12	12	9	18	20	22	1	1	1	1	1	1	1	1	2	3	1	1	1	2	1	2	1	1	2	2	2	1	1	1	1
44500	-137.921488635899181	-144.776976586858552	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.770593186529145	1	4	5	6	8	10	11	12	13	11	14	11	12	15	17	16	14	14	13	15	15	13	17	18	20	0	0	2	2	3	3	5	6	7	6	5	5	6	17	22	9	10	10	6	12	12	7	17	20	9	1	1	1	1	1	3	1	1	1	1	3	1	1	1	2	2	2	1	2	2	2	1	1	2	4
45000	-117.100868014996280	-123.956355965955652	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.722343886180735	0	4	6	6	8	9	12	11	14	12	16	12	13	14	16	16	15	14	15	16	18	14	17	16	18	0	0	2	2	3	5	6	6	7	6	12	6	8	10	22	9	18	10	12	12	20	7	17	12	16	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1
45500	-149.189127869422521	-156.044615820381892	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702321706182632	0	3	4	5	6	10	11	10	12	11	13	11	11	15	17	17	15	12	13	16	17	15	17	18	20	0	0	2	2	3	5	5	5	7	5	12	3	8	10	14	17	10	6	12	12	20	8	22	12	22	1	1	1	1	1	2	2	2	1	2	1	3	1	2	1	1	2	1	1	2	1	3	1	3	2
46000	-103.604957418716296	-110.460445369675668	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.864712477669206	-1	5	6	7	8	10	12	11	14	11	16	12	12	14	14	17	15	13	15	14	16	16	17	16	19	0	0	2	2	3	5	6	6	7	6	19	6	8	10	7	9	18	10	12	12	20	15	17	12	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
46500	-135.405033073499197	-142.260521024458569	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631721091767433	0	3	5	6	7	9	10	11	13	12	16	12	13	15	15	16	16	14	15	16	17	14	18	18	20	0	0	2	2	3	5	5	7	7	5	12	5	8	10	5	6	22	10	5	12	12	10	17	21	16	1	1	1	1	1	1	2	1	1	2	2	2	1	2	4	3	1	1	4	2	2	1	1	1	2
47000	-135.164863415295116	-142.020351366254488	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.571180022918532	-1	4	5	7	7	10	12	12	13	10	16	13	11	14	16	15	16	15	15	15	17	16	17	17	19	0	0	2	3	3	5	5	13	5	5	12	7	5	7	18	7	7	7	7	12	12	9	9	20	16	1	1	1	1	1	2	2	1	4	2	1	1	2	1	1	2	2	1	1	1	2	1	2	1	2
47500	-141.290289641472697	-148.145777592432069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.830760975668945	-1	4	6	6	7	9	12	10	14	11	13	13	13	14	16	17	15	15	14	15	17	13	17	18	19	0	0	2	2	3	5	6	5	7	6	7	7	8	7	22	18	10	10	11	12	12	6	18	21	12	1	1	1	1	1	1	3	2	1	1	1	1	2	1	1	2	2	2	1	2	2	2	1	1	3
48000	-138.578521149956003	-145.434009100915375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616360119727578	0	4	5	6	8	10	11	12	13	11	16	12	11	14	15	14	15	14	13	16	16	15	18	17	21	0	0	2	2	3	5	5	13	7	5	19	10	5	10	5	9	10	6	10	12	12	6	18	20	15	1	1	1	1	2	1	2	1	1	2	1	1	2	1	2	1	2	3	1	2	3	2	2	1	3
48500	-125.913338902203435	-132.768826853162807	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.681179566828252	1	3	5	5	7	9	10	11	14	10	15	13	12	13	15	17	13	14	14	16	16	17	18	18	20	0	0	2	2	3	5	5	7	7	5	12	7	7	7	14	15	7	10	7	12	12	9	17	21	16	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	2
49000	-114.003640531761462	-120.859128482720834	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.882644658859894	1	4	6	6	7	9	11	10	15	12	14	13	12	15	17	17	15	14	15	15	18	15	17	17	20	0	0	2	2	3	5	6	5	10	8	12	10	8	18	9	9	10	10	11	12	20	18	17	20	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1
49500	-116.696749681089258	-123.552237632048630	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.681565553479781	-1	5	6	7	8	9	11	12	14	11	16	12	13	13	16	16	16	14	14	14	18	16	17	16	20	0	0	2	2	3	5	5	5	7	5	20	7	8	10	9	9	18	10	12	12	20	8	18	20	16	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2
50000	-118.715983572230428	-125.571471523189800	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.767703986192050	0	4	5	6	6	9	12	11	13	12	16	13	13	15	15	16	15	14	14	16	15	15	17	17	19	0	0	2	2	3	5	6	6	6	6	19	7	8	9	9	9	10	10	12	12	12	9	17	21	16	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1
50500	-119.845327308385592	-126.700815259344964	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.687914764063123	1	5	6	6	7	9	11	11	14	11	15	12	12	13	16	16	15	15	15	15	18	17	18	17	20	0	0	2	2	3	5	5	5	6	5	9	10	8	7	9	9	9	7	10	12	20	15	17	20	16	1	1	1	1	1	1	2	2	2	3	1	1	1	1	1	1	1	3	2	2	2	1	2	1	2
51000	-126.914327723959815	-133.769815674919187	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.823632383101522	0	4	6	7	7	10	9	10	14	9	15	12	12	14	15	15	15	13	15	14	18	17	17	16	20	0	0	2	2	3	7	5	7	7	5	12	6	8	6	14	9	18	6	20	12	20	16	17	20	18	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	3
51500	-112.762713791544684	-119.618201742504056	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757291046418487	1	5	6	7	8	10	11	11	14	12	15	12	13	14	16	16	15	14	13	16	17	14	17	17	19	0	0	2	2	3	5	5	5	7	7	19	6	8	7	22	22	10	10	7	12	12	5	17	20	16	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1
52000	-121.518210982330174	-128.373698933289546	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778244894363697	0	5	6	7	8	9	12	11	14	12	14	12	12	15	16	16	14	14	15	14	18	17	17	18	20	0	0	2	2	3	5	6	6	5	6	7	6	8	18	9	9	10	10	12	12	20	15	17	20	16	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	2	3
52500	-134.553125962108652	-141.408613913068024	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.744842399616573	0	3	5	7	7	10	12	9	15	12	15	12	13	14	17	16	14	15	14	15	17	16	17	17	18	0	0	2	2	3	5	6	5	10	6	19	5	8	7	22	10	10	7	10	12	11	18	17	12	16	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	3	3	1
53000	-127.233723756400281	-134.089211707359652	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.719079098203373	-2	5	6	6	8	10	10	10	13	12	15	12	12	14	16	17	13	13	14	14	17	16	17	17	18	0	0	2	2	3	5	5	5	7	7	12	6	8	10	7	9	10	10	12	12	12	10	17	22	22	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	2	2	1	1
53500	-121.919462332616064	-128.774950283575436	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.689533209435765	-1	4	6	7	8	9	12	10	14	11	15	12	12	15	14	17	14	13	14	14	17	16	17	18	20	0	0	2	2	3	5	5	6	12	6	7	6	8	18	7	15	10	10	12	12	20	9	17	21	16	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
54000	-122.983298273778530	-129.838786224737902	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657959769224775	0	4	5	6	7	9	11	10	14	11	15	12	12	14	15	15	15	15	13	15	17	16	17	16	20	0	0	2	3	3	5	5	6	6	6	19	7	8	10	9	9	7	10	12	12	20	7	17	12	22	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	2	3
54500	-128.297189506910087	-135.152677457869459	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629844001506779	1	5	6	6	7	9	11	10	15	11	15	12	11	14	17	16	15	13	13	15	17	16	17	18	20	0	0	2	2	3	5	6	5	7	5	12	7	8	10	22	7	18	7	10	12	12	7	18	20	15	1	1	1	1	1	1	1	1	2	3	2	1	1	2	1	3	1	1	1	2	2	2	3	2	1
55000	-130.373442297813369	-137.228930248772741	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609052161394011	1	5	6	6	7	9	11	12	14	12	15	13	11	14	16	16	14	13	14	15	17	17	16	17	20	0	0	2	2	3	5	5	13	7	6	5	6	5	10	9	6	7	6	12	12	20	15	17	11	22	1	1	1	1	1	1	2	1	2	1	3	2	2	1	1	4	2	2	1	1	2	1	1	1	2
55500	-131.810124157744468	-138.665612108703840	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661075483633779	0	4	5	7	7	9	11	11	14	11	15	12	13	13	14	17	15	13	15	15	18	16	18	17	19	0	0	2	2	3	5	5	5	6	6	12	6	7	7	6	18	15	10	15	12	20	11	10	11	16	1	1	1	1	1	1	2	2	2	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1
56000	-108.971114387160540	-115.826602338119912	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650646358171130	0	4	6	6	8	10	11	11	14	12	14	12	12	14	17	16	15	14	15	14	18	15	17	17	20	0	0	2	2	3	5	5	6	6	7	7	6	8	10	22	9	18	10	11	12	20	18	17	20	16	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
56500	-123.269467147202477	-130.124955098161848	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727136593894392	0	4	5	6	7	9	11	11	14	12	15	11	12	15	16	16	15	14	15	14	18	14	17	18	20	0	0	2	2	3	5	5	6	6	6	12	5	8	9	7	9	7	10	12	12	20	7	17	20	16	1	1	1	1	1	1	2	1	3	1	2	2	1	1	2	1	2	1	2	2	2	2	1	2	2
