step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25
5000	-134.265952258081370	-141.121440209040742	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.593127755430883	-1	4	5	7	8	8	11	11	15	12	16	12	12	15	14	17	15	14	15	15	15	16	18	17	20	0	0	2	2	3	3	6	6	18	7	18	6	8	18	7	9	10	5	12	12	12	18	10	21	16	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	1	1	3	2	2	2	1	3	1	2
5500	-136.736189152229571	-143.591677103188943	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702857172992736	0	4	6	7	8	10	11	11	15	12	15	13	12	14	14	17	16	13	14	14	17	15	17	18	19	0	0	2	2	3	5	5	6	6	5	12	6	8	7	6	9	10	10	6	12	12	7	18	21	17	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	2	1	2
6000	-127.248438799207122	-134.103926750166494	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711545577463640	0	4	5	7	6	9	12	10	15	10	14	12	12	14	17	16	16	14	15	14	17	15	17	17	19	0	0	2	2	3	5	10	6	7	5	6	6	8	6	14	10	14	10	11	12	12	18	17	20	16	1	1	1	1	1	2	1	1	1	2	3	1	1	2	2	2	1	2	1	1	3	1	1	2	1
6500	-126.742101257596175	-133.597589208555547	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600151247767529	0	4	5	7	8	9	11	12	14	12	14	12	12	14	16	15	15	15	13	14	17	16	17	16	19	0	0	2	2	3	5	5	7	10	6	12	6	5	10	9	9	10	20	7	12	12	17	17	20	16	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	3	1	1	1	2
7000	-122.232580112356402	-129.088068063315774	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.816927755419864	1	4	6	6	7	10	12	10	15	11	16	12	12	14	16	16	15	13	13	15	17	16	17	17	19	0	0	2	2	3	5	6	5	6	6	12	6	8	18	10	9	10	10	12	12	12	9	17	20	9	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	2	2	1	1	1	2
7500	-130.918875248856494	-137.774363199815866	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.603536634267240	1	4	6	6	8	9	12	11	13	12	15	12	12	14	16	17	16	14	14	16	18	17	17	17	19	0	0	2	2	4	5	6	6	6	5	19	5	8	10	18	9	18	9	12	10	20	20	18	20	16	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	2	2	1	1	1	1	1
8000	-130.269469567399199	-137.124957518358570	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.758052022169867	-1	4	6	6	8	10	9	10	13	10	16	12	12	14	17	17	15	14	14	14	18	17	17	18	20	0	0	2	2	3	5	5	7	6	7	19	7	8	10	20	9	10	10	12	12	12	17	17	20	15	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	3	1	1	2	1
8500	-136.419035646331224	-143.274523597290596	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660773515372789	-2	4	5	7	7	10	11	11	14	11	16	12	13	15	17	16	15	13	13	15	17	14	18	17	18	0	0	2	2	3	5	5	5	10	5	22	6	8	7	9	9	18	10	7	12	20	7	17	20	16	1	1	1	1	1	2	2	2	1	2	1	2	1	3	1	2	1	1	2	2	2	2	1	1	1
9000	-129.329995234146310	-136.185483185105682	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664381922583666	-1	4	5	6	8	7	11	11	13	10	15	12	12	14	16	17	14	14	13	15	18	15	17	17	19	0	0	2	2	6	3	6	10	5	5	12	10	8	10	17	9	10	6	7	12	12	7	17	20	16	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	3	1	2	4	1	2	1	1
9500	-137.159289376510401	-144.014777327469773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.846769007820589	1	3	5	6	7	10	11	11	12	12	16	13	13	14	16	16	16	14	14	14	16	13	17	16	19	0	0	2	2	3	5	5	5	7	6	12	5	8	7	20	7	18	10	12	12	12	7	17	20	15	1	1	1	1	1	2	2	3	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1
