step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
5000	-190.713890272279457	-189.025801555319134	-1.688088716960316	0.000012330242250	0.000019313993604	1.566392063721548	0.713548485641564	-1	1	2	3	4	4	3	3	3	3	6	6	4	7	8	8	10	12	10	13	11	13	15	14	15	16	15	16	19	19	22	0	0	2	1	2	2	2	3	3	1	1	8	8	12	12	12	13	15	16	6	17	16	20	0	24	24	24	24	27	25	30	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	2	2	1	3	1	2	1	1	1	1	1	1	3	2	2
5500	-156.945814889987645	-155.582007038133241	-1.363807851854403	0.000018545633998	0.000009595571208	0.517403244837707	0.773767713427170	1	1	2	3	3	5	3	4	3	6	7	6	6	7	9	9	8	11	10	13	10	11	14	14	16	17	17	16	19	19	22	0	0	2	1	2	7	2	3	3	4	1	8	8	12	17	13	8	15	17	6	12	16	20	0	24	24	24	24	27	25	30	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	4	2	1	1	1	1	1	1	1	1	2	1
6000	-165.162562337074007	-163.719644252200482	-1.442918084873522	0.000021354463877	0.000020191012928	0.945517201662449	0.726614539779670	1	1	2	3	3	5	4	4	4	6	5	6	7	7	7	8	9	12	11	13	11	12	14	14	16	17	16	15	19	19	22	0	0	2	1	2	2	2	3	3	4	1	8	8	8	12	13	8	15	17	6	12	16	20	0	24	24	24	24	27	25	30	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	2	3	1	4	2	2	1	1	1	2	1	1	1	1	1
6500	-141.643891587255013	-140.272524237870954	-1.371367349384063	0.000040147901254	0.000019079682467	0.475234865859759	0.680792668598985	1	1	2	3	4	4	3	4	3	5	7	5	6	7	9	8	8	11	10	12	11	12	14	15	16	17	16	17	18	17	22	0	0	2	1	7	2	2	3	3	4	10	8	8	12	12	13	13	15	13	6	12	19	20	0	24	24	24	24	27	25	30	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	2
7000	-184.741331780192411	-183.260837466189543	-1.480494314002869	0.000053261236577	0.000016464372574	0.309124865140958	0.513348924025828	-1	0	2	3	3	3	1	4	4	5	6	6	6	8	9	7	7	11	10	13	12	11	15	14	17	16	16	15	20	19	21	0	0	2	1	2	2	2	3	3	1	1	9	8	12	12	3	3	15	17	7	14	17	20	0	24	24	24	24	27	25	30	1	1	1	3	1	1	1	1	1	4	4	1	1	1	1	1	3	1	2	7	2	2	1	1	1	1	1	1	3	1	1
7500	-170.211502777891155	-168.592946432756747	-1.618556345134406	0.000072878739668	0.000016926199101	0.232251534240273	0.714876717764997	0	-2	2	3	2	4	1	4	3	5	7	5	6	7	9	9	8	11	10	13	10	13	15	12	17	17	16	16	19	19	22	0	0	2	1	2	2	2	3	3	1	10	3	8	12	12	8	13	15	17	6	12	16	20	0	28	24	24	24	27	25	30	1	1	2	1	2	3	1	1	1	2	1	2	1	2	2	3	1	2	1	4	2	2	1	1	1	2	2	2	2	1	2
8000	-160.362618325897870	-158.977924422400434	-1.384693903497433	0.000072060244532	0.000031247230307	0.433626481695192	0.585454756282039	0	1	2	3	4	5	3	4	3	5	6	5	6	7	8	9	9	10	10	12	10	13	14	13	15	18	16	17	19	20	22	0	0	2	1	2	7	2	3	3	1	1	5	8	12	12	5	5	15	13	6	14	17	20	0	24	24	24	24	28	25	30	1	1	1	1	2	1	1	1	1	3	2	1	1	1	2	2	3	1	2	3	2	2	1	1	1	2	2	2	1	2	1
8500	-164.520746003445765	-162.518989368544936	-2.001756634900825	0.000098845552121	0.000013678480960	0.138382361845694	0.625874436552470	1	1	2	3	3	5	4	4	4	6	6	5	5	7	8	7	7	10	10	13	11	12	15	14	16	18	17	17	16	18	22	0	0	2	1	2	7	2	3	3	1	1	8	8	12	12	13	13	15	17	6	12	16	20	0	24	24	29	24	24	25	30	1	1	1	2	1	1	2	1	1	3	3	1	1	1	1	1	1	1	2	4	4	2	1	1	1	2	1	2	1	2	2
9000	-151.595787769968325	-149.903034002312438	-1.692753767655885	0.000070962252504	0.000014602471376	0.205778013817882	0.886177254886164	1	1	2	3	3	5	3	4	3	5	6	5	6	7	9	8	8	11	9	14	11	13	15	15	17	17	17	17	16	19	21	0	0	2	1	2	7	2	3	3	1	10	8	8	12	12	8	13	15	8	6	12	21	20	0	24	24	29	24	24	25	30	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	4	2	1	1	1	1	1	1	1	1	1	1
9500	-162.687091584493572	-161.259307191671013	-1.427784392822560	0.000077597945357	0.000027983882033	0.360626584950451	0.654623386899010	0	0	2	3	2	5	4	4	3	6	6	5	6	6	7	8	9	11	10	12	11	12	14	14	16	18	17	16	16	19	22	0	0	2	1	2	7	2	3	3	1	1	8	8	8	12	13	13	15	16	6	12	21	20	0	24	24	29	24	24	25	30	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	3	1	3	2	1	1	1	1	2	1	2	1	2	1
