step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93
1	-32242.050026459015498	-32240.587944374496146	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.046381715068028	0	5	6	8	9	8	8	8	11	9	9	11	9	10	11	12	12	12	13	12	13	15	13	16	15	16	15	14	15	16	16	15	15	17	17	16	20	21	20	19	17	18	19	19	21	19	20	22	19	21	21	20	22	22	21	22	22	24	23	23	23	24	23	24	23	25	25	25	25	26	25	25	25	26	28	26	26	27	28	29	28	30	30	30	31	31	32	31	31	33	35	36	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	5	4	4	4	6	5	5	6	5	5	6	6	6	6	7	6	7	8	7	8	8	8	8	7	8	8	8	8	8	9	9	8	10	11	10	10	9	9	10	10	11	10	10	11	10	11	11	10	11	11	11	11	11	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	13	14	13	13	14	14	15	14	15	15	15	16	16	16	16	16	17	18	18	18
500	-2815.436315338728946	-2812.310033414531517	-3.126281924197295	0.000010013125548	0.000059753802474	5.967547513945028	0.100982916481311	1	3	3	8	9	8	5	7	12	9	9	11	6	10	11	13	13	12	12	10	10	16	10	16	15	16	12	13	15	16	17	12	13	17	18	17	21	22	19	20	14	19	19	16	22	18	21	22	20	22	21	19	23	22	22	22	22	24	24	24	24	25	24	21	23	25	26	25	25	27	26	25	26	27	29	27	26	27	29	30	28	31	31	30	32	32	32	32	32	34	36	37	37	0	0	0	2	3	3	3	3	5	6	7	6	7	8	8	11	13	13	23	13	8	20	13	27	21	21	20	23	20	23	21	8	20	21	28	32	32	21	27	30	13	32	41	41	21	23	23	28	32	32	32	44	21	28	41	30	41	23	32	32	21	23	23	44	41	23	32	32	26	30	33	23	41	32	32	21	56	44	41	42	64	32	41	32	52	32	32	32	32	32	32	68	31	1	1	1	2	3	2	1	2	2	1	2	1	1	1	2	2	5	3	1	2	2	4	2	2	4	3	2	2	3	4	6	4	2	5	2	4	4	6	4	2	8	7	5	1	6	4	8	5	7	7	5	3	9	8	7	5	5	11	9	12	7	14	9	4	5	10	11	12	5	9	8	9	9	11	16	14	2	8	11	11	6	15	15	15	12	15	15	16	16	18	19	11	17
1000	-2477.806633207625509	-2474.864680842719281	-2.941952364906023	0.000010015957855	0.000052694749994	5.261079445304753	0.200261736403257	1	5	6	9	9	8	7	8	11	9	9	11	8	10	12	12	11	13	11	11	10	16	13	14	15	15	16	13	15	17	14	12	16	18	17	17	17	21	18	16	14	18	20	16	22	20	17	23	19	18	21	17	22	22	22	22	19	23	23	24	23	25	24	21	23	26	25	25	26	26	25	26	26	26	28	27	26	28	28	30	29	30	31	31	32	32	33	32	32	34	36	36	37	0	0	0	2	3	3	3	3	3	6	7	6	7	8	8	11	13	13	13	13	8	24	19	20	21	21	20	19	24	23	21	21	41	31	28	32	32	21	27	28	13	32	41	41	21	40	40	40	50	32	42	44	21	28	41	28	52	19	50	32	25	40	40	52	64	47	32	32	61	19	57	47	41	32	32	25	63	65	52	50	64	32	41	37	64	50	37	50	68	50	50	74	11	1	1	1	1	2	1	1	1	3	1	2	2	1	1	2	2	2	3	2	2	1	1	2	2	3	3	3	2	1	2	2	1	1	2	2	2	4	6	1	2	6	5	2	1	6	2	1	4	1	5	2	1	8	6	4	6	1	7	4	12	4	6	5	3	2	7	10	11	1	10	5	8	8	11	14	10	1	5	8	9	5	15	14	14	10	12	15	13	6	11	14	8	17
1500	-2097.961430321889111	-2094.708535075906184	-3.252895245982960	0.000010108328636	0.000065527085172	6.482484645301684	0.277410758429109	-1	6	6	8	8	8	8	8	10	9	10	11	10	10	11	13	13	13	12	11	11	15	13	16	15	16	15	14	16	16	16	12	14	17	18	14	17	21	19	16	16	16	19	17	21	19	18	19	19	18	20	19	22	22	22	20	23	24	23	23	23	25	22	21	22	26	25	23	25	27	25	26	26	27	29	26	26	25	26	30	29	31	31	31	32	31	32	31	32	34	36	36	37	0	0	0	2	3	3	3	3	3	6	7	6	7	8	8	11	13	13	13	13	8	20	19	20	21	21	20	23	20	23	25	21	20	25	28	32	42	21	27	28	33	32	41	41	21	40	40	40	42	42	42	44	21	40	43	48	64	47	50	32	45	48	56	52	64	47	42	32	61	40	65	47	65	50	32	14	63	65	64	42	71	42	44	50	65	42	37	37	74	68	68	82	9	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	2	2	1	4	2	2	2	1	2	3	1	1	2	1	3	2	1	5	2	1	1	3	2	1	4	2	1	2	1	1	1	1	7	3	2	1	2	3	2	9	1	4	1	1	1	5	5	8	1	9	1	5	4	6	12	9	2	1	3	10	2	11	14	13	7	9	13	11	4	8	10	3	20
2000	-1712.901249620361114	-1710.164722878900648	-2.736526741460398	0.000010146923642	0.000045974395193	4.530870322557947	0.298845556043629	0	5	5	7	6	8	7	7	10	10	10	10	9	9	9	12	11	12	13	12	12	14	10	16	14	16	15	13	16	16	17	14	15	17	17	17	20	21	20	17	16	16	19	17	21	20	20	19	18	18	21	18	23	23	22	21	22	24	23	24	24	25	24	21	22	25	24	22	25	27	25	25	26	27	29	27	26	27	27	29	28	31	31	30	32	32	32	32	32	32	36	35	37	0	0	0	3	3	3	3	3	3	6	7	6	7	8	8	11	13	13	23	13	14	20	13	20	21	21	22	23	20	23	25	21	20	25	19	32	42	21	24	19	33	32	41	41	21	40	40	40	42	42	42	44	21	40	43	48	64	47	50	50	38	48	56	52	64	47	42	32	53	48	65	47	65	60	50	21	63	71	65	68	65	68	52	50	65	68	68	68	80	68	68	90	15	1	1	1	1	1	2	1	2	3	1	2	1	2	1	2	2	1	2	1	2	2	1	1	2	1	2	1	1	2	3	2	1	2	2	2	1	2	6	2	2	1	1	1	1	4	2	2	2	1	2	2	1	5	2	1	1	1	2	2	3	2	4	1	1	1	4	4	6	1	8	2	2	3	2	10	10	1	1	2	7	3	9	13	11	6	7	8	9	3	7	9	2	21
2500	-1561.603091526545768	-1558.652022017975241	-2.951069508570436	0.000010383417012	0.000054978695069	5.294855730403968	0.413841259339791	1	4	6	9	8	8	8	8	11	10	10	11	9	10	11	12	12	12	13	11	11	16	12	16	14	15	16	14	15	17	17	15	16	17	18	16	20	21	20	17	17	17	18	18	21	19	21	19	20	18	22	19	22	22	21	23	22	25	22	23	23	22	24	21	22	26	26	22	24	27	25	25	26	27	29	27	26	26	29	28	28	31	31	31	31	32	32	32	32	33	35	37	35	0	0	0	2	3	3	3	3	3	6	7	6	7	8	8	11	13	13	23	13	14	20	13	20	21	21	20	23	20	19	25	21	20	25	28	32	32	21	27	28	33	32	41	41	21	40	40	40	42	42	42	44	21	40	43	48	64	47	50	50	45	48	56	52	64	47	59	50	61	48	65	47	65	68	68	26	63	65	81	68	65	68	52	68	71	80	68	68	74	87	82	90	5	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	2	2	2	2	3	3	1	2	2	2	2	3	2	2	1	2	5	2	1	1	1	1	1	4	1	2	1	1	1	2	1	5	3	3	2	1	2	1	3	1	2	1	1	1	4	4	3	1	7	2	2	3	2	7	12	1	3	1	3	4	9	11	9	4	3	7	8	2	1	1	2	16
3000	-1379.655221774945176	-1376.795808181726443	-2.859413593218656	0.000010939232835	0.000054265856159	4.960663785026005	0.468929366133464	1	5	6	8	9	6	8	8	10	9	10	11	10	10	12	12	13	12	12	11	12	13	13	16	13	14	14	14	15	15	16	15	15	15	17	16	19	21	20	19	17	17	19	19	21	20	20	21	19	21	20	20	22	21	22	22	22	24	22	24	24	24	23	21	23	25	26	22	26	27	26	26	26	26	27	25	26	28	29	29	28	30	30	31	32	31	32	32	31	33	35	36	37	0	0	0	3	3	2	3	3	3	6	7	6	7	8	8	11	13	13	13	13	14	20	19	20	21	21	22	23	20	23	25	26	22	25	28	32	32	21	27	28	33	32	41	41	21	40	40	40	42	42	42	44	21	40	43	48	64	47	50	50	45	48	56	52	57	47	59	37	53	63	65	58	65	68	68	21	63	65	71	68	65	68	64	68	83	80	80	74	80	87	86	90	4	1	1	1	1	2	1	1	2	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	3	1	2	1	1	2	1	2	1	1	1	2	1	3	4	3	2	1	2	2	1	5	1	1	1	1	2	2	1	6	1	2	1	1	2	1	1	2	2	1	1	1	2	4	2	3	2	2	1	1	2	5	9	2	2	1	5	3	8	6	7	1	1	3	4	1	1	2	2	14
3500	-1271.380522346073121	-1268.419539649970375	-2.960982696102822	0.000012326331104	0.000065720502057	5.331716429122316	0.573735834213685	0	5	6	8	8	8	7	8	10	10	9	11	10	11	12	13	13	13	13	12	13	14	13	15	14	14	15	15	15	16	17	15	15	15	17	17	19	22	21	17	17	18	19	19	21	19	20	20	20	20	20	20	22	22	22	21	23	24	21	22	24	24	24	21	24	23	26	23	25	26	26	25	26	27	27	26	26	28	29	29	27	31	30	31	31	32	30	32	32	33	36	36	37	0	0	0	3	3	3	3	3	3	6	7	6	7	8	8	11	13	13	13	13	14	20	13	20	21	21	22	23	20	19	25	26	22	25	23	32	32	21	24	28	33	32	41	41	21	40	40	40	42	42	42	44	21	40	43	48	64	47	50	50	45	48	56	52	57	47	59	60	61	63	65	66	65	68	68	21	63	71	65	74	65	68	71	68	79	84	74	74	84	87	86	90	76	1	1	1	2	1	1	1	1	2	1	1	2	1	2	3	1	2	2	2	1	1	1	2	3	1	1	1	1	2	2	1	1	1	1	2	1	1	4	3	1	1	1	2	2	3	1	1	1	1	1	2	1	4	2	1	1	1	2	1	1	1	2	2	1	1	1	4	1	1	1	1	1	1	2	2	8	1	2	2	1	2	8	2	6	1	1	1	2	1	1	2	2	9
4000	-1124.901695927868332	-1122.539024311469120	-2.362671616399188	0.000014631821742	0.000048915331064	3.343078662753370	0.586225741632488	0	5	5	8	10	8	7	9	11	10	9	11	9	11	11	12	11	12	14	12	13	15	12	16	14	15	14	15	15	16	16	16	15	17	17	17	19	19	20	17	17	18	19	18	21	20	21	21	20	20	20	21	21	21	21	22	23	22	21	22	24	23	24	22	24	25	26	23	25	26	26	26	26	25	27	27	27	27	28	29	27	30	29	31	31	32	32	32	32	34	35	35	34	0	0	0	2	3	3	3	3	5	6	7	6	7	8	8	11	13	13	23	13	14	27	13	20	21	21	20	23	20	19	25	26	27	25	28	32	32	21	24	28	33	32	41	41	21	40	40	40	42	42	42	44	38	40	43	48	64	47	50	50	53	48	56	52	57	58	59	60	61	63	65	66	65	68	68	38	70	65	71	74	65	68	79	68	79	84	82	82	82	87	86	90	38	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	2	4	3	1	1	1	1	1	3	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	4	1	1	1	2	1	1	1	2	7	1	2	1	2	2	7	1	6	2	1	1	1	1	1	2	1	7
4500	-1074.246899396952358	-1071.992267369410456	-2.254632027541895	0.000019227419606	0.000058270840355	3.030611571904295	0.674580903039830	0	5	6	7	9	8	7	8	12	9	10	9	9	10	10	12	10	12	13	11	13	15	11	14	15	14	13	14	15	17	16	16	15	18	17	17	19	21	20	19	16	18	20	19	20	20	21	21	20	19	21	21	22	22	21	22	23	23	21	23	23	23	24	22	24	26	25	24	26	25	25	25	25	26	28	26	26	27	28	28	28	31	31	30	32	32	33	31	32	34	36	36	37	0	0	0	2	3	3	3	3	5	6	7	6	7	8	8	11	13	13	23	13	14	20	13	20	21	21	20	23	24	19	25	26	27	25	28	32	42	21	27	28	33	32	41	41	21	40	40	40	42	42	42	44	45	40	43	48	64	47	50	50	45	48	56	52	57	47	59	60	45	63	65	58	65	68	68	45	70	71	71	74	65	68	79	68	79	84	82	84	84	87	86	90	5	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	1	2	1	2	1	1	1	2	2	1	1	3	2	3	1	1	2	2	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	1	2	1	1	1	1	1	2	3	1	1	1	1	2	6	2	5	2	1	1	1	1	1	2	1	9
