step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-5138.788986091972220	-5145.644474042931506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.993544594369824	0	0	3	1	2	2	5	3	4	6	4	7	8	7	8	7	8	10	9	11	11	11	11	12	13	12	15	13	16	15	18	17	18	18	18	17	19	19	19	18	18	19	19	19	19	20	21	21	21	22	22	22	23	22	23	22	22	22	24	24	24	25	24	25	25	24	28	28	29	29	30	30	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	2	2	3	2	4	4	4	4	4	4	5	5	6	6	6	6	6	7	6	8	7	8	8	9	9	9	9	9	9	10	10	10	9	9	10	10	10	10	10	11	11	11	11	11	11	12	11	12	11	11	11	12	12	12	13	12	13	13	12	14	14	15	15	15	15
500	-789.372629430230177	-796.228117381189577	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.289049315892529	-1	0	4	0	2	2	5	1	5	7	5	7	8	6	8	7	6	10	10	11	12	11	12	9	12	12	12	12	14	15	16	15	19	18	18	17	19	18	20	18	19	17	20	19	19	20	21	21	21	23	23	22	23	23	20	22	23	22	25	25	24	25	24	26	25	23	28	29	28	29	30	30	0	1	4	1	2	0	2	1	6	4	6	7	11	3	14	17	5	12	12	24	18	15	12	14	15	22	12	20	27	28	29	29	29	29	28	28	40	29	29	29	42	24	35	30	42	27	33	33	29	24	32	41	28	14	0	46	27	10	34	29	52	57	33	38	55	35	34	55	48	0	14	54	1	1	2	1	2	1	2	1	1	3	1	1	2	2	1	1	2	2	2	2	2	1	2	2	2	1	3	1	2	2	1	1	4	2	3	2	1	2	3	2	1	3	1	2	1	4	1	1	4	9	6	3	7	10	1	1	11	7	3	8	1	1	3	7	3	3	7	6	4	1	11	4
1000	-582.629461013699256	-589.484948964658656	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.419710921574963	0	1	4	2	2	2	5	3	4	7	5	8	8	6	9	7	7	10	9	11	11	10	12	12	12	13	16	12	15	15	18	18	18	19	17	15	19	20	19	18	18	18	20	19	19	21	21	21	22	22	22	22	24	23	22	22	23	22	24	24	24	26	25	26	26	24	28	29	29	27	31	29	0	1	4	1	1	0	8	5	6	4	6	10	11	7	12	14	7	14	14	14	14	15	18	20	15	22	24	20	24	28	27	29	27	29	30	24	29	39	31	29	35	35	30	30	35	40	31	38	33	27	32	43	52	45	0	37	48	3	49	29	52	34	60	56	55	50	40	55	48	0	58	70	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	2	2	2	3	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	3	1	1	2	1	1	3	1	1	2	2	1	2	3	2	1	1	1	1	2	1	14	1	3	1	4	1	2	2	2	4	6	3	1	8	2
1500	-536.379322364021505	-543.234810314980905	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558070549911853	-2	0	3	1	3	2	5	2	5	5	4	7	7	6	9	7	8	10	9	10	12	11	11	12	13	13	14	13	15	16	18	18	19	19	18	16	17	20	19	19	19	19	19	20	19	20	21	19	21	23	23	22	24	23	22	23	22	23	23	24	24	25	24	25	24	24	28	28	30	29	31	31	0	1	1	1	2	0	4	2	6	5	6	7	11	8	14	7	14	12	14	12	18	19	18	20	19	22	24	24	27	28	29	29	37	29	36	28	29	37	31	29	35	35	28	30	35	34	39	31	40	30	32	41	41	45	0	57	48	8	40	32	52	33	51	57	55	52	32	55	64	0	58	70	1	1	2	1	2	1	3	1	2	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	2	2	2	1	2	1	1	3	2	1	1	1	1	1	3	2	2	2	2	1	1	2	14	1	2	1	3	1	2	2	1	6	4	2	1	6	1
2000	-538.726916611660499	-545.582404562619899	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560469039505820	-1	0	4	1	2	1	6	4	5	6	3	7	9	6	8	8	7	9	10	9	11	11	11	11	13	12	15	14	15	16	18	18	19	19	17	17	19	20	19	19	19	20	19	19	18	21	21	21	21	21	22	21	23	21	24	23	22	21	24	25	23	25	24	26	25	25	28	27	29	28	30	29	0	1	1	1	2	0	8	2	6	8	6	14	11	5	14	14	14	12	15	14	14	15	18	20	15	19	24	24	24	28	29	29	29	29	30	30	31	33	31	29	35	35	30	30	30	34	40	38	34	36	32	41	41	45	0	48	48	13	49	51	52	33	49	48	55	52	32	65	48	0	58	70	1	1	2	1	1	1	1	1	2	1	2	1	3	2	1	1	1	1	2	2	2	1	1	2	2	1	2	2	1	1	2	1	2	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	2	1	1	2	1	2	1	5	2	2	1	4	2	3	1	2	5	1	4	1	5	1
2500	-510.408577233906954	-517.264065184866354	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616427499682431	-1	1	3	1	2	2	5	4	4	5	4	4	8	6	7	7	8	9	10	11	11	11	9	12	14	13	14	14	15	15	18	18	17	19	19	18	20	18	19	19	19	20	19	19	20	21	22	20	20	22	22	22	20	21	20	22	22	22	24	25	24	26	24	25	26	24	29	28	29	29	30	30	0	1	1	1	2	0	2	2	6	4	6	2	11	12	12	12	12	14	15	12	18	19	12	20	22	22	24	20	24	28	29	29	29	33	36	30	39	29	31	33	36	35	28	36	36	39	37	38	34	44	49	41	41	43	0	48	48	23	49	40	52	40	51	48	55	52	60	65	64	0	58	70	1	1	2	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	1	4	1	1	3	1	2	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	2	1	1	1	1	2	11	2	2	1	4	1	3	3	1	2	1	2	1	5	1
3000	-464.602168149429531	-471.457656100388931	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666337504476126	-1	0	2	2	3	1	5	3	2	6	4	8	8	6	9	7	7	10	8	11	12	10	11	13	12	10	14	13	15	15	18	18	17	19	17	16	19	19	20	18	18	19	18	19	20	21	20	21	21	22	21	22	21	22	23	23	23	23	23	24	23	24	24	26	25	25	28	28	29	28	30	30	0	1	1	1	2	0	5	2	6	4	6	14	11	5	14	14	14	12	14	12	23	19	12	14	15	19	20	20	24	24	29	29	29	29	24	30	31	33	31	29	35	41	30	28	42	34	37	38	39	42	32	44	35	35	0	48	48	24	34	33	41	51	51	57	55	52	51	65	57	0	70	70	1	1	2	2	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	2	1	1	2	4	1	1	1	1	1	1	1	1	2	2	3	1	1	1	2	1	1	1	2	3	1	1	1	1	1	2	1	2	2	1	1	1	1	4	2	3	3	1	2	1	1	2	3	2	4	1	1	1
3500	-474.424566914790546	-481.280054865749946	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.640883333743489	-1	0	2	1	1	3	4	3	5	6	5	8	8	5	9	7	8	10	9	10	12	11	11	13	13	12	16	12	15	15	17	17	17	17	18	17	19	19	19	18	19	20	18	19	20	21	21	21	21	22	21	21	23	22	22	23	23	22	24	24	25	25	23	25	24	23	28	28	28	29	31	30	0	1	1	1	2	0	8	5	6	4	6	2	11	7	14	14	14	17	14	12	15	15	12	28	15	19	28	12	28	24	29	29	29	29	30	28	31	31	31	29	35	36	30	36	35	39	39	38	29	44	32	41	35	45	0	48	48	10	40	49	66	51	51	56	55	35	60	65	56	0	70	70	1	1	2	1	1	1	1	1	2	2	2	3	2	1	2	2	1	1	2	2	1	1	1	1	2	3	2	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	3	2	2	1	3	1	1	2	1	9	2	2	1	2	1	1	2	2	2	3	2	1	2	1
4000	-469.668610732413242	-476.524098683372642	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614189154107319	-1	0	2	1	1	2	4	3	5	5	3	7	7	8	7	7	8	9	10	12	10	12	12	12	11	12	14	14	15	16	17	17	18	17	17	18	19	19	19	17	19	19	19	19	18	19	21	21	22	21	21	21	23	22	23	23	23	22	24	25	25	23	23	25	25	24	28	27	28	28	30	29	0	1	1	1	2	0	2	5	6	4	6	7	11	7	5	7	16	12	15	14	14	19	18	12	14	19	24	20	27	28	29	29	29	29	30	30	31	29	31	29	36	35	30	30	35	31	37	38	29	30	32	41	52	45	0	48	48	12	33	62	66	51	49	48	55	52	60	55	64	0	70	70	1	1	2	2	1	1	2	1	2	1	1	2	2	2	3	2	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	4	3	2	1	1	2	1	2	2	8	3	1	1	1	1	2	2	1	1	2	2	1	1	1
4500	-483.972664816107454	-490.828152767066854	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.547335492285748	-1	0	4	1	3	2	5	2	4	6	4	5	8	7	8	8	8	10	9	11	10	12	11	13	13	13	15	13	16	15	18	18	19	18	18	15	20	19	19	17	18	20	19	19	18	20	21	21	21	21	22	21	24	22	22	22	23	23	24	24	24	25	24	26	25	25	29	27	30	29	30	30	0	1	1	1	2	0	2	2	6	4	6	5	11	12	12	12	10	12	15	15	14	19	12	20	23	19	28	20	27	28	40	40	40	29	36	24	39	31	31	29	36	45	30	36	36	31	37	38	34	30	32	41	44	35	0	48	48	20	33	32	35	32	51	57	55	61	60	65	48	0	70	70	1	1	2	1	1	1	2	2	1	2	1	1	2	2	2	2	1	2	1	2	2	2	3	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	1	1	2	6	2	2	3	3	1	2	2	1	3	1	5	1	1	1
