step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
5000	-175.919640322101287	-182.775128273060659	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560593779638730	1	0	11	13	15	14	16	15	15	17	18	18	18	20	19	20	21	22	20	22	21	20	22	22	23	25	2	0	2	3	3	4	8	4	4	5	6	6	5	4	7	13	14	12	5	10	14	7	6	16	22	14	1	1	5	1	2	1	1	1	1	1	2	2	2	3	1	1	1	3	3	3	1	2	4	1	2	3
5500	-173.814667882551078	-180.670155833510449	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.414307157332329	2	1	11	12	14	15	15	16	16	16	17	18	19	20	19	19	19	22	21	20	21	22	22	22	23	25	2	0	1	3	4	4	4	7	4	3	6	3	10	7	8	10	9	9	20	13	3	15	15	16	15	3	1	1	4	1	1	2	1	1	2	2	1	2	3	2	2	1	1	3	1	1	5	1	1	1	2	7
6000	-199.708358311321803	-206.563846262281174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.399347803370857	3	1	11	13	14	15	13	15	14	16	17	19	18	19	19	18	20	21	20	21	19	21	21	23	23	25	2	0	1	3	3	3	3	7	4	5	6	8	3	9	5	3	3	5	16	10	7	15	11	16	14	11	1	1	3	1	1	2	1	1	1	1	1	2	3	2	2	3	4	3	1	3	4	1	2	2	2	4
6500	-160.782913847808771	-167.638401798768143	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.509179070473016	3	1	11	12	15	13	14	17	16	17	17	16	20	19	18	19	19	20	22	21	21	20	21	22	23	24	2	0	2	3	3	3	4	7	4	5	6	3	16	7	7	10	9	8	20	10	8	15	12	13	18	11	1	1	4	1	2	1	1	2	2	1	1	3	1	2	2	1	2	2	1	2	2	1	2	1	2	4
7000	-167.585668965913413	-174.441156916872785	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551371976207302	2	0	10	12	14	15	15	17	16	16	17	18	20	20	18	20	18	22	21	19	22	21	22	23	23	25	2	0	1	3	3	3	3	7	6	5	4	11	10	15	8	10	6	15	20	10	15	7	11	16	18	11	1	1	3	1	2	2	2	1	1	1	3	1	2	1	1	3	2	2	1	2	2	2	3	1	1	3
7500	-178.293057650901062	-185.148545601860434	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442256237310720	2	1	12	13	14	14	14	17	16	17	17	19	20	21	19	19	20	21	20	22	20	21	22	22	22	24	2	0	2	3	3	3	3	4	3	5	7	6	16	8	7	10	11	21	10	3	3	15	6	16	18	11	1	1	5	1	1	2	1	2	2	1	3	3	1	2	2	1	3	1	2	4	4	1	4	2	1	4
8000	-166.280034540430961	-173.135522491390333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595447149890045	2	1	11	13	14	14	15	17	15	16	17	18	18	20	19	20	20	21	21	19	20	21	22	22	23	24	2	0	2	3	3	4	4	9	3	5	9	3	10	7	7	13	4	8	20	10	8	15	9	13	18	11	1	1	4	1	2	1	1	1	2	1	1	2	1	2	2	2	3	2	2	1	2	1	3	2	1	2
8500	-174.073843739082548	-180.929331690041920	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585359532771205	3	0	10	12	14	15	15	16	16	17	16	17	18	20	18	19	20	19	22	20	21	21	23	22	23	25	2	0	2	3	3	4	5	7	6	5	4	3	5	7	7	13	3	7	20	13	15	15	17	3	18	11	1	1	5	1	2	2	1	1	1	1	2	3	2	2	2	1	5	2	1	1	1	1	1	6	2	5
9000	-173.167747897093307	-180.023235848052678	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.455995106130284	2	0	10	13	14	11	15	17	16	16	18	17	19	20	20	19	20	22	21	20	21	21	22	22	23	24	2	0	2	3	3	3	4	7	4	5	3	3	10	7	8	5	3	14	20	10	14	8	12	16	18	17	1	1	5	2	2	1	1	2	1	1	4	3	2	2	2	2	6	2	1	1	1	2	3	1	1	3
9500	-176.526005922635477	-183.381493873594849	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718078669182039	3	1	11	12	13	15	15	17	16	15	18	16	16	20	19	19	19	21	22	21	21	21	22	23	22	25	2	0	2	3	3	3	3	7	7	5	6	3	3	15	8	13	7	8	20	16	15	14	11	16	18	14	1	1	4	1	1	2	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	1	3
