step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63
1	-639.249737221737860	-637.787655137218962	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.738670437579606	0	1	1	2	3	2	3	4	4	5	7	9	7	7	7	9	7	8	9	8	9	9	10	9	11	12	12	13	12	12	12	13	13	17	14	14	13	14	15	16	16	17	17	16	18	17	17	17	18	17	17	18	19	19	21	20	20	20	21	21	24	25	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	4	5	4	4	4	5	4	4	5	4	5	5	5	5	6	6	6	7	6	6	6	7	7	9	7	7	7	7	8	8	8	9	9	8	9	9	9	9	9	9	9	9	10	10	11	10	10	10	11	11	12	13	13
500	-198.350370967968303	-196.888288883449434	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.678053116446807	0	2	2	1	3	2	3	4	4	5	6	9	7	6	8	9	8	7	10	9	9	9	10	8	11	12	11	14	11	12	13	13	13	18	15	14	12	15	14	16	16	16	17	17	18	17	17	17	18	16	17	19	19	18	21	20	19	21	20	20	24	25	26	0	4	1	1	4	1	3	6	2	4	9	18	6	9	9	8	11	6	15	15	11	17	22	18	21	23	20	26	24	12	37	23	26	41	26	26	29	37	13	26	29	33	35	41	44	31	42	32	28	36	31	46	37	44	60	51	43	48	39	57	55	61	60	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	3	2	1	1	1	1	1	2	3	1	2	1	3	1	1	2	1	2	3	1	1	1	2
1000	-179.519532665658005	-178.057450581139136	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.940325961500946	0	1	2	2	3	2	4	4	4	5	7	8	6	8	8	9	7	7	10	8	10	9	11	9	11	13	12	13	12	12	12	14	14	18	15	13	12	15	15	16	16	18	15	17	18	17	16	16	17	16	18	17	19	20	21	20	20	20	20	19	25	23	27	0	1	1	1	1	2	6	6	6	3	8	18	5	8	17	20	10	10	16	10	14	12	13	12	16	25	19	30	20	21	21	26	26	44	26	30	21	36	25	32	33	50	36	40	40	40	35	43	40	33	40	50	48	35	60	51	42	49	44	33	62	58	57	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	3
1500	-147.421032678204710	-145.958950593685842	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.998817053306409	0	1	1	2	4	3	3	5	4	5	7	10	7	7	8	9	7	8	9	8	10	8	10	9	11	12	12	13	12	13	12	14	14	16	14	15	14	13	16	16	16	18	16	15	18	16	16	17	18	18	17	18	19	19	22	20	20	19	21	19	24	22	26	0	1	1	2	3	1	3	4	7	6	9	18	10	10	11	11	8	10	15	10	24	13	24	13	20	12	23	22	21	25	24	26	26	35	31	28	31	25	32	28	36	43	44	38	39	35	37	43	34	39	32	46	52	43	59	54	47	49	49	36	59	56	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-184.114228677930072	-182.652146593411203	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.863631673535619	-1	1	1	2	4	3	4	5	4	4	6	9	7	7	7	9	7	8	9	8	10	10	10	9	12	12	13	12	12	11	13	13	14	16	15	14	14	15	14	14	16	17	16	17	18	17	18	18	17	16	17	18	18	19	22	20	19	20	20	22	24	25	25	0	1	1	1	4	4	6	10	3	4	10	14	8	10	8	15	6	6	17	10	17	20	20	20	21	23	26	24	16	19	21	26	16	35	25	26	31	28	18	28	33	40	36	36	46	34	43	37	36	35	38	51	41	31	56	51	42	57	54	57	60	48	55	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	1	1	1	2	1
2500	-156.741443683938257	-155.279361599419389	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.979286289309576	0	1	2	3	3	2	4	5	4	5	7	9	6	7	6	9	6	7	7	7	9	8	10	9	9	11	13	14	12	12	11	13	13	17	13	13	12	15	15	16	16	17	17	16	19	18	18	18	18	17	17	16	19	19	22	17	19	20	21	21	25	23	26	0	1	1	3	6	2	6	3	3	3	10	22	10	10	7	19	9	9	8	10	11	18	19	14	11	21	37	27	21	23	12	24	26	39	26	26	21	33	36	28	38	39	28	30	49	42	52	56	52	44	39	38	44	51	47	52	42	48	53	45	62	60	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
3000	-169.051695945032975	-167.589613860514106	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.968647388509782	-1	2	1	3	3	1	2	5	5	5	6	9	8	7	6	8	7	9	8	9	10	10	10	10	12	12	13	13	10	12	11	13	12	18	14	14	12	15	16	17	16	16	18	16	17	17	18	16	17	17	15	19	19	19	21	20	20	20	21	21	25	24	26	0	3	1	3	1	1	3	5	4	5	5	11	8	8	9	17	8	13	17	19	19	8	19	16	16	24	37	23	14	23	23	31	24	39	30	28	29	32	28	39	27	35	51	36	36	36	50	32	33	44	32	49	50	40	54	50	34	54	56	45	62	53	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1
3500	-182.185807696668348	-180.723725612149480	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.831464280331317	0	1	2	2	3	3	2	4	5	6	7	7	8	8	5	10	7	9	10	9	9	8	10	9	11	12	12	14	13	11	12	13	14	17	15	14	14	14	15	16	17	18	17	16	18	17	17	15	18	16	18	18	20	20	21	20	19	20	20	21	23	25	26	0	1	2	1	2	3	1	2	7	15	7	9	12	17	7	20	10	11	18	9	14	10	10	17	18	19	19	27	16	20	18	30	25	48	31	31	27	32	16	28	37	37	38	35	50	39	40	33	41	48	46	40	43	45	56	41	49	52	35	40	55	60	56	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2
4000	-176.786022998550465	-175.323940914031596	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.859355115926679	0	2	1	1	4	3	3	3	5	4	7	9	8	7	7	9	7	8	10	8	9	8	10	8	11	11	10	14	12	12	12	14	14	16	14	14	13	15	15	16	14	18	15	16	18	17	17	18	18	17	17	18	19	20	21	20	20	20	22	22	24	24	26	0	1	1	1	2	2	4	2	7	6	8	13	14	5	8	17	5	15	22	11	11	17	15	14	27	21	24	25	27	26	18	29	29	41	37	37	27	28	33	36	27	34	36	28	34	43	38	28	33	34	34	28	49	42	52	42	48	42	57	56	60	58	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2
4500	-158.702916270378097	-157.240834185859228	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.953473376525968	-1	1	1	1	3	2	3	4	5	5	7	9	7	6	8	10	7	7	10	8	9	10	11	9	9	12	12	14	12	12	12	14	14	17	14	14	12	14	15	17	16	17	17	16	18	17	18	18	16	17	17	19	19	20	19	21	20	20	21	22	22	25	26	0	1	1	1	3	2	2	6	7	7	10	17	10	8	14	21	9	14	15	18	8	8	12	18	11	25	12	37	19	24	19	27	27	28	27	37	16	29	30	49	37	44	44	33	44	33	50	50	38	27	39	45	50	47	38	57	48	46	53	57	59	59	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
