step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
1	-3538.498480708965417	-3537.036398624446520	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.741971706559948	-1	1	3	3	6	9	9	9	9	10	10	11	11	10	12	11	12	12	13	13	13	14	13	14	15	14	14	16	17	16	17	16	16	20	18	17	18	21	19	22	21	23	22	22	22	23	24	25	27	26	26	29	28	30	31	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	5	5	5	5	6	6	6	6	6	7	6	7	7	7	7	7	8	7	8	8	8	8	9	9	9	9	9	9	11	10	9	10	11	10	12	11	12	12	12	12	12	13	13	14	14	14	15	15	16	16	16
500	-740.894880588881961	-738.310707896475265	-2.584172692406717	0.000010008269111	0.000040291700718	4.025841059070872	0.242969184375652	-1	1	4	2	7	8	9	9	8	10	9	8	11	9	13	11	12	12	13	12	14	14	10	14	16	15	13	17	18	17	17	13	13	21	18	17	16	22	20	22	21	21	23	22	21	24	25	25	27	26	27	29	29	30	32	32	0	1	4	2	4	5	12	9	5	8	0	5	9	12	10	11	23	9	12	9	14	5	12	14	22	14	23	19	13	14	17	9	9	17	27	5	32	27	32	23	23	31	17	27	27	36	37	33	37	33	32	33	33	20	37	37	1	1	1	1	4	1	1	1	1	1	1	1	2	1	1	1	1	3	3	3	3	4	1	2	1	4	3	2	4	6	3	4	3	5	3	8	3	5	5	9	7	2	6	6	6	7	8	6	7	12	10	10	10	12	13	11
1000	-606.213502950810607	-603.363981414482168	-2.849521536328416	0.000010032521912	0.000049413189671	4.925300946831225	0.313364564221936	-1	2	4	3	6	8	10	8	10	11	8	9	11	11	12	12	12	11	13	13	13	14	11	15	15	15	14	16	18	14	17	16	13	20	15	17	15	21	20	22	22	23	23	22	23	24	24	25	28	25	26	29	29	31	31	31	0	1	4	2	4	5	12	5	8	8	0	5	9	12	10	11	23	9	7	9	14	20	12	14	9	21	23	19	9	21	17	33	13	23	23	33	33	35	36	27	34	31	31	35	35	36	37	37	37	37	37	37	37	33	37	37	1	2	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	2	1	1	2	2	2	1	1	2	4	1	3	2	1	5	2	2	1	4	3	5	2	3	5	4	3	3	4	5	7	5	5	9	7	10	9	9
1500	-477.113079102483482	-474.804425091653854	-2.308654010829609	0.000010074293760	0.000032089112296	3.185246833196003	0.474493011000033	-2	1	4	3	6	7	9	9	9	10	10	11	12	10	12	11	13	13	13	13	12	14	13	14	15	14	15	16	17	16	18	16	14	20	17	18	16	21	20	23	22	23	22	22	22	23	23	23	27	26	27	29	29	31	32	32	0	1	4	2	3	5	5	6	6	8	0	7	9	7	10	11	12	9	12	9	14	20	7	14	18	21	23	19	22	24	17	33	9	23	27	33	33	35	36	23	34	31	31	35	34	36	37	37	47	47	48	33	47	33	47	54	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	3	1	1	2	2	1	1	3	1	4	4	2	2	2	2	1	4	1	2	3	3	1	2	4	3	2	2	3	9	3	10	5	1
2000	-436.760499904748713	-434.402825539935122	-2.357674364813577	0.000010121418208	0.000033687521369	3.328340028837795	0.572235907576985	-1	1	3	2	6	9	8	9	9	10	9	10	11	9	12	11	12	12	12	13	13	14	13	14	16	14	14	17	16	15	18	17	16	20	18	17	18	21	19	23	21	24	22	21	22	22	21	25	27	26	26	29	28	31	31	32	0	1	4	2	3	5	5	5	5	8	0	7	9	7	10	11	7	13	12	9	14	9	17	14	22	21	23	19	13	21	17	33	20	35	23	33	33	35	36	34	35	43	31	35	34	36	33	47	48	47	48	47	50	47	50	52	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	3	1	1	2	2	2	1	3	1	1	1	3	2	1	3	1	1	1	3	1	1	1	1	2	2	1	2	1	1	3	2	2	1	3	1	6	1	10	2	2
2500	-430.210182443714473	-427.427267152225966	-2.782915291488517	0.000010059535078	0.000047186272835	4.690701157792867	0.706343761203428	-2	0	4	3	5	9	9	7	9	9	10	11	11	11	12	12	13	12	14	13	13	14	14	13	14	14	15	17	17	15	17	17	15	20	19	17	19	22	19	23	21	22	19	22	22	23	21	25	28	26	27	28	29	31	31	32	0	1	4	2	4	5	5	5	8	8	0	7	9	7	10	11	12	9	12	9	14	20	17	14	20	14	23	19	18	21	17	33	13	23	31	33	33	35	36	45	35	43	31	35	34	36	37	47	48	47	48	50	50	47	53	52	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	2	1	2	1	3	2	2	1	2	2	1	1	1	2	1	1	2	3	1	2	1	3	1	1	2	8	2	2
3000	-402.870745019736148	-400.522985362490317	-2.347759657245804	0.000010323729555	0.000034059858680	3.299181608535322	0.720613101138882	-1	2	4	3	7	9	9	8	9	10	10	12	12	10	12	12	13	13	13	13	12	15	12	14	15	14	14	16	17	16	18	17	16	18	19	18	18	20	19	21	21	24	22	22	22	23	23	25	26	26	27	28	27	31	31	32	0	1	4	2	4	5	8	5	5	8	0	7	9	7	10	11	23	9	12	13	14	13	7	14	13	21	23	19	20	21	17	33	13	27	34	33	33	35	36	34	35	43	31	34	34	36	37	47	48	47	48	50	50	52	53	54	1	2	1	1	2	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	2	1	2	2	2	3	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	1	1	1	2	2	1
3500	-389.751459241108421	-387.633901557013758	-2.117557684094689	0.000010313631368	0.000027350819980	2.651909788556682	0.654558723549964	-1	1	4	3	6	8	9	8	9	10	11	12	12	11	12	12	13	11	14	13	13	14	11	14	14	15	15	17	15	16	18	16	15	20	18	18	19	21	19	23	22	24	22	22	22	23	24	25	26	27	26	29	29	30	31	31	0	1	4	2	3	5	6	5	6	8	0	7	9	7	10	11	23	9	7	9	14	13	7	14	13	21	17	19	20	21	17	33	20	35	27	32	33	35	36	34	35	43	31	35	35	36	37	47	47	47	47	50	50	52	53	54	1	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	3	2	1	2	2	1	3	3	1	1	1	1	1	1	1	1	1
4000	-381.332557943554150	-379.014166898093549	-2.318391045460601	0.000010940930619	0.000035158210646	3.213457051453507	0.644467610021293	-2	1	4	3	6	10	10	9	8	10	10	12	11	11	12	12	12	12	12	13	13	13	14	15	15	15	13	17	17	17	18	17	16	20	19	17	18	22	19	22	22	24	22	23	22	23	24	25	27	26	27	29	28	30	32	31	0	1	4	2	4	5	5	5	5	8	0	7	9	7	10	11	7	13	7	9	14	13	27	14	22	21	17	19	13	21	17	33	20	31	23	33	33	35	36	34	35	43	31	35	34	39	37	47	48	47	47	50	50	52	53	54	1	2	1	1	2	2	2	2	1	1	1	2	2	1	1	2	1	1	1	3	2	1	1	2	1	1	1	2	2	3	3	1	2	1	2	1	1	1	2	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1
4500	-397.463794269581399	-395.327615560995980	-2.136178708585407	0.000012194967325	0.000032953872549	2.702251811770791	0.748724425108041	-1	0	3	2	5	10	9	7	10	11	9	11	12	10	13	12	11	12	12	14	12	15	13	13	16	15	15	15	17	17	18	17	16	20	18	18	18	22	20	22	21	24	21	22	22	24	24	26	26	26	26	28	28	30	31	31	0	1	4	2	3	5	8	5	8	8	0	7	9	7	10	11	7	9	12	9	14	13	17	14	20	24	23	12	25	24	17	33	20	17	23	32	33	35	36	34	35	43	31	35	34	36	37	47	47	47	47	50	50	52	53	54	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	3	1	1	3	2	1	1	2	1	1	2	1	2	2	1	3	2	1	1	1	1	1	1	1	2	1
