step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-933.861495013759395	-942.912338394210792	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.094712120934824	0	2	4	4	6	7	8	9	11	9	10	9	8	9	9	10	10	9	10	9	9	10	9	11	11	15	11	10	11	12	11	13	11	12	12	11	15	11	12	13	11	15	13	15	12	13	14	12	14	12	13	14	14	13	13	13	14	16	15	14	17	13	15	14	16	15	16	15	16	16	19	17	15	18	16	20	18	21	18	26	20	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-324.135392932827415	-333.186236313278755	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.316330493090428	0	2	5	3	6	7	8	10	11	9	11	9	8	10	9	8	10	8	10	10	10	11	9	10	12	15	12	10	10	12	11	12	12	13	12	10	15	12	12	12	11	13	13	10	11	14	14	13	14	13	13	15	12	10	12	13	15	17	13	15	17	14	12	15	15	13	15	16	11	16	19	17	15	18	16	19	18	21	18	21	20	18	0	1	2	2	3	5	3	15	21	7	54	13	5	6	7	5	5	6	23	23	10	12	7	7	44	59	14	15	3	28	28	44	12	21	29	13	47	19	21	8	19	54	27	7	23	55	50	39	54	45	45	49	19	23	14	24	33	67	53	41	73	25	13	33	66	38	25	56	17	52	61	18	30	68	73	47	60	81	64	77	58	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-232.718769885857341	-241.769613266308681	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985962447785947	1	2	5	3	6	7	9	10	12	9	10	10	9	9	8	11	11	7	10	10	8	10	8	10	12	14	10	9	11	12	11	12	11	11	11	12	16	12	11	12	10	15	11	15	13	13	10	13	13	13	14	13	11	14	10	13	15	16	15	15	17	12	16	14	16	12	16	15	15	16	17	17	14	18	16	21	17	21	18	21	19	16	0	1	1	1	3	3	18	13	17	23	6	14	6	6	1	11	11	4	21	23	3	6	5	14	34	9	23	15	10	41	22	20	23	19	27	22	60	35	10	34	14	56	10	26	39	25	15	53	19	11	35	34	13	30	15	28	17	64	16	26	59	55	9	38	69	17	42	73	38	40	42	59	50	73	62	74	37	81	77	71	75	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-235.362840971850744	-244.413684352302084	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984784901007751	1	3	5	3	6	8	7	9	11	9	11	10	7	9	9	10	10	9	11	10	10	11	9	12	11	12	10	8	11	12	12	12	10	12	13	9	16	10	13	13	11	13	12	16	12	14	14	11	14	10	13	14	13	13	12	11	14	17	13	15	18	12	15	11	15	15	17	12	15	16	17	17	15	17	17	18	18	21	19	22	17	18	0	1	2	1	4	13	3	13	14	13	33	23	3	7	7	23	7	28	12	10	28	8	6	20	50	41	15	7	16	10	48	33	6	8	27	7	35	14	30	43	23	56	50	30	38	21	51	15	42	10	68	26	50	43	38	16	19	44	41	34	43	29	35	50	40	12	53	11	52	60	66	40	30	73	65	44	25	65	67	67	49	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-252.057368434467094	-261.108211814918434	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980102670162472	0	3	5	5	4	8	8	10	9	8	11	8	6	10	7	9	10	5	11	6	10	11	9	12	10	15	10	9	11	12	10	12	11	13	13	11	8	12	11	14	9	15	12	16	13	14	11	12	15	12	14	12	13	11	13	14	15	17	15	15	16	12	14	9	14	16	17	16	17	17	18	17	13	19	15	20	16	21	16	20	20	18	0	1	2	5	2	15	20	16	15	5	14	3	2	10	13	12	28	2	27	4	64	37	7	21	16	38	28	4	9	19	9	54	5	24	32	64	15	27	8	24	15	51	21	26	54	39	27	14	24	28	24	23	52	16	33	36	29	57	35	38	75	27	19	20	34	65	60	48	34	68	42	75	31	72	64	57	56	74	59	67	69	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-238.586730998642906	-247.637574379094247	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996161206444982	1	3	3	5	7	7	8	7	11	10	10	8	9	9	5	11	11	9	10	10	10	10	10	12	12	13	12	9	11	12	12	8	11	12	11	12	13	9	13	13	12	15	13	16	13	14	12	9	12	12	8	14	15	13	14	14	13	17	16	13	17	14	16	14	16	15	16	11	16	15	20	13	15	17	15	21	19	19	18	23	19	16	0	1	1	2	15	15	8	15	28	12	7	2	12	51	3	28	11	7	7	32	48	28	51	33	10	21	35	15	18	23	20	6	28	21	19	38	36	6	35	33	10	7	31	47	41	49	23	51	14	38	6	20	55	36	17	22	16	67	10	33	59	36	45	27	56	72	70	32	75	47	77	35	72	63	56	81	74	61	31	61	74	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-245.743096163312629	-254.793939543763969	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997481253975064	0	2	5	5	7	8	9	10	12	9	11	8	7	6	9	11	9	9	7	9	10	10	8	8	12	14	11	7	11	11	11	13	11	11	12	9	14	11	13	14	12	16	12	15	11	10	15	11	14	13	13	14	12	14	10	12	9	11	11	14	15	13	15	14	17	14	15	14	16	16	17	15	15	19	16	17	18	20	18	27	18	17	0	1	1	2	4	14	12	7	33	6	15	3	14	3	23	22	24	6	3	19	23	23	14	4	8	32	10	4	20	7	18	59	18	15	29	6	62	36	43	62	55	52	20	64	5	14	25	24	34	25	36	56	7	53	17	31	6	18	22	30	50	59	41	22	66	53	27	62	54	54	49	52	25	79	9	72	54	44	42	81	42	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-254.839559647177794	-263.890403027629134	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995131798424648	1	3	3	4	6	7	5	10	12	10	9	8	9	8	6	11	10	9	7	9	9	9	9	7	10	16	11	9	11	13	10	12	11	11	13	11	14	8	9	10	11	16	13	12	12	13	14	12	13	10	10	15	15	12	14	13	14	17	15	13	17	13	15	15	15	15	14	12	16	15	18	12	12	19	16	20	18	22	19	26	20	17	0	1	1	1	4	15	2	21	28	22	38	24	19	6	4	10	28	6	7	15	38	5	12	2	18	56	18	19	21	72	13	14	20	6	20	21	35	6	5	15	11	57	72	25	40	45	34	8	10	22	11	43	16	33	36	17	23	52	47	36	20	51	40	46	46	27	41	18	53	44	30	40	41	59	50	64	68	76	82	78	77	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-244.959004474340901	-254.009847854792241	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986974390693308	1	2	4	4	7	6	8	9	8	9	10	7	8	8	9	9	10	9	8	9	10	11	9	11	11	13	10	7	10	11	12	12	11	12	11	8	16	10	11	12	11	16	13	16	11	13	14	10	15	12	14	14	12	12	13	13	14	17	15	12	16	13	15	15	16	15	15	14	17	17	16	17	16	16	16	18	15	21	14	19	20	18	0	1	2	2	4	3	2	5	6	2	5	6	12	5	14	28	8	14	5	6	15	21	19	10	36	40	5	3	7	20	20	29	9	21	3	28	66	10	20	45	20	52	22	67	36	35	32	14	55	21	31	32	10	39	41	60	32	59	46	29	25	48	40	35	67	79	55	35	55	62	49	22	66	41	62	66	34	81	33	70	82	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-239.401601040799534	-248.452444421250874	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994950388998082	0	2	5	4	6	6	8	9	10	9	11	8	8	9	8	11	10	10	10	7	9	10	8	11	11	15	10	10	11	12	10	12	12	12	12	12	15	11	13	13	10	16	10	15	12	14	13	12	15	10	14	6	13	14	12	11	9	11	13	11	17	14	13	15	16	14	16	14	17	15	18	16	16	15	16	20	19	21	17	20	17	16	0	1	4	2	2	4	3	20	13	20	28	6	4	13	6	43	8	23	20	6	23	7	5	23	5	48	7	23	28	31	14	25	57	43	58	41	59	19	22	48	57	63	12	47	60	45	24	25	53	13	59	4	34	35	9	57	23	50	60	21	64	57	33	66	64	34	66	53	59	55	64	66	47	36	62	71	37	73	72	73	65	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
