step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
1	-806.421297103825395	-813.276785054784796	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.743209114808189	0	8	11	15	16	18	17	17	19	20	21	21	24	23	22	24	26	28	30	30	32	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	6	8	8	9	9	9	10	10	11	11	12	12	11	12	13	14	15	15	16	16
500	-181.353316068549049	-188.208804019508420	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.259734951890034	0	8	12	15	16	19	16	17	19	20	21	21	24	23	22	25	26	29	30	30	32	32	0	1	2	2	4	3	4	5	4	2	3	4	3	11	0	10	2	16	3	10	3	3	1	3	3	3	1	3	1	1	2	6	4	4	8	1	1	3	12	3	10	6	11	11
1000	-169.470460215588247	-176.325948166547619	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.289448222459421	1	9	11	16	17	17	18	18	20	20	21	21	25	22	23	25	25	27	31	30	33	28	0	1	2	2	4	3	4	5	7	3	6	4	14	6	0	3	10	16	22	10	3	16	1	4	1	4	1	3	1	1	1	4	2	3	1	2	1	4	2	1	1	6	10	2
1500	-137.417005502086909	-144.272493453046280	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.517110054672113	0	8	11	15	17	18	17	18	19	20	20	21	25	23	21	24	26	29	30	29	32	32	0	1	2	2	4	3	4	5	4	3	6	9	11	11	0	10	16	16	20	10	19	19	1	5	1	5	2	4	1	1	2	3	1	1	2	2	1	2	1	2	1	4	1	1
2000	-145.772665488960854	-152.628153439920226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519273797568778	1	9	12	15	17	18	17	18	19	21	21	22	23	23	22	24	26	28	28	30	33	30	0	1	2	2	2	2	4	4	5	3	6	9	11	11	0	10	16	17	16	19	19	19	1	3	1	3	4	5	1	2	1	4	2	2	1	1	1	1	1	1	2	1	2	1
2500	-146.423411463462259	-153.278899414421630	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.412824335450117	0	7	9	14	15	18	16	17	18	20	21	22	24	23	23	24	27	28	31	30	32	31	0	1	2	2	4	2	4	5	4	2	6	9	11	11	0	10	16	16	17	16	19	16	1	5	1	3	1	3	1	1	2	6	2	2	2	1	1	2	2	2	2	3	1	4
3000	-161.739165984182108	-168.594653935141480	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.433634366070310	0	8	10	14	15	18	17	17	20	21	22	21	24	24	21	24	26	26	29	30	32	31	0	1	2	2	2	3	4	5	4	2	6	9	10	10	0	10	16	10	16	17	19	20	1	4	1	3	4	4	1	1	2	7	2	1	2	1	1	2	1	2	2	2	1	1
3500	-152.372481757820736	-159.227969708780108	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.414354564011835	1	8	11	14	15	18	16	17	19	20	21	21	25	23	22	23	25	28	30	30	33	31	0	1	2	2	4	2	4	5	7	3	10	4	11	11	0	10	16	17	18	10	20	18	1	4	2	2	1	5	2	1	2	5	1	4	1	1	1	2	2	2	1	5	1	1
4000	-148.022089999143219	-154.877577950102591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.506657313942047	-1	8	12	14	15	19	18	16	19	20	21	21	24	24	21	24	26	28	28	28	32	30	0	1	2	2	2	2	4	5	4	3	10	4	11	11	0	10	16	17	17	10	22	20	1	5	2	2	4	6	2	1	2	3	1	4	2	1	1	2	1	1	1	4	1	1
4500	-140.192874770794106	-147.048362721753477	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.517007172523784	1	8	12	14	15	19	17	17	20	20	21	22	24	23	21	24	26	28	31	30	32	32	0	1	2	2	2	3	5	5	7	3	6	9	11	6	0	10	16	17	18	18	19	19	1	4	2	4	5	3	1	1	2	4	1	1	2	2	1	2	1	2	1	1	1	1
5000	-152.273654703838474	-159.129142654797846	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.510701626483088	1	9	12	14	16	18	18	17	19	21	21	21	25	22	22	23	26	27	30	29	32	31	0	1	2	2	4	3	4	5	4	3	6	9	11	11	0	10	10	10	17	10	17	20	1	2	1	2	2	3	2	1	3	4	1	1	2	1	1	1	3	3	2	4	3	1
5500	-154.291017881451467	-161.146505832410838	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.593372028394309	1	8	11	16	15	18	17	18	18	19	20	22	23	24	23	23	26	28	29	31	33	31	0	1	2	2	2	2	4	4	4	3	6	9	11	11	0	10	16	17	16	19	22	19	1	3	2	4	3	5	1	1	2	3	1	2	2	1	1	2	2	1	2	2	1	1
6000	-145.258026033717272	-152.113513984676644	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.457368989252108	1	9	12	15	16	17	17	17	19	21	21	21	23	22	21	24	26	28	28	29	31	31	0	1	2	2	4	2	4	5	4	3	6	9	6	11	0	10	16	17	16	10	19	19	1	4	1	3	1	4	1	1	3	5	2	1	3	1	1	2	1	1	2	5	2	1
6500	-160.306283259824767	-167.161771210784138	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.625120574567798	1	8	11	14	17	17	17	15	19	20	19	22	23	24	20	24	27	27	30	28	31	31	0	1	2	2	8	3	4	4	4	3	6	9	11	13	0	10	16	16	20	16	19	16	1	5	1	2	1	2	1	1	2	5	2	2	2	1	1	1	1	1	1	2	1	2
7000	-148.823753108697275	-155.679241059656647	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.475240192277125	0	7	11	15	16	16	16	18	18	20	20	20	24	24	22	24	26	28	30	28	32	32	0	1	2	2	4	3	2	4	4	3	6	4	11	11	0	10	16	16	18	10	19	19	1	3	2	4	1	2	3	1	2	3	2	2	3	2	1	2	1	2	1	5	1	1
7500	-151.378608847446571	-158.234096798405943	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458492495606533	-1	8	12	14	16	19	17	17	19	20	21	20	24	23	21	23	25	27	30	30	31	31	0	1	2	2	4	3	4	2	4	3	6	4	11	6	0	10	10	10	17	18	20	19	1	4	2	2	2	2	2	3	3	3	1	3	2	2	1	1	3	4	3	2	1	1
8000	-144.705014196163887	-151.560502147123259	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563187562036413	-1	8	11	14	16	18	17	18	19	21	22	21	24	23	23	25	27	28	30	29	33	32	0	1	2	2	4	3	4	5	7	3	6	9	14	11	0	10	16	16	20	16	19	19	1	3	1	3	1	5	2	1	1	6	3	1	1	1	1	2	1	1	1	3	1	1
8500	-139.104145919645788	-145.959633870605160	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686736218612224	1	9	11	15	15	18	17	17	19	20	21	21	25	21	22	25	26	28	29	29	32	31	0	1	2	2	2	2	4	5	7	3	6	9	11	6	0	10	16	16	16	16	19	19	1	4	1	3	2	4	1	1	1	5	1	1	2	1	1	3	1	1	2	2	1	1
9000	-130.722633379966084	-137.578121330925455	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554430222197113	1	8	12	16	15	18	17	17	18	20	22	21	24	23	22	25	26	28	31	29	32	31	0	1	2	5	2	3	4	5	4	3	6	9	11	11	0	10	16	17	20	10	20	20	1	4	2	1	4	2	1	1	1	4	2	2	1	1	1	3	1	2	1	4	2	1
9500	-131.388024331597791	-138.243512282557163	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.625313376557341	1	9	11	16	14	18	18	17	18	20	21	21	25	23	23	24	26	28	29	30	31	31	0	1	2	5	2	3	4	5	4	3	6	9	14	11	0	10	16	17	17	16	19	19	1	4	1	1	3	2	1	2	1	4	2	2	1	2	1	2	1	1	1	3	1	1
10000	-143.138025261467732	-149.993513212427104	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544822716394075	1	8	11	16	14	18	17	18	19	19	22	21	24	21	22	24	27	28	29	31	32	30	0	1	2	5	2	3	4	5	4	3	14	9	11	6	0	10	10	16	17	18	19	19	1	3	1	1	3	3	1	2	1	5	1	1	2	1	1	2	4	2	1	2	2	1
10500	-146.317332510517758	-153.172820461477130	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608135576988376	0	9	11	15	16	18	17	17	18	20	21	21	25	23	22	23	26	27	30	31	32	31	0	1	2	2	4	3	4	5	7	3	6	4	11	11	0	6	16	16	18	16	19	19	1	4	1	3	1	3	1	1	1	6	2	2	2	1	1	2	1	2	2	5	1	1
11000	-136.000519986412485	-142.856007937371857	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.467601658530556	0	8	11	15	16	17	17	17	19	20	21	21	24	23	21	24	26	28	29	30	32	31	0	1	2	2	4	2	4	5	4	3	6	9	11	11	0	10	16	16	16	16	22	19	1	4	1	3	1	4	1	1	2	3	2	1	2	1	1	3	2	1	2	3	1	1
11500	-132.117487671777695	-138.972975622737067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586988127835441	0	9	11	15	16	18	17	17	20	20	20	20	24	22	21	25	26	28	30	29	33	32	0	1	2	2	4	3	4	5	4	6	6	4	11	6	0	10	16	16	20	16	19	19	1	4	1	3	1	3	1	1	2	1	1	2	2	2	1	3	1	2	1	2	1	1
12000	-151.648297927764219	-158.503785878723590	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.555760071406004	1	7	11	14	16	18	17	18	19	21	20	21	23	23	23	24	26	27	30	30	32	31	0	1	2	2	4	3	4	5	4	3	6	9	11	11	0	10	10	16	16	17	19	18	1	2	1	2	1	3	2	1	2	5	1	1	2	2	1	2	2	2	2	2	1	2
12500	-161.385706604683008	-168.241194555642380	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.417602244524465	-2	8	10	15	16	19	16	18	19	19	22	20	24	24	23	24	27	28	29	31	33	32	0	1	2	2	4	2	4	5	4	2	6	7	6	11	0	2	10	17	17	16	19	19	1	5	1	4	1	4	1	1	2	5	1	2	3	1	1	5	4	1	1	4	2	2
13000	-141.057707477960406	-147.913195428919778	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626821885753194	0	9	11	15	16	18	16	18	19	20	21	21	24	23	22	24	26	28	28	30	32	32	0	1	2	2	4	3	4	5	4	6	6	4	11	6	0	10	16	17	16	16	20	20	1	5	1	3	1	3	1	2	2	1	1	3	2	2	1	2	1	1	2	5	2	1
13500	-152.957222236309150	-159.812710187268522	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.372254891323827	0	8	12	16	15	18	17	17	19	19	21	21	25	24	23	25	25	28	29	30	31	31	0	1	2	2	2	3	5	5	5	3	6	9	11	6	0	10	10	16	16	10	19	19	1	4	3	3	3	4	1	1	2	4	1	1	2	3	1	2	3	2	2	3	2	2
14000	-138.148698831623193	-145.004186782582565	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591908635712584	0	9	11	16	15	17	18	17	18	21	21	20	24	23	22	23	26	28	31	29	33	32	0	1	2	5	2	2	4	5	4	3	6	9	11	6	0	10	16	17	17	17	19	20	1	5	1	1	3	4	1	1	1	4	1	1	2	2	1	1	2	1	2	2	1	2
14500	-147.872228611713098	-154.727716562672470	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.603599456261599	1	8	11	14	16	18	18	18	19	20	20	18	25	23	23	25	26	28	30	30	32	31	0	1	2	2	2	3	4	5	12	3	6	4	11	6	0	10	16	17	16	17	19	16	1	3	2	3	3	2	3	1	1	4	1	2	2	3	1	2	1	1	2	2	1	3
15000	-170.685957129262107	-177.541445080221479	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.340855487899311	1	8	11	16	14	18	18	17	17	20	21	22	23	22	21	24	26	29	30	28	32	32	0	1	2	5	2	2	4	5	4	3	6	4	14	6	0	10	16	20	20	10	16	16	1	2	1	2	3	5	1	2	1	3	2	4	1	3	1	2	1	1	2	3	3	5
15500	-148.969966323338639	-155.825454274298011	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.446641614140840	0	9	12	15	15	18	17	17	19	21	21	20	23	23	22	23	26	28	29	30	32	30	0	1	2	2	2	3	4	5	4	3	6	4	11	10	0	10	16	17	16	19	22	19	1	4	2	4	3	3	1	1	2	7	1	3	2	2	1	1	2	1	3	1	1	1
16000	-156.705443176769961	-163.560931127729333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.423680736363889	-2	8	10	16	17	17	17	18	18	19	21	22	24	23	22	23	26	28	30	29	31	32	0	1	2	2	4	3	4	5	4	3	10	9	11	11	0	10	16	16	18	16	18	16	1	5	1	4	1	5	1	1	1	4	1	3	2	1	1	1	2	3	1	2	2	4
16500	-131.318885026483741	-138.174372977443113	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557595311601008	1	8	12	14	16	17	16	17	19	21	21	21	24	23	21	23	26	28	30	29	33	31	0	1	2	2	4	3	4	5	4	3	6	9	11	6	0	10	16	17	17	17	22	19	1	4	2	2	1	2	1	1	2	3	2	1	2	2	1	1	2	1	2	1	1	1
17000	-137.659751917266192	-144.515239868225564	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.526140638378699	1	8	12	13	16	18	17	17	18	20	21	21	24	23	22	25	26	29	30	30	32	31	0	1	2	2	4	3	4	5	4	3	6	9	11	6	0	10	10	17	16	17	19	19	1	3	2	2	2	3	2	1	3	3	2	1	2	2	1	2	3	2	2	2	1	1
17500	-143.739128605776727	-150.594616556736099	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589051397217335	1	9	12	16	15	18	18	18	19	20	21	22	24	23	23	24	26	28	30	28	31	32	0	1	2	5	2	3	4	5	4	3	6	9	11	11	0	10	16	16	20	16	18	19	1	3	1	1	3	2	1	1	2	5	1	2	2	1	1	3	1	2	2	2	1	1
18000	-145.594823229006579	-152.450311179965951	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442505635665185	0	9	11	15	14	18	17	17	19	20	21	21	24	24	21	24	25	27	30	28	32	31	0	1	2	5	2	3	5	5	4	3	6	9	11	11	0	10	16	17	20	16	16	16	1	3	1	1	2	2	2	2	2	4	2	1	2	2	1	2	1	1	1	2	5	3
18500	-163.595339709699545	-170.450827660658916	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.446855351951674	1	7	9	16	15	17	17	17	18	21	21	21	23	24	21	24	26	28	28	31	32	31	0	1	2	5	2	3	5	5	4	6	6	7	11	11	0	10	16	16	17	19	22	18	1	2	1	1	3	3	1	2	2	1	2	2	1	2	1	2	1	1	2	2	1	2
19000	-131.886402788088759	-138.741890739048131	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696910882341662	1	9	11	16	15	18	17	17	19	20	21	22	24	23	22	24	26	29	29	29	33	31	0	1	2	5	2	3	5	5	4	6	6	9	14	11	0	10	16	17	16	16	22	19	1	4	1	1	4	4	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	2
19500	-151.120689693227547	-157.976177644186919	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.469681223267565	1	9	10	16	16	18	18	18	19	20	21	21	24	24	23	24	26	28	29	30	32	29	0	1	2	2	2	3	5	5	4	6	6	4	11	6	0	10	16	16	18	10	19	10	1	4	1	3	4	2	1	1	2	1	1	3	2	3	1	2	1	2	1	4	2	4
20000	-152.018049934770147	-158.873537885729519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.408195997807499	1	8	11	16	17	17	17	16	18	20	21	21	25	23	22	24	26	29	30	31	33	31	0	1	2	2	8	3	4	2	4	6	6	4	11	11	0	10	16	16	10	16	20	18	1	4	2	2	1	4	1	3	1	2	1	2	2	1	1	3	1	3	4	3	2	1
20500	-148.139042673254380	-154.994530624213752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.434036229207203	-1	8	12	15	15	18	18	17	19	19	20	21	22	23	23	24	26	28	31	29	33	32	0	1	2	2	2	2	5	4	4	3	6	9	11	13	0	10	16	16	20	16	19	19	1	4	2	3	4	7	1	1	2	4	1	1	2	1	1	3	1	2	1	2	1	1
21000	-149.895531401779238	-156.751019352738609	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.436944415875866	0	7	12	13	17	18	18	16	20	20	20	22	25	22	21	24	27	29	29	30	33	32	0	1	2	2	4	3	8	2	7	3	6	9	11	11	0	10	16	17	17	17	17	19	1	4	3	3	2	5	1	4	1	3	1	1	2	1	1	2	2	1	1	2	3	1
